PHYLUM,LINEAGE,CLASS,ORDER,FAMILY,COMMON NAME,CODE (5 letter code),SCIENTIFIC NAME,TAXON ID (see NCBI),GENOME OR TRANSCRIPTOME?,TECHNOLOGY,SOURCE,ACCESSION NUMBER,REFERENCE,EXTRA INFO,C (ASSEMBLY),S (ASSEMBLY),D (ASSEMBLY),F (ASSEMBLY),M (ASSEMBLY),C+F (GOOD if >85*),Busco database,No. ISOFORMS,C (LONGEST),S (LONGEST),D (LONGEST),F (LONGEST),M (LONGEST),C+F (GOOD if >85*),Busco database,No. GENES,EggNOG-mapper,FANTASIA
ACOELA,Acoelomorpha,-,Acoela ,Anaperidae,,NFUS1,Neochildia fusca,66402,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR8617822,,,82.2,43.6,38.6,4.1,13.7,86.3,metazoa_odb10,,74.7,72.7,2,3,22.3,77.7,metazoa_odb10,22370,12845,22351
ACOELA,Acoelomorpha,-,Acoela ,Childiidae,,CSUB1,Childia submaculatum,243778,Transcriptome,,NCBI SRA,SRR3105702,,,73.3,25.1,48.2,6.9,19.8,80.2,metazoa_odb10,,71.7,65.9,5.8,5.3,23,77,metazoa_odb10,15861,10576,15605
ACOELA,Acoelomorpha,-,Acoela ,Convolutidae,,CNAI1,Convoluta (Praesagittifera) naikaiensis,31270,Transcriptome,Illumina HiSeq 2500,NCBI SRA,DRR151142,,,78.3,61.8,16.5,5.9,15.8,84.2,metazoa_odb10,,74.1,73.2,0.9,5.2,20.7,79.3,metazoa_odb10,17797,10900,17779
ACOELA,Acoelomorpha,-,Acoela ,Diopisthoporidae,,DLON1,Diopisthoporus longitubus,996724,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR3105704,,,74.4,21.7,52.7,5.5,20.1,79.9,metazoa_odb10,,71.6,64.8,6.8,3.7,24.7,75.3,metazoa_odb10,19356,13097,18921
ACOELA,Acoelomorpha,-,Acoela ,Hofsteniidae,,HMIA1,Hofstenia miamia,442651,Genome,Illumina; Nanopore,NCBI Genome,GCA_900660155.1,https://www.science.org/doi/10.1126/science.aau6173?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub20200pubmed,Genome annotation obtained from author,-,-,-,-,-,-,-,-,80,78.1,1.9,5.5,14.5,85.5,metazoa_odb10,22632,15809,21891
ACOELA,Acoelomorpha,-,Acoela ,Isodiametridae,,IPUL1,Isodiametra pulchra,504439,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR6374833,,,87.2,47.4,39.8,1.9,10.9,89.1,metazoa_odb10,,78.4,76.7,1.7,1.8,19.8,80.2,metazoa_odb10,19261,11669,19170
ACOELA,Acoelomorpha,-,Acoela ,Paratomellidae,,PRUB1,Paratomella rubra,90914,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR6375633,,,88.4,72.7,15.7,2,9.6,90.4,metazoa_odb10,,86,84,2,1.2,12.8,87.2,metazoa_odb10,20223,14113,20112
ACOELA,Acoelomorpha,-,Acoela ,Sagittiferidae,,SYRO2,Symsagittifera roscoffensis,84072,Genome,"PacBio, HiC",UCSC/NCBI Genome,SymRos_1_5/GCA_025153585.1,https://www.biorxiv.org/content/10.1101/2022.08.27.505549v1?s=08,,-,-,-,-,-,-,-,-,83.5,33.5,50,2.1,14.4,85.6,metazoa_odb10,121731,60170,81118
ANNELIDA,-,-,Amphinomida,Amphinomidae,,HCAR1,Hermodice carunculata,259844,Transcriptome,Illumina HiSeq 1000,NCBI SRA,SRR651044,,,97.9,44.5,53.4,1.7,0.4,99.6,metazoa_odb10,,95.4,92.5,2.9,1.9,2.7,97.3,metazoa_odb10,36041,21189,35906
ANNELIDA,-,-,Amphinomida,Amphinomidae,,PCAL1,Pareurythoe californica,1633897,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR1926090,,,94.8,21.3,73.5,4.4,0.8,99.2,metazoa_odb10,,89.8,88.4,1.4,6.1,4.1,95.9,metazoa_odb10,44119,27519,43615
ANNELIDA,-,-,Sipuncula,Golfingiidae,,GVUL1,Golfingia vulgaris,210797,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR1797875,,,98.3,52.6,45.7,1.2,0.5,99.5,metazoa_odb10,,93.8,92.6,1.2,1.5,4.7,95.3,metazoa_odb10,27492,19394,27435
ANNELIDA,-,-,Sipuncula,Golfingiidae,,PGOU1,Phascolopsis gouldii,6442,Transcriptome,Illumina HiSeq 1500,NCBI SRA,SRR1654498,,,46.4,22.4,24,39.8,13.8,86.2,metazoa_odb10,,34.8,33.9,0.9,37.8,27.4,72.6,metazoa_odb10,46730,20358,46141
ANNELIDA,-,-,Sipuncula,Phascolosomatidae,,PAGA1,Phascolosoma agassizii,360543,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR15713751,,,68.9,28.2,40.7,13.1,18,82,metazoa_odb10,,66.6,63.9,2.7,12.2,21.2,78.8,metazoa_odb10,15507,11574,15406
ANNELIDA,-,-,Sipuncula,Phascolosomatidae,,PHGR1,Phascolosoma granulatum,41797,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR5590963,,,83.9,57.7,26.2,12.2,3.9,96.1,metazoa_odb10,,81.4,80.1,1.3,11.6,7,93,metazoa_odb10,33187,21599,33144
ANNELIDA,-,-,Sipuncula,Sipunculidae,,SNUD1,Sipunculus nudus,6446,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR10605389,,,97.3,39.5,57.8,2,0.7,99.3,metazoa_odb10,,93.7,88.7,5,2.3,4,96,metazoa_odb10,34159,23600,33961
ANNELIDA,Chaetopteriformia,Polychaeta,-,Psammodrilidae,,PBAL1,Psammodrilus balanoglossoides,1977847,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR5590971,,,82,47.1,34.9,12.3,5.7,94.3,metazoa_odb10,,79.3,78,1.3,11.1,9.6,90.4,metazoa_odb10,20931,16008,20870
ANNELIDA,Chaetopteriformia,Polychaeta/Sedentaria,-,Chaetopteridae,,CHAE1,Chaetopterus sp. SL-2014,1570313,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR1646443,,,72.7,38.9,33.8,19.5,7.8,92.2,metazoa_odb10,,70.6,66.5,4.1,18.4,11,89,metazoa_odb10,24188,18687,24007
ANNELIDA,Chaetopteriformia,Polychaeta/Sedentaria,-,Chaetopteridae,,CVAR1,Chaetopterus variopedatus,34590,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR5590967,,,82.6,67.8,14.8,12.9,4.5,95.5,metazoa_odb10,,79.9,78.4,1.5,13,7.1,92.9,metazoa_odb10,22859,17807,22824
ANNELIDA,Chaetopteriformia,Polychaeta/Sedentaria,-,Chaetopteridae,,MMIN1,Mesochaetopterus minutus,1723709,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR1925760,,,92.8,30.5,62.3,4.3,2.9,97.1,metazoa_odb10,,89.9,88.7,1.2,4.8,5.3,94.7,metazoa_odb10,29673,21717,29388
ANNELIDA,Chaetopteriformia,Polychaeta/Sedentaria,-,Chaetopteridae,,PHYL1,Phyllochaetopterus sp. KMH-2014,1490214,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR1257898,,,72.7,30.5,42.2,16.9,10.4,89.6,metazoa_odb10,,71.6,70.4,1.2,14.8,13.6,86.4,metazoa_odb10,24128,18071,23998
ANNELIDA,Dinophiliformia,-,-,Dinophilidae,,DGYR1,Dimorphilus gyrociliatus,2664684,Genome,,,,,,-,-,-,-,-,-,-,-,92.3,90,2.3,1.4,6.3,93.7,metazoa_odb10,14204,11639,13978
ANNELIDA,Dinophiliformia,-,-,Dinophilidae,,TAXI1,Trilobodrilus axi,188474,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR2014693,,,53.7,42.3,11.4,21.8,24.5,75.5,metazoa_odb10,,51.5,49.4,2.1,20.4,28.1,71.9,metazoa_odb10,19589,13594,19578
ANNELIDA,Palaeoannelida,Polychaeta,-,Magelonidae,,MPIT1,Magelona pitelkai,1653079,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR2015609,,,58.1,19.8,38.3,28.6,13.3,86.7,metazoa_odb10,,55.5,54.2,1.3,26.3,18.2,81.8,metazoa_odb10,24912,18047,24798
ANNELIDA,Palaeoannelida,Polychaeta,-,Oweniidae,,MHEE1,Myriochele heeri,1977846,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR5590968,,,58.2,37.2,21,22.4,19.4,80.6,metazoa_odb10,,55.9,49.6,6.3,20.3,23.8,76.2,metazoa_odb10,23064,15891,23029
