feature,BayesianRidge,lgbm,gbc,Adaboost,rf,mean
1,0.10984018446572222,0.07142857142857142,0.010845382529564919,0.0,0.018276211330978672,0.042078069950967446
2,0.12900384798355916,0.11904761904761905,0.000995884571806354,0.0,0.3424796088277067,0.11830539208613826
3,0.09979862047174397,0.25,0.0004972143397691483,0.0004036295687473476,0.26808904599830696,0.12375770207571349
4,0.1610791401140184,0.19642857142857142,0.0009042558112790108,0.0014412235579814008,0.02460351990524618,0.07689134216341928
5,0.09363609764533823,0.07142857142857142,0.0010414879332138194,0.0002159356682011121,0.00915305522852468,0.035095029580769856
6,0.14522420645574446,0.0,0.030670396510106047,0.0,0.15915202344364687,0.06700932528189948
7,0.03660726551990827,0.03968253968253969,0.00012342960706981338,3.917933291044252e-05,0.013029842637515977,0.01789645135598884
8,0.09626508902908507,0.014285714285714287,0.006527855878867385,0.0,0.015030548696385948,0.026421841578010537
9,0.11024256804557703,0.0,0.016268073794347377,0.0,0.02651859695203218,0.03060584775839132
10,0.08113081430139019,0.0,0.011805119618415924,0.0035932615852902533,0.0006149024994952189,0.019428819600918315
11,0.12483585249959288,0.08571428571428572,0.007486628266512584,0.04338967943242289,0.1575861901764166,0.08380252721784613
12,0.008414661641856709,0.0,9.76498801275793e-07,0.001621028114770679,0.03768856237619201,0.009545045726324135
13,0.05664186882164295,0.023809523809523808,0.0,0.0009243660652026714,0.007912731892328618,0.01785769811773961
14,0.10499365816854574,0.0,0.016283776091723455,0.00025634048818515607,0.04114487499066464,0.03253572994782379
15,0.08909520454574911,0.09523809523809523,0.0010830561921792792,0.0006799521393580624,0.027767376008426978,0.04277273682476172
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.06075575889861179,0.017857142857142856,0.005392854254185882,1.955717145184003e-05,0.03480845661697756,0.023766753959673988
18,0.14508713893142158,0.32142857142857145,0.06411062908336458,1.0,1.0,0.5061252678886715
19,0.09919678486331433,0.32142857142857145,0.0010778363024182768,0.00017416003177767644,0.017364088458832427,0.08784828821698283
20,0.07452046419847558,0.07142857142857142,0.012153225418506278,0.00029666814961251,0.024688307002173525,0.03661744723946787
21,0.06897044070227527,0.0,3.1404594752149446e-05,0.0005126809763703121,0.030042762832835385,0.019911457821246623
22,0.1277271561089667,0.0,1.0,0.08665951557503497,0.702827519680413,0.38344283827288295
23,0.10640271218500959,0.0,0.00018000053335591196,0.0,0.029287589316472448,0.02717406040696759
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.1402000690781511,0.0,0.00013099455361990773,0.1058762715570564,0.35408841506377875,0.12005915005052123
26,0.19842349885256627,0.0,0.21969416584331597,0.0,0.005055802934109546,0.08463469352599837
27,0.04925256824479515,0.0,0.0,0.0013865490978040072,0.010936398999696095,0.012315103268459051
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.1410168756348162,0.0,0.032536147588694754,0.0,0.0522469871484939,0.045160002074400976
30,0.02851802255921844,0.0,0.0,0.0,0.00018263962961442192,0.005740132437766572
31,0.06897044070227527,0.0,3.1404594752149446e-05,0.0005126809763703121,0.030042762832835385,0.019911457821246623
32,0.06423084319804671,0.17857142857142858,0.001290424073746246,0.013446040930867521,0.007264126964016802,0.05296057274762117
33,0.15984847170041677,0.0,9.700527522495068e-05,0.007137089006208129,0.07251002735290134,0.04791851866695024
34,0.06931413529096941,0.0,0.0016230356672166824,0.0007122517969900234,0.005893699384148065,0.015508624427864836
35,0.07198268536734015,0.0,0.008331445511869652,0.00010718525010064587,0.017890332617712182,0.019662329749404524
36,0.0800771231853061,0.0,0.00012130356692536318,0.0,0.01141287289442333,0.01832225992933096
37,0.0809738185493732,0.0,0.00017792002770220395,0.0,0.0012900801612738754,0.016488363747669856
38,0.2609356178835239,0.0,0.0,0.0,0.16464442759575157,0.08511600909585508
39,0.11130056559639895,0.08163265306122448,0.0011413997300224092,0.00010781732451718941,0.013025861865805522,0.04144165951559371
40,0.0731457868957105,0.08928571428571429,0.0009299717995219893,0.00043315131461342554,0.03538040945911966,0.03983500675093597
41,0.12417329181709201,0.0,0.010926170563694625,0.0705841810380376,0.25196296065887436,0.09152932081553972
42,0.026503722726558942,0.03571428571428571,0.00032025838321621296,0.00012093078492663413,0.01812936080894014,0.01615771168358553
43,0.07579794097552513,0.0,0.0018515115962617617,0.00040952530253199603,0.00386636605310362,0.0163850687854845
44,0.10499365816854574,0.0,0.016283776091723455,0.00025634048818515607,0.04114487499066464,0.03253572994782379
45,0.006850258791990509,0.0,0.00044694929877363504,0.0,0.00040057176597514243,0.0015395559713478574
46,0.15083271045292512,0.2619047619047619,0.00046884472515927426,0.07059566605646338,0.23775788982252,0.14431197459236594
47,0.11507289061387783,0.07142857142857142,0.001179174826202661,0.0006903822397803667,0.009858653355819171,0.039645934492850296
48,0.06983835932215658,0.03571428571428571,0.007059825614579517,0.0017084591223654791,0.056895947233315584,0.03424337540134058
49,0.18955192781843738,0.32142857142857145,0.013446266239538204,0.00017905402374843827,0.0184865198191176,0.10861846786588261
50,0.11811945848528449,0.33333333333333337,0.0019480070588823515,0.0,0.007341936540649762,0.09214854708362999
51,0.03215718800135757,0.0,0.0029230807811156515,0.0,0.0057984813096441995,0.008175750018423484
52,0.1410168756348162,0.0,0.032536147588694754,0.0,0.0522469871484939,0.045160002074400976
53,0.12628656989410708,0.07142857142857142,0.0007244203239947694,0.0001851857219355983,0.03698651526854924,0.04712225252743162
54,0.15238418568801948,0.10714285714285714,0.02797232008926979,0.0,0.029652902602377653,0.06343045310450482
55,0.1302207849780707,0.03571428571428571,0.06187631785032345,0.05297227618944843,0.21323042109886606,0.09880281716619888
56,0.0,0.0,0.0,0.0,0.0,0.0
57,0.15553755733952268,0.0,0.0005380943830356427,0.0,0.01620770248507055,0.034456670841525774
58,0.23454186462485385,0.42857142857142855,0.9615815630783676,0.03181951834212058,0.5799640401818678,0.4472956829597277
59,0.04545613420313844,0.0,0.0,0.0027730981956080145,0.02178736343337555,0.014003319166424402
60,0.0,0.0,0.0,0.0,0.0,0.0
61,0.04573891930018957,0.10714285714285714,0.001690138895566958,0.00016872007019706108,0.004833091310197878,0.03191474534380172
62,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0992172021358802,0.125,6.847524090589014e-05,0.0,0.005147460185500724,0.04588662751245736
65,0.09493472110076871,0.10714285714285714,0.0011039974033904157,0.00240428367951358,0.004796909088732848,0.04207655368305254
66,0.09942382368009939,0.19047619047619047,0.12037990202869149,0.2433549320049148,0.5567277139796404,0.24207251243390732
67,0.07012061073785195,0.0,0.0007219280206377463,0.0,0.0017898213092225332,0.014526472013542447
68,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0
70,0.07116619655088137,0.0,0.0,0.0,0.0016646159014615581,0.014566162490468585
71,0.09055891771267283,0.0,0.03891774560749466,0.0,0.05850426595385373,0.037596185854804245
72,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0
75,0.13896249160582963,0.03571428571428571,0.016268073794347377,0.0,0.0320182786587482,0.04459262595464218
76,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0
