feature,p_value,score,gbc,BayesianRidge,rf,mean
p1_M,0.1756564303142154,1.8406086958553625,0.0,0.0,0.0,0.0
p1_P,0.0005668048059235229,12.078442202806123,0.041277420552160604,0.07228769714264102,0.017040473749412796,0.04353519714807147
p1_Q,9.436926824461254e-08,29.57988849728865,0.0450021157084517,0.007072455022128803,0.00841318457836278,0.020162585102981096
p2_N,0.30166933912736343,1.0696037165050996,0.0,0.0,0.0,0.0
p3_GAP,0.30166933912736343,1.0696037165050991,0.0,0.0,0.0,0.0
p4_T,0.18433645537458526,1.7685057750781175,0.0,0.0,0.0,0.0
p5_GAP,0.18433645537458526,1.7685057750781175,0.0,0.0,0.0,0.0
p6_GAP,0.18433645537458526,1.7685057750781175,0.0,0.0,0.0,0.0
p7_GAP,0.18433645537458526,1.7685057750781175,0.0,0.0,0.0,0.0
p7_I,0.8737874803809635,0.025266002776580615,0.0,0.0,0.0,0.0
p7_K,0.6912320124453605,0.1579868626606062,0.0,0.0,0.0,0.0
p7_L,0.3941369061426111,0.7277341963085134,0.0,0.0,0.0,0.0
p7_NDMVA,0.3687428455928784,0.809753317644299,0.0,0.0,0.0,0.0
p7_P,0.1802855618091571,1.80165407621863,0.0,0.0,0.0,0.0
p7_Q,0.0005379539127929319,12.17889124511186,0.026397369969713803,0.06411220236218095,0.012053138672466828,0.03418757033478719
p7_S,6.743700074827073e-10,40.04860003578175,0.0004348860683537845,0.08382593016137796,0.04342698737871667,0.04256260120281614
p8_F,0.5897362974656757,0.2912330503215716,0.0,0.0,0.0,0.0
p8_GAP,0.18433645537458526,1.7685057750781175,0.0,0.0,0.0,0.0
p8_N,0.9550683538554555,0.0031786074053442156,0.0,0.0,0.0,0.0
p8_Y,0.9228875726444536,0.009381677083934522,0.0,0.0,0.0,0.0
p9_GAP,0.18433645537458526,1.7685057750781175,0.0,0.0,0.0,0.0
p10_Y,0.18433645537458526,1.7685057750781175,0.0,0.0,0.0,0.0
p11_I,0.0007469244705085223,11.549124019243626,0.014124547913175661,0.026426079848504844,0.023768010505513783,0.02143954608906476
p11_V,0.017782626858011127,5.664901157017333,0.011396444513314069,0.028286118947324617,0.020128200765401304,0.019936921408679996
p12_P,0.18433645537458526,1.7685057750781175,0.0,0.0,0.0,0.0
p13_L,0.2487145869398048,1.3344533813776902,0.0,0.0,0.0,0.0
p13_M,0.29835635468203237,1.084388913082815,0.0,0.0,0.0,0.0
p14_LTID,0.00028745752555440606,13.389540429226477,0.004886107771052893,0.15467884203428028,0.011166602273027224,0.05691051735945346
p14_N,4.239377508615736e-21,99.81594213001081,0.004509616979743539,0.042367909679652496,0.18692034170688684,0.07793262278876097
p14_S,1.6253926379854671e-07,28.448912789127967,0.0021172299734414698,0.0615026958093031,0.057900825769279435,0.040506917184008
p14_V,0.5741784003549109,0.31626888168549516,0.0,0.0,0.0,0.0
p16_K,0.1428816024210552,2.155245304826463,0.0,0.0,0.0,0.0
p16_R,0.028332611317870637,4.843339706445498,0.09845757878638482,0.018810776676060344,0.03307453043638583,0.05011429529961033
p16_T,0.35336979997797924,0.8633572288193666,0.0,0.0,0.0,0.0
p19_L,7.76663532341651e-16,70.68064651188968,0.011885516523718732,0.016341707941299036,0.05215292168514081,0.02679338205005286
