caves_id,Family,Genus,Species,LambdaMax,refid
0,Acipenseridae,Acipenser,baerii,549,[22]
1,Acipenseridae,Acipenser,medirostrus,540,[60]
2,Acipenseridae,Acipenser,ruthenus,545,[21]
3,Acipenseridae,Acipenser,transmontanus,540,[39] ; [58]
4,Acipenseridae,Scaphirhynchus,albus,538,[60]
5,Acipenseridae,Scaphirhynchus,platorynchus,534,[59]
6,Polyodontidae,Polyodon,spathula,540,[59]
7,Albulidae,Albula,vulpes,500,[63]
8,Alepocephalidae,Bellocia ,koefoedi,477,[14]
9,Alepocephalidae,Conocara,macroptera,478,[14]
10,Alepocephalidae,Conocara,macroptera,476,[51]
11,Alepocephalidae,Conocara,salmonea,476,[14]
12,Alepocephalidae,Rouleina,attrita,485,[14]
13,Alepocephalidae,Rouleina,maderensis,477,[51]
14,Alepocephalidae,Talismania,antillarum,476,[51]
15,Alepocephalidae,Xenodermichthys ,copei,478,[50]
16,Platytroctidae,Barbantus,curvifrons,478,[51]
17,Platytroctidae,Platytroctes,apus,475,[51]
18,Platytroctidae,Searsia,koefoedi,476,[51]
19,Platytroctidae,Searsia,koefoedi,480,[5]
20,Amiidae,Amia,calva,527,[8]
21,Anguillidae,Anguilla,anguilla,482,[27]
22,Anguillidae,Anguilla,bicolor,494,[68]
23,Anguillidae,Anguilla,japonica,497,[68]
24,Derichthydae,Derichthys,serpentinus,489,[51]
25,Muraenidae,Gymnothorax,favagineus,487,[67]
26,Muraenidae,Gymnothorax,reticularis,486,[67]
27,Muraenidae,Rhinomuraena,quaesita,498,[67]
28,Muraenidae,Strophidon,sathete,487,[67]
29,Synaphobranchidae,Histiobranchus,bathybius,477,[14]
30,Synaphobranchidae,Histiobranchus,bathybius,476,[51]
31,Synaphobranchidae,Histiobranchus,bathybius,477,[52] ; [14]
32,Synaphobranchidae,Synaphobranchus,kaupii,478,[51]
33,Argentinidae,Argentina,silus,483,[19]
34,Opisthoproctidae,Opisthoproctus,grimaldii,480,[52]
35,Atherinidae,Atherina,boyeri,511,[21]
36,Atherinidae,Atherina,boyeri,509,[54]
37,Melanotaeniidae,Melanotaenia,maccullochi,509,[54]
38,Telmatherinidae,Marosatherina,ladigesi,507,[54]
39,Bathysauridae,Bathysaurus,ferox,478,[14]
40,Bathysauridae,Bathysaurus,mollis,477,[52]
41,Notosudidae,Ahliesaurus,berryi,487,[50]
42,Scopelarchidae,Benthalbella ,infans,451,[51]
43,Scopelarchidae,Scopelarchus,analis,507,[52]
44,Scopelarchidae,Scopelarchus,analis,445,[52]
45,Scopelarchidae,Scopelarchus,analis,503,[52]
46,Scopelarchidae,Scopelarchus,analis,479,[52]
47,Synodontidae,Synodus,variegatus,493,[41]
48,Batrachoididae,Opsanus,tau,503,[37]
49,Belonidae,Belone,belone,509,[54]
50,Melamphaidae,Melamphaes,suborbitalis,482,[51]
51,Melamphaidae,Poromitra,capito,481,[51]
52,Melamphaidae,Poromitra,megalops,487,[51]
53,Melamphaidae,Scopelogadus,beanii,482,[51]
54,Blennidae,Lipophrys,pholis,515,[38]
