Name	!color
QGW08851.1	#00ebff
QGW08842.1	#00ff7f
AAU29519.1	#5400d0
AAW69832.1	#80ff00
KAL2807162.1	#00ff84
KAL2777651.1	#610061
KAL2767968.1	#82ff00
ABR53751.1	#610061
ABR53750.1	#610061
XP_069062416.1	#00ff6c
XP_069085508.1	#610061
XP_069065558.1	#0075ff
XP_069065557.1	#aaff00
XP_045596873.1	#6f0088
XP_045595320.1	#0088ff
XP_045596786.1	#8cff00
ALJ26468.1	#6f0088
AAB25036.1	#7aff00
BAP11275.1	#adff00
BAP11274.1	#4600dd
BAP11273.1	#70008b
ADA77657.1	#00ff8d
NP_001075818.1	#00ff89
O18910.2	#00ff09
XP_069922406.1	#0aff00
XP_069927406.1	#4800da
BCK34770.1	#610061
BCK34760.1	#0022ff
BCK34750.1	#61ff00
XP_008069734.1	#aeff00
XP_008061781.1	#6500b9
XP_008046011.1	#00ff88
APP17987.1	#6300bc
APP17986.1	#6500b9
XP_023561139.1	#00ff35
XP_004645674.1	#00ffa2
XP_004642783.1	#610061
XP_032253397.1	#9dff00
XP_032268123.1	#00ff8b
XP_032257510.1	#6600b8
AAP13017.1	#9dff00
AAD16998.1	#9dff00
AVR48193.1	#00ff2a
XP_036007472.1	#cdff00
XP_012728182.2	#00ebff
XP_012710392.2	#6dff00
XP_036007334.1	#700090
XP_036007333.1	#cbff00
XP_012724548.2	#92ff00
XP_012719413.2	#00ffb9
XP_012717776.2	#00ff79
XP_012715394.1	#33ff00
JAR82907.1	#700098
JAR81056.1	#8bff00
JAR81055.1	#cbff00
JAR77431.1	#00ff0f
JAR75773.1	#00ff79
JAR72590.1	#a6ff00
JAR70852.1	#00ebff
JAR68856.1	#610061
JAR48426.1	#67ff00
JAR48425.1	#cdff00
JAR48423.1	#a6ff00
JAR48422.1	#cbff00
JAR48421.1	#a6ff00
JAR40177.1	#00ff00
ALB48858.1	#610061
ALB48827.1	#87ff00
AJD38891.1	#0b00fc
AJD38890.1	#5200d1
XP_045514659.1	#610061
BAD14290.1	#6600b9
ACC77714.1	#610061
ABY84500.1	#003fff
ABI97872.1	#50ff00
UVC66209.1	#000cff
UVC66205.1	#00ffbc
UVC66200.1	#00fff8
UVC66199.1	#2bff00
UVC66198.1	#2aff00
XP_004741871.2	#6800b5
XP_004780768.1	#a9ff00
XP_004738634.1	#00ffa4
NP_001298010.1	#610061
XP_033927774.1	#008eff
XP_033927629.1	#b4ff00
XP_012983668.1	#00ff5f
XP_005145855.1	#00ff5f
XP_005142888.1	#00ff79
ART30062.1	#610061
ART30061.1	#2500f1
ART30060.1	#8bff00
ADN96754.1	#0600fe
ADD13987.1	#610061
ADD13986.1	#610061
QHA94765.1	#18ff00
AKI33359.1	#00ff20
ADT78511.1	#18ff00
ADT78510.1	#18ff00
AAC26329.1	#18ff00
XP_050597582.1	#610061
XP_050594439.1	#99ff00
XP_050592229.1	#6800b5
XP_009970041.3	#00ff4c
XP_042655511.1	#00ff8f
ABP88811.1	#4aff00
XP_042180545.1	#00f5ff
XP_024237234.2	#b6ff00
XP_024240773.1	#00ff6f
XP_024230841.1	#3eff00
XP_024230840.1	#0bff00
XP_024230839.1	#00ff1e
XP_024283476.1	#06ff00
XP_024283475.1	#00ffeb
XP_024283473.1	#07ff00
XP_024283472.1	#00ffc4
AAP58330.1	#3800e6
AAP58329.1	#610061
AAP58328.1	#04ff00
AAP58326.1	#bbff00
CAD23112.1	#0020ff
XP_064311779.1	#00ffa3
XP_064331568.1	#adff00
XP_064331533.1	#0025ff
XP_064327854.1	#00ff45
XP_064309174.1	#6f0086
KFW91691.1	#00ff3b
AWC68270.1	#610061
AWC68208.1	#85ff00
AWC68089.1	#00e2ff
AMD82566.1	#610061
XP_048265126.1	#610061
XP_012172199.1	#4cff00
XP_012172197.1	#99ff00
XP_003400385.1	#6800b5
XP_003397947.1	#00bbff
XP_035239401.1	#00ff84
XP_035237351.1	#00deff
XP_035237343.1	#00ff59
ACT34385.1	#4900da
ACT34384.1	#00ff59
2206482A	#00ff84
AIY31989.1	#64ff00
AHA48198.1	#610061
AHA48186.1	#73ff00
AHA48177.1	#4c00d8
AGH28027.1	#73ff00
ADW20311.1	#610061
AAT91638.1	#66ff00
AAT91641.1	#610061
AAT91640.1	#00ffa8
AAT91639.1	#00ffab
XP_029453475.1	#00e1ff
XP_029465665.1	#adff00
XP_043209930.1	#39ff00
XP_043242610.1	#610061
XP_043227478.1	#680070
KAF0309486.1	#5eff00
KAF0306802.1	#2aff00
KAF0300607.1	#32ff00
KAF0290247.1	#6b0077
KAF0287453.1	#00ff51
AAB24265.1	#00ff89
NP_571394.2	#610061
NP_571159.2	#00ff88
Q9W6A9.2	#610061
Q9W6A5.2	#0097ff
Q8AYN0.1	#a4ff00
Q8AYM8.1	#00c5ff
Q9W6A8.1	#5c00c7
Q9W6A7.1	#bfff00
XP_073772120.1	#00ffbb
NP_001002443.1	#a7ff00
NP_001103501.1	#00ffbb
ALG92537.1	#00ff5c
ALG92536.1	#00f1ff
ALG92535.1	#00c5ff
AAI64171.1	#00ff88
AAH67683.1	#610061
AAD24756.1	#610061
AAD24753.1	#00ff6a
AAD24752.1	#0097ff
AAD20549.1	#bfff00
AAD14679.1	#00ffa0
CAE30416.1	#bfff00
CAA77258.1	#00ff85
GLG99913.1	#60ff00
GLH14972.1	#610061
BAR40297.1	#60ff00
BAR40296.1	#4700db
AEG78683.1	#8bff00
XP_010893575.3	#00ff2c
XP_010893574.3	#00b6ff
XP_010900403.2	#00ff57
XP_010900326.1	#b2ff00
XP_010900325.1	#d1ff00
XP_010879352.1	#00daff
AAV53958.1	#00f9ff
AAX99140.1	#610061
O13227.1	#00f2ff
XP_061077045.1	#3500e8
XP_061077044.1	#3500e8
XP_061071715.1	#11ff00
XP_061113489.1	#00ff79
XP_061112894.1	#00ffc8
XP_061112527.1	#00fffb
AAC12765.1	#00ffab
NP_990821.1	#00ff17
NP_990769.1	#6200bf
P22329.1	#d9ff00
P28682.1	#0064ff
NP_001384426.1	#00ff69
NP_990771.2	#d5ff00
BAA00610.1	#00ff69
P32310.1	#0016ff
XP_026116811.1	#0aff00
XP_026069166.1	#00ff60
XP_026069165.1	#00d7ff
XP_026069164.1	#00ebff
XP_026131432.1	#bcff00
XP_026117029.1	#a8ff00
XP_026117008.1	#0400fe
XP_026107414.1	#00ff7e
XP_026107403.1	#00ff96
XP_026100307.1	#610061
P32313.1	#bcff00
AAA49191.1	#00ffd2
ACZ97946.1	#a8ff00
AJD38852.1	#2000f4
AAT91642.1	#610061
AAT91645.1	#4aff00
