feature,p_value,score,gbr,et,lgbm,xgb,rf,mean
p1_H1,0.10828724616886462,2.5919093959561246,0.0,0.0,0.0,0.0,0.0,0.0
p1_NCI,0.04706931412209794,3.970115916405137,0.0,0.0001310000220023488,0.03571428571428571,8.755656e-06,0.0020280810520242097,0.0075764244889387055
p1_H3,0.6072576077536185,0.2646521314764427,0.0,0.0,0.0,0.0,0.0,0.0
p1_MASS,0.16157379095464877,1.9675138009803492,0.0,0.0,0.0,0.0,0.0,0.0
p2_H1,5.6148985436276986e-06,21.247069899671832,0.0045144080253220215,0.0005331393233054931,0.10714285714285714,6.974866e-06,0.04811380621755245,0.03206223711504941
p2_NCI,0.0008677603055936706,11.278846732992607,5.774146041075641e-05,0.001282173013311071,0.07142857142857142,5.441003e-05,0.005963051789342475,0.01575718954420843
p2_H3,1.1591605708702683e-08,34.1206251354805,1.8764583904639594e-05,0.00011695359818845205,0.03571428571428571,0.0032747136,0.00894332991038753,0.00961360948993231
p2_MASS,2.3288881399507007e-09,37.55910234161354,0.0007581048742094871,0.0010562915371640411,0.03571428571428571,0.00032951444,0.018432488177946998,0.011258136949030459
p3_H1,0.29298606068076694,1.1090905472147723,0.0,0.0,0.0,0.0,0.0,0.0
p3_NCI,2.9157177111911638e-36,198.86625593980656,0.0,0.0009568970652493792,0.07142857142857142,8.4263297e-07,0.020299705330177775,0.018537203291393994
p3_H3,4.1078011421442405e-30,156.8167726227361,0.0,0.0015271910578845253,0.0,0.0,0.017562960383038038,0.0038180302881845123
p3_MASS,3.4110154364233146e-26,131.7115714573995,0.001313648382182999,0.0016617892919989026,0.0,1.1597178e-06,0.030273118597151802,0.0066499431978347375
p4_H1,2.0188276756315655e-14,63.63187279312057,0.0,0.001608123322396407,0.0,0.00015844715,0.017708498546439015,0.0038950138030735097
p4_NCI,0.09462239861384081,2.808702376824577,0.0,0.0,0.0,0.0,0.0,0.0
p4_H3,2.3750321276002606e-34,185.4384991855642,0.0,0.0073448568277165935,0.0,0.0,0.07648922856167778,0.016766817077878877
p4_MASS,9.883226902653994e-24,116.58434592977625,0.0,0.0027145109827201096,0.07142857142857142,6.1184466e-05,0.02136842458822222,0.01911453829313799
p5_H1,3.3483558956417906e-10,41.76458207352309,0.023168034125213566,0.007997415586444685,0.07142857142857142,2.865166e-06,0.05224966686354953,0.030969310633940834
p5_NCI,1.5759725219860414e-19,91.86597327505737,0.0,5.8100794165885095e-05,0.0,1.1333633e-05,0.03385262543400034,0.006784411972184415
p5_H3,8.381897695232385e-30,154.7858986056037,0.0,7.50004798092702e-05,0.0,0.0,0.007977226494748465,0.001610445394911547
p5_MASS,3.64658504569528e-17,78.55394241632443,1.322773881832392e-06,0.008614248651336639,0.0,0.0,0.09930726868571692,0.021584568022187077
p6_H1,4.756853478569744e-13,56.37620013918594,0.0,0.026178880249736445,0.10714285714285714,1.6233585e-06,0.057301465152903845,0.038124965180790976
p6_NCI,3.5072082613456733e-20,95.61478918787238,0.0,0.000230851370579997,0.0,7.815968e-07,0.12463907709885412,0.024974142013243217
p6_H3,2.5483299620866363e-37,206.44785733316235,0.0,0.00031505321789916896,0.0,1.6509671e-07,0.006329258457100379,0.0013288953543414818
p6_MASS,3.7195485382580277e-36,198.11451502269193,6.879302780975269e-05,9.704081970638176e-05,0.07142857142857142,3.4558012e-05,0.08132889333670298,0.030591571324953225
p7_H1,4.190968541473399e-16,72.71942891767846,0.0,0.00013776560679789335,0.0,1.1358029e-06,0.013256288978210823,0.002679038077582578
p7_NCI,1.231800211310207e-05,19.65773260391184,2.6651363836382068e-06,0.0002838600248222371,0.21428571428571427,2.430036e-06,0.035615651014286535,0.050038064099425336
p7_H3,5.733246000792707e-08,30.733909888113057,0.0,0.00017013737688296668,0.0,0.0,0.0036518642530574737,0.000764400325988088
p7_MASS,9.572730209766683e-22,104.73181363020291,0.0,0.0007238088740590162,0.0,0.0,0.031803348198924296,0.006505431414596663
p8_H1,0.015221144773846744,5.9474585586745805,0.0,0.0004856955231701877,0.17857142857142858,5.885007e-06,0.009489775714695971,0.03771055696323602
p8_NCI,3.7344122579771746e-06,22.076597963542135,0.0,0.0001546571406063753,0.0,8.0979415e-05,0.01729936226878504,0.0035069997648049787
p8_H3,3.528322639531327e-08,31.758285966982918,0.0,0.00026896426207868727,0.0,0.0,0.009720418897584484,0.0019978766319326343
p8_MASS,6.861292953749536e-20,93.93655882857344,0.0,0.0001830346818373571,0.03571428571428571,0.000112883026,0.08051595311845797,0.023305231308177042
p9_H1,4.620338392238757e-18,83.55601202542283,1.0545054758958085e-05,3.861196068575576e-05,0.03571428571428571,2.656137e-06,0.00627664349794287,0.008408548472931664
p9_NCI,5.43525479094123e-05,16.68769129652782,1.4303200978976613e-05,0.0003092666505296584,0.10714285714285714,9.043513e-10,0.007434317747244811,0.02298014912919238
p9_H3,1.1156952511490036e-05,19.857365908701635,0.0,2.344986352013761e-05,0.0,0.0,0.006966264963066967,0.001397942965317421
p9_MASS,0.10715770072900106,2.608658077025754,0.0,0.0,0.0,0.0,0.0,0.0
p10_H1,0.368068850212226,0.8122145462341654,0.0,0.0,0.0,0.0,0.0,0.0
p10_NCI,0.006376760571165689,7.528593568113123,2.176960990482986e-05,0.00014419403653041107,0.0,1.338479e-05,0.003950177521482929,0.0008259051915399165
p10_H3,0.002639615294489726,9.16855307224744,0.0,0.00017049876009596525,0.0,0.0,0.0038991519247264747,0.0008139301369644881
p10_MASS,0.12451271134088437,2.370666817353371,0.0,0.0,0.0,0.0,0.0,0.0
p11_H1,0.005114661950949763,7.935515490357238,9.543144788665713e-05,0.00023766899271275086,0.0,3.879605e-06,0.008193115302310336,0.00170601906961675
p11_NCI,0.5301911049821357,0.3947891619449996,0.0,0.0,0.0,0.0,0.0,0.0
p11_H3,0.8329117434952977,0.04457238403794228,0.0,0.0,0.0,0.0,0.0,0.0
p11_MASS,1.3504103100149023e-05,19.47251880923042,0.0,8.586302601671038e-05,0.10714285714285714,0.0,0.009810810879267166,0.023407906209628203
p12_H1,0.0003057430114467232,13.292464481838701,0.0,6.937348973870567e-05,0.07142857142857142,2.388352e-05,0.019011421886428133,0.01810665006495634
p12_NCI,0.3295430382614043,0.9532736361577795,0.0,0.0,0.0,0.0,0.0,0.0
p12_H3,0.38351184032717367,0.7612734882082991,0.0,0.0,0.0,0.0,0.0,0.0
p12_MASS,0.3785398147403555,0.7773542342996012,0.0,0.0,0.0,0.0,0.0,0.0
p13_H1,7.670768876907177e-16,71.28791786223327,0.0,2.905930012406437e-06,0.0,0.0,0.02675381160062152,0.005351343506126785
p13_NCI,0.17561678234779382,1.8415741625877786,0.0,0.0,0.0,0.0,0.0,0.0
p13_H3,8.517197447459007e-34,181.602875308891,0.0,2.479402355529183e-05,0.0,0.0,0.006252136179622474,0.0012553860406355533
p13_MASS,2.42139697250359e-22,108.26182662582548,0.0,5.9871098919206835e-06,0.0,0.0,0.023352556324395847,0.004671708686857554
p14_H1,0.11499933880543081,2.4962030015425527,0.0,0.0,0.0,0.0,0.0,0.0
p14_NCI,6.368713989960008e-29,149.05562302521818,2.0201331703277515e-06,0.0001846584029263015,0.03571428571428571,1.2478577e-05,0.008833959605755604,0.008949480486716793
p14_H3,7.319203715226692e-44,255.6699671230094,0.0,4.979063217073202e-06,0.0,0.0,0.017715879151795365,0.0035441716430024877
p14_MASS,4.4890871333478435e-28,143.59908848619008,0.0,7.903300902643963e-05,0.0,1.2009411e-05,0.004016472043288694,0.0008215028926562525
p15_H1,3.75963096983856e-14,62.19301999050172,0.0,0.0002528640135566776,0.6071428571428571,1.0341146e-05,0.09431193828437448,0.14034360011730826
p15_NCI,0.0016660257081071814,10.036381736349496,0.0,0.000170927530669899,0.14285714285714285,0.00013435424,0.006002201295981024,0.029832925184554847
p15_H3,2.6672038255004273e-09,37.267029772095434,0.0,8.090761634667722e-05,0.0,0.0,0.005400326755012636,0.0010962468742718627
p15_MASS,0.0004414171428145587,12.58010470972849,0.0,0.0003478686101805788,0.25,1.6227687e-05,0.02070961175327653,0.054214741609991665
p16_H1,0.015088332663761738,5.963170984207867,0.0,2.825791516765626e-05,0.0,0.0,6.330402594319748e-05,1.8312388222170747e-05
p16_NCI,0.00031710497905196766,13.22152676767188,0.0,6.154980465482655e-06,0.0,0.0,0.009224686217378403,0.0018461682395687772
p16_H3,3.915310366071078e-05,17.34008716077735,0.0,5.821893462429965e-06,0.0,0.0,0.005821878875455491,0.0011655401537835842
p16_MASS,3.495227599145071e-05,17.56635241742889,0.0,1.8348964864382142e-05,0.0,0.0,0.0008438141177114899,0.0001724326165151744
p17_H1,9.492478634692271e-18,81.80579002920238,0.0,0.00013349865596239978,0.14285714285714285,3.4369205e-05,0.016627571484072828,0.031930516440338313
p17_NCI,1.271957149174159e-13,59.38827148567899,0.0017497296187757023,0.0007569170948039739,0.10714285714285714,8.63336e-05,0.03927461898889145,0.029802091289599025
p17_H3,6.598734700867454e-23,111.62607670792433,0.0,6.954071713097602e-05,0.0,9.8712335e-06,0.002436909234201963,0.0005032642369640881
p17_MASS,1.3653612404071001e-05,19.450346907801592,0.0001636840813836116,0.0002579363793684872,0.17857142857142858,5.0116778e-05,0.0103839342641564,0.03788542001483873
p18_H1,2.7459119347230443e-23,113.90908642558739,0.0,7.944133443267117e-05,0.0,0.0,0.4002097274316148,0.08005783375320949
p18_NCI,7.686514329452333e-06,20.61037816778594,0.0,1.8348964864382142e-05,0.0,0.0,0.0008438141177114899,0.0001724326165151744
p18_H3,3.4134853962387324e-05,17.61356384059243,0.0,1.8348964864382142e-05,0.0,0.0,0.0008438141177114899,0.0001724326165151744
p18_MASS,7.447890510285278e-13,55.35789508431006,0.0,7.858143992583212e-05,0.0,0.0,0.24327201557520706,0.04867011940302658
