comp_db_id,Full_Species,Accession,maxid,longcore_id,murwes_id,caves_id,porter2005_id,porter2006_id,LambdaMax
0,Drosophila melanogaster,Z86118,,,,,,42,508
1,Loligo subulata,Z49108,,,,,,2,499
2,Schistocerca gregaria,X80072,,,,,,46,430
3,Schistocerca gregaria,X80071,,,,,,39,520
4,Sphodromantis sp.,X71665,,,,,,40,515
5,Todarodes pacificus,X70498,,,,,,4,480
6,Loligo forbesii,X56788,,,,,,0,494
7,Enteroctopus dofleini,X07797,,,,,,5,475
8,Drosophila melanogaster,U67905,,,,,,50,437
9,Camponotus abdominalis,U32502,,,,,,34,510
10,Cataglyphis bombycinus,U32501,,,,,,35,510
11,Apis mellifera,U26026,,,,,,36,529
12,Apis mellifera,U26026,,,,,,36,540
13,Procambarus clarkii,S53494,,,,,,14,533
14,Calliphora erythrocephala,M58334,,,,,,44,490
15,Drosophila melanogaster,M17718,,,,,,56,345
16,Drosophila melanogaster,M12896,,,,,,45,420
17,Manduca sexta,L78081,,,,,,54,357
18,Manduca sexta,L78080,,,,,,22,520
19,Limulus polyphemus,L03782,,,,,,7,530
20,Limulus polyphemus,L03781,,,,,,6,520
21,Neomysis americana,DQ852592â€“DQ852598,,,,,,18,520
22,Mysis diluviana,DQ852591,,,,,,17,501
23,Homarus gammarus,DQ852587â€“DQ852590,,,,,,9,515
24,Holmesimysis costata,DQ852581â€“DQ852586,,,,,,16,512
25,Euphausia superba,DQ852576â€“DQ852580,,,,,,8,487
26,Archaeomysis grebnitzkii,DQ852573â€“DQ852575,,,,,,15,496
27,Neogonodactylus oerstedii,DQ646871,,,,,,21,522
28,Neogonodactylus oerstedii,DQ646870,,,,,,20,528
29,Neogonodactylus oerstedii,DQ646869,,,,,,19,489
30,Hemigrapsus sanguineus,D50583-D50584,,,,,,41,480
31,Callinectes sapidus,CV224458 (EST),,,,,181,,503
32,Homarus americanus,CN853478,,,,,146,,515
33,Osmia rufa,AY572828,,,,,,38,553
34,Bombus terrestris,AY485301,,,,,,37,529
35,Loligo pealii,AY450853,,,,,,1,493
36,Drosophila melanogaster,AH001040,,,,,,55,375
37,Drosophila melanogaster,AH001026,,,,,,43,478
38,Bicyclus anynana,AF484249,,,,,,33,560
39,Vanessa cardui,AF385333,,,,,,29,530
40,Junonia coenia,AF385332,,,,,,30,510
41,Spodoptera exigua,AF385331,,,,,,23,515
42,Galleria mellonella,AF385330,,,,,,24,510
43,Heliconius sara,AF126753,,,,,,32,550
44,Heliconius erato,AF126750,,,,,,31,570
45,Camponotus abdominalis,AF042788,,,,,,52,360
46,Cataglyphis bombycinus,AF042787,,,,,,53,360
47,Apis mellifera,AF004169,,,,,,51,353
48,Apis mellifera,AF004168,,,,,,49,439
49,Procambarus milleri,AF003546,,,,,,13,522
50,Orconectes virilis,AF003545,,,,,,12,530
51,Cambarellus shufeldtii,AF003544,,,,,,10,526
52,Cambarellus schufeldtii,AF003544,,,,,139,,526
53,Cambarus ludovicianus,AF003543,,,,,,11,529
54,Cambarellus ludovicianus,AF003543,,,,,140,,529
55,Sepia officinalis,AF000947,,,,,,3,492
56,Manduca sexta,AD001674,,,,,,47,450
