comp_db_id,Full_Species,LambdaMax,Accession,maxid,longcore_id,murwes_id,caves_id,porter2005_id,porter2006_id
0,Drosophila melanogaster,508,Z86118,,,,,,42
1,Loligo subulata,499,Z49108,,,,,,2
2,Schistocerca gregaria,430,X80072,,,,,,46
3,Schistocerca gregaria,520,X80071,,,,,,39
4,Sphodromantis sp.,515,X71665,,,,,,40
5,Todarodes pacificus,480,X70498,,,,,,4
6,Loligo forbesii,494,X56788,,,,,,0
7,Enteroctopus dofleini,475,X07797,,,,,,5
8,Drosophila melanogaster,437,U67905,,,,,,50
9,Camponotus abdominalis,510,U32502,,,,,,34
10,Cataglyphis bombycinus,510,U32501,,,,,,35
11,Apis mellifera,"529 m, 540 f",U26026,,,,,,36
12,Procambarus clarkii,533,S53494,,,,,,14
13,Procambarus clarkii,530-533,S53494,,,,,142,
14,Calliphora erythrocephala,490,M58334,,,,,,44
15,Drosophila melanogaster,345,M17718,,,,,,56
16,Drosophila melanogaster,420,M12896,,,,,,45
17,Manduca sexta,357,L78081,,,,,,54
18,Manduca sexta,520,L78080,,,,,,22
19,Limulus polyphemus,530,L03782,,,,,,7
20,Limulus polyphemus,520,L03781,,,,,,6
21,Neomysis americana,520,DQ852592–DQ852598,,,,,,18
22,Mysis diluviana,501,DQ852591,,,,,,17
23,Homarus gammarus,515,DQ852587–DQ852590,,,,,,9
24,Holmesimysis costata,512,DQ852581–DQ852586,,,,,,16
25,Euphausia superba,487,DQ852576–DQ852580,,,,,,8
26,Archaeomysis grebnitzkii,496,DQ852573–DQ852575,,,,,,15
27,Neogonodactylus oerstedii,522,DQ646871,,,,,,21
28,Neogonodactylus oerstedii,528,DQ646870,,,,,,20
29,Neogonodactylus oerstedii,489,DQ646869,,,,,,19
30,Hemigrapsus sanguinensis,480,D50583- D50584,,,,,193,
31,Hemigrapsus sanguineus,480,"D50583, D50584",,,,,,41
32,Callinectes sapidus,503,CV224458 (EST),,,,,181,
33,Homarus americanus,515,CN853478,,,,,146,
34,Osmia rufa,553,AY572828,,,,,,38
35,Bombus terrestris,529,AY485301,,,,,,37
36,Loligo pealii,493,AY450853,,,,,,1
37,Drosophila melanogaster,375,AH001040,,,,,,55
38,Drosophila melanogaster,478,AH001026,,,,,,43
39,Bicyclus anynana,560,AF484249,,,,,,33
40,Vanessa cardui,530,AF385333,,,,,,29
41,Junonia coenia,510,AF385332,,,,,,30
42,Spodoptera exigua,515,AF385331,,,,,,23
43,Galleria mellonella,510,AF385330,,,,,,24
44,Heliconius sara,550,AF126753,,,,,,32
45,Heliconius erato,570,AF126750,,,,,,31
46,Camponotus abdominalis,360,AF042788,,,,,,52
47,Cataglyphis bombycinus,360,AF042787,,,,,,53
48,Apis mellifera,353,AF004169,,,,,,51
49,Apis mellifera,439,AF004168,,,,,,49
50,Procambarus milleri,522,AF003546,,,,,,13
51,Orconectes virilis,530,AF003545,,,,,,12
52,Cambarellus shufeldtii,526,AF003544,,,,,,10
53,Cambarellus schufeldtii,526,AF003544,,,,,139,
54,Cambarus ludovicianus,529,AF003543,,,,,,11
55,Cambarellus ludovicianus,529,AF003543,,,,,140,
56,Sepia officinalis,492,AF000947,,,,,,3
57,Manduca sexta,450,AD001674,,,,,,47
58,Pieris rapae,540,AB177984,,,,,,28
59,Papilio xuthus,460,AB028217,,,,,,48
60,Papilio xuthus,575,AB007425,,,,,,27
61,Papilio xuthus,520,AB007424,,,,,,26
62,Acipenser transmontanus,540.0,,1,,,,,
63,Argiope amoena,360.0,,,0,,,,
64,Aglais urticae,360.0,,,,0,,,
65,Acipenser baerii,549.0,,,,,0,,
66,Artemia salina,410,,,,,,0,
67,Acipenser transmontanus,464.0,,2,,,,,
68,Argiope amoena,490.0,,,1,,,,
69,Agraulis vanillae,370.0,,,,1,,,
70,Acipenser medirostrus,540.0,,,,,1,,
71,Daphnia magna,"348, 434, 525, 608",,,,,,1,
72,Acipenser transmontanus,531.0,,3,,,,,
73,Argiope amoena,540.0,,,2,,,,
74,Alima pacifica,467.0,,,,2,,,
75,Acipenser ruthenus,545.0,,,,,2,,
76,Acartia tonsa,450-520,,,,,,2,
77,Acipenser transmontanus,605.0,,4,,,,,
78,Argiope bruennichi,360.0,,,3,,,,
79,Antheraea polyphemus,355.0,,,,3,,,
80,Balanus amphitrite,532,,,,,,3,
81,Acipenser medirostris,540.0,,5,,,,,
82,Argiope bruennichi,490.0,,,4,,,,
83,Apodemia mormo,556.0,,,,4,,,
84,Scaphirhynchus albus,538.0,,,,,4,,
85,Acipenser medirostris,465.0,,6,,,,,
86,Argiope bruennichi,540.0,,,5,,,,
87,Archaeomysis grebnitzkii,496.0,,,,5,,,
88,Scaphirhynchus platorynchus,534.0,,,,,5,,
89,Balanus balanoides,510-530,,,,,,5,
90,Acipenser medirostris,538.0,,7,,,,,
91,Cupiennius salei,340.0,,,6,,,,
92,Archaeopropona demophon,554.0,,,,6,,,
93,Polyodon spathula,540.0,,,,,6,,
94,Balanus eburneus,532,,,,,,6,
95,Acipenser medirostris,614.0,,8,,,,,
96,Cupiennius salei,480.0,,,7,,,,
97,Asterocampa leilia,555.0,,,,7,,,
98,Albula vulpes,500.0,,,,,7,,
99,Cymatogaster aggregata,500.0,,9,,,,,
100,Cupiennius salei,520.0,,,8,,,,
101,Balanus amphitrite,495.0,,,,8,,,
102,Bellocia  koefoedi,477.0,,,,,8,,
103,Coronis scolopendra,"494, 407, 436, 489, 518, 529, 533, 441, 468, 517",,,,,,8,
104,Cymatogaster aggregata,455.0,,10,,,,,
105,Menemerus confusus,360.0,,,9,,,,
106,Balanus eburneus,495.0,,,,9,,,
107,Conocara macroptera,478.0,,,,,9,,
108,Lysiosqullia sulcata,"499, 397, 434, 492, 516, 517, 538, 416, 461, 500",,,,,,9,
109,Cymatogaster aggregata,528.0,,11,,,,,
110,Menemerus confusus,490.0,,,10,,,,
111,Bombus terrestris,346.86,,,,10,,,
112,Conocara macroptera,476.0,,,,,10,,
113,Pullosquilla litoralis,"509, 404, 425, 469, 509, 527, 540, 446, 455, 482",,,,,,10,
114,Cymatogaster aggregata,532.0,,12,,,,,
115,Menemerus confusus,530.0,,,11,,,,
116,Bombyx mori,350.0,,,,11,,,
117,Conocara salmonea,476.0,,,,,11,,
118,Pullosquilla litoralis,446,,,,,,11,
119,Amia calva,527.0,,13,,,,,
120,Menemerus confusus,538.0,,,12,,,,
121,Calappa flammea,485.2,,,,12,,,
122,Rouleina attrita,485.0,,,,,12,,
123,Pullosquilla thomassini,"467, 405",,,,,,12,
124,Amia calva,457.0,,14,,,,,
125,Menemerus confusus,580.0,,,13,,,,
126,Callinectes ornatus,498.5,,,,13,,,
127,Rouleina maderensis,477.0,,,,,13,,
128,Pullosquilla thomassini,447,,,,,,13,
129,Amia calva,556.0,,15,,,,,
130,Phidippus regius,370.0,,,14,,,,
131,Callinectes sapidus,477.0,,,,14,,,
132,Talismania antillarum,476.0,,,,,14,,
133,Gonodactylellus affinis,"500, 400, 424, 496, 521, 546, 541, 454, 474, 509",,,,,,14,
134,Amia calva,624.0,,16,,,,,
135,Phidippus regius,532.0,,,15,,,,
136,Cambarellus shufeldtii,526.0,,,,15,,,
137,Xenodermichthys  copei,478.0,,,,,15,,
138,Gonodactylaceus falcatus,"510, 400, 443, 513, 527, 532, 553, 443, 475, 518",,,,,,15,
139,Plexippus validus,360.0,,,16,,,,
140,Cambarus ludovicianus,528.0,,,,16,,,
141,Barbantus curvifrons,478.0,,,,,16,,
142,Gonodactylaceus falcatus,499,,,,,,16,
143,Plexippus validus,520.0,,,17,,,,
144,Cataglyphis bicolor,347.0,,,,17,,,
145,Platytroctes apus,475.0,,,,,17,,
146,Gonodactylus smithii,"517, 400, 440, 505, 528, 536, 552, 436, 469, 512",,,,,,17,
147,Gymnothorax favagineus,487.0,,19,,,,,
148,Daphnia magna,348.0,,,18,,,,
149,Clibanarius vittatus,509.6,,,,18,,,
150,Searsia koefoedi,476.0,,,,,18,,
151,Gonodactylopsis spongicola,"506, 401, 444, 505, 525, 536, 474, 507,448",,,,,,18,
152,Gymnothorax favagineus,501.0,,20,,,,,
153,Daphnia magna,434.0,,,19,,,,
154,Coenobita clypeatus,506.2,,,,19,,,
155,Searsia koefoedi,480.0,,,,,19,,
156,Neogonodactylus curacaoensis,"467, 400",,,,,,19,
157,Gymnothorax reticularis,486.0,,21,,,,,
158,Daphnia magna,525.0,,,20,,,,
159,Coenobita rugosa,489.5,,,,20,,,
160,Neogonodactylus oertstedii,"528, 400, 525, 520, 551, 429, 460, 489",,,,,,20,
161,Gymnothorax reticularis,494.0,,22,,,,,
162,Daphnia magna,608.0,,,21,,,,
163,Colias erate,352.0,,,,21,,,
164,Anguilla anguilla,482.0,,,,,21,,
165,Hemisquilla ensigera,"501, 414, 451, 499, 510, 535, 443, 473, 500",,,,,,21,
166,Rhinomuraena quaesita,498.0,,23,,,,,
167,Periplaneta americana,365.0,,,22,,,,
168,Deilephila elpenor,440.0,,,,22,,,
169,Anguilla bicolor,494.0,,,,,22,,
170,Haptosquilla trispinosa,"499, 400, 433, 508, 537, 539, 558, 422, 462, 510",,,,,,22,
171,Rhinomuraena quaesita,493.0,,24,,,,,
172,Periplaneta americana,505.0,,,23,,,,
173,Engaeus cunicularius,526.0,,,,23,,,
174,Anguilla japonica,497.0,,,,,23,,
175,Pseudosquilla ciliata,"498, 400, 433, 498, 517, 535, 539, 425, 452, 510",,,,,,23,
176,Strophidon sathete,487.0,,25,,,,,
177,Carabus auratus,348.0,,,24,,,,
178,Euphausia superba,485.0,,,,24,,,
