comp_db_id,Full_Species,Accession,maxid,longcore_id,murwes_id,caves_id,porter2005_id,porter2006_id,LambdaMax
0,Drosophila melanogaster,Z86118,,,,,,42,508.0
1,Loligo subulata,Z49108,,,,,,2,499.0
2,Schistocerca gregaria,X80072,,,,,,46,430.0
3,Schistocerca gregaria,X80071,,,,,,39,520.0
4,Sphodromantis sp.,X71665,,,,,,40,515.0
5,Todarodes pacificus,X70498,,,,,,4,480.0
6,Loligo forbesii,X56788,,,,,,0,494.0
7,Enteroctopus dofleini,X07797,,,,,,5,475.0
8,Drosophila melanogaster,U67905,,,,,,50,437.0
9,Camponotus abdominalis,U32502,,,,,,34,510.0
10,Cataglyphis bombycinus,U32501,,,,,,35,510.0
11,Apis mellifera,U26026,,,,,,36,529.0
12,Apis mellifera,U26026,,,,,,36,540.0
13,Procambarus clarkii,S53494,,,,,,14,533.0
14,Procambarus clarkii,S53494,,,,,142,,531.5
15,Calliphora erythrocephala,M58334,,,,,,44,490.0
16,Drosophila melanogaster,M17718,,,,,,56,345.0
17,Drosophila melanogaster,M12896,,,,,,45,420.0
18,Manduca sexta,L78081,,,,,,54,357.0
19,Manduca sexta,L78080,,,,,,22,520.0
20,Limulus polyphemus,L03782,,,,,,7,530.0
21,Limulus polyphemus,L03781,,,,,,6,520.0
22,Neomysis americana,DQ852592–DQ852598,,,,,,18,520.0
23,Mysis diluviana,DQ852591,,,,,,17,501.0
24,Homarus gammarus,DQ852587–DQ852590,,,,,,9,515.0
25,Holmesimysis costata,DQ852581–DQ852586,,,,,,16,512.0
26,Euphausia superba,DQ852576–DQ852580,,,,,,8,487.0
27,Archaeomysis grebnitzkii,DQ852573–DQ852575,,,,,,15,496.0
28,Neogonodactylus oerstedii,DQ646871,,,,,,21,522.0
29,Neogonodactylus oerstedii,DQ646870,,,,,,20,528.0
30,Neogonodactylus oerstedii,DQ646869,,,,,,19,489.0
31,Hemigrapsus sanguinensis,D50583-D50584,,,,,193,,480.0
32,Hemigrapsus sanguineus,"D50583, D50584",,,,,,41,480.0
33,Callinectes sapidus,CV224458 (EST),,,,,181,,503.0
34,Homarus americanus,CN853478,,,,,146,,515.0
35,Osmia rufa,AY572828,,,,,,38,553.0
36,Bombus terrestris,AY485301,,,,,,37,529.0
37,Loligo pealii,AY450853,,,,,,1,493.0
38,Drosophila melanogaster,AH001040,,,,,,55,375.0
39,Drosophila melanogaster,AH001026,,,,,,43,478.0
40,Bicyclus anynana,AF484249,,,,,,33,560.0
41,Vanessa cardui,AF385333,,,,,,29,530.0
42,Junonia coenia,AF385332,,,,,,30,510.0
43,Spodoptera exigua,AF385331,,,,,,23,515.0
44,Galleria mellonella,AF385330,,,,,,24,510.0
45,Heliconius sara,AF126753,,,,,,32,550.0
46,Heliconius erato,AF126750,,,,,,31,570.0
47,Camponotus abdominalis,AF042788,,,,,,52,360.0
48,Cataglyphis bombycinus,AF042787,,,,,,53,360.0
49,Apis mellifera,AF004169,,,,,,51,353.0
50,Apis mellifera,AF004168,,,,,,49,439.0
51,Procambarus milleri,AF003546,,,,,,13,522.0
52,Orconectes virilis,AF003545,,,,,,12,530.0
53,Cambarellus shufeldtii,AF003544,,,,,,10,526.0
54,Cambarellus schufeldtii,AF003544,,,,,139,,526.0
55,Cambarus ludovicianus,AF003543,,,,,,11,529.0
56,Cambarellus ludovicianus,AF003543,,,,,140,,529.0
57,Sepia officinalis,AF000947,,,,,,3,492.0
58,Manduca sexta,AD001674,,,,,,47,450.0
59,Pieris rapae,AB177984,,,,,,28,540.0
60,Papilio xuthus,AB028217,,,,,,48,460.0
61,Papilio xuthus,AB007425,,,,,,27,575.0
62,Papilio xuthus,AB007424,,,,,,26,520.0
63,Acipenser transmontanus,,1,,,,,,540.0
64,Argiope amoena,,,0,,,,,360.0
65,Aglais urticae,,,,0,,,,360.0
66,Acipenser baerii,,,,,0,,,549.0
67,Artemia salina,,,,,,0,,410.0
68,Acipenser transmontanus,,2,,,,,,464.0
69,Argiope amoena,,,1,,,,,490.0
70,Agraulis vanillae,,,,1,,,,370.0
71,Acipenser medirostrus,,,,,1,,,540.0
72,Daphnia magna,,,,,,1,,348.0
73,Daphnia magna,,,,,,1,,434.0
74,Daphnia magna,,,,,,1,,525.0
75,Daphnia magna,,,,,,1,,608.0
76,Acipenser transmontanus,,3,,,,,,531.0
77,Argiope amoena,,,2,,,,,540.0
78,Alima pacifica,,,,2,,,,467.0
79,Acipenser ruthenus,,,,,2,,,545.0
80,Acartia tonsa,,,,,,2,,485.0
81,Acipenser transmontanus,,4,,,,,,605.0
82,Argiope bruennichi,,,3,,,,,360.0
83,Antheraea polyphemus,,,,3,,,,355.0
84,Balanus amphitrite,,,,,,3,,532.0
85,Acipenser medirostris,,5,,,,,,540.0
86,Argiope bruennichi,,,4,,,,,490.0
87,Apodemia mormo,,,,4,,,,556.0
88,Scaphirhynchus albus,,,,,4,,,538.0
89,Acipenser medirostris,,6,,,,,,465.0
90,Argiope bruennichi,,,5,,,,,540.0
91,Archaeomysis grebnitzkii,,,,5,,,,496.0
92,Scaphirhynchus platorynchus,,,,,5,,,534.0
93,Balanus balanoides,,,,,,5,,520.0
94,Acipenser medirostris,,7,,,,,,538.0
95,Cupiennius salei,,,6,,,,,340.0
96,Archaeopropona demophon,,,,6,,,,554.0
97,Polyodon spathula,,,,,6,,,540.0
98,Balanus eburneus,,,,,,6,,532.0
99,Acipenser medirostris,,8,,,,,,614.0
100,Cupiennius salei,,,7,,,,,480.0
101,Asterocampa leilia,,,,7,,,,555.0
102,Albula vulpes,,,,,7,,,500.0
103,Cymatogaster aggregata,,9,,,,,,500.0
104,Cupiennius salei,,,8,,,,,520.0
105,Balanus amphitrite,,,,8,,,,495.0
106,Bellocia  koefoedi,,,,,8,,,477.0
107,Coronis scolopendra,,,,,,8,,494.0
108,Coronis scolopendra,,,,,,8,,407.0
109,Coronis scolopendra,,,,,,8,,436.0
110,Coronis scolopendra,,,,,,8,,489.0
111,Coronis scolopendra,,,,,,8,,518.0
112,Coronis scolopendra,,,,,,8,,529.0
113,Coronis scolopendra,,,,,,8,,533.0
114,Coronis scolopendra,,,,,,8,,441.0
115,Coronis scolopendra,,,,,,8,,468.0
116,Coronis scolopendra,,,,,,8,,517.0
117,Cymatogaster aggregata,,10,,,,,,455.0
118,Menemerus confusus,,,9,,,,,360.0
119,Balanus eburneus,,,,9,,,,495.0
120,Conocara macroptera,,,,,9,,,478.0
121,Lysiosqullia sulcata,,,,,,9,,499.0
122,Lysiosqullia sulcata,,,,,,9,,397.0
123,Lysiosqullia sulcata,,,,,,9,,434.0
124,Lysiosqullia sulcata,,,,,,9,,492.0
125,Lysiosqullia sulcata,,,,,,9,,516.0
126,Lysiosqullia sulcata,,,,,,9,,517.0
127,Lysiosqullia sulcata,,,,,,9,,538.0
128,Lysiosqullia sulcata,,,,,,9,,416.0
129,Lysiosqullia sulcata,,,,,,9,,461.0
130,Lysiosqullia sulcata,,,,,,9,,500.0
131,Cymatogaster aggregata,,11,,,,,,528.0
132,Menemerus confusus,,,10,,,,,490.0
133,Bombus terrestris,,,,10,,,,346.86
134,Conocara macroptera,,,,,10,,,476.0
135,Pullosquilla litoralis,,,,,,10,,509.0
136,Pullosquilla litoralis,,,,,,10,,404.0
137,Pullosquilla litoralis,,,,,,10,,425.0
138,Pullosquilla litoralis,,,,,,10,,469.0
