comp_db_id,Full_Species,LambdaMax,Accession,maxid,longcore_id,murwes_id,caves_id,porter2005_id,porter2006_id
0,Drosophila melanogaster,508,Z86118,,,,,,42
1,Loligo subulata,499,Z49108,,,,,,2
2,Schistocerca gregaria,430,X80072,,,,,,46
3,Schistocerca gregaria,520,X80071,,,,,,39
4,Sphodromantis sp.,515,X71665,,,,,,40
5,Todarodes pacificus,480,X70498,,,,,,4
6,Loligo forbesii,494,X56788,,,,,,0
7,Enteroctopus dofleini,475,X07797,,,,,,5
8,Drosophila melanogaster,437,U67905,,,,,,50
9,Camponotus abdominalis,510,U32502,,,,,,34
10,Cataglyphis bombycinus,510,U32501,,,,,,35
11,Apis mellifera,"529 m, 540 f",U26026,,,,,,36
12,Procambarus clarkii,533,S53494,,,,,,14
13,Calliphora erythrocephala,490,M58334,,,,,,44
14,Drosophila melanogaster,345,M17718,,,,,,56
15,Drosophila melanogaster,420,M12896,,,,,,45
16,Manduca sexta,357,L78081,,,,,,54
17,Manduca sexta,520,L78080,,,,,,22
18,Limulus polyphemus,530,L03782,,,,,,7
19,Limulus polyphemus,520,L03781,,,,,,6
20,Neomysis americana,520,DQ852592–DQ852598,,,,,,18
21,Mysis diluviana,501,DQ852591,,,,,,17
22,Homarus gammarus,515,DQ852587–DQ852590,,,,,,9
23,Holmesimysis costata,512,DQ852581–DQ852586,,,,,,16
24,Euphausia superba,487,DQ852576–DQ852580,,,,,,8
25,Archaeomysis grebnitzkii,496,DQ852573–DQ852575,,,,,,15
26,Neogonodactylus oerstedii,522,DQ646871,,,,,,21
27,Neogonodactylus oerstedii,528,DQ646870,,,,,,20
28,Neogonodactylus oerstedii,489,DQ646869,,,,,,19
29,Hemigrapsus sanguineus,480,D50583-D50584,,,,,,41
30,Callinectes sapidus,503,CV224458 (EST),,,,,181,
31,Homarus americanus,515,CN853478,,,,,146,
32,Osmia rufa,553,AY572828,,,,,,38
33,Bombus terrestris,529,AY485301,,,,,,37
34,Loligo pealii,493,AY450853,,,,,,1
35,Drosophila melanogaster,375,AH001040,,,,,,55
36,Drosophila melanogaster,478,AH001026,,,,,,43
37,Bicyclus anynana,560,AF484249,,,,,,33
38,Vanessa cardui,530,AF385333,,,,,,29
39,Junonia coenia,510,AF385332,,,,,,30
40,Spodoptera exigua,515,AF385331,,,,,,23
41,Galleria mellonella,510,AF385330,,,,,,24
42,Heliconius sara,550,AF126753,,,,,,32
43,Heliconius erato,570,AF126750,,,,,,31
44,Camponotus abdominalis,360,AF042788,,,,,,52
45,Cataglyphis bombycinus,360,AF042787,,,,,,53
46,Apis mellifera,353,AF004169,,,,,,51
47,Apis mellifera,439,AF004168,,,,,,49
48,Procambarus milleri,522,AF003546,,,,,,13
49,Orconectes virilis,530,AF003545,,,,,,12
50,Cambarellus shufeldtii,526,AF003544,,,,,,10
51,Cambarellus schufeldtii,526,AF003544,,,,,139,
52,Cambarus ludovicianus,529,AF003543,,,,,,11
53,Cambarellus ludovicianus,529,AF003543,,,,,140,
54,Sepia officinalis,492,AF000947,,,,,,3
55,Manduca sexta,450,AD001674,,,,,,47
56,Pieris rapae,540,AB177984,,,,,,28
57,Papilio xuthus,460,AB028217,,,,,,48
58,Papilio xuthus,575,AB007425,,,,,,27
59,Papilio xuthus,520,AB007424,,,,,,26
60,Acipenser transmontanus,540,,1,,,,,
61,Argiope amoena,360,,,0,,,,
62,Aglais urticae,360,,,,0,,,
63,Acipenser baerii,549,,,,,0,,
64,Artemia salina,410,,,,,,0,
65,Acipenser transmontanus,464,,2,,,,,
66,Argiope amoena,490,,,1,,,,
67,Agraulis vanillae,370,,,,1,,,
68,Acipenser medirostrus,540,,,,,1,,
69,Daphnia magna,"348, 434, 525, 608",,,,,,1,
70,Acipenser transmontanus,531,,3,,,,,
71,Argiope amoena,540,,,2,,,,
72,Alima pacifica,467,,,,2,,,
73,Acipenser ruthenus,545,,,,,2,,
74,Acartia tonsa,450-520,,,,,,2,
75,Acipenser transmontanus,605,,4,,,,,
76,Argiope bruennichi,360,,,3,,,,
77,Antheraea polyphemus,355,,,,3,,,
78,Balanus amphitrite,532,,,,,,3,
79,Acipenser medirostris,540,,5,,,,,
80,Argiope bruennichi,490,,,4,,,,
81,Apodemia mormo,556,,,,4,,,
82,Scaphirhynchus albus,538,,,,,4,,
83,Acipenser medirostris,465,,6,,,,,
84,Argiope bruennichi,540,,,5,,,,
85,Archaeomysis grebnitzkii,496,,,,5,,,
86,Scaphirhynchus platorynchus,534,,,,,5,,
87,Balanus balanoides,510-530,,,,,,5,
88,Acipenser medirostris,538,,7,,,,,
89,Cupiennius salei,340,,,6,,,,
90,Archaeopropona demophon,554,,,,6,,,
91,Polyodon spathula,540,,,,,6,,
92,Balanus eburneus,532,,,,,,6,
93,Acipenser medirostris,614,,8,,,,,
94,Cupiennius salei,480,,,7,,,,
95,Asterocampa leilia,555,,,,7,,,
96,Albula vulpes,500,,,,,7,,
97,Cymatogaster aggregata,500,,9,,,,,
98,Cupiennius salei,520,,,8,,,,
99,Balanus amphitrite,495,,,,8,,,
100,Bellocia  koefoedi,477,,,,,8,,
101,Coronis scolopendra,"494, 407, 436, 489, 518, 529, 533, 441, 468, 517",,,,,,8,
102,Cymatogaster aggregata,455,,10,,,,,
103,Menemerus confusus,360,,,9,,,,
104,Balanus eburneus,495,,,,9,,,
105,Conocara macroptera,478,,,,,9,,
106,Lysiosqullia sulcata,"499, 397, 434, 492, 516, 517, 538, 416, 461, 500",,,,,,9,
107,Cymatogaster aggregata,528,,11,,,,,
108,Menemerus confusus,490,,,10,,,,
109,Bombus terrestris,346.86,,,,10,,,
110,Conocara macroptera,476,,,,,10,,
111,Pullosquilla litoralis,"509, 404, 425, 469, 509, 527, 540, 446, 455, 482",,,,,,10,
112,Cymatogaster aggregata,532,,12,,,,,
113,Menemerus confusus,530,,,11,,,,
114,Bombyx mori,350,,,,11,,,
115,Conocara salmonea,476,,,,,11,,
116,Pullosquilla litoralis,446,,,,,,11,
117,Amia calva,527,,13,,,,,
118,Menemerus confusus,538,,,12,,,,
119,Calappa flammea,485.2,,,,12,,,
120,Rouleina attrita,485,,,,,12,,
121,Pullosquilla thomassini,"467, 405",,,,,,12,
122,Amia calva,457,,14,,,,,
123,Menemerus confusus,580,,,13,,,,
124,Callinectes ornatus,498.5,,,,13,,,
125,Rouleina maderensis,477,,,,,13,,
126,Pullosquilla thomassini,447,,,,,,13,
127,Amia calva,556,,15,,,,,
128,Phidippus regius,370,,,14,,,,
129,Callinectes sapidus,477,,,,14,,,
130,Talismania antillarum,476,,,,,14,,
131,Gonodactylellus affinis,"500, 400, 424, 496, 521, 546, 541, 454, 474, 509",,,,,,14,
132,Amia calva,624,,16,,,,,
133,Phidippus regius,532,,,15,,,,
134,Cambarellus shufeldtii,526,,,,15,,,
135,Xenodermichthys  copei,478,,,,,15,,
136,Gonodactylaceus falcatus,"510, 400, 443, 513, 527, 532, 553, 443, 475, 518",,,,,,15,
137,Plexippus validus,360,,,16,,,,
138,Cambarus ludovicianus,528,,,,16,,,
139,Barbantus curvifrons,478,,,,,16,,
140,Gonodactylaceus falcatus,499,,,,,,16,
141,Plexippus validus,520,,,17,,,,
142,Cataglyphis bicolor,347,,,,17,,,
143,Platytroctes apus,475,,,,,17,,
144,Gonodactylus smithii,"517, 400, 440, 505, 528, 536, 552, 436, 469, 512",,,,,,17,
145,Gymnothorax favagineus,487,,19,,,,,
146,Daphnia magna,348,,,18,,,,
147,Clibanarius vittatus,509.6,,,,18,,,
148,Searsia koefoedi,476,,,,,18,,
149,Gonodactylopsis spongicola,"506, 401, 444, 505, 525, 536, 474, 507,448",,,,,,18,
150,Gymnothorax favagineus,501,,20,,,,,
151,Daphnia magna,434,,,19,,,,
152,Coenobita clypeatus,506.2,,,,19,,,
153,Searsia koefoedi,480,,,,,19,,
154,Neogonodactylus curacaoensis,"467, 400",,,,,,19,
155,Gymnothorax reticularis,486,,21,,,,,
156,Daphnia magna,525,,,20,,,,
157,Coenobita rugosa,489.5,,,,20,,,
158,Neogonodactylus oertstedii,"528, 400, 525, 520, 551, 429, 460, 489",,,,,,20,
159,Gymnothorax reticularis,494,,22,,,,,
160,Daphnia magna,608,,,21,,,,
161,Colias erate,352,,,,21,,,
162,Anguilla anguilla,482,,,,,21,,
163,Hemisquilla ensigera,"501, 414, 451, 499, 510, 535, 443, 473, 500",,,,,,21,
164,Rhinomuraena quaesita,498,,23,,,,,
165,Periplaneta americana,365,,,22,,,,
166,Deilephila elpenor,440,,,,22,,,
167,Anguilla bicolor,494,,,,,22,,
168,Haptosquilla trispinosa,"499, 400, 433, 508, 537, 539, 558, 422, 462, 510",,,,,,22,
169,Rhinomuraena quaesita,493,,24,,,,,
170,Periplaneta americana,505,,,23,,,,
171,Engaeus cunicularius,526,,,,23,,,
172,Anguilla japonica,497,,,,,23,,
173,Pseudosquilla ciliata,"498, 400, 433, 498, 517, 535, 539, 425, 452, 510",,,,,,23,
174,Strophidon sathete,487,,25,,,,,
175,Carabus auratus,348,,,24,,,,
176,Euphausia superba,485,,,,24,,,
177,Derichthys serpentinus,489,,,,,24,,
178,Odontodactylus brevirostris,"490, 402, 457, 495, 524, 511, 535, 452, 460, 589",,,,,,24,
179,Strophidon sathete,509,,26,,,,,
180,Carabus auratus,430,,,25,,,,
181,Euphydryas chalcedona,370,,,,25,,,
182,Odontodactylus havanensis,"475, 407",,,,,,25,
183,Atherina boyeri,511,,27,,,,,
184,Carabus auratus,500,,,26,,,,
185,Eurypanopeus depressus,490.1,,,,26,,,
