maxid,Genus,Species,phylum,CellType,CellSubType,LambdaMax,error,Chromophore,Stage,useable,expid,opsinid,refid,Notes
1,Acipenser,transmontanus,Chordata,rod,,540,,,adult,1,,463,30,partial cds but is rod opsin
2,Acipenser,transmontanus,Chordata,cone,,464,,,adult,0,,0,30,
3,Acipenser,transmontanus,Chordata,cone,,531,,,adult,0,,0,30,
4,Acipenser,transmontanus,Chordata,cone,,605,,,adult,0,,0,30,
5,Acipenser,medirostris,Chordata,rod,,540,,,adult,0,,0,43,
6,Acipenser,medirostris,Chordata,cone,single,465,,,adult,0,,0,43,
7,Acipenser,medirostris,Chordata,cone,single,538,,,adult,0,,0,43,
8,Acipenser,medirostris,Chordata,cone,single,614,,,adult,0,,0,43,
9,Cymatogaster,aggregata,Chordata,rod,,500,,,adult,0,,0,5,
10,Cymatogaster,aggregata,Chordata,cone,single,455,,,adult,0,,0,5,
11,Cymatogaster,aggregata,Chordata,cone,single,528,,,adult,0,,0,5,
12,Cymatogaster,aggregata,Chordata,cone,twin,532,,,adult,0,,0,5,
13,Amia,calva,Chordata,rod,,527,2,,adult,0,,0,6,Incomplete seq avaliable
14,Amia,calva,Chordata,cone,single,457,5,,adult,0,,0,6,Accession Avaliable - not validated via expdom - narrowed down via process off elimnation - Green Opsin
15,Amia,calva,Chordata,cone,single,556,2,,adult,0,,0,6,Accession Avaliable - not validated via expdom - narrowed down via process off elimnation - Green Opsin
16,Amia,calva,Chordata,cone,single,624,6,,adult,1,,2475,6,Accession Avaliable - not validated via expdom - narrowed down via process off elimnation - LWS Opsin
17,Amia,calva,Chordata,cone,double,556,2,,adult,0,,0,6,
18,Amia,calva,Chordata,cone,twin,624,6,,adult,0,,0,6,
19,Gymnothorax,favagineus,Chordata,rod,,487,5.4,,adult,0,,0,47,"has rodopsin, partial"
20,Gymnothorax,favagineus,Chordata,cone,single,501,7.7,,adult,0,,0,47,two green cone opsins exists
21,Gymnothorax,reticularis,Chordata,rod,,486,4,,adult,0,,0,47,"has rodopsin, partial"
22,Gymnothorax,reticularis,Chordata,cone,single,494,5.8,,adult,0,,0,47,two green cone opsins exists
23,Rhinomuraena,quaesita,Chordata,rod,,498,4.8,,adult,0,,0,47,"has rodopsin, partial"
24,Rhinomuraena,quaesita,Chordata,cone,single,493,7,,adult,0,,0,47,two green cone opsins exists
25,Strophidon,sathete,Chordata,rod,,487,4.8,,adult,0,,0,47,"has rodopsin, partial"
26,Strophidon,sathete,Chordata,cone,single,509,6.6,,adult,0,,0,47,two green cone opsins exists
