feature,p_value,score,Lasso,gbc,rf,Adaboost,lgbm,mean
p1_GAP,0.7235521259885329,0.12740901637598812,0.0,0.0,0.0,0.0,0.0,0.0
p1_L,0.018430568637232327,6.190025431316855,0.0,0.004106664642019688,0.004878298458314931,0.0004296331248477271,0.0,0.0018829192450364688
p1_M,0.00015912787921993087,18.46181870920439,0.0,0.020497816154406878,0.006295714728508454,0.04220583426367345,0.0,0.013799873029317756
p1_P,0.5898218684201744,0.2967547158393087,0.0,0.0,0.0,0.0,0.0,0.0
p1_S,0.9832019928162734,0.0004505118910112204,0.0,0.0,0.0,0.0,0.0,0.0
p1_Y,0.481677667423541,0.5072041973060222,0.0,0.0,0.0,0.0,0.0,0.0
p2_F,0.9832019928162734,0.0004505118910112204,0.0,0.0,0.0,0.0,0.0,0.0
p2_GAP,0.8640611738528117,0.02980256050954082,0.0,0.0,0.0,0.0,0.0,0.0
p2_M,0.44243701919015566,0.6053636276531573,0.0,0.0,0.0,0.0,0.0,0.0
p2_N,0.6813096315911304,0.17187055256481734,0.0,0.0,0.0,0.0,0.0,0.0
p2_Q,0.6132387561294367,0.2607263008105518,0.0,0.0,0.0,0.0,0.0,0.0
p2_S,4.038134005639845e-09,65.22640875297883,0.0,0.5887359948982144,0.7936541498511256,0.0,0.0,0.276478028949868
p2_T,0.6762604955403,0.17770658016581634,0.0,0.0,0.0,0.0,0.0,0.0
p3_E,0.004801864650338217,9.229484453012944,0.0,0.007979797099717103,0.0,0.0050756126823628496,0.0,0.0026110819564159906
p3_G,0.7276378842856938,0.12350811259834969,0.0,0.0,0.0,0.0,0.0,0.0
p3_GAP,0.5191395928212164,0.42524112026480526,0.0,0.0,0.0,0.0,0.0,0.0
p3_L,0.481677667423541,0.5072041973060222,0.0,0.0,0.0,0.0,0.0,0.0
p3_R,0.6132387561294367,0.2607263008105518,0.0,0.0,0.0,0.0,0.0,0.0
p3_T,0.44243701919015566,0.6053636276531573,0.0,0.0,0.0,0.0,0.0,0.0
p4_E,0.6762604955403,0.17770658016581634,0.0,0.0,0.0,0.0,0.0,0.0
p4_G,0.2747504317458973,1.2362152007011327,0.0,0.0,0.0,0.0,0.0,0.0
p4_GAP,3.1052746525937855e-05,23.729242952540407,0.0,0.01592469581156741,0.011722098199790235,0.0036570258045645373,0.0,0.006260763963184436
p4_I,0.44243701919015566,0.6053636276531573,0.0,0.0,0.0,0.0,0.0,0.0
p4_M,0.26270486260268555,1.301341958996042,0.0,0.0,0.0,0.0,0.0,0.0
p4_R,0.00035997692807277024,16.042307137496334,0.0,0.07192341165357871,0.06881467688491434,0.01579630151369992,0.0,0.0313068780104386
p4_T,0.6813096315911304,0.17187055256481734,0.0,0.0,0.0,0.0,0.0,0.0
p4_V,0.9832019928162734,0.0004505118910112204,0.0,0.0,0.0,0.0,0.0,0.0
p5_D,0.481677667423541,0.5072041973060222,0.0,0.0,0.0,0.0,0.0,0.0
p5_E,0.49354433900935835,0.48008057590056,0.0,0.0,0.0,0.0,0.0,0.0
p5_GAP,0.000334569053229599,16.25371858352746,0.0,0.026097168411165668,0.012655689100277336,0.007429729264128834,0.0,0.009236517355114366
p5_H,0.047844840932239785,4.24494683456718,0.0,0.0,0.0,0.0,0.0,0.0
p5_Q,0.27701209895891066,1.2243992604922485,0.0,0.0,0.0,0.0,0.0,0.0
p5_R,0.19687517580642655,1.7393996680508137,0.0,0.0,0.0,0.0,0.0,0.0
p6_G,0.5100407448599684,0.4441823532473367,0.0,0.0,0.0,0.0,0.0,0.0
p6_GAP,0.6401126987497964,0.22294417618962706,0.0,0.0,0.0,0.0,0.0,0.0
p6_K,0.28864330792359444,1.1655629581268738,0.0,0.0,0.0,0.0,0.0,0.0
