feature,p_value,score,lgbm,rf,gbc,BayesianRidge,xgb,mean
p1_GAP,0.9920291967789833,9.988957555015034e-05,0.0,0.0,0.0,0.0,0.0,0.0
p1_L,3.017103467271293e-19,86.46863845743344,0.0,0.005683939876656593,3.226738843809968e-05,0.0344708783972564,0.0,0.008037417132470217
p1_M,4.339817742340871e-19,85.64098230966773,0.17857142857142858,0.0007223028638026498,0.00025267733233739,0.0027949243157752634,1.4989596e-06,0.036468566408587
p1_Q,0.0006631298911343479,11.719065609287687,0.0,0.00012163650161215843,6.173033818244881e-05,0.011592530683224163,1.0392259e-06,0.00235538734979086
p2_GAP,0.5395202897790223,0.3768852444250281,0.0,0.0,0.0,0.0,0.0,0.0
p2_LQMDTPHYG,4.436416185024703e-09,35.516671784468066,0.32142857142857145,0.012642515035799818,0.00127232784061126,0.23442443120229356,3.3648532e-06,0.11395424207210084
p2_N,2.846982313252806e-38,194.71412926347287,0.0,0.02289249940250845,0.0,0.03067127871752361,3.981167e-06,0.010713551857423034
p2_S,7.311642263698502e-116,859.9158331410953,0.0,0.17429062572569975,0.000839812343999793,0.0034645719122268085,0.00017113956,0.03575322990835027
p3_G,9.725268252014236e-77,472.6041865307922,0.0,0.0040962342405034685,0.0,0.004228131435189973,5.9577646e-06,0.0016660646880671919
p3_GAP,1.965337912858126e-107,765.7932509453041,0.0,0.13602759539869064,0.00395903059831781,0.06971954662129898,8.5019497e-07,0.04194140456265451
p3_KRPSQ,0.2285664802028947,1.4528859061000192,0.0,0.0,0.0,0.0,0.0,0.0
p4_G,1.9103627502067355e-11,46.93541157733655,0.16071428571428573,0.003231475826344149,0.001541039598458761,0.14761855021480516,6.9074085e-05,0.06263488508784507
p4_GAP,0.4775150323058863,0.505200822004436,0.0,0.0,0.0,0.0,0.0,0.0
p4_M,0.012070684572692208,6.3410635887003854,0.0,0.0006383966159471739,0.0,0.00772641317065969,6.507689e-06,0.0016742634950803637
p4_R,7.754176576480144e-20,89.57189505327356,0.03571428571428571,0.001911938543158074,0.01770085439885928,0.14025427138780397,1.6427011e-05,0.039119555411093423
