feature,p_value,score,lgbm,xgb,gbc,BayesianRidge,rf,mean
p1_GAP,0.7438344804921906,0.10701082455989387,0.0,0.0,0.0,0.0,0.0,0.0
p1_L,2.9581922917997773e-08,32.675456114551075,0.0,7.6130655e-06,9.331827676447595e-07,0.02734514162647438,0.0037494266943715582,0.006220622913815392
p1_M,1.1455217517313815e-06,24.817569900634243,0.038461538461538464,4.6086193e-06,0.0004922500316421073,0.1577545438324673,0.002635558443701639,0.039869699877728385
p1_PHVEDR,0.38888825595037957,0.7448900672350462,0.0,0.0,0.0,0.0,0.0,0.0
p1_Q,0.011434876568042929,6.4876662671592245,0.0,6.277137e-08,1.6276332185440296e-05,0.000972653495253824,0.0009143572631708524,0.0003806699723960881
p2_D,0.3013258151884522,1.0725467807230098,0.0,0.0,0.0,0.0,0.0,0.0
p2_GAP,0.8662573954549423,0.028419081643988597,0.0,0.0,0.0,0.0,0.0,0.0
p2_LQTHMYEF,0.0018668963176488873,9.876023815650216,0.15384615384615385,8.802741e-06,0.00013279578134311017,0.20673287337709836,0.05532526710579516,0.0832091785702625
p2_N,1.2834490002262286e-09,39.63391270944681,0.0,3.635699e-05,0.00036861987223032246,0.047374380023975766,7.85525098141738e-05,0.0095715818789756
p2_S,5.6355418912643994e-33,190.80476040698795,0.0,8.447631e-07,0.0005242743726445564,0.0369082953686641,0.003698586947254791,0.008226400290337025
p3_G,4.857690500658425e-16,75.02697320434574,0.11538461538461539,7.3022597e-06,0.0002672505763492342,0.09522712876888063,0.0011575599712792903,0.04240877139217415
p3_GAP,1.2712016302002112e-32,188.01616562285554,0.07692307692307693,2.7209076e-06,0.00024599987424937743,0.011477193150370374,0.07593538760504755,0.03291687569206079
p3_MIYKLVTRSQE,0.08870741316786526,2.9193497997019597,0.0,0.0,0.0,0.0,0.0,0.0
p4_D,0.041797662333778254,4.184345108683175,0.0,2.5106676e-05,0.0017571552954296211,0.03398077606576496,0.0020919409257739567,0.0075709957925579096
p4_E,1.4266960997939894e-28,157.26305275468502,0.15384615384615385,2.6661198e-06,0.0011945779897627015,0.11094427509279087,0.0007449889969648955,0.053346532409099715
p4_G,0.00027866663117777005,13.573649939970084,0.19230769230769232,1.4373138e-05,0.001817352152495017,0.22621600585714388,0.006081174643500614,0.08528731961970112
p4_GAP,0.9770636729027277,0.0008281648014337176,0.0,0.0,0.0,0.0,0.0,0.0
p4_M,0.09795704234825102,2.758137275854555,0.0,0.0,0.0,0.0,0.0,0.0
p4_R,1.4453825873260299e-08,34.24659494099449,0.0,1.5343428e-06,0.0017681094969491465,0.04631960266144079,0.010899382721661103,0.011797725844570282
p4_T,2.1277199060202947e-10,43.70669607840968,0.0,3.635699e-05,0.00036861987223032246,0.047374380023975766,7.85525098141738e-05,0.0095715818789756
p5_GAP,0.6297282855793649,0.23297688171472977,0.0,0.0,0.0,0.0,0.0,0.0
p5_H,1.3651280082599009e-05,19.655539142020043,0.0,9.0349886e-08,3.5281427507106988e-06,0.041187432390690316,0.00020006615823384122,0.008278223408312132
p5_KDLPYMV,0.8961914836266897,0.01705651820012151,0.0,0.0,0.0,0.0,0.0,0.0
