feature,p_value,score,lgbm,gbc,BayesianRidge,rf,xgb,mean
p1_GAP,0.5977369893855693,0.27873557592824344,0.0,0.0,0.0,0.0,0.0,0.0
p1_L,2.3299047717115718e-21,97.65072206743294,0.0,8.396492537793972e-05,0.01586473036326888,0.0008506000617058518,0.0,0.0033598590700705346
p1_M,2.8080820311078654e-19,86.63222854693242,0.25,0.00010419401949838907,0.03913547791770358,0.0054118738263279256,5.641998e-06,0.05893143755232329
p1_Q,0.00025885497979290505,13.516621590777905,0.1,1.534575281417078e-05,0.005818788487124908,0.0009455820553006256,4.168729e-06,0.021356777004846388
p2_GAP,0.66414197030334,0.1887281554383748,0.0,0.0,0.0,0.0,0.0,0.0
p2_MLTDGPY,9.103706071155616e-08,29.310767051084387,0.225,0.0005697654679677265,0.23961834260502746,0.002469856110431438,4.8092534e-05,0.09354121134342307
p2_N,3.2995941433327333e-37,188.19866294614755,0.025,0.0034032301974893163,0.034901832745773874,0.0006779614561845326,6.481922e-05,0.012809568724236359
p2_Q,0.17969655931866846,1.80456947214578,0.0,0.0,0.0,0.0,0.0,0.0
p2_S,1.5032079848785883e-116,867.8737830255237,0.025,0.017354117046272637,0.03084512064235348,0.24077647005506894,1.6473543e-06,0.06279547101960667
p3_G,1.7469453581541053e-78,487.39371914828246,0.0,0.001221421561490553,0.01636543107708752,0.003747112966972564,1.0589613e-05,0.0042689110437779485
p3_GAP,1.0258298031903487e-106,758.0730650627554,0.0,0.16334858616882908,0.06357456610510114,0.15654373817259326,6.265605e-06,0.07669463121029514
p3_KRQ,0.15006351249032027,2.077208119964271,0.0,0.0,0.0,0.0,0.0,0.0
p4_E,1.0847365997071237e-40,209.73976998808993,0.15,0.0013500504450439268,0.022994869850782543,0.003871899396028017,6.733171e-05,0.03565683028072324
p4_G,4.703471263286776e-12,49.91802812960359,0.0,0.0015520717773838957,0.09738874391602277,0.013907671848851978,0.00013487806,0.022596673121306317
p4_GAP,0.4536532686624931,0.5622792662220049,0.0,0.0,0.0,0.0,0.0,0.0
p4_M,0.02882873901063353,4.802159633383165,0.0,0.0009416115686909026,0.006592071701787082,0.00669289777443201,5.2919764e-05,0.002855900161807981
p4_R,1.25684537078696e-19,88.46696947416555,0.05,0.004851526672843323,0.11086684087399752,0.027868956194061035,3.194496e-06,0.038718103647380944
p4_S,0.004189223391377169,8.266594543167761,0.0,0.0,0.011477669287444937,0.0018567978261467076,1.3108713e-05,0.0026695151652512666
p4_T,7.081659675054455e-39,198.43944651287777,0.025,0.0034032301974893163,0.034901832745773874,0.0006779614561845326,6.481922e-05,0.012809568724236359
p5_E,7.792604384370619e-06,20.36145920505731,0.0,8.338307634450245e-05,0.028445198307129053,0.0023886152184787787,9.1142165e-06,0.006185262163686862
p5_GAP,0.6656476574897878,0.18693033118582775,0.0,0.0,0.0,0.0,0.0,0.0
p5_H,6.083157920372569e-11,44.484212753081366,0.025,2.8602576418225896e-05,0.014849867211021085,0.0007647156783379354,7.3427527e-06,0.008130105643700262
p5_K,0.11075992293204644,2.551282646317587,0.0,0.0,0.0,0.0,0.0,0.0
p5_Q,2.678519273712473e-07,27.118207981707968,0.1,0.0007478509765626006,0.09764458867886688,0.0030223103789975415,2.5496116e-05,0.04028804923008447
p5_R,0.004353405992765004,8.195798935829576,0.075,0.00014106141902176222,0.05587917299215718,0.0026529369892176295,7.801853e-05,0.02675023798591251
p6_GAP,6.359389951159014e-116,860.6160196005703,0.05,0.00039306485157507943,0.0946077922820602,0.45614384562321947,0.0,0.12022894055137094
p6_P,0.07417600546616127,3.199869142694028,0.05,9.185517166673783e-05,0.03012702345335766,0.00299736710143813,0.00022932772,0.01668911468952691
p6_Q,4.8347548612421266e-21,95.95939445127023,0.0,8.396492537793972e-05,0.01586473036326888,0.0008506000617058518,0.0,0.0033598590700705346
p6_RHFMK,0.0075566397456876015,7.186922594660385,0.0,4.640641860992124e-07,0.03972746673926225,0.00230605721780821,8.293487e-06,0.008408456301580134
p7_D,2.664429204417645e-20,92.02295795426727,0.1,0.0008551860390790991,0.0046479442278247705,0.0014954451456821623,0.00013122972,0.021425961027417645
p7_E,1.570777248591419e-37,190.16641676399544,0.1,0.0001868280197023679,0.05419806868190213,0.07291691488057289,0.00030047583,0.04552045748299015
p7_I,0.0020005000456627623,9.638179217692649,0.025,5.073717830093037e-05,0.00956347690954096,0.00019186205959178412,3.709131e-05,0.006968633491735128
p7_K,0.002446565898118173,9.26277618047939,0.025,0.0007325605086270898,0.04581413775186382,0.0002989744693414198,4.7011163e-08,0.014369143948199058
p7_NLGMV,0.0004533612335192973,12.443239169542103,0.0,0.00018811309375241263,0.0654633853500752,0.0010105388150816908,3.0659627e-05,0.01333853937711096
