feature,BayesianRidge,gbc,lgbm,xgb,rf,mean
1,0.09782461246942159,0.0004205407349107807,0.005319148936170213,6.722642137901857e-05,0.002721792026652227,0.021270664117706763
2,0.24707184163074797,0.031424202030745134,0.028368794326241134,0.0005901196855120361,0.0676333700635175,0.07501766554735276
3,0.16040591807144383,0.00031990181245612195,0.02127659574468085,4.8937810788629577e-05,0.19825008201100364,0.07606028709007462
4,0.10636684725326646,0.0019044810601064402,0.00851063829787234,0.0003112080448772758,0.014476469800682908,0.02631392889136109
5,0.11554698443906175,0.00020198527909578943,0.00425531914893617,5.770670031779446e-05,0.0207177899144145,0.028155957096365203
6,0.11362923567829178,0.002253106287748321,0.02978723404255319,0.00031093746656551957,0.01439346019232082,0.03207479473349593
7,0.044124320384033966,0.0006156460500140623,0.015957446808510637,4.943580279359594e-05,0.017672450082768992,0.01568385982562425
8,0.09475127010230477,0.003639682315271981,0.0,2.6694162443163805e-05,0.0089860883923436,0.021480746994472704
9,0.07106012799995166,0.00021811770743240122,0.0,0.00020205114560667425,0.0007734496673600455,0.01445074930407016
10,0.1599728695508914,0.00044863674788755,0.02127659574468085,4.257717228028923e-05,0.002746418577820471,0.03689741955871211
11,0.11814450508775518,0.2501363777063957,0.026595744680851064,0.2500036358833313,0.10497366847118572,0.1499707863659038
12,0.0011327979880654685,0.002769549279058385,0.0,0.0,0.0002736554821924107,0.0008352005498632528
13,0.06847612898985997,0.012564494833218242,0.0797872340425532,1.907168552861549e-05,0.017785503946524395,0.03572648669953689
14,0.11327969898515888,0.00015257264528461187,0.0,1.3113688055454986e-06,0.050916307980959856,0.032869978196041774
15,0.054072622383766165,0.0004114198413347041,0.02735562310030395,1.2171784874226432e-05,0.02283636412189817,0.020937640246435442
16,0.2093940563816272,7.91162134916138e-05,0.0,0.0,0.0828013863022422,0.05845491177947219
17,0.14380290400007048,0.00166404991545605,0.02127659574468085,4.088828063686378e-05,0.03313625788405869,0.03998413916498059
18,0.15345166608849067,0.11246288372436096,0.0425531914893617,0.06682978570461273,0.15770584229047763,0.10660067385946075
19,0.19981539034975163,0.013488180568319305,0.031914893617021274,5.505032459041104e-05,0.0565185533791268,0.06035841364776188
20,0.047475531482519,1.3104522670803384e-05,0.00851063829787234,1.2287861864024308e-05,0.0054087283720657305,0.012284058107398379
21,0.04774699921139473,0.0004132624148985508,0.0,3.845325124984811e-07,0.02482026437211324,0.014596182106183806
22,0.04995122638645195,0.00014951662761530829,0.0,0.0,0.05007835925300539,0.02003582045341453
23,0.22256051735397758,0.0017165099021500148,0.0070921985815602835,1.9540775610948913e-05,0.013283990332535594,0.04893455138916689
24,0.23875588628294153,0.00016569372423540457,0.07446808510638298,0.0,0.048083903074821945,0.07229471363767638
25,0.18770412111396229,0.33348266335180593,0.06382978723404255,0.3333379626274109,0.13954611771375014,0.2115801304081944
26,0.03973646388035958,0.003144038495459685,0.0070921985815602835,6.334311365208123e-06,0.08145596640730925,0.026287000335210798
27,0.11973400101308476,0.003174009299859713,0.02127659574468085,0.0,0.08145633934673292,0.04512818908087165
28,0.18725798459935056,4.1999287492469334e-05,0.0,3.4320837585255504e-06,0.044778563436747576,0.04641639588146983
29,0.1161025518438126,0.02231493680496156,0.0,0.0,0.021583328950169543,0.03200016351978874
30,0.1225480566692105,0.0008417639654723972,0.031914893617021274,8.485701982863247e-05,0.028850043538554866,0.03684792296201753
31,0.1877863859911021,0.0006556161969645853,0.0,0.0030752671882510185,0.058032823368430436,0.04991001854894962
32,0.06553557116279583,2.1269206881251457e-07,0.02127659574468085,0.0,0.0029836631227068105,0.017959208544450465
33,0.11689388471376075,0.024050304433960282,0.0070921985815602835,4.316703780204989e-06,0.029299927902338013,0.035468126467079905
34,0.21483916479193896,0.004053390098300604,0.0070921985815602835,0.000775609805714339,0.10263994108545307,0.06588006087259346
35,0.08348897686275074,0.01504300123032013,0.0035460992907801418,7.23257617210038e-05,0.010612618347223261,0.022552604298559053
36,0.0821803857767257,0.0016805409106892045,0.0070921985815602835,1.42021835927153e-05,0.012116598400337538,0.020616785170581086
