kooi_id,Family,Genus,Species,variable,LambdaMax,Full_Species
0,Pieridae,Colias,erate,First,360,Colias erate
1,Pieridae,Leptidae,amurensis,First,360,Leptidae amurensis
2,Pieridae,Pieris,brassicae,First,360,Pieris brassicae
3,Pieridae,Pieris,rapae crucivora,First,360,Pieris rapae crucivora
4,Papillionidae,Graphium,sarpedon,First,360,Graphium sarpedon
5,Papillionidae,Papilio,aegeus,First,360,Papilio aegeus
6,Papillionidae,Papilio,xuthus,First,360,Papilio xuthus
7,Papillionidae,Troides,aeacus formosanum,First,360,Troides aeacus formosanum
8,Parnasiinae,Parnassius,glacialis,First,360,Parnassius glacialis
9,Nymphalidae,Sasakia,charonda,First,340,Sasakia charonda
10,Nymphalidae,Danaus,plexipus,First,340,Danaus plexipus
11,Nymphalidae,Parantica,sita,First,360,Parantica sita
12,Nymphalidae,Heliconius,erato,First,360,Heliconius erato
13,Nymphalidae,Aglais,urticae,First,360,Aglais urticae
14,Nymphalidae,Polygonia,c-aureum,First,340,Polygonia c-aureum
15,Nymphalidae,Polygonia,c-album,First,350,Polygonia c-album
16,Lycaenidae,Lycaena,heteronea,First,360,Lycaena heteronea
17,Lycaenidae,Lycaena,rubidus,First,360,Lycaena rubidus
18,Lycaenidae,Pseudozizeeria,maha,First,363,Pseudozizeeria maha
19,Castnidaee,Payasandisia,archon,First,360,Payasandisia archon
20,Crambidae,Ostrinia,nubilalis,First,356,Ostrinia nubilalis
21,Erebidae,Arctia,plantaginis,First,349,Arctia plantaginis
22,Erebidae,Lymantria,dispar,First,340-380,Lymantria dispar
23,Bombycidae,Bombyx,mandarina,First,380,Bombyx mandarina
24,Bombycidae,Bombyx,mori,First,380,Bombyx mori
25,Epicopeiidae,Epicopeia,hainesii,First,380,Epicopeia hainesii
26,Geometridae,Arichanna,gaschkevitchii,First,380,Arichanna gaschkevitchii
27,Hepialidae,Phassus,excrescens,First,400,Phassus excrescens
28,Noctuidae,Anadevidia,peponis,First,420,Anadevidia peponis
29,Noctuidae,Helicoverpa,armigera,First,400,Helicoverpa armigera
30,Noctuidae,Heliothis,virescens,First,365,Heliothis virescens
31,Noctuidae,Heliothis,zea,First,365,Heliothis zea
32,Noctuidae,Mamestra,brassicae,First,380,Mamestra brassicae
33,Noctuidae,Phalaenoides,glycinae,First,380,Phalaenoides glycinae
34,Noctuidae,Spodoptera,exempta,First,355,Spodoptera exempta
35,Noctuidae,Trichoplusia,ni,First,360,Trichoplusia ni
36,Pyralidae,Amyelois,transitella,First,350,Amyelois transitella
37,Pyralidae,Ephestia,cautella,First,350,Ephestia cautella
38,Saturniidae,Actias,artemis aliena,First,380,Actias artemis aliena
39,Saturniidae,Antherea,polyphemus,First,330-340,Antherea polyphemus
40,Saturniidae,Samia,cyntia ricini,First,400,Samia cyntia ricini
41,Sesiidae,Synathedon,tipulif ormis,First,350,Synathedon tipulif ormis
42,Sphingidae,Callambulyx,tatarinovii,First,380,Callambulyx tatarinovii
43,Sphingidae,Cephonodes,hylas,First,380,Cephonodes hylas
44,Sphingidae,Deilephila,elpenor,First,345-350,Deilephila elpenor
45,Sphingidae,Macroglossum,stellatarum,First,349,Macroglossum stellatarum
46,Sphingidae,Manduca,sexta,First,345,Manduca sexta
47,Tortricidae,Cydia,pomonella,First,365,Cydia pomonella
48,Tortricidae,Cydia,strobilella,First,352,Cydia strobilella
49,Tortricidae,Adoxophyes,orana,First,344,Adoxophyes orana
50,Libellulidae,Sympetrum,rubicundulum,First,340,Sympetrum rubicundulum
51,Aeschnidae,Anax,junius,First,380,Anax junius
52,Aeschnidae,Aeschna,cyanea and mixta,First,356,Aeschna cyanea and mixta
53,Corduliidae,Hemicordulia,tau,First,330,Hemicordulia tau
54,Caloptery-gidae,Calypteryx,splendens and virgo,First,366,Calypteryx splendens and virgo
55,Coenagrio-nidae,Ischnura,elegans,First,370,Ischnura elegans
56,Coenagrio-nidae,Ischnura,heterosticta,First,360,Ischnura heterosticta
57,Blattidae,Periplaneta,americana,First,365,Periplaneta americana
58,Blattidae,Blatta,orientalis,First,361,Blatta orientalis
59,Ectobiidae,Blatella,germanica,First,365,Blatella germanica
60,Acrididae,Locusta,migratoria,First,360,Locusta migratoria
61,Acrididae,Schistocerca,gregaria,First,339,Schistocerca gregaria
62,Gryllidae,Gryllus,bimaculatus,First,332,Gryllus bimaculatus
63,Ascalaphidae,Libelloides,macaronius,First,"329,343",Libelloides macaronius
64,Panorpidae,Panorpa,communis,First,350,Panorpa communis
65,Aphidae,Myzus,persicae,First,330-340,Myzus persicae
66,Cicadellidae,Nephotettix,cincticeps,First,354,Nephotettix cincticeps
67,Notonectidae,Notonecta,glauca,First,345,Notonecta glauca
68,Corixidae,Corixa,punctata,First,350,Corixa punctata
69,Thripidae,Frankliniella,occidentalis,First,363,Frankliniella occidentalis
70,Thripidae,Scirtothrips,dorsalis,First,360,Scirtothrips dorsalis
71,Xenidae,Xenos,peckii,First,346,Xenos peckii
72,Culicidae,Aedes,aegypti,First,345,Aedes aegypti
73,Psychodidae,Lutzomyia,longipalpis,First,340,Lutzomyia longipalpis
