order,family,genus,species,first,,second,,third,,fourth,,fifth,,sixth,,remaining,,method(s),opsins_known?,screening_pigments?,added_by,comment,ref1,ref1_url/doi,ref2,ref2_url/doi,,,,,,
,,,,peak,half_bw,peak,half_bw,peak,half_bw,peak,half_bw,peak,half_bw,peak,half_bw,peak,half_bw,"(ERG, intracellular, other)",,,,,,,,,,,,,,
Blattodea,Blattidae,Blatta ,orientalis,361±8,60-70,,,503±12,103±12,,,,,,,,,intracellular and ERG,,no,AK,,Mazokhin-Porshnyakov and Chersakov 1985,https://doi.org/10.1007/BF01052791,,,,,,,,
Blattodea,Blattidae,Periplaneta ,americana,365,,,,507,,,,,,,,,,intracellular,,no,AK,,Mote & Goldsmith 1970,https://doi.org/10.1002/jez.1401730203,,,,,,,,
Blattodea,Ectobiidae,Blatella,germanica,365,,,,490,,,,,,,,,,,,,AK,,Koehler et al 1987,https://doi.org/10.1093/aesa/80.6.820,,,,,,,,
Coleoptera,Anobiidae,Lasioderma,serricorne,361,50,,,528,100,,,,,,,,,ERG,No,,GB,,"Katsuki, M., Arikawa, K., Wakakuwa, M. et al. Appl Entomol Zool (2013) 48: 547.",https://doi.org/10.1007/s13355-013-0205-3,,,,,,,,
Coleoptera,Bostrichidae,Xylobiops,basilaris,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Bothrideridae,Dastarcus,helophoroides,,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Buprestidae,Acmaeodera,diffusa,xx (two copies),,possibly a copy of UVS opsin,,xx (two copies),,possibly a copy of LWS opsin,,,,,,,,transcriptomics,Yes,,GB,,"Lord, N. P., Plimpton, R. L., Sharkey, C. R., Suvorov, A., Lelito, J. P., Willardson, B. M., & Bybee, S. M. (2016). A cure for the blues: opsin duplication and subfunctionalization for short-wavelength sensitivity in jewel beetles (Coleoptera: Buprestidae). BMC evolutionary biology, 16(1), 107.",https://doi.org/10.1186/s12862-016-0674-4,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,
Coleoptera,Buprestidae,Agrilus,planipennis,xx (two copies),,possibly a copy of UVS opsin,,xx (two copies),,possibly a copy of LWS opsin,,,,,,,,transcriptomics,Yes,,GB,,"Lord, N. P., Plimpton, R. L., Sharkey, C. R., Suvorov, A., Lelito, J. P., Willardson, B. M., & Bybee, S. M. (2016). A cure for the blues: opsin duplication and subfunctionalization for short-wavelength sensitivity in jewel beetles (Coleoptera: Buprestidae). BMC evolutionary biology, 16(1), 107.",https://doi.org/10.1186/s12862-016-0674-4,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,
Coleoptera,Buprestidae,Aphanisticus,sp.,xx (two copies),,possibly a copy of UVS opsin,,xx (two copies),,possibly a copy of LWS opsin,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
