	Lambda_Max	Species	Opsin_Family	Phylum	Class	Accession	Mutations
Bovine	500.0000	Bos_tarus	Rh1	Chordata	Mammalia	NM_001014890
S1	502.00000	Neoniphon_sammara	Rh1	Chordata	Actinopteri	U57536.1	
S2	502.00000	Neoniphon_argenteus	Rh1	Chordata	Actinopteri	U57540.1	
S3	481.00000	Neoniphon_aurolineatus	Rh1	Chordata	Actinopteri	U57541.1	
S4	494.00000	Sargocentron_punctatissimum	Rh1	Chordata	Actinopteri	U57543.1	
S5	494.00000	Sargocentron_microstoma	Rh1	Chordata	Actinopteri	U57542.1	
S6	491.00000	Sargocentron_diadema	Rh1	Chordata	Actinopteri	U57537.1	
S7	486.00000	Sargocentron_xantherythrum	Rh1	Chordata	Actinopteri	U57546.1	
S8	490.00000	Sargocentron_spiniferum	Rh1	Chordata	Actinopteri	U57544.1	
S9	490.00000	Sargocentron_tiere	Rh1	Chordata	Actinopteri	U57545.1	
S10	499.00000	Myripristis_violacea	Rh1	Chordata	Actinopteri	U57539.1	
S11	493.00000	Myripristis_berndti	Rh1	Chordata	Actinopteri	U57538.1	
S12	498.00000	Altolamprologus_calvus	Rh1	Chordata	Actinopteri	AB458132.1	
S13	495.00000	Aulonocara_sp.	Rh1	Chordata	Actinopteri	AB185214.1	
S14	499.00000	Altolamprologus_calvus	Rh1	Chordata	Actinopteri	AB084924.1	
S15	492.00000	Baileychromis_centropomoides	Rh1	Chordata	Actinopteri	AB185217.1	
S16	501.00000	Bathybates_fasciatus	Rh1	Chordata	Actinopteri	AB185218.1	
S17	488.00000	Benthochromis_tricoti	Rh1	Chordata	Actinopteri	AB084927.1	
S18	487.00000	Cyphotilapia_frontosa	Rh1	Chordata	Actinopteri	AB084929.1	
S19	498.00000	Cyprichromis_leptosoma	Rh1	Chordata	Actinopteri	AB084930.1	
S20	502.00000	Dimidiochromis_compressiceps	Rh1	Chordata	Actinopteri	AB084931.1	
S21	500.00000	Diplotaxodon_macrops	Rh1	Chordata	Actinopteri	AB185220.1	
S22	497.00000	Gnathochromis_permaxillaris	Rh1	Chordata	Actinopteri	AB084932.1	
S23	488.00000	Greenwoodochromis_bellcrossi	Rh1	Chordata	Actinopteri	AB185221.1	
S24	501.00000	Haplochromis_sp.	Rh1	Chordata	Actinopteri	AB084933.1	
S25	504.00000	Haplotaxodon_microlepis	Rh1	Chordata	Actinopteri	AB458142.1	
S26	496.00000	Hemibates_stenosoma	Rh1	Chordata	Actinopteri	AB185222.1	
S27	500.00000	Labidochromis_caeruleus	Rh1	Chordata	Actinopteri	AB084934.1	
S28	498.00000	Limnochromis_staneri	Rh1	Chordata	Actinopteri	AB185225.1	
S29	505.00000	Oreochromis_niloticus	Rh1	Chordata	Actinopteri	AB084938.1	
S30	500.00000	Pallidochromis_tokolosh	Rh1	Chordata	Actinopteri	AB185229.1	
S31	490.00000	Perissodus_elaviae	Rh1	Chordata	Actinopteri	AB185230.1	
S32	498.00000	Pseudotropheus_sp.	Rh1	Chordata	Actinopteri	GQ422475.1	
