porter2006_id	Full_Species	Accession	LambdaMax	Reference
0	Loligo forbesii	X56788	494	Morris et al. (1993)
1	Loligo pealii	AY450853	493	Brown PK and Brown PS (1958), Hubbard and St George (1958)
2	Loligo subulata	Z49108	499	Morris et al. (1993)
3	Sepia officinalis	AF000947	492	Brown PK and Brown PS (1958)
4	Todarodes pacificus	X70498	480	Naito et al. (1981)
5	Enteroctopus dofleini	X07797	475	Koutalos et al. (1989)
6	Limulus polyphemus	L03781	520	Hubbard and Wald (1960)
7	Limulus polyphemus	L03782	530	Nolte and Brown (1972)
8	Euphausia superba	DQ852576–DQ852580	487	Frank and Widder (1999)
9	Homarus gammarus	DQ852587–DQ852590	515	Kent (1997)
10	Cambarellus shufeldtii	AF003544	526	Crandall and Cronin (1997)
11	Cambarus ludovicianus	AF003543	529	Crandall and Cronin (1997)
12	Orconectes virilis	AF003545	530	Goldsmith (1978), Cronin and Goldsmith (1982)
13	Procambarus milleri	AF003546	522	Cronin and Goldsmith (1982), Crandall and Cronin (1997)
14	Procambarus clarkii	S53494	533	Zeiger and Goldsmith (1994)
15	Archaeomysis grebnitzkii	DQ852573–DQ852575	496	This study
16	Holmesimysis costata	DQ852581–DQ852586	512	This study
17	Mysis diluviana	DQ852591	501	This study
18	Neomysis americana	DQ852592–DQ852598	520	This study
19	Neogonodactylus oerstedii	DQ646869	489	Cronin and Marshall (1989)
20	Neogonodactylus oerstedii	DQ646870	528	Cronin and Marshall (1989)
21	Neogonodactylus oerstedii	DQ646871	522	Cronin and Marshall (1989)
22	Manduca sexta	L78080	520	White et al. (1983)
23	Spodoptera exigua	AF385331	515	Langer et al. (1979)
24	Galleria mellonella	AF385330	510	Goldman et al. (1975)
25	Papilio xuthus	AB007423	520	Arikawa et al. (1987, 1999), Kitamoto et al. (1998)
26	Papilio xuthus	AB007424	520	Arikawa et al. (1987, 1999), Kitamoto et al. (1998)
27	Papilio xuthus	AB007425	575	Arikawa et al. (1987, 1999), Kitamoto et al. (1998)
28	Pieris rapae	AB177984	540	Ichikawa and Tateda (1982)
29	Vanessa cardui	AF385333	530	Briscoe et al. (2003)
30	Junonia coenia	AF385332	510	Briscoe (2001)
31	Heliconius erato	AF126750	570	Struwe (1972)
32	Heliconius sara	AF126753	550	Struwe (1972)
33	Bicyclus anynana	AF484249	560	Vanhoutte et al. (2002)
34	Camponotus abdominalis	U32502	510	Popp et al. (1996)
35	Cataglyphis bombycinus	U32501	510	Popp et al. (1996)
36	Apis mellifera	U26026	529 m, 540 f	Peitsch et al. (1992)
37	Bombus terrestris	AY485301	529	Peitsch et al. (1992)
38	Osmia rufa	AY572828	553	Peitsch et al. (1992)
39	Schistocerca gregaria	X80071	520	Gartner and Towner (1995)
40	Sphodromantis sp.	X71665	515	Rossel (1979)
41	Hemigrapsus sanguineus	D50583, D50584	480	Sakamoto et al. (1996)
42	Drosophila melanogaster	Z86118	508	Salcedo et al. (1999)
43	Drosophila melanogaster	AH001026	478	Feiler et al. (1988)
44	Calliphora erythrocephala	M58334	490	Paul et al. (1986)
45	Drosophila melanogaster	M12896	420	Feiler et al. (1988)
46	Schistocerca gregaria	X80072	430	Gartner and Towner (1995)
47	Manduca sexta	AD001674	450	White et al. (1983)
48	Papilio xuthus	AB028217	460	Eguchi et al. (1982), Arikawa et al. (1987)
49	Apis mellifera	AF004168	439	Townson et al. (1998)
50	Drosophila melanogaster	U67905	437	Salcedo et al. (1999)
51	Apis mellifera	AF004169	353	Townson et al. (1998)
52	Camponotus abdominalis	AF042788	360	Smith et al. (1997)
53	Cataglyphis bombycinus	AF042787	360	Smith et al. (1997)
54	Manduca sexta	L78081	357	White et al. (1983)
55	Drosophila melanogaster	AH001040	375	Feiler et al. (1992)
56	Drosophila melanogaster	M17718	345	Feiler et al. (1992)
