Name	!color
BBI55013.1	#00ff95
BBI55012.1	#00d6ff
BBI55007.1	#5100d3
BBI55005.1	#07ff00
BGI73946.1	#2aff00
BGI73945.1	#2aff00
BGI73944.1	#2aff00
XP_045514659.1	#700098
ANV21068.1	#b0ff00
ANV21066.1	#610061
ANV21063.1	#1200fa
ANV21062.1	#00ffe1
ANV21058.1	#00ff90
AAR14684.1	#610061
AAR14683.1	#00ffdb
AAR14682.1	#00ff92
AAR14681.1	#1200fa
ABF66146.1	#b3ff00
ABF66143.1	#00ff82
ABF66140.1	#00ffad
ABF66137.1	#610061
NP_001070172.1	#610061
NP_001070170.1	#c4ff00
NP_001070164.1	#00ff5c
NP_001070163.1	#00ff7c
NP_001070165.1	#000dff
XP_072773898.1	#610061
XP_036007472.1	#c7ff00
XP_012728182.2	#00bfff
XP_012710392.2	#4fff00
XP_036007334.1	#6f009b
XP_036007333.1	#cdff00
XP_012724548.2	#d0ff00
XP_012719413.2	#00ffab
XP_012717776.2	#00ff89
XP_012715394.1	#2bff00
JAR82907.1	#6f009b
JAR81056.1	#7cff00
JAR81055.1	#cdff00
JAR77431.1	#2dff00
JAR75773.1	#00ff8a
JAR72590.1	#a4ff00
JAR70852.1	#00bfff
JAR68856.1	#610061
JAR48426.1	#4fff00
JAR48425.1	#ccff00
JAR48423.1	#9fff00
JAR48422.1	#cdff00
JAR48421.1	#a7ff00
JAR40177.1	#2bff00
XP_053173467.1	#00ffcd
XP_053172453.1	#c5ff00
XP_053172165.1	#4100e0
XP_053172162.1	#3600e7
XP_053172031.1	#00ffcb
XP_053172030.1	#0069ff
XP_053172029.1	#009bff
XP_053172028.1	#22ff00
XP_004548807.3	#55ff00
XP_004571970.3	#005aff
XP_004571972.3	#aaff00
XP_004546142.2	#00ff9f
XP_004548809.1	#28ff00
XP_004548806.1	#00e5ff
XP_004538122.1	#24ff00
NP_001297003.1	#610061
NP_001297001.1	#4b00d8
ADJ54173.1	#610061
AAY26029.1	#00ff9f
ADI72254.1	#24ff00
ADI72253.1	#2bff00
ADI72141.1	#005aff
ADW80533.1	#28ff00
ADW80522.1	#c1ff00
ADW80520.1	#007bff
XP_045596873.1	#4a00d9
XP_045595320.1	#007bff
XP_045596786.1	#67ff00
ALJ26468.1	#4a00d9
AAB25036.1	#60ff00
APY20602.1	#56ff00
XP_072314503.1	#aeff00
XP_072309153.1	#00ff85
XP_072308520.1	#34ff00
XP_072308519.1	#00ffc4
XP_072308518.1	#00ffbb
XP_072308046.1	#005bff
XP_072308045.1	#5200d1
XP_072308043.1	#cdff00
XP_072305782.1	#00ff55
AKG27054.1	#34ff00
XP_010893575.3	#3dff00
XP_010893574.3	#00ccff
XP_010900403.2	#00ff68
XP_010900326.1	#a2ff00
XP_010900325.1	#c2ff00
XP_010879352.1	#00e2ff
XP_043209930.1	#00ff87
XP_043242610.1	#610061
XP_043227478.1	#610061
KAF0309486.1	#6dff00
