max_id,Phylum,Class,Order,Family,Full_Species,Type,LambdaMax,Band,Oil,Nocturnal Activity,Diurnal Activity,Source
0,Arthropoda,Arachnida,Aranae,Araneidae,Argiope amoena,,360,,,Y,Y,Yamashita & Tateda 1978
1,Arthropoda,Arachnida,Aranae,Araneidae,Argiope amoena,,490,,,Y,Y,Yamashita & Tateda 1978
2,Arthropoda,Arachnida,Aranae,Araneidae,Argiope amoena,,540,,,Y,Y,Yamashita & Tateda 1978
3,Arthropoda,Arachnida,Aranae,Araneidae,Argiope bruennichi,,360,,,Y,Y,Yamashita & Tateda 1978
4,Arthropoda,Arachnida,Aranae,Araneidae,Argiope bruennichi,,490,,,Y,Y,Yamashita & Tateda 1978
5,Arthropoda,Arachnida,Aranae,Araneidae,Argiope bruennichi,,540,,,Y,Y,Yamashita & Tateda 1978
6,Arthropoda,Arachnida,Aranae,Ctenidae,Cupiennius salei,,340,,,Y,N,Walla et al. 1996
7,Arthropoda,Arachnida,Aranae,Ctenidae,Cupiennius salei,,480,,,Y,N,Walla et al. 1996
8,Arthropoda,Arachnida,Aranae,Ctenidae,Cupiennius salei,,520,,,Y,N,Walla et al. 1996
9,Arthropoda,Arachnida,Aranae,Salticidae,Menemerus confusus,,360,,,N,Y,Yamashita & Tateda 1976
10,Arthropoda,Arachnida,Aranae,Salticidae,Menemerus confusus,,490,,,N,Y,Yamashita & Tateda 1976
11,Arthropoda,Arachnida,Aranae,Salticidae,Menemerus confusus,,530,,,N,Y,Yamashita & Tateda 1976
12,Arthropoda,Arachnida,Aranae,Salticidae,Menemerus confusus,,538,,,N,Y,Yamashita & Tateda 1976
13,Arthropoda,Arachnida,Aranae,Salticidae,Menemerus confusus,,580,,,N,Y,Yamashita & Tateda 1976
14,Arthropoda,Arachnida,Aranae,Salticidae,Phidippus regius,,370,,,N,Y,De Voe 1972
15,Arthropoda,Arachnida,Aranae,Salticidae,Phidippus regius,,532,,,N,Y,De Voe 1972
16,Arthropoda,Arachnida,Aranae,Salticidae,Plexippus validus,,360,,,N,Y,Blest et al. 1981
17,Arthropoda,Arachnida,Aranae,Salticidae,Plexippus validus,,520,,,N,Y,Blest et al. 1981
18,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia magna,,348,,,,,Smith and Macagno 1990
19,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia magna,,434,,,,,Smith and Macagno 1990
20,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia magna,,525,,,,,Smith and Macagno 1990
21,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia magna,,608,,,,,Smith and Macagno 1990
22,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta americana,,365,,,Y,N,Mote & Goldsmith 1970; Paul et a. 1986
23,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta americana,,505,,,Y,N,Mote & Goldsmith 1970; Paul et a. 1986
24,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus auratus,,348,,,Y,Y,Hasselmann 1962
25,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus auratus,,430,,,Y,Y,Hasselmann 1962
26,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus auratus,,500,,,Y,Y,Hasselmann 1962
27,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus auratus,,620,,,Y,Y,Hasselmann 1962
28,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus nemoralis,,348,,,Y,Y,Hasselmann 1962
29,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus nemoralis,,430,,,Y,Y,Hasselmann 1962
30,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus nemoralis,,500,,,Y,Y,Hasselmann 1962
31,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus nemoralis,,620,,,Y,Y,Hasselmann 1962
32,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella septempunctata,,360,,,N,Y,"Lin 1993, J. Insect Phys. 39:555-562"
33,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella septempunctata,,520,,,N,Y,Lin 1993
34,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella septempunctata,,420,,,N,Y,Lin 1993
35,Arthropoda,Insecta,Coleoptera,Lampyridae,Bicellonycha wickershamorum,,400,,,Y,N,Lall et a. 1988
36,Arthropoda,Insecta,Coleoptera,Lampyridae,Bicellonycha wickershamorum,,560,,,Y,N,Lall et a. 1988
37,Arthropoda,Insecta,Coleoptera,Lampyridae,Photinus collustrans,,425,,,Y,N,Lall et a. 1988
38,Arthropoda,Insecta,Coleoptera,Lampyridae,Photinus collustrans,,560,,,Y,N,Lall et a. 1988
39,Arthropoda,Insecta,Coleoptera,Lampyridae,Photinus macdermotti,,400,,,Y,N,Lall et a. 1988
40,Arthropoda,Insecta,Coleoptera,Lampyridae,Photinus macdermotti,,575,,,Y,N,Lall et a. 1988
41,Arthropoda,Insecta,Coleoptera,Lampyridae,Photinus marginellus,,375,,,Y,N,Lall et a. 1988
42,Arthropoda,Insecta,Coleoptera,Lampyridae,Photinus marginellus,,565,,,Y,N,Lall et a. 1988
43,Arthropoda,Insecta,Coleoptera,Lampyridae,Photinus pyralis,,375,,,Y,N,Lall et a. 1988
44,Arthropoda,Insecta,Coleoptera,Lampyridae,Photinus pyralis,,570,,,Y,N,Lall et a. 1988
45,Arthropoda,Insecta,Coleoptera,Lampyridae,Photinus scintillans,,450,,,Y,N,Lall et a. 1988
46,Arthropoda,Insecta,Coleoptera,Lampyridae,Photinus scintillans,,580,,,Y,N,Lall et a. 1988
47,Arthropoda,Insecta,Coleoptera,Lampyridae,Photuris frontalis,,350,,,Y,N,Lall et a. 1988
48,Arthropoda,Insecta,Coleoptera,Lampyridae,Photuris frontalis,,560,,,Y,N,Lall et a. 1988
49,Arthropoda,Insecta,Coleoptera,Lampyridae,Photuris lucicrescens,,350,,,Y,N,Lall et a. 1988
50,Arthropoda,Insecta,Coleoptera,Lampyridae,Photuris lucicrescens,,440,,,Y,N,Lall et a. 1988
51,Arthropoda,Insecta,Coleoptera,Lampyridae,Photuris lucicrescens,,550,,,Y,N,Lall et a. 1988
52,Arthropoda,Insecta,Coleoptera,Lampyridae,Photuris potomaca,,375,,,Y,N,Lall et a. 1988
53,Arthropoda,Insecta,Coleoptera,Lampyridae,Photuris potomaca,,560,,,Y,N,Lall et a. 1988
54,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila melanogaster,,345,,,Y,N,Bernard & Stavenga 1979
55,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila melanogaster,,370,,,Y,N,Bernard & Stavenga 1979
56,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila melanogaster,,440,,,Y,N,Bernard & Stavenga 1979
57,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila melanogaster,,480,,,Y,N,Bernard & Stavenga 1979
58,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila melanogaster,,520,,,Y,N,Bernard & Stavenga 1979
59,Arthropoda,Insecta,Diptera,Muscidae,Musca domestica,,335,,,N,Y,Hardie 1985
60,Arthropoda,Insecta,Diptera,Muscidae,Musca domestica,,355,,,N,Y,Hardie 1985
61,Arthropoda,Insecta,Diptera,Muscidae,Musca domestica,,460,,,N,Y,Hardie 1985
62,Arthropoda,Insecta,Diptera,Muscidae,Musca domestica,,490,,,N,Y,Hardie 1985
63,Arthropoda,Insecta,Diptera,Muscidae,Musca domestica,,530,,,N,Y,Hardie 1985
64,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis tenax,,350,,,N,Y,Horridge et al. 1975
65,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis tenax,,450,,,N,Y,Horridge et al. 1975
66,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis tenax,,520,,,N,Y,Horridge et al. 1975
67,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta glauca,,350,,,Y,Y,Bruckmoser 1968
68,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta glauca,,420,,,Y,Y,Bennett & Ruck 1970
69,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta glauca,,567,,,Y,Y,Bennett & Ruck 1970
70,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta insulata,,375,,,Y,Y,Bennett & Ruck 1970
71,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta insulata,,475,,,Y,Y,Bennett & Ruck 1970
72,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta insulata,,520,,,Y,Y,Bennett & Ruck 1970
73,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta irrorata,,375,,,Y,Y,Bennett & Ruck 1970
74,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta irrorata,,475,,,Y,Y,Bennett & Ruck 1970
75,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta irrorata,,520,,,Y,Y,Bennett & Ruck 1970
76,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta undulata,,375,,,Y,Y,Bennett & Ruck 1970
77,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta undulata,,475,,,Y,Y,Bennett & Ruck 1970
78,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta undulata,,520,,,Y,Y,Bennett & Ruck 1970
79,Arthropoda,Insecta,Hymenoptera,Adrenidae,Andrena florea,,340,,,N,Y,Peitsch et al. 1992
80,Arthropoda,Insecta,Hymenoptera,Adrenidae,Andrena florea,,412,,,N,Y,Peitsch et al. 1992
81,Arthropoda,Insecta,Hymenoptera,Adrenidae,Andrena florea,,536,,,N,Y,Peitsch et al. 1992
82,Arthropoda,Insecta,Hymenoptera,Apidae,Anthophora acervorum,,348,,,N,Y,Peitsch et al. 1992
83,Arthropoda,Insecta,Hymenoptera,Apidae,Anthophora acervorum,,428,,,N,Y,Peitsch et al. 1992
84,Arthropoda,Insecta,Hymenoptera,Apidae,Anthophora acervorum,,528,,,N,Y,Peitsch et al. 1992
85,Arthropoda,Insecta,Hymenoptera,Adrenidae,Callonychium petuniae,,360,,,N,Y,Peitsch et al. 1992
86,Arthropoda,Insecta,Hymenoptera,Adrenidae,Callonychium petuniae,,404,,,N,Y,Peitsch et al. 1992
87,Arthropoda,Insecta,Hymenoptera,Adrenidae,Callonychium petuniae,,536,,,N,Y,Peitsch et al. 1992
88,Arthropoda,Insecta,Hymenoptera,Adrenidae,Callonychium petuniae,,600,,,N,Y,Peitsch et al. 1992
89,Arthropoda,Insecta,Hymenoptera,Adrenidae,Oxea flavescens,,370,,,N,Y,Peitsch et al. 1992
90,Arthropoda,Insecta,Hymenoptera,Adrenidae,Oxea flavescens,,435,,,N,Y,Peitsch et al. 1992
91,Arthropoda,Insecta,Hymenoptera,Adrenidae,Oxea flavescens,,536,,,N,Y,Peitsch et al. 1992
92,Arthropoda,Insecta,Hymenoptera,Apidae,Apis mellifera,,344,,,N,Y,Peitsch et al. 1992
93,Arthropoda,Insecta,Hymenoptera,Apidae,Apis mellifera,,436,,,N,Y,Peitsch et al. 1992
94,Arthropoda,Insecta,Hymenoptera,Apidae,Apis mellifera,,544,,,N,Y,Peitsch et al. 1992
95,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus distinguendis,,350,,,N,Y,CHittka et al. 2001
96,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus distinguendis,,440,,,N,Y,CHittka et al. 2001
97,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus distinguendis,,540,,,N,Y,CHittka et al. 2001
98,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus fervidus,,350,,,N,Y,Bernard & Stavenga 1978
99,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus fervidus,,450,,,N,Y,Bernard & Stavenga 1978
100,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus hortorum,,353,,,N,Y,Myer-Rochow 1980
101,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus hortorum,,436,,,N,Y,Myer-Rochow 1980
