feature,Adaboost,et,rf,BayesianRidge,xgb,mean
1,0.014409027194552095,0.0026672977029290577,0.25449264818609074,0.15671607991494063,0.001022410811856389,0.08586149276207379
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.07882336528188655,0.002721182505008433,0.14343473729619566,0.7763873474272018,0.0011421892559155822,0.20050176435324163
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.13980361985875145,4.5768819543962716e-05,0.342468896120209,0.1166854753875763,1.0288709884065383e-09,0.11980075224299033
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.012695772080610172,0.0,0.319171923977621,0.5844782366863098,0.0042974562384188175,0.18412867779659198
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
31,0.32810881698681515,0.4201112745652411,0.4831357311175958,0.4894213078833148,0.011911422945559025,0.3465377106997052
32,0.09600593274950783,0.0,0.19938460177081843,0.40438851132958353,0.0008208579965867102,0.1401199807692993
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0
35,0.32810881698681515,0.4201112745652411,0.4831357311175958,0.4894213078833148,0.011911422945559025,0.3465377106997052
36,0.32810881698681515,0.4201112745652411,0.4831357311175958,0.4894213078833148,0.011911422945559025,0.3465377106997052
37,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0
39,0.10689619272662966,2.2884409771981358e-05,0.27635710584738515,0.14856742360683192,0.0004772796237375587,0.10646417724287124
40,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0864749199560278,0.022979495381567572,0.2326210409967381,0.5020935909900407,0.01976574957370758,0.17278695937961636
43,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0
49,0.08289916429311979,0.0,0.11493378433706533,0.054626058034727344,0.00020787458925042301,0.05053337625083258
50,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0
52,0.32810881698681515,0.4201112745652411,0.4831357311175958,0.4894213078833148,0.011911422945559025,0.3465377106997052
