feature,p_value,score,rf,lgbm,gbc,LassoLars,Lasso,mean
p1_GAP,0.3408578070347287,0.9104268906667033,0.0,0.0,0.0,0.0,0.0,0.0
p1_L,3.48647801174037e-11,47.75976425743048,0.002313881628162503,0.0,0.0016686055979435815,0.0,0.0,0.0007964974452212171
p1_M,8.206543410976772e-11,45.79019471573102,0.0017147208812259625,0.0,5.829545281720246e-05,0.0,0.0,0.000354603266808633
p1_PA,0.01745221875402583,5.720793326117231,0.0001725582001478366,0.0,0.0,0.04358721964720299,0.01415730049054904,0.011583415667579974
p1_Q,0.009175168318550161,6.8877137934938535,0.0014828148499354719,0.0,0.0002239166625532784,0.0,0.0,0.00034134630249775
p2_DLTPY,0.12282906703825039,2.395903838731632,0.0,0.0,0.0,0.0,0.0,0.0
p2_GAP,0.8448019843150312,0.03839402620837705,0.0,0.0,0.0,0.0,0.0,0.0
p2_M,0.0001098828547703893,15.411853241804137,0.0025760635108280686,0.0,0.003798636954639307,0.0,0.0,0.001274940093093475
p2_N,4.73437857826548e-18,86.66382850281855,0.023380488581472913,0.0,0.0,0.0,0.0,0.004676097716294582
p2_Q,0.40732846420183766,0.688742072516162,0.0,0.0,0.0,0.0,0.0,0.0
p2_S,9.619661522856005e-54,384.1509355272545,0.012732294319994609,0.0,0.004910782195167839,0.0,0.0,0.0035286153030324894
p3_G,1.0737948626277246e-38,236.2420880034631,0.055519872264210214,0.0,0.0005789871112993623,0.0,0.0,0.011219771875101914
p3_GAP,1.3130236048965867e-54,393.8689180865921,0.06852148005700709,0.0,0.0,0.0,0.0,0.013704296011401417
p3_K,0.21588494036160463,1.5387490926305867,0.0,0.0,0.0,0.0,0.0,0.0
p4_E,2.856158944409783e-21,106.60954605875301,0.001263697740969197,0.1111111111111111,0.00040012277604856725,0.0,0.0,0.022554986325625772
p4_G,0.009684697523372197,6.7886625752610446,0.0032060505003825906,0.0,0.00014884621122287202,0.0,0.0,0.0006709793423210925
p4_GAP,0.3180529394629715,1.0006471547056355,0.0,0.0,0.0,0.0,0.0,0.0
p4_M,0.1266682828370276,2.347388252153703,0.0,0.0,0.0,0.0,0.0,0.0
p4_R,5.6399866163294405e-09,36.26209067504045,0.0001251142577415163,0.0,0.018343526793822135,0.0,0.0,0.00369372821031273
p4_S,0.017478034278169786,5.71814135814892,0.0005075118872404726,0.0,0.00011550742304713925,0.0,0.0,0.00012460386205752236
p4_T,3.3281794309894998e-21,106.1865359480574,0.019669033369222558,0.1388888888888889,0.0,0.04827889909435048,0.1458865846212173,0.07054468119473585
p5_E,0.001461353791203491,10.339249007043597,0.008634510973897233,0.027777777777777776,0.0004800873737514358,0.05173008140775737,0.0005538248121379865,0.01783525646906436
p5_GAP,0.6059838964103526,0.26669178968493756,0.0,0.0,0.0,0.0,0.0,0.0
p5_H,0.00037038572521051803,13.003999964612941,0.00030292282329842814,0.0,0.00013904847635713393,0.0,0.08379837154053947,0.016848068568039005
p5_K,0.20107780265593794,1.642562740576575,0.0,0.0,0.0,0.0,0.0,0.0
p5_Q,2.7521293637157598e-05,18.203803766840625,0.0015143193121484218,0.0,0.0002455654424898093,0.0006087966269046501,0.0,0.0004737362763085762
p5_R,0.004495885238758756,8.209584894251963,0.005175931824800683,0.0,0.0008766294805554997,0.07636719525138669,0.0,0.016483951311348576
p6_GAP,3.349664729487685e-60,460.3181390394771,0.12069072744110936,0.0,0.04311238006466443,0.0,0.5376488869667606,0.14029039889450687
p6_H,0.6925953648512995,0.15662642970943597,0.0,0.0,0.0,0.0,0.0,0.0
p6_P,0.24356739629897886,1.3658119101400945,0.0,0.0,0.0,0.0,0.0,0.0
p6_Q,3.478678434073145e-11,47.76493531822722,0.002313881628162503,0.0,0.0016686055979435815,0.0,0.0,0.0007964974452212171
p6_R,4.767504610088723e-06,21.805968339302755,0.00027356466441849484,0.0,0.00022937241324682135,0.0,0.0,0.00010058741553306324
p7_D,5.462920657903298e-08,31.28952998763275,0.0027669071452202077,0.0,0.0023743033514985533,0.0,0.005605764542784589,0.0021493950079006703
p7_E,2.0054515200991323e-21,107.58941100682627,0.055124205511562864,0.16666666666666666,1.428805452578155e-05,0.0,0.0,0.044361032046551056
p7_I,0.025346878245934505,5.056250588668262,0.001021624512428092,0.0,0.0,0.0,0.0,0.00020432490248561839
p7_K,0.005026271481851963,8.001255917464524,0.0012774637464344283,0.0,0.0001165761356049918,0.0,0.0,0.000278807976407884
p7_P,2.0199632103849777e-08,33.45587063931323,8.998871904125544e-05,0.05555555555555555,0.00017994321684635991,0.0,0.0,0.011165097498288635
p7_QGNML,0.004040669595237739,8.409559802979963,0.00031306856317702705,0.0,0.00010469298841939911,0.0,0.0,8.355231031928523e-05
p7_S,8.402717273016081e-07,25.440182563005656,0.0011607393872330506,0.0,4.281167136359145e-05,0.0,0.0,0.00024071021171932842
p8_E,1.249434437467677e-10,44.82815394393161,0.0016804011547627352,0.1388888888888889,0.0009523720774697698,0.0,0.0,0.028304332424224275
p8_FWA,0.9656449162605251,0.0018585710097465383,0.0,0.0,0.0,0.0,0.0,0.0
p8_N,2.1201894198711795e-11,48.91052348500538,0.0007875671797489082,0.027777777777777776,0.0005961157691384723,0.2288869858439617,0.43916027213569925,0.13944174374126522
p8_S,2.253095111267692e-16,76.71167316456103,0.06895240417226567,0.0,0.12995428957454194,0.0,0.0,0.039781338749361524
p8_Y,0.007584058748264415,7.238051850207949,0.00011762990749645063,0.0,6.622643278028602e-06,0.03792661537135206,0.1530037070380855,0.038210914992042405
p9_F,3.004176751630894e-11,48.1037429435752,0.026163309086083022,0.1111111111111111,0.08868482564834086,0.0,0.0,0.045191849169107
p9_I,4.223070753348447e-12,52.67586026150415,0.002313881628162503,0.0,0.0016686055979435815,0.0,0.0,0.0007964974452212171
p10_HLWV,0.0015846291041669593,10.18407379310835,0.005682471154862957,0.0,0.0032770978650610563,0.13223738250396547,0.07334890422365739,0.04290917114950937
p10_Y,5.26762189612276e-06,21.599112154956394,0.009177615226332671,0.0,0.00046683294085118356,0.0,0.03411012557896611,0.008750914749229993
p11_L,2.270248873603475e-71,613.6793583286036,0.13717402872970885,0.0,0.10845776905742481,0.0,0.5207860610889018,0.1532835717752071
p11_MQ,0.0014609467697846784,10.339783170217927,0.0010404937532850949,0.0,0.0011890763399244584,0.0,0.0,0.0004459140186419106
p11_T,1.4436501217000847e-14,66.32121932308274,0.0010659494074671744,0.0,0.0052952216394241795,0.0,0.0,0.001272234209378271
p11_V,1.5128787131397292e-16,77.72421231770305,0.005724402397117945,0.05555555555555555,0.00012168194299629638,0.06303405265895583,0.04120275324030712,0.03312768915898655
p12_P,1.6841135590585865e-13,60.342405451616536,0.030440192356013175,0.027777777777777776,0.0028612290670776293,0.0,0.07824859611918009,0.027865559064009733
p13_GAP,1.9788199002592558e-16,77.0413201136549,0.007148340947701058,0.0,1.7072071700796903e-05,0.0,0.0,0.001433082603880371
p13_I,0.04710573778261842,3.9780595418938143,0.0003564208363810377,0.0,0.004792204849187631,0.0,0.0,0.0010297251371137338
p13_L,0.0211512820305105,5.377193049107442,0.00017183291434108238,0.0,0.0002989432427076734,0.0,0.0,9.415523140975115e-05
p13_M,2.4651135269424867e-10,43.27996629496755,0.0021496854912739717,0.2222222222222222,9.855547386260248e-05,0.0,0.06408219985858182,0.057710532609188125
p13_V,0.4849705183581158,0.4890166113662329,0.0,0.0,0.0,0.0,0.0,0.0
p14_GAP,2.849943759726241e-22,113.04370629451101,0.03155332985121279,0.0,0.005770179277988196,0.0,0.005895587992202835,0.008643819424280764
p14_IA,0.44844509875054384,0.5762640599820604,0.0,0.0,0.0,0.0,0.0,0.0
p14_T,0.46747606803564523,0.5294379795570618,0.0,0.0,0.0,0.0,0.0,0.0
p14_V,0.07143514129761058,3.2755542066066727,0.004398243097453583,0.0,5.108848052320233e-05,0.0,0.0,0.000889866315595357
p14_Y,6.065166621867836e-16,74.20773220161347,0.06895240417226567,0.0,0.12995428957454194,0.0,0.0,0.039781338749361524
p15_D,0.5219907523079035,0.4110344667895684,0.0,0.0,0.0,0.0,0.0,0.0
