feature,p_value,score,gbc,xgb,rf,BayesianRidge,lgbm,mean
p1_GAP,0.5405740591855712,0.3756992305818884,0.0,0.0,0.0,0.0,0.0,0.0
p1_L,0.00029594377014889703,13.543727149345843,0.0003719909073945182,2.3404618e-05,0.0011057977306682474,0.1118950757788445,0.0,0.022679253807047908
p1_M,6.549361023877818e-06,21.38388105383632,0.002999043889223398,3.0921944e-06,0.0012060342618155926,0.12399157253927688,0.0,0.02563994857695261
p1_P,0.27152953927302065,1.215357419944563,0.0,0.0,0.0,0.0,0.0,0.0
p1_QTGVAHYSEI,0.030899278491126815,4.721635516797093,6.210973258917769e-05,4.161176e-06,0.004746264303892328,0.16260492168398732,0.0,0.03348349137931246
p2_GAP,0.9259998059522454,0.008647124513686419,0.0,0.0,0.0,0.0,0.0,0.0
p2_M,0.8678009199760812,0.027773969528526125,0.0,0.0,0.0,0.0,0.0,0.0
p2_N,0.2761382955463345,1.1921657001084478,0.0,0.0,0.0,0.0,0.0,0.0
p2_S,7.06833267536764e-18,89.15958674645056,8.985973676036274e-05,7.9374e-05,0.15001926682223132,0.23314607969901577,0.0,0.07666691605088424
p2_TLQPHYF,0.40102059667715095,0.7081221862103314,0.0,0.0,0.0,0.0,0.0,0.0
p3_DSKFYTRPLQWV,4.6304527397445925e-06,22.117847889832575,0.0014080708289210383,2.2842467e-05,0.0076182122324931585,0.09892587515375496,0.0,0.021595000136420444
p3_E,1.2462766537732211e-08,35.12404196014007,0.0030132820612045154,1.0341759e-06,0.004483914055985291,0.03404235653122117,0.0,0.008308117364852697
p3_G,0.012059557433537442,6.41251740599611,0.011995288081639825,4.9367895e-06,0.022550803597981662,0.19497492847601525,0.0,0.04590519138903478
p3_GAP,0.6284780978858352,0.23481620253692428,0.0,0.0,0.0,0.0,0.0,0.0
p4_GAP,4.6422779886183413e-11,48.214657591444954,2.8276103912879564e-05,6.1250453e-06,0.016623075679415077,0.10722160959857686,0.14285714285714285,0.053347245856864435
p4_ISAPEVLN,0.3761725200399262,0.7864925083836597,0.0,0.0,0.0,0.0,0.0,0.0
p4_M,0.004969419991162359,8.059300139847219,0.0,3.0270035e-05,0.028656833735173196,0.19922905943312016,0.0,0.045583232640757684
p4_R,3.875102603281949e-10,43.15753821206133,0.0008694899232791902,1.08851755e-05,0.028108978782129472,0.3048029277568384,0.0,0.06675845632754349
p4_T,0.05682771336551344,3.667736055592439,0.0,0.0,0.0,0.0,0.0,0.0
p5_GAP,1.913552080691565e-14,67.7505464047162,4.571859648596703e-05,2.1622342e-05,0.09805760108503873,0.18910936482753707,0.0,0.05744686137013073
p5_HDATPNYLVS,0.9353523321764784,0.006594980942356597,0.0,0.0,0.0,0.0,0.0,0.0
p5_K,0.25194725896734743,1.3196958008353195,0.0,0.0,0.0,0.0,0.0,0.0
p5_M,0.11282025595744502,2.535334735806615,0.0,0.0,0.0,0.0,0.0,0.0
