comp_db_id,Full_Species,LambdaMax,Accession,maxid,longcore_id,murwes_id,caves_id,porter2005_id,porter2006_id,kooi_id
0,Drosophila melanogaster,508,Z86118,,,,,,42,
1,Loligo subulata,499,Z49108,,,,,,2,
2,Schistocerca gregaria,430,X80072,,,,,,46,
3,Schistocerca gregaria,520,X80071,,,,,,39,
4,Sphodromantis sp.,515,X71665,,,,,,40,
5,Todarodes pacificus,480,X70498,,,,,,4,
6,Loligo forbesii,494,X56788,,,,,,0,
7,Enteroctopus dofleini,475,X07797,,,,,,5,
8,Drosophila melanogaster,437,U67905,,,,,,50,
9,Camponotus abdominalis,510,U32502,,,,,,34,
10,Cataglyphis bombycinus,510,U32501,,,,,,35,
11,Apis mellifera,"529 m, 540 f",U26026,,,,,,36,
12,Procambarus clarkii,533,S53494,,,,,,14,
13,Procambarus clarkii,530-533,S53494,,,,,142,,
14,Calliphora erythrocephala,490,M58334,,,,,,44,
15,Drosophila melanogaster,345,M17718,,,,,,56,
16,Drosophila melanogaster,420,M12896,,,,,,45,
17,Manduca sexta,357,L78081,,,,,,54,
18,Manduca sexta,520,L78080,,,,,,22,
19,Limulus polyphemus,530,L03782,,,,,,7,
20,Limulus polyphemus,520,L03781,,,,,,6,
21,Neomysis americana,520,DQ852592–DQ852598,,,,,,18,
22,Mysis diluviana,501,DQ852591,,,,,,17,
23,Homarus gammarus,515,DQ852587–DQ852590,,,,,,9,
24,Holmesimysis costata,512,DQ852581–DQ852586,,,,,,16,
25,Euphausia superba,487,DQ852576–DQ852580,,,,,,8,
26,Archaeomysis grebnitzkii,496,DQ852573–DQ852575,,,,,,15,
27,Neogonodactylus oerstedii,522,DQ646871,,,,,,21,
28,Neogonodactylus oerstedii,528,DQ646870,,,,,,20,
29,Neogonodactylus oerstedii,489,DQ646869,,,,,,19,
30,Hemigrapsus sanguinensis,480,D50583-D50584,,,,,193,,
31,Hemigrapsus sanguineus,480,"D50583, D50584",,,,,,41,
32,Callinectes sapidus,503,CV224458 (EST),,,,,181,,
33,Homarus americanus,515,CN853478,,,,,146,,
34,Osmia rufa,553,AY572828,,,,,,38,
35,Bombus terrestris,529,AY485301,,,,,,37,
36,Loligo pealii,493,AY450853,,,,,,1,
37,Drosophila melanogaster,375,AH001040,,,,,,55,
38,Drosophila melanogaster,478,AH001026,,,,,,43,
39,Bicyclus anynana,560,AF484249,,,,,,33,
40,Vanessa cardui,530,AF385333,,,,,,29,
41,Junonia coenia,510,AF385332,,,,,,30,
42,Spodoptera exigua,515,AF385331,,,,,,23,
43,Galleria mellonella,510,AF385330,,,,,,24,
44,Heliconius sara,550,AF126753,,,,,,32,
45,Heliconius erato,570,AF126750,,,,,,31,
46,Camponotus abdominalis,360,AF042788,,,,,,52,
47,Cataglyphis bombycinus,360,AF042787,,,,,,53,
48,Apis mellifera,353,AF004169,,,,,,51,
49,Apis mellifera,439,AF004168,,,,,,49,
50,Procambarus milleri,522,AF003546,,,,,,13,
51,Procambarus milleri,522,AF003546,,,,,144,,
52,Orconectes virilis,530,AF003545,,,,,,12,
53,Cambarellus schufeldtii,526,AF003544,,,,,139,,
54,Cambarellus shufeldtii,526,AF003544,,,,,,10,
55,Cambarellus ludovicianus,529,AF003543,,,,,140,,
56,Cambarus ludovicianus,529,AF003543,,,,,,11,
57,Sepia officinalis,492,AF000947,,,,,,3,
58,Manduca sexta,450,AD001674,,,,,,47,
59,Pieris rapae,540,AB177984,,,,,,28,
60,Papilio xuthus,460,AB028217,,,,,,48,
61,Papilio xuthus,575,AB007425,,,,,,27,
62,Papilio xuthus,520,AB007424,,,,,,26,
63,Papilio xuthus,520,AB007423,,,,,,25,
64,Acipenser transmontanus,540.0,,1,,,,,,
65,Acipenser transmontanus,464.0,,2,,,,,,
66,Acipenser transmontanus,531.0,,3,,,,,,
67,Acipenser transmontanus,605.0,,4,,,,,,
68,Acipenser medirostris,540.0,,5,,,,,,
69,Acipenser medirostris,465.0,,6,,,,,,
70,Acipenser medirostris,538.0,,7,,,,,,
71,Acipenser medirostris,614.0,,8,,,,,,
72,Cymatogaster aggregata,500.0,,9,,,,,,
73,Cymatogaster aggregata,455.0,,10,,,,,,
74,Cymatogaster aggregata,528.0,,11,,,,,,
75,Cymatogaster aggregata,532.0,,12,,,,,,
76,Amia calva,527.0,,13,,,,,,
77,Amia calva,457.0,,14,,,,,,
78,Amia calva,556.0,,15,,,,,,
79,Amia calva,624.0,,16,,,,,,
80,Amia calva,556.0,,17,,,,,,
81,Amia calva,624.0,,18,,,,,,
82,Gymnothorax favagineus,487.0,,19,,,,,,
83,Gymnothorax favagineus,501.0,,20,,,,,,
84,Gymnothorax reticularis,486.0,,21,,,,,,
85,Gymnothorax reticularis,494.0,,22,,,,,,
86,Rhinomuraena quaesita,498.0,,23,,,,,,
87,Rhinomuraena quaesita,493.0,,24,,,,,,
88,Strophidon sathete,487.0,,25,,,,,,
89,Strophidon sathete,509.0,,26,,,,,,
90,Atherina boyeri,511.0,,27,,,,,,
91,Atherina boyeri,570.0,,28,,,,,,
92,Atherina boyeri,435.0,,29,,,,,,
93,Atherina boyeri,530.0,,30,,,,,,
94,Melanotaenia maccullochi,509.0,,31,,,,,,
95,Melanotaenia maccullochi,377.0,,32,,,,,,
96,Melanotaenia maccullochi,409.0,,33,,,,,,
97,Melanotaenia maccullochi,443.0,,34,,,,,,
98,Melanotaenia maccullochi,495.0,,35,,,,,,
99,Melanotaenia maccullochi,528.0,,36,,,,,,
100,Melanotaenia maccullochi,495.0,,37,,,,,,
101,Melanotaenia maccullochi,528.0,,38,,,,,,
102,Melanotaenia maccullochi,578.0,,39,,,,,,
103,Marosatherina ladigesi,507.0,,40,,,,,,
104,Marosatherina ladigesi,368.0,,41,,,,,,
105,Marosatherina ladigesi,452.0,,42,,,,,,
106,Marosatherina ladigesi,461.0,,43,,,,,,
107,Marosatherina ladigesi,481.0,,44,,,,,,
108,Marosatherina ladigesi,531.0,,45,,,,,,
109,Marosatherina ladigesi,557.0,,46,,,,,,
110,Marosatherina ladigesi,452.0,,47,,,,,,
111,Marosatherina ladigesi,461.0,,48,,,,,,
112,Marosatherina ladigesi,531.0,,49,,,,,,
113,Marosatherina ladigesi,557.0,,50,,,,,,
114,Synodus variegatus,493.0,,51,,,,,,
115,Synodus variegatus,368.0,,52,,,,,,
116,Synodus variegatus,482.0,,53,,,,,,
117,Synodus variegatus,503.0,,54,,,,,,
118,Belone belone,509.0,,55,,,,,,
119,Belone belone,422.0,,56,,,,,,
120,Belone belone,508.0,,57,,,,,,
121,Belone belone,508.0,,58,,,,,,
122,Dermogenys pusilla,507.0,,59,,,,,,
123,Dermogenys pusilla,377.0,,60,,,,,,
124,Dermogenys pusilla,526.0,,61,,,,,,
125,Dermogenys pusilla,572.0,,62,,,,,,
126,Dermogenys pusilla,483.0,,63,,,,,,
127,Dermogenys pusilla,526.0,,64,,,,,,
128,Dermogenys pusilla,572.0,,65,,,,,,
129,Dermogenys pusilla,545.0,,66,,,,,,
130,Myripristis berndti,495.0,,67,,,,,,
131,Myripristis berndti,514.0,,68,,,,,,
132,Myripristis berndti,506.0,,69,,,,,,
133,Neoniphon sammara,502.0,,70,,,,,,
134,Neoniphon sammara,446.0,,71,,,,,,
135,Neoniphon sammara,512.0,,72,,,,,,
136,Sargocentron xantherythrum,490.0,,73,,,,,,
137,Sargocentron xantherythrum,447.0,,74,,,,,,
138,Sargocentron xantherythrum,516.0,,75,,,,,,
139,Sargocentron xantherythrum,509.0,,76,,,,,,
140,Neoceratodus forsteri,540.0,,77,,,,,,
141,Neoceratodus forsteri,479.0,,78,,,,,,
142,Neoceratodus forsteri,558.0,,79,,,,,,
143,Neoceratodus forsteri,623.0,,80,,,,,,
144,Astyanax fasciatus,520.0,,81,,,,,,
145,Astyanax fasciatus,449.0,,82,,,,,,
146,Astyanax fasciatus,547.0,,83,,,,,,
147,Astyanax fasciatus,572.0,,84,,,,,,
148,Astyanax fasciatus,547.0,,85,,,,,,
149,Astyanax fasciatus,572.0,,86,,,,,,
150,Alosa kessleri,510.0,,87,,,,,,
151,Alosa kessleri,509.0,,88,,,,,,
152,Alosa kessleri,557.0,,89,,,,,,
153,Alosa kessleri,509.0,,90,,,,,,
154,Alosa kessleri,557.0,,91,,,,,,
155,Alosa kessleri,557.0,,92,,,,,,
156,Clupea pallasii,501.0,,93,,,,,,
157,Clupea pallasii,514.0,,94,,,,,,
158,Clupea pallasii,515.0,,95,,,,,,
159,Clupea pallasii,534.0,,96,,,,,,
160,Clupea pallasii,529.0,,97,,,,,,
161,Sardinops melanostictus,502.0,,98,,,,,,
162,Sardinops melanostictus,393.0,,99,,,,,,
163,Sardinops melanostictus,493.0,,100,,,,,,
164,Sardinops melanostictus,522.0,,101,,,,,,
165,Sardinops melanostictus,542.0,,102,,,,,,
166,Engraulis mordax,498.0,,103,,,,,,
167,Engraulis mordax,530.0,,104,,,,,,
168,Engraulis mordax,532.0,,105,,,,,,
169,Engraulis encrasicolus,500.0,,106,,,,,,
170,Engraulis encrasicolus,492.0,,107,,,,,,
171,Engraulis encrasicolus,500.0,,108,,,,,,
172,Engraulis encrasicolus,474.0,,109,,,,,,
173,Engraulis encrasicolus,500.0,,110,,,,,,
174,Engraulis japonicus,502.0,,111,,,,,,
175,Engraulis japonicus,492.0,,112,,,,,,
176,Engraulis japonicus,502.0,,113,,,,,,
177,Engraulis japonicus,478.0,,114,,,,,,
178,Engraulis japonicus,502.0,,115,,,,,,
179,Abramis ballerus,518.0,,116,,,,,,
