comp_db_id,Full_Species,LambdaMax,Accession,maxid,longcore_id,murwes_id,caves_id,porter2005_id,porter2006_id,kooi_id
4083,Drosophila melanogaster,508,Z86118,,,,,,42,
4043,Loligo subulata,499,Z49108,,,,,,2,
4087,Schistocerca gregaria,430,X80072,,,,,,46,
4080,Schistocerca gregaria,520,X80071,,,,,,39,
4081,Sphodromantis sp.,515,X71665,,,,,,40,
4045,Todarodes pacificus,480,X70498,,,,,,4,
4041,Loligo forbesii,494,X56788,,,,,,0,
4046,Enteroctopus dofleini,475,X07797,,,,,,5,
4091,Drosophila melanogaster,437,U67905,,,,,,50,
4075,Camponotus abdominalis,510,U32502,,,,,,34,
4076,Cataglyphis bombycinus,510,U32501,,,,,,35,
4077,Apis mellifera,"529 m, 540 f",U26026,,,,,,36,
4055,Procambarus clarkii,533,S53494,,,,,,14,
3981,Procambarus clarkii,530-533,S53494,,,,,142,,
4085,Calliphora erythrocephala,490,M58334,,,,,,44,
4097,Drosophila melanogaster,345,M17718,,,,,,56,
4086,Drosophila melanogaster,420,M12896,,,,,,45,
4095,Manduca sexta,357,L78081,,,,,,54,
4063,Manduca sexta,520,L78080,,,,,,22,
4048,Limulus polyphemus,530,L03782,,,,,,7,
4047,Limulus polyphemus,520,L03781,,,,,,6,
4059,Neomysis americana,520,DQ852592-DQ852598,,,,,,18,
4058,Mysis diluviana,501,DQ852591,,,,,,17,
4050,Homarus gammarus,515,DQ852587-DQ852590,,,,,,9,
4057,Holmesimysis costata,512,DQ852581-DQ852586,,,,,,16,
4049,Euphausia superba,487,DQ852576-DQ852580,,,,,,8,
4056,Archaeomysis grebnitzkii,496,DQ852573-DQ852575,,,,,,15,
4062,Neogonodactylus oerstedii,522,DQ646871,,,,,,21,
4061,Neogonodactylus oerstedii,528,DQ646870,,,,,,20,
4060,Neogonodactylus oerstedii,489,DQ646869,,,,,,19,
4032,Hemigrapsus sanguinensis,480,D50583-D50584,,,,,193,,
4082,Hemigrapsus sanguineus,480,"D50583,D50584",,,,,,41,
4020,Callinectes sapidus,503,CV224458,,,,,181,,
3985,Homarus americanus,515,CN853478,,,,,146,,
4079,Osmia rufa,553,AY572828,,,,,,38,
4078,Bombus terrestris,529,AY485301,,,,,,37,
4042,Loligo pealii,493,AY450853,,,,,,1,
4096,Drosophila melanogaster,375,AH001040,,,,,,55,
4084,Drosophila melanogaster,478,AH001026,,,,,,43,
4074,Bicyclus anynana,560,AF484249,,,,,,33,
4070,Vanessa cardui,530,AF385333,,,,,,29,
4071,Junonia coenia,510,AF385332,,,,,,30,
4064,Spodoptera exigua,515,AF385331,,,,,,23,
4065,Galleria mellonella,510,AF385330,,,,,,24,
4073,Heliconius sara,550,AF126753,,,,,,32,
4072,Heliconius erato,570,AF126750,,,,,,31,
4093,Camponotus abdominalis,360,AF042788,,,,,,52,
4094,Cataglyphis bombycinus,360,AF042787,,,,,,53,
4092,Apis mellifera,353,AF004169,,,,,,51,
4090,Apis mellifera,439,AF004168,,,,,,49,
4054,Procambarus milleri,522,AF003546,,,,,,13,
3983,Procambarus milleri,522,AF003546,,,,,144,,
4053,Orconectes virilis,530,AF003545,,,,,,12,
3978,Cambarellus schufeldtii,526,AF003544,,,,,139,,
4051,Cambarellus shufeldtii,526,AF003544,,,,,,10,
3979,Cambarellus ludovicianus,529,AF003543,,,,,140,,
4052,Cambarus ludovicianus,529,AF003543,,,,,,11,
4044,Sepia officinalis,492,AF000947,,,,,,3,
4088,Manduca sexta,450,AD001674,,,,,,47,
4069,Pieris rapae,540,AB177984,,,,,,28,
4089,Papilio xuthus,460,AB028217,,,,,,48,
4068,Papilio xuthus,575,AB007425,,,,,,27,
4067,Papilio xuthus,520,AB007424,,,,,,26,
4066,Papilio xuthus,520,AB007423,,,,,,25,
0,Acipenser transmontanus,540.0,,1,,,,,,
1,Acipenser transmontanus,464.0,,2,,,,,,
2,Acipenser transmontanus,531.0,,3,,,,,,
3,Acipenser transmontanus,605.0,,4,,,,,,
4,Acipenser medirostris,540.0,,5,,,,,,
5,Acipenser medirostris,465.0,,6,,,,,,
6,Acipenser medirostris,538.0,,7,,,,,,
7,Acipenser medirostris,614.0,,8,,,,,,
8,Cymatogaster aggregata,500.0,,9,,,,,,
9,Cymatogaster aggregata,455.0,,10,,,,,,
10,Cymatogaster aggregata,528.0,,11,,,,,,
11,Cymatogaster aggregata,532.0,,12,,,,,,
12,Amia calva,527.0,,13,,,,,,
13,Amia calva,457.0,,14,,,,,,
14,Amia calva,556.0,,15,,,,,,
15,Amia calva,624.0,,16,,,,,,
16,Amia calva,556.0,,17,,,,,,
17,Amia calva,624.0,,18,,,,,,
18,Gymnothorax favagineus,487.0,,19,,,,,,
19,Gymnothorax favagineus,501.0,,20,,,,,,
20,Gymnothorax reticularis,486.0,,21,,,,,,
21,Gymnothorax reticularis,494.0,,22,,,,,,
22,Rhinomuraena quaesita,498.0,,23,,,,,,
23,Rhinomuraena quaesita,493.0,,24,,,,,,
24,Strophidon sathete,487.0,,25,,,,,,
25,Strophidon sathete,509.0,,26,,,,,,
26,Atherina boyeri,511.0,,27,,,,,,
27,Atherina boyeri,570.0,,28,,,,,,
28,Atherina boyeri,435.0,,29,,,,,,
29,Atherina boyeri,530.0,,30,,,,,,
30,Melanotaenia maccullochi,509.0,,31,,,,,,
31,Melanotaenia maccullochi,377.0,,32,,,,,,
32,Melanotaenia maccullochi,409.0,,33,,,,,,
33,Melanotaenia maccullochi,443.0,,34,,,,,,
34,Melanotaenia maccullochi,495.0,,35,,,,,,
