	Lambda_Max	Species	Opsin_Family	Accession
Bovine	500.0000	Bos_tarus	Rh1	NM_001014890
S1	502.00000	Neoniphon_sammara	Rh1	U57536.1
S2	502.00000	Neoniphon_argenteus	Rh1	U57540.1
S3	481.00000	Neoniphon_aurolineatus	Rh1	U57541.1
S4	494.00000	Sargocentron_punctatissimum	Rh1	U57543.1
S5	494.00000	Sargocentron_microstoma	Rh1	U57542.1
S6	491.00000	Sargocentron_diadema	Rh1	U57537.1
S7	486.00000	Sargocentron_xantherythrum	Rh1	U57546.1
S8	490.00000	Sargocentron_spiniferum	Rh1	U57544.1
S9	490.00000	Sargocentron_tiere	Rh1	U57545.1
S10	499.00000	Myripristis_violacea	Rh1	U57539.1
S11	493.00000	Myripristis_berndti	Rh1	U57538.1
S12	498.00000	Altolamprologus_calvus	Rh1	AB458132.1
S13	495.00000	Aulonocara_sp.	Rh1	AB185214.1
S14	499.00000	Altolamprologus_calvus	Rh1	AB084924.1
S15	492.00000	Baileychromis_centropomoides	Rh1	AB185217.1
S16	501.00000	Bathybates_fasciatus	Rh1	AB185218.1
S17	488.00000	Benthochromis_tricoti	Rh1	AB084927.1
S18	487.00000	Cyphotilapia_frontosa	Rh1	AB084929.1
S19	498.00000	Cyprichromis_leptosoma	Rh1	AB084930.1
S20	502.00000	Dimidiochromis_compressiceps	Rh1	AB084931.1
S21	500.00000	Diplotaxodon_macrops	Rh1	AB185220.1
S22	497.00000	Gnathochromis_permaxillaris	Rh1	AB084932.1
S23	488.00000	Greenwoodochromis_bellcrossi	Rh1	AB185221.1
S24	501.00000	Haplochromis_sp.	Rh1	AB084933.1
S25	504.00000	Haplotaxodon_microlepis	Rh1	AB458142.1
S26	496.00000	Hemibates_stenosoma	Rh1	AB185222.1
S27	500.00000	Labidochromis_caeruleus	Rh1	AB084934.1
S28	498.00000	Limnochromis_staneri	Rh1	AB185225.1
S29	505.00000	Oreochromis_niloticus	Rh1	AB084938.1
S30	500.00000	Pallidochromis_tokolosh	Rh1	AB185229.1
S31	490.00000	Perissodus_elaviae	Rh1	AB185230.1
S32	498.00000	Pseudotropheus_sp.	Rh1	GQ422475.1
S33	502.00000	Spathodus_erythrodon	Rh1	AB084941.1
S34	484.00000	Trematocara_unimaculatum	Rh1	AB185238.1
S35	488.00000	Trematocara_macrostoma	Rh1	AB084945.1
S36	501.00000	Tropheus_duboisi	Rh1	AB084946.1
S37	488.00000	Xenotilapia_nigrolabiata	Rh1	AB458130.1
S38	491.00000	Xenotilapia_caudafasciata	Rh1	AB458131.1
S39	503.00000	Xenotilapia_ochrogenys	Rh1	AB084947.1
S40	497.90000	Tachyglossus_aculeatus	Rh1	JX103830
S41	503.80000	Tachyglossus_aculeatus	Rh1	JX103830_N83D
S42	498.00000	Tachyglossus_aculeatus	Rh1	JX103830_T158A
S43	499.40000	Tachyglossus_aculeatus	Rh1	JX103830_F169A
S44	501.50000	Bos_taurus	Rh1	NM_001014890_D83G
S45	491.50000	Bos_taurus	Rh1	NM_001014890_D83N
S46	494.50000	Bos_taurus	Rh1	NM_001014890_M86E
S47	483.00000	Bos_taurus	Rh1	NM_001014890_E122Q
S48	498.00000	Bos_taurus	Rh1	NM_001014890_E122I
