feature,rf,LassoLars,Lasso,xgb,Adaboost,mean
1,0.012309177899283544,0.0,0.13564257498615712,0.00011730290134437382,0.0004502665219307115,0.029703864461743147
2,0.02045358159968604,0.0,0.0,6.077908255974762e-05,0.0,0.004102872136449157
3,0.012600542555788522,0.08751661088235904,0.1514445944514056,0.0022047252859920263,0.005243812445848652,0.051802057124278766
4,0.035299367984899147,0.0,0.04211909006804407,0.0013890496920794249,0.0,0.015761501549004527
5,0.0027229551471954876,0.0,0.0,2.4005800014492706e-07,0.0,0.0005446390410391265
6,0.038240003451235016,0.0,0.0,0.0014894749037921429,0.0008401849549716097,0.008113932661999754
7,0.07677304023091323,0.0,0.0023724460603195227,0.000658657809253782,0.027109336609690417,0.021382696142035394
8,0.083844402083066,0.021169382381947092,0.10689799274343126,0.008741514757275581,0.003994966978874858,0.04492965178891896
9,0.026950640894039292,0.0,0.08634676811496894,0.0035470777656883,0.003031906203112844,0.023975278595561873
10,0.07947202480244751,0.0,0.0,0.051628679037094116,0.006088113671619562,0.027437763502232242
11,0.36648192904776716,0.0,0.06787676970515097,1.709816217498883e-07,0.0,0.08687177394690797
12,0.08840099086570781,1.0,1.0,0.0014112427597865462,0.008079274950791554,0.4195783017152571
13,0.15497894040423218,0.013428685584021827,0.05252094610948068,0.002075580647215247,9.107788190615517e-05,0.04461904612537122
14,0.09272461617390762,0.11588655934458085,0.013463774725134181,0.0012389372568577528,0.005585707519340547,0.045779919003964185
15,0.03595106117533092,0.0,0.0,0.003162877168506384,0.0,0.007822787668767461
16,0.06134123972011855,0.0,0.0,0.0007907261606305838,0.0004175638769767764,0.012509905951545181
17,0.18789446811609753,0.0,0.0,0.00014409235154744238,0.00736860168029571,0.039081432429588135
18,0.026598538954839063,0.06329396285548478,0.06902551064353275,0.0006347938324324787,2.3960700479294134e-05,0.03191535339735367
19,0.26552573438809607,0.0,0.0,0.0,0.01949751433331665,0.05700464974428254
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.017919268571633763,0.09905435233890161,0.0,0.00026837928453460336,0.0,0.023448400039013995
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.020858793266316525,0.0,0.0,8.664353678966563e-09,0.001303537266656387,0.004432467839465318
25,0.15783658359614727,0.007333598499366209,0.03688536281793477,5.7658504374558106e-05,0.0019647883271263216,0.04081559834898983
26,0.011818042390777992,0.0,0.0,0.0,0.0,0.0023636084781555986
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.13172079349742344,0.0,0.11524060613283996,0.00012888744822703302,0.041012895514905764,0.057620636518679234
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.011903137013327899,0.0,0.0,0.0,1.3167506142808744e-05,0.0023832609038941413
31,0.0,0.0,0.0,0.0,0.0,0.0
32,0.020724363746275173,0.0,0.0,2.2112818243158472e-08,0.0,0.004144877171818683
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.1304118724083035,0.0,0.0778180966757644,2.888568828574023e-10,0.007342522396361072,0.04311449835385717
35,0.0,0.0,0.0,0.0,0.0,0.0
36,0.11704137957878345,0.0,0.13723753410383113,0.0036164962220937014,0.006499171444438883,0.052878916269829435
37,0.020542946884715776,0.08743972099853622,0.05056931459690298,3.837902477243915e-05,0.0,0.031718072300985486
38,0.5505681968134283,0.0,0.11951372604098687,2.2355295925535756e-07,0.01668012603478184,0.13735245448843125
39,0.008542481133978144,0.43856683905601906,0.314494515838474,8.075814548647031e-05,0.0,0.15233691883479153
40,0.5104877559806061,0.0,0.10181515455772645,0.0,0.0,0.12246058210766653
41,0.012139220753973747,0.0,0.0028404750674833838,5.146804596734e-06,0.00039206929396855234,0.0030753823840044834
42,0.01907696682694817,0.0,0.0,5.619208423013333e-07,0.0023437083563615396,0.004284247420830402
43,0.26552573438809607,0.0,0.0,0.0,0.01949751433331665,0.05700464974428254
44,0.05224064855891542,0.0,0.0,2.3554802552894216e-08,0.0,0.010448134422743595
45,0.3479496285446767,0.0,0.25902700998696204,0.0,0.013973869358154282,0.1241901015779586
46,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0
48,0.38199431727497823,0.0,0.043065521976871884,1.7329467709714663e-06,0.052551439581236835,0.09552260235597157
49,0.010005151310244997,0.0,0.11207147791451211,0.00029338078456930816,0.0008502003771072827,0.02464404207728674
50,0.0038856728154927,0.0,0.0,9.326426919642472e-08,7.28239839345035e-05,0.0007917180127392801
51,0.17904378834574453,0.0,0.013261990576948702,3.2541616068471058e-09,0.03842119972584313,0.04614539638053959
52,0.1567405299138595,0.0,0.0,2.707609610297368e-06,0.009930112189453305,0.03333466994258462
53,0.09441197733092602,0.14000196854147662,0.0,3.295187386842535e-11,0.0006885390259303055,0.04702049698625696
54,0.46934086161895205,0.0,0.10181515455772645,0.0,0.0,0.11423120323533571
55,0.0,0.0,0.0,0.0,0.0,0.0
56,0.010068232415401465,0.24669670730540058,0.19000281302816097,0.0006031719967722893,0.0,0.08947418494914706
57,0.055556850829970694,0.0,0.0,3.3279505373684515e-07,0.005513701921837424,0.01221417710937237
58,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0
60,0.023633596575130516,0.0,0.014469721103125353,0.00025921425549313426,0.00028128700795973245,0.007728763788341747
61,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0
63,0.025199278957528763,0.006844517991361648,0.0,0.002387097105383873,0.0048066955993860145,0.00784751793073206
64,0.0,0.0,0.0,0.0,0.0,0.0
65,0.1448946449141871,0.0,0.0,5.528204560789618e-09,0.018332372896018655,0.032645404667682065
66,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0
69,0.028720188806325445,0.0,0.0,0.0041282218880951405,0.0,0.006569682138884117
70,0.09475437495348381,0.0,0.0,0.0,0.0,0.01895087499069676
71,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0
74,0.09417859499210915,0.0,0.0,0.0,0.006930184906186783,0.020221755979659188
75,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0
79,0.905304948837213,0.0,0.2036303091154529,0.0,0.0,0.2217870515905332
80,0.3765836322031764,0.0,0.0,0.0015054242685437202,0.1493277746768433,0.10548336622971269
81,0.07652645564233558,0.0,0.0,0.00017544609727337956,0.01192399453914283,0.01772517925575036
82,0.034364572695485124,0.0,0.0,0.0005144868628121912,0.014169810310746702,0.009809773973808803
83,0.01041959558811382,0.0,0.003915401177746494,1.5850459931243677e-06,0.0010456585938848182,0.0030764480811476514
84,0.07704561267148057,0.0,0.0,0.0002418389922240749,0.030456921169304655,0.02154887456660186
85,0.04552519428901188,0.0,0.002913883250553134,0.003233147319406271,0.004053318368097205,0.011145108645413699
86,0.3021390846681225,0.0,0.09917890514426225,3.8943751001774274e-10,0.01514996292802441,0.08329359062596933
87,0.1327756986859059,0.0,0.0,0.0,0.009748757166658325,0.028504891170512848
88,0.03272258617722785,0.23866814196978123,0.061243488097590955,0.000247598480200395,0.0,0.06657636294496008
89,0.030071920704811322,0.0,0.0,0.0,0.0,0.006014384140962265
90,0.11205005476195941,0.2974617621728661,0.14145792400000132,0.0028442125767469406,0.0,0.11076279070231473
91,0.3679053670874158,0.0,0.06787676970515097,4.200737535597909e-08,0.008783463749788403,0.0889131285099461
92,0.015076261562411436,0.0,0.0,4.2156858626185567e-07,0.0,0.0030153366261995397
93,0.012522606356485524,0.0,0.0,4.910724237561226e-05,1.3568235433977311e-05,0.002517056366859023
94,0.20288380049319313,0.07660117621762083,0.06404754861592632,0.0008574749226681888,0.010788548869925425,0.07103570982386678
95,0.1809688312630923,0.13982192295887036,0.13391736313981387,0.007391417399048805,0.01832487785941008,0.09608488252404708
96,0.002500027449691514,0.0,0.0,9.202406658914697e-08,0.0,0.0005000238947516207
97,0.07091396142414605,0.0816370068635084,0.08267683009171316,0.0013915322488173842,0.004724278743203711,0.04826872187427775
98,0.1710774085936024,0.0,0.0,0.00194893020670861,0.01192482933469087,0.03699023362700038
99,0.0712621334230883,0.007566322072795593,0.011582705567145583,0.002084305277094245,0.001085518064367451,0.018716196880898234
100,0.10060901047546048,0.17979436056306855,0.3102961601843817,0.00016668500029481947,0.005781896528750614,0.11932962255039123
101,0.020724363746275173,0.0,0.0,2.2112818243158472e-08,0.0,0.004144877171818683
102,0.02623859230075017,0.0,0.0,0.0,0.0,0.005247718460150034
103,0.12637925864618654,0.0,0.0,0.0,0.0014966275115380497,0.02557517723154492
104,0.023179820749159353,0.1615565428222652,0.02155926814536309,1.6857638911460526e-05,0.002220506026042683,0.04170659907634836
105,0.015328898376502063,0.0,0.0,4.530391379375942e-05,0.003247196338467038,0.003724279725752572
106,0.0,0.0,0.0,0.0,0.0,0.0
107,0.02289130240252087,0.0,0.07753401814480088,0.0,0.0,0.020085064109464347
108,0.1378527344640253,0.0,0.0,0.002383222570642829,0.006513178582172904,0.029349827123368206
109,0.033105972703476344,0.0,0.0,0.0003059739829041064,0.00033950241665460165,0.006750289820607011
110,0.0,0.0,0.0,0.0,0.0,0.0
111,0.06050151820658011,0.0,0.0,0.0,0.0,0.012100303641316023
112,0.02055101739835877,0.17205897853896734,0.14722772747097418,0.003003388410434127,0.0006141039867465789,0.06869104316109621
113,0.02623859230075017,0.0,0.0,0.0,0.0,0.005247718460150034
