comp_db_id,Full_Species,Accession,maxid,longcore_id,murwes_id,caves_id,porter2005_id,porter2006_id,kooi_id,LambdaMax
14,Procambarus clarkii,S53494,,,,,142.0,,,531.5
22,Neomysis americana,DQ852592–DQ852598,,,,,,18.0,,520.0
24,Homarus gammarus,DQ852587–DQ852590,,,,,,9.0,,515.0
25,Holmesimysis costata,DQ852581–DQ852586,,,,,,16.0,,512.0
27,Archaeomysis grebnitzkii,DQ852573–DQ852575,,,,,,15.0,,496.0
31,Hemigrapsus sanguinensis,D50583-D50584,,,,,193.0,,,480.0
50,Apis mellifera,AF004168,,,,,,49.0,,439.0
54,Cambarellus shufeldtii,AF003544,,,,,,10.0,,526.0
63,Acipenser transmontanus,,1.0,,,,,,,540.0
64,Acipenser transmontanus,,2.0,,,,,,,464.0
65,Acipenser transmontanus,,3.0,,,,,,,531.0
66,Acipenser transmontanus,,4.0,,,,,,,605.0
67,Acipenser medirostris,,5.0,,,,,,,540.0
68,Acipenser medirostris,,6.0,,,,,,,465.0
69,Acipenser medirostris,,7.0,,,,,,,538.0
70,Acipenser medirostris,,8.0,,,,,,,614.0
71,Cymatogaster aggregata,,9.0,,,,,,,500.0
72,Cymatogaster aggregata,,10.0,,,,,,,455.0
73,Cymatogaster aggregata,,11.0,,,,,,,528.0
74,Cymatogaster aggregata,,12.0,,,,,,,532.0
75,Amia calva,,13.0,,,,,,,527.0
78,Amia calva,,16.0,,,,,,,624.0
79,Gymnothorax favagineus,,19.0,,,,,,,487.0
80,Gymnothorax favagineus,,20.0,,,,,,,501.0
81,Gymnothorax reticularis,,21.0,,,,,,,486.0
82,Gymnothorax reticularis,,22.0,,,,,,,494.0
83,Rhinomuraena quaesita,,23.0,,,,,,,498.0
84,Rhinomuraena quaesita,,24.0,,,,,,,493.0
85,Strophidon sathete,,25.0,,,,,,,487.0
86,Strophidon sathete,,26.0,,,,,,,509.0
87,Atherina boyeri,,27.0,,,,,,,511.0
88,Atherina boyeri,,28.0,,,,,,,570.0
89,Atherina boyeri,,29.0,,,,,,,435.0
90,Atherina boyeri,,30.0,,,,,,,530.0
91,Melanotaenia maccullochi,,31.0,,,,,,,509.0
92,Melanotaenia maccullochi,,32.0,,,,,,,377.0
93,Melanotaenia maccullochi,,33.0,,,,,,,409.0
94,Melanotaenia maccullochi,,34.0,,,,,,,443.0
95,Melanotaenia maccullochi,,35.0,,,,,,,495.0
96,Melanotaenia maccullochi,,36.0,,,,,,,528.0
97,Melanotaenia maccullochi,,39.0,,,,,,,578.0
98,Marosatherina ladigesi,,40.0,,,,,,,507.0
99,Marosatherina ladigesi,,41.0,,,,,,,368.0
100,Marosatherina ladigesi,,42.0,,,,,,,452.0
101,Marosatherina ladigesi,,43.0,,,,,,,461.0
102,Marosatherina ladigesi,,44.0,,,,,,,481.0
103,Marosatherina ladigesi,,45.0,,,,,,,531.0
104,Marosatherina ladigesi,,46.0,,,,,,,557.0
105,Synodus variegatus,,51.0,,,,,,,493.0
106,Synodus variegatus,,52.0,,,,,,,368.0
107,Synodus variegatus,,53.0,,,,,,,482.0
108,Synodus variegatus,,54.0,,,,,,,503.0
109,Belone belone,,55.0,,,,,,,509.0
112,Dermogenys pusilla,,59.0,,,,,,,507.0
113,Dermogenys pusilla,,60.0,,,,,,,377.0
114,Dermogenys pusilla,,61.0,,,,,,,526.0
115,Dermogenys pusilla,,62.0,,,,,,,572.0
116,Dermogenys pusilla,,63.0,,,,,,,483.0
117,Dermogenys pusilla,,66.0,,,,,,,545.0
119,Myripristis berndti,,68.0,,,,,,,514.0
121,Neoniphon sammara,,70.0,,,,,,,502.0
124,Sargocentron xantherythrum,,73.0,,,,,,,490.0
125,Sargocentron xantherythrum,,74.0,,,,,,,447.0
126,Sargocentron xantherythrum,,75.0,,,,,,,516.0
127,Sargocentron xantherythrum,,76.0,,,,,,,509.0
129,Neoceratodus forsteri,,78.0,,,,,,,479.0
130,Neoceratodus forsteri,,79.0,,,,,,,558.0
131,Neoceratodus forsteri,,80.0,,,,,,,623.0
132,Astyanax fasciatus,,81.0,,,,,,,520.0
133,Astyanax fasciatus,,82.0,,,,,,,449.0
135,Astyanax fasciatus,,84.0,,,,,,,572.0
136,Alosa kessleri,,87.0,,,,,,,510.0
137,Alosa kessleri,,88.0,,,,,,,509.0
138,Alosa kessleri,,89.0,,,,,,,557.0
139,Clupea pallasii,,93.0,,,,,,,501.0
140,Clupea pallasii,,94.0,,,,,,,514.0
141,Clupea pallasii,,95.0,,,,,,,515.0
142,Clupea pallasii,,96.0,,,,,,,534.0
143,Clupea pallasii,,97.0,,,,,,,529.0
147,Sardinops melanostictus,,101.0,,,,,,,522.0
149,Engraulis mordax,,103.0,,,,,,,498.0
150,Engraulis mordax,,104.0,,,,,,,530.0
151,Engraulis mordax,,105.0,,,,,,,532.0
157,Engraulis japonicus,,114.0,,,,,,,478.0
158,Abramis ballerus,,116.0,,,,,,,518.0
159,Abramis ballerus,,117.0,,,,,,,451.0
160,Abramis ballerus,,118.0,,,,,,,537.0
161,Abramis ballerus,,119.0,,,,,,,620.0
162,Abramis brama,,122.0,,,,,,,537.0
163,Abramis brama,,123.0,,,,,,,451.0
164,Abramis brama,,125.0,,,,,,,620.0
165,Alburnus alburnus,,128.0,,,,,,,517.0
166,Alburnus alburnus,,129.0,,,,,,,440.0
167,Alburnus alburnus,,130.0,,,,,,,523.0
168,Alburnus alburnus,,131.0,,,,,,,571.0
169,Blicca bjoerkna,,132.0,,,,,,,539.0
170,Blicca bjoerkna,,133.0,,,,,,,444.0
171,Blicca bjoerkna,,134.0,,,,,,,533.0
172,Blicca bjoerkna,,135.0,,,,,,,603.0
173,Carassius auratus,,136.0,,,,,,,521.0
174,Carassius auratus,,137.0,,,,,,,360.0
176,Carassius auratus,,139.0,,,,,,,532.0
177,Carassius auratus,,140.0,,,,,,,614.0
178,Carassius carassius,,143.0,,,,,,,526.0
180,Carassius carassius,,145.0,,,,,,,529.0
181,Carassius carassius,,146.0,,,,,,,535.0
182,Carassius carassius,,147.0,,,,,,,608.0
183,Carassius carassius,,148.0,,,,,,,619.0
184,Carassius auratus,,149.0,,,,,,,522.0
185,Carassius auratus,,150.0,,,,,,,455.0
186,Carassius auratus,,151.0,,,,,,,530.0
187,Carassius auratus,,152.0,,,,,,,625.0
188,Scardinius erythrophthalmus,,153.0,,,,,,,515.0
190,Scardinius erythrophthalmus,,155.0,,,,,,,405.0
193,Tinca tinca,,160.0,,,,,,,533.0
194,Tinca tinca,,161.0,,,,,,,454.0
195,Tinca tinca,,163.0,,,,,,,615.0
199,Fundulus heteroclitus,,169.0,,,,,,,463.0
201,Lucania goodei,,172.0,,,,,,,359.0
202,Lucania goodei,,173.0,,,,,,,405.0
203,Lucania goodei,,174.0,,,,,,,454.0
204,Lucania goodei,,175.0,,,,,,,538.0
205,Lucania goodei,,178.0,,,,,,,573.0
206,Poecilia parae,,179.0,,,,,,,503.0
207,Poecilia parae,,180.0,,,,,,,355.0
208,Poecilia parae,,181.0,,,,,,,407.0
209,Poecilia parae,,182.0,,,,,,,456.0
