qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
QGW08851.1,visual_opsin_S218,81.127,355,66,1,1,354,1,355,0.0,603.0
QGW08842.1,visual_opsin_S322,90.395,354,34,0,1,354,1,354,0.0,659.0
AAU29519.1,visual_opsin_S99,99.133,346,3,0,1,346,1,346,0.0,710.0
AAW69832.1,visual_opsin_S317,97.245,363,10,0,1,363,1,363,0.0,736.0
KAL2807162.1,visual_opsin_S177,97.701,348,8,0,1,348,1,348,0.0,706.0
KAL2777651.1,visual_opsin_S94,90.435,345,33,0,1,345,4,348,0.0,648.0
KAL2767968.1,visual_opsin_S176,95.33,364,17,0,1,364,1,364,0.0,708.0
ABR53751.1,visual_opsin_S94,90.517,348,33,0,1,348,1,348,0.0,655.0
ABR53750.1,visual_opsin_S94,90.517,348,33,0,1,348,1,348,0.0,655.0
XP_069062416.1,visual_opsin_S113,92.655,354,26,0,1,354,1,354,0.0,671.0
XP_069085508.1,visual_opsin_S87,94.03,335,20,0,1,335,1,335,0.0,663.0
XP_069065558.1,visual_opsin_S335,88.43,363,42,0,2,364,1,363,0.0,654.0
XP_069065557.1,visual_opsin_S252,88.219,365,43,0,1,365,1,365,0.0,671.0
XP_045596873.1,visual_opsin_Locusta_migratoria_UV,60.123,326,128,1,46,371,1,324,1.03e-154,435.0
XP_045595320.1,visual_opsin_S291,44.0,350,195,1,22,371,14,362,3.26e-105,310.0
XP_045599568.1,XP_032818534_Petromyzon_marinus_VA,21.098,346,224,13,24,362,44,347,8.92e-11,59.7
XP_045596786.1,visual_opsin_S264,60.95,379,146,2,1,377,1,379,1.26e-175,490.0
ALJ26468.1,visual_opsin_Locusta_migratoria_UV,60.123,326,128,1,46,371,1,324,1.22e-154,435.0
AAB25036.1,visual_opsin_S264,60.686,379,146,3,1,376,1,379,1.68e-171,479.0
BAP11275.1,visual_opsin_S270,83.862,378,60,1,5,381,4,381,0.0,664.0
BAP11274.1,visual_opsin_Papilio_xuthus_SW,93.21,324,22,0,31,354,1,324,0.0,644.0
BAP11273.1,visual_opsin_S145,80.577,381,74,0,1,381,23,403,0.0,639.0
ADA77657.1,visual_opsin_S32,100.0,354,0,0,1,354,1,354,0.0,728.0
NP_001075818.1,visual_opsin_S357,96.552,348,12,0,1,348,1,348,0.0,703.0
O18910.2,visual_opsin_S134,100.0,364,0,0,1,364,1,364,0.0,749.0
XP_069922406.1,visual_opsin_S134,100.0,305,0,0,1,305,60,364,0.0,621.0
XP_069927406.1,visual_opsin_S274,91.04,346,31,0,1,346,1,346,0.0,664.0
BCK34770.1,visual_opsin_S145,88.108,370,44,0,8,377,37,406,0.0,669.0
BCK34760.1,visual_opsin_S182,81.89,381,65,2,1,381,1,377,0.0,673.0
