1	Scriven	10	2021	Pubmed.gov	microspectrophotometry opsin	
2	Schweikert	11	2018	Compiled Meta-analysis	Ray-finned fishes	
3	Oakley	11	2021	No particular search	visual pigment, lambda max	
4	Oakley	12	2021	Cited in ref 111 (along with ref 66)		
5	Oakley	12	2021	Pubmed.gov	opsin spectral tuning lambda max	https://paperpile.com/shared/raEX7E
6	Oakley	12	2021	Haphazard find		
7	Oakley	12	2021	GeneBank	search by name with python script	
8	Scriven	1	2022	No particular search		
9	Arasteh	5	2022	UCSB Library	Nocturnal birds absorption. Honors project 2022	
10	Jaeger	5	2022	Google scholar	insect flicker fusion frequency. Honors Project 2022	
11	Pham	5	2022	Pubmed.gov	Bird Lambda Max. Honors Project 2022	
12	Chan	5	2022	Web of Science	body size, visual acuity, insect. Honors Project 2022	
13	Feller	5	2021	Compiled Meta-analysis	Arthropod acuity
14	Zhu	5	2022	Google scholar	visual spacial resolution in coral reef teleosts. Honors Project 2022	
15	Jaeger	5	2022	Google scholar	insect flicker fusion frequency. Honors Project 2022	
16	Frazer	5	2022	Web of Science	heterologous expression AND opsin	https://www.webofscience.com/wos/woscc/summary/cc9457bf-ccdf-48e5-a2ed-9385beebda2b-392c2652/relevance/1
17	Frazer	5	2022	Cited in ref 120	No search needed	https://pubs.acs.org/doi/10.1021/bi972500j
18	Jaeger	5	2022	google scholar	flickering light. Honors project 2022	
19	Ridgeway	6	2022	Google Scholar 	Cardinalfish Visual Systems	https://onlinelibrary.wiley.com/doi/full/10.1111/mec.15102
20	Wu	6	2022	Google Scholar	Arthropods number of ommatidia	
21	Hadley	6	2022	Google Scholar	aves visual acuity cycles	
22	Kong	5	2022	Google Scholar	visual acuity cephalopods cycles per degree	https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=visual+acuity+cephalopods+cycles+per+degree&oq=cephal
23	Harris	6	2022	Google Scholar	Chondrichthyes visual acuity	
24	Frazer	6	2022	Pubmed.gov	Mutant opsin spectral tuning 	
25	Frazer	7	2022	EBSCO Host 	Opsin AND mutagenesis AND spectral tuning 	
26	Frazer	7	2022	EBSCO Host 	Opsin AND in vitro AND λmax	
27	Frazer	7	2022	Google Scholar	opsin λmax mutagenesis [page 5]	https://scholar.google.com/scholar?start=40&q=opsin+%CE%BBmax+mutagenesis&hl=en&as_sdt=0,5
28	Frazer	8	2022	No particular Search		Papers Found in Misc. Ways // Sent to Me
29	Frazer	1	2023	Google Scholar	Author - 'Teraakita' w/ Regards to 'Nonvisual Opsins' 	This litsearch will begin in the future, ust putting it down for later reference. 
30	Wang	6	2023	No particular Search	Localization, In-situ hybridization, Opsins, Insects	Digging through references
