feature,p_value,score,rf,lgbm,gbc,LassoLars,Lasso,mean
p1_GAP,0.3551303005951454,0.8586732359125564,0.0,0.0,0.0,0.0,0.0,0.0
p1_L,2.5309835355322078e-11,49.478025771944296,0.029058685349356354,0.0,0.0,0.0,0.17275094313520867,0.040361925696913006
p1_M,2.917549581367905e-09,38.32483975938032,0.009732355614774113,0.0,0.0005783922173061294,0.011098302757141552,0.07185891046279376,0.01865359221040311
p1_Q,0.019907644591969264,5.5002734620750156,0.0007596511398656727,0.0,0.00017356165141906105,0.0,0.0,0.00018664255825694677
p2_DTLPY,0.2559039719426586,1.29755928974632,0.0,0.0,0.0,0.0,0.0,0.0
p2_GAP,0.6533122121161147,0.20230421014851785,0.0,0.0,0.0,0.0,0.0,0.0
p2_M,9.190303888062908e-05,15.880278436083017,0.0018527169555965092,0.0,0.0017343612003988252,0.0,0.0,0.0007174156311990669
p2_N,7.710337228422242e-14,63.81529031269902,0.00035566411296133305,0.06976744186046512,0.0,0.0,0.0,0.014024621194685288
p2_Q,0.4026518714621192,0.7031191713953444,0.0,0.0,0.0,0.0,0.0,0.0
p2_S,1.532282560464143e-41,285.32398814242424,0.02482980926791229,0.0,0.00015992117320909089,0.0,0.0,0.0049979460882242765
p3_G,6.666601478631934e-35,219.85453583771854,0.1412216338200866,0.0,0.006912473817308783,0.0,0.0,0.029626821527479075
p3_GAP,1.8463386238599865e-43,306.0211436229453,0.3562519762925844,0.0,0.5152139145921119,0.16091440911575303,0.12655052194778094,0.23178616438964603
p3_K,0.2117519807970405,1.568560445662286,0.0,0.0,0.0,0.0,0.0,0.0
p4_D,0.00017291891847212907,14.602927826309589,0.007568352805363694,0.0,0.0008372545755831427,0.0,0.0,0.001681121476189367
p4_E,4.017233625588763e-17,83.75795815379783,0.003539548048523467,0.06976744186046512,0.0038913606024870984,0.0,0.0,0.015439670102295137
p4_G,0.13858202481403278,2.209717322615509,0.0,0.0,0.0,0.0,0.0,0.0
p4_GAP,0.2590155018029561,1.280651851873721,0.0,0.0,0.0,0.0,0.0,0.0
p4_M,0.2156097809751107,1.5422618072253094,0.0,0.0,0.0,0.0,0.0,0.0
p4_R,6.285303098578767e-07,26.347111537330864,0.010056929749757049,0.0,0.0007422289134692475,0.0,0.0,0.002159831732645259
p4_S,0.04548606670257318,4.046587326515478,0.0016155963974476993,0.0,7.879767427034541e-05,0.0,0.0,0.0003388788143436089
p4_T,8.562446326581869e-15,69.46637907622164,0.00035566411296133305,0.06976744186046512,0.0,0.0,0.0,0.014024621194685288
p5_GAP,0.5264754680843808,0.40247597428857235,0.0,0.0,0.0,0.0,0.0,0.0
p5_H,0.00032981113145088924,13.311195767654505,0.00028118632136822977,0.0,0.00014725542208519898,0.0,0.0,8.568834869068575e-05
p5_K,0.34260563141927525,0.9045778809995216,0.0,0.0,0.0,0.0,0.0,0.0
p5_Q,2.995291776073545e-06,22.998204276135606,0.002109433928050405,0.0,9.191268174060007e-05,0.0,0.0,0.00044026932195820106
p5_R,0.06644683880361449,3.402534689688511,0.012304021115840483,0.0,0.0017031887535846621,0.23633381923293234,0.21534364794388716,0.09313693540924893
p6_GAP,2.097247516754542e-48,363.3719744952206,0.02941663636257801,0.0,0.03307141154860535,0.0,1.0,0.21249760958223668
p6_H,0.6886153302644775,0.16101463863593818,0.0,0.0,0.0,0.0,0.0,0.0
p6_P,0.23842229959583425,1.3975134877862245,0.0,0.0,0.0,0.0,0.0,0.0
p6_Q,3.685433577414621e-11,48.57578923484158,0.029058685349356354,0.0,0.0,0.0,0.17275094313520867,0.040361925696913006
p6_R,0.0005164848364596266,12.422138627884134,0.0003574648712408056,0.0,0.0,0.0,0.0,7.149297424816112e-05
p7_D,2.923794911296138e-06,23.04954971185673,0.0014211953894146354,0.0,0.0002605117073539533,0.0,0.0,0.00033634141935371775
p7_E,5.695902019631109e-20,102.24628138056929,0.005647090783187452,0.023255813953488372,5.002035115673488e-05,0.0,0.0,0.005790585017566512
p7_I,0.044014020953101994,4.103246633219514,8.77968832821801e-06,0.0,0.00015686011601481626,0.0,0.0,3.312796086860685e-05
p7_K,0.011011331290034346,6.574992529729678,0.000651037085326285,0.0,3.81138130213114e-05,0.0,0.0,0.00013783017966951928
p7_P,1.2860958453163254e-06,24.80385053542831,0.013140102439523663,0.023255813953488372,0.00197842682700302,0.0,0.0,0.00767486864400301
p7_QGNM,0.00511964598470771,7.997094402552072,0.0008720107932258946,0.0,1.4733735148556331e-05,0.0,0.0,0.0001773489056748902
p7_S,3.303277609741518e-07,27.74455404487507,0.00043034882113905155,0.0,0.0002261718641153947,0.0,0.060846993050955235,0.012300702747241935
p8_E,2.7826145813280393e-10,43.77928654933441,0.005256240864091538,0.023255813953488372,0.0001328870587142655,0.0,0.22182700379869352,0.050094389134997544
p8_FWA,0.8596439257365751,0.03134165850068525,0.0,0.0,0.0,0.0,0.0,0.0
p8_N,1.3525282407626559e-09,40.094904265080366,0.00046280052483765985,0.023255813953488372,0.0020628946468891803,0.0,0.21713574620784856,0.04858345106661276
p8_S,5.997038213232357e-14,64.45545913684019,0.029058685349356354,0.0,0.0,0.0,0.17275094313520867,0.040361925696913006
p8_Y,0.03349174409358458,4.577971091301436,0.00018747889499912715,0.0,4.346853487031577e-05,0.0,0.0,4.618948597388859e-05
p9_F,4.099016196424e-09,37.546441976979054,0.00928088763953866,0.06976744186046512,0.005474093110305549,0.0,0.0,0.016904484522061863
p9_I,2.5309835355322078e-11,49.478025771944296,0.029058685349356354,0.0,0.0,0.0,0.17275094313520867,0.040361925696913006
p10_LWHV,0.00265201368133147,9.242943669004784,0.0038238863432719086,0.0,0.00156727165766334,0.08572422730875835,0.0,0.01822307706193872
p10_Y,3.180844263864949e-05,18.051310327635125,0.018283586444031778,0.0,0.0011930259998642794,0.0,0.0,0.0038953224887792112
p11_L,8.598462722730774e-56,460.9883200596789,0.5467915726537489,0.06976744186046512,0.5150567419479372,0.24846347671692526,0.0,0.27601584663581524
p11_QM,0.002171903290641471,9.62519051044865,0.001699200357338209,0.0,0.0002904555701096147,0.0,0.0,0.00039793118548956476
p11_T,5.151592797915039e-13,59.02639869055606,0.029058685349356354,0.0,0.0,0.0,0.17275094313520867,0.040361925696913006
p11_V,5.841830166964141e-13,58.71244516997649,0.0011542793960337926,0.023255813953488372,0.00012491183313196864,0.22686632366965184,0.3525602548027266,0.12079231673100652
p12_P,3.2470177113886734e-10,43.417040629346936,0.03711805489031228,0.0,0.0002602566271832199,0.0,0.5536629838038799,0.11820825906427508
