feature,p_value,score,BayesianRidge,gbc,xgb,Adaboost,lgbm,mean
p1_GAP,0.5273541400367282,0.4009170305931649,0.0,0.0,0.0,0.0,0.0,0.0
p1_L,9.106559097683645e-05,15.969582740858222,0.16430004445956922,0.0005030025940088114,6.644536e-05,0.0,0.0,0.03297389848309182
p1_M,3.3844280020551845e-06,22.879694788576245,0.0653333676464349,0.002136865089531999,4.144346e-06,9.656034743898479e-05,0.0,0.01351418748585998
p1_P,0.35037928646486005,0.8762626644847259,0.0,0.0,0.0,0.0,0.0,0.0
p1_QTGVAHYSEI,0.034645295841430605,4.525401291102221,0.18723533071356627,0.0002522664443244645,2.2510717e-06,0.025912779590884043,0.0,0.0426805255640933
p2_GAP,0.9048661135391243,0.014321219022805844,0.0,0.0,0.0,0.0,0.0,0.0
p2_M,0.8742748473823212,0.02510257897259389,0.0,0.0,0.0,0.0,0.0,0.0
p2_N,0.3671128942972526,0.8171895534652648,0.0,0.0,0.0,0.0,0.0,0.0
p2_QLHYF,0.059790507417238584,3.5846074711995306,0.0,0.0,0.0,0.0,0.0,0.0
p2_S,2.866038029440192e-17,86.44373386639886,0.16314919045852416,5.1066920521660276e-05,4.1930318e-05,0.0,0.0,0.032648437539373264
p2_T,0.13495838367364615,2.2530752446852746,0.0,0.0,0.0,0.0,0.0,0.0
p3_DSFKTYRPLQWV,2.0554732253365463e-05,19.053294708365577,0.007267555856485583,0.0,2.7696879e-06,0.0,0.0,0.0014540651088677742
p3_E,4.4279036168406376e-08,32.45019243638732,0.030541912022375394,0.0009575395154658101,4.5331644e-06,0.0,0.0,0.0063007969404539855
p3_G,0.029577369788979523,4.803677455608791,0.20912898616310327,0.0002041540225648522,2.835287e-05,0.0,0.07692307692307693,0.057256913995704296
p3_GAP,0.6099313866360001,0.26111336979622124,0.0,0.0,0.0,0.0,0.0,0.0
p4_GAP,8.459074209467245e-11,47.15481951650286,0.106563425751164,0.03710602487176672,3.6873703e-06,0.0013465709546456818,0.0,0.029003941789571504
p4_I,0.0030105355203927475,9.025088111996505,0.042546913840445476,0.00019168264345962248,0.00017907233,0.0,0.0,0.008583533763317996
p4_M,0.0056109695394776634,7.843590065773578,0.2520430916998764,0.0001721398093594118,5.5616e-05,0.007748050921948011,0.0,0.05200377968647498
p4_R,9.6917923873374e-10,41.303215195882025,0.34540210177672387,0.0021994694975990196,4.250875e-06,0.0,0.0,0.06952116442986626
p4_SAEVLPN,0.4853288678803833,0.4887171265161763,0.0,0.0,0.0,0.0,0.0,0.0
p4_T,0.08493186939492672,2.998174506444907,0.0,0.0,0.0,0.0,0.0,0.0
p5_E,0.006331536269774208,7.616685263821547,0.20760728346177976,0.0005013605882895888,1.2788894e-06,0.0023509474562898656,0.0,0.04209217407914894
p5_GAP,3.557129900252377e-14,66.88022024031744,0.2095286332955493,0.00047548516875463504,5.977026e-06,0.0,0.0,0.04200201909804505
p5_H,0.012105951174454139,6.414035866355261,0.23323814156967448,0.0005269612339712914,1.6062582e-07,0.0,0.0,0.046753052685892485
p5_K,0.2744377012884653,1.2011452954216144,0.0,0.0,0.0,0.0,0.0,0.0
p5_M,0.1231606498763159,2.3972660052536314,0.0,0.0,0.0,0.0,0.0,0.0
p5_Q,0.0029829444676821924,9.04270597235069,0.21447347138390138,0.002584234033586443,2.4202964e-06,0.0,0.0,0.043412025142771295
p5_R,0.01496219351630938,6.0268017709363635,0.6876472847888817,0.0003427827739056164,0.0008628457,0.002016824390627007,0.15384615384615385,0.16894317829698025
p6_E,5.8445928419061e-13,59.587318122110545,0.33601799744477245,0.7012521748781685,4.925566e-06,0.0,0.0,0.20745501957777174
p6_G,0.012912868966590937,6.295753383923502,0.07333037386255316,0.023320975442815473,4.2372758e-05,0.00444024022343351,0.0,0.020226792457338248
p6_GAP,0.5051942068405206,0.44564792590132835,0.0,0.0,0.0,0.0,0.0,0.0
p6_HAFKS,0.7475603402452113,0.10388462668243038,0.0,0.0,0.0,0.0,0.0,0.0
p6_P,0.014193520256610708,6.12292648620062,0.12241143431602126,0.00035011813470328993,0.0,0.0,0.0,0.02455231049014491
p6_Q,0.006651904841283822,7.524218613871295,0.07935041073008753,0.0009869661929898636,4.6114074e-08,0.0,0.0,0.016067484607430346
p6_R,1.4642994030142045e-07,29.759533878647616,0.09297305944616316,0.00038923716696426643,2.721262e-10,0.0,0.0,0.018672459377050726
p7_D,0.23938883521543677,1.3926471514582943,0.0,0.0,0.0,0.0,0.0,0.0
p7_E,5.229701682901077e-16,78.29140776374555,0.01713350604034397,0.002857131748158295,0.00014594919,0.11327405177052609,0.0,0.026682127749902168
p7_G,0.0035737059351492054,8.697703868120241,0.23481209387685856,0.005279604405565452,2.6811156e-05,0.0,0.0,0.04802370188772553
p7_GAP,0.9573791773023855,0.0028634393037523208,0.0,0.0,0.0,0.0,0.0,0.0
p7_I,0.4818877459923917,0.4964789307765759,0.0,0.0,0.0,0.0,0.0,0.0
p7_K,0.9202934993224252,0.010038640553971155,0.0,0.0,0.0,0.0,0.0,0.0
p7_L,0.5896671596415347,0.29182424580213157,0.0,0.0,0.0,0.0,0.0,0.0
p7_NVMT,0.45884399425770517,0.5508870666110676,0.0,0.0,0.0,0.0,0.0,0.0
p7_P,0.004153675377167679,8.411795266239725,0.17052713440598485,0.017224838755851086,4.578041e-06,0.0,0.15384615384615385,0.06832054100983218
p7_Q,0.13813841912757926,2.21662563932298,0.0,0.0,0.0,0.0,0.0,0.0
p7_S,0.00032162590433645275,13.411881718666127,0.05633285263240668,0.0004424208125392125,8.9590105e-07,0.0,0.0,0.011355233869199758
p8_D,8.359077200821661e-08,31.015943799081523,0.28576666771172793,0.0009090208410687862,8.336548e-06,0.0005092231245846598,0.07692307692307693,0.07282326502960772
p8_E,3.240944545333404e-11,49.50037044443364,0.18093711681826827,0.0011770988815853873,0.00014511491,0.0,0.0,0.03645186612289684
p8_F,0.5319073211939913,0.3921360565221855,0.0,0.0,0.0,0.0,0.0,0.0
p8_G,0.05887019516340061,3.610891782282136,0.0,0.0,0.0,0.0,0.0,0.0
p8_GAP,0.1706489422454396,1.8910890796966027,0.0,0.0,0.0,0.0,0.0,0.0
p8_MVHLWITQ,0.11096664431756974,2.5635015691455805,0.0,0.0,0.0,0.0,0.0,0.0
p8_N,0.07280650680403586,3.253503694010069,0.0,0.0,0.0,0.0,0.0,0.0
p8_S,2.8103675431180228e-11,49.850990980491964,0.27224084281685573,0.0006141390869771514,4.1384224e-10,0.0,0.0,0.054570996463535026
p8_Y,0.3381522501180133,0.9219279146984023,0.0,0.0,0.0,0.0,0.0,0.0
p9_F,1.7562516860642007e-07,29.353900458819073,0.0631110741699443,0.06473654144113282,0.0017571625,0.02613553485727949,0.15384615384615385,0.06191729336424051
p9_GAP,0.05671969862495689,3.674066380548727,0.0,0.0,0.0,0.0,0.0,0.0
p9_I,2.2266403806098236e-05,18.88584574909732,0.3072947516397337,0.00024013487146430754,1.8167124e-06,0.0,0.0,0.06150734064471357
p9_L,0.7957336997832481,0.06719760119451865,0.0,0.0,0.0,0.0,0.0,0.0
p9_V,8.065644418160701e-06,21.025784816101673,0.011168904681107504,0.016817042548525934,0.0016411028,0.0,0.0,0.005925410012661359
p9_YMPTQ,0.3336292015103616,0.939390225296338,0.0,0.0,0.0,0.0,0.0,0.0
p10_F,3.4836946096901095e-10,43.73913640452868,0.05552793231285944,0.0,0.0,0.0,0.0,0.011105586462571888
p10_GAP,0.24822924286331213,1.3412138120294854,0.0,0.0,0.0,0.0,0.0,0.0
p10_LHSTNMR,0.04895471433727759,3.9255862147937006,0.1314255981862881,0.00030808749082588717,5.568822e-05,0.022792862773831947,0.0,0.030916447333930862
p10_W,0.036911040190524894,4.414595340237226,0.06923802443531035,0.0,0.0,0.0,0.0,0.01384760488706207
p10_Y,2.6244544131801607e-06,23.426665286633508,0.26765113881382074,9.098638770503256e-05,0.0018293879,0.0,0.07692307692307693,0.06929891799550496
p11_GAP,0.019349803576348457,5.560988918934785,0.3715136198561826,0.000368963960952722,8.7578555e-06,0.0,0.0,0.07437826833453495
p11_I,0.39206556765094613,0.7357742783048107,0.0,0.0,0.0,0.0,0.0,0.0
p11_L,7.838500463658546e-27,156.94592920521708,0.1029849177085495,0.003881207985645056,0.0,0.0,0.0,0.021373225138838912
p11_P,0.0011306232534617716,10.920761056724709,0.18035605924376558,0.0035821656094157006,3.0476737e-09,0.0015630595550747471,0.0,0.03710025749118594
p11_T,5.305208037159126e-11,48.29239929710351,0.05552793231285944,0.0,0.0,0.0,0.0,0.011105586462571888
p11_V,0.02555257371626684,5.063040783281324,0.26475706199660637,0.0019432775985536068,6.7874175e-06,0.0,0.46153846153846156,0.1456491177102309
p12_GAP,0.49326905100422436,0.47115164712248403,0.0,0.0,0.0,0.0,0.0,0.0
p12_L,0.3257631770021421,0.9705276040075639,0.0,0.0,0.0,0.0,0.0,0.0
p12_M,0.0030616678610332895,8.992871645128695,0.6612878972642225,0.02504137031356141,0.00013005116,0.0011470398432836852,0.0,0.1375212717171911
p12_P,0.493905400806641,0.4697643901693839,0.0,0.0,0.0,0.0,0.0,0.0
p13_GAP,0.0015163481270674673,10.348149833481095,0.24495127392154395,0.0001883319688271089,0.0,0.03346540137753662,0.46153846153846156,0.14802869376127387
