""	Habitat	method	λmax	λmax reference	Accession #
BRANCHIOPODA					
Anostraca					
Artemiidae					
Artemia franciscana					BQ605261 (EST)
Artemia salina		EON	410	(Hertel 1972)	
Diplostraca					
Daphniidae					
Daphnia magna		VC	348, 434,	(Smith and Macagno 1990)	
""			525, 608		
MAXILLOPODA					
Copepoda					
Acartiidae					
Acartia tonsa		BP	450-520	(Stearns and Forward 1984)	
Cirripedia					
Balanidae					
Balanus amphitrite		ERG	532	(Hillman et al. 1973)	
Balanus amphitrite		MSP	532	(Minke and Kirschfield 1978)	
Balanus balanoides (N)		BP	510-530	(Barnes and Klepal 1972)	
Balanus eburneus		ERG	532	(Hillman et al. 1973)	
Balanus eburneus		MSP	532	(Minke and Kirschfield 1978)	
OSTRACODA					
Myodocopida					
Cypridinidae					
Skogsbergia lerneri					AF353374-
""					AF353339
Vargula hilgendorfi					AF353338-
""					AF353331
MALACOSTRACA					
Stomatopoda					
Squilloidea					
Coronis scolopendra	ST	MSP	494, 407,	(Cronin et al. 1993)	
""			436, 489,		
""			518, 529,		
""			533, 441,		
""			468, 517		
Lysiosqullia sulcata	5-25m	MSP	499, 397,	(Cronin et al. 1993)	
""			434, 492,		
""			516, 517,		
""			538, 416,		
""			461, 500		
Pullosquilla litoralis	sIT	MSP	509, 404,	(Jutte et al. 1998b)	
""			425, 469,		
""			509, 527,		
""			540, 446,		
""			455, 482		
Pullosquilla litoralis (L)		MSP	446	(Jutte et al. 1998a)	
Pullosquilla thomassini	1-37m	MSP	467, 405,	(Jutte et al. 1998b)	
Pullosquilla thomassini (L)		MSP	447	(Jutte et al. 1998a)
Gonodactyloidea				
Gonodactylellus affinis	3-30m	MSP	500, 400,	(Cronin et al. 2002)
""			424, 496,	
""			521, 546,	
""			541, 454,	
""			474, 509	
Gonodactylaceus falcatus		MSP	510, 400,	(Cronin et al. 2000;
""			443, 513,	Cronin et al. 1995)
""			527, 532,	
""			553, 443,	
""			475, 518	
Gonodactylaceus falcatus (L)		MSP	499	(Cronin et al. 1995)
Gonodactylus smithii	IT	MSP	517, 400,	(Chiao et al. 2000)
""			440, 505,	
""			528, 536,	
""			552, 436,	
""			469, 512	
Gonodactylopsis spongicola	5-60m	MSP	506, 401,	(Cronin et al. 2002)
""			444, 505,	
""			525, 536,	
""			???, 448,	
""			474, 507	
Neogonodactylus curacaoensis	2-20m	MSP	467, 400,	(Cronin et al. 1996)
Neogonodactylus oertstedii	IT-3m	MSP	528, 400,	(Cronin and Marshall 1989)	(Brown 1996)
""			430, 505,		
""			525, 520,		
""			551, 429,		
""			460, 489		
Hemisquilla ensigera	10-15m	MSP	501, 414,	(Cronin et al. 1994a)	
""			451, 499,		
""			510, 510,		
""			535, 443,		
""			473, 500		
Haptosquilla trispinosa	ST-25m	MSP	499, 400,	(Cronin et al. 2002)	
""			433, 508,		
""			537, 539,		
""			558, 422,		
""			462, 510		
Pseudosquilla ciliata	ST-25m	MSP	498, 400,	(Cronin and Marshall 1989)	
""			433, 498,		
""			517, 535,		
""			539, 425,		
""			452, 510		
Odontodactylus brevirostris	10-25m	MSP	490, 402,	(Cronin et al. 1994a;	
""			457, 495,	Cronin et al. 1996)	
""			524, 511,		
""			535, 452,		
""			460, 589		
Odontodactylus 'havanensis'	20-35m	MSP	475, 407,	(Cronin et al. 1996)	
Odontodactylus scyllarus	1-30m	MSP	503, 400,	(Cronin et al. 1994a;
""			430, 487,	Cronin et al. 1996)
""			509, 528,	
""			546, 429,	
""			451, 506	
Squilloidea				
Squilla empusa	1-150m	MSP	517	(Cronin 1985;
""				Cronin et al. 1993)
Squilla empusa		MSP	507	(Cronin and Jinks 2001)
Squilla empusa (L)		MSP	509	(Cronin and Jinks 2001)
Cloridopsis dubia	IT	MSP	510	(Cronin et al. 1993)
Lophogastrida				
Lophogastridae				
Gnathophausia ingens	>400m	ERG	490, 520	(Frank and Case 1988b)
Mysida				
Mysidae				
Archaeomysis grebnitzkii		MSP	496	this study
Bowmaniella sp.		MSP	SW, 502	this study
Hemimysis anomala		ERG	393, 500	(Lindström 2000)
Heteromysis formosa		MSP	499	this study
Holmesimysis costata		MSP	512	this study
Neomysis americana		MSP	520	this study
Neomysis integer		ERG	525-535	(Lindström 2000)
Neomysis mercedis	FW/BW	MSP	521	this study
Mysis mixta		ERG	505-520	(Lindström 2000)
Mysis relicta sp.I		ERG	550-570	(Lindström 2000)
Mysis relicta sp.II		ERG	505-520	(Lindström 2000)
Mysis relicta sp.IV	FW	MSP	520	(Gal et al. 1999)
Mysis relicta sp.IV	FW	MSP	505, 520*	this study,
""				(Jokela-Määttä et al. 2005)
Praunus inermis		ERG	520-530	(Lindström 2000)
Praunus flexuosus		ERG	505-515	(Lindström 2000)	
Amphipoda					
Hyperiidae					
Phronima sedenteria	MP	ERG	470	(Frank and Widder 1999)	
Isopoda					
Cirolanidae					
Eurydice pulchra					CO869196-
""					CO157253
Ligiidae					
Ligia exotica	TR	ERG	340, 460,	(Hariyama and Tsukahara 1993)	
""			520		
Talitridae					
Talitrus saltator	sTR	ERG	450	(Mezzetti and Scapini 1995)	
Euphausiacea					
Euphausiidae					
Euphausia superba	MP	ERG	487	(Frank and Widder 1999)	
Euphausia superba	MP	EX	485	(Denys and Brown 1982)	
Euphausia pacifica	MP		462	(Kampa 1955)**	
Meganyctiphanes norvegica	MP	ERG	490	(Frank and Widder 1999)	
Meganyctiphanes norvegica	MP	EX	460-465	(Fisher and Goldie 1959)**	
Meganyctiphanes norvegica	MP		462	(Fisher 1967)**	
Meganyctiphanes norvegica	MP	ERG	460, 490,	(Boden et al. 1961)	
""			515		
Meganyctiphanes norvegica	MP	MSP	488	(Denys and Brown 1982)	
Nematobrachion boopis	MP	ERG	488	(Frank and Widder 1999)	
Nematobrachion sexspinosus	MP	ERG	478	(Frank and Widder 1999)	
Stylocheiron maximum	MP	ERG	479	(Frank and Widder 1999)	
Stylocheiron maximum	MP	EX	470	(Fisher and Goldie 1961)**	
Nematoscelis megalops	MP	EX	465	(Fisher and Goldie 1961)**	
Thysanopoda acutifrons	MP	EX	480	(Fisher and Goldie 1961)**	
Thysanopoda orientalis	MP	ERG	478	(Frank and Widder 1999)	
Thysanoessa raschii	MP	EX	460-465	(Fisher and Goldie 1961)**	
Decapoda					
Dendrobranchiata					
Aristeidae					
Plesiopenaeus armatus	P	MSP	493	(Kent 1997)	
Benthesicymidae					
Bentheogennema intermedia	P	MSP	494	(Kent 1997)	
Bentheogennema pasithea	P	MSP	500	(Kent 1997)	
Gennadas sp.	P	MSP	495	(Kent 1997)	
Gennadas valens	P	MSP	495	(Kent 1997)	
Penaeidae					
Funchalia villosa	P	ERG	489	(Frank and Widder 1999)	
Penaeus duororum	C	EX	516	(Fernandez 1965)	
Penaeus monodon					AI770282,
""					AI770242,
""					AI770226,
""					AI253885 (
Penaeus penicillatus	C	ERG	480, 570	(Minjuan and Shujun 1990)	
Sergestidae					
Sergestes arcticus	MP	ERG	495	(Frank and Widder 1999)	
Sergestes arcticus	MP	extract	475	(Fisher and Goldie 1961)	
Sergestes corniculum	MP	ERG	500	(Frank and Widder 1999)	
Sergestes curvatus	P	MSP	493	(Kent 1997)	
Sergestes similis	P	MSP	495	(Kent 1997)	
Sergestes similis	MP	MSP	495	(Lindsay et al. 1999)	
Sergestes tenuiremis	P	MSP	495	(Hiller-Adams et al. 1988)	
Sergia grandis	MP	ERG	500	(Frank and Widder 1999)	
Sergia maximus	P	MSP	495	(Kent 1997)	
Sergia phorcus	P	MSP	495	(Kent 1997)	
Sergia robustus	P	MSP	496	(Kent 1997)	
Sergia splendens	P	MSP	497	(Kent 1997)	
Pleocyemata				
Caridea				
Bresiliidae				
