feature,p_value,score,rf,gbc,lgbm,mean
p1_IGVAKT,0.10398330072371247,2.648892665078415,0.0,0.0,0.0,0.0
p1_L,6.475937644370911e-30,139.2213355805157,0.08232189003667835,0.026831253050538566,0.0547945205479452,0.0546492212117207
p1_M,0.6407709362868276,0.21788741732982905,0.0,0.0,0.0,0.0
p1_N,0.06312982451297788,3.462024141396338,0.0,0.0,0.00684931506849315,0.00228310502283105
p2_GAP,0.03766370613240536,4.333353766887603,0.023485222782576774,0.0019957512802189943,0.02054794520547945,0.015342973089425074
p2_K,0.073434182108056,3.2122790629489586,0.0,0.0,0.0,0.0
p2_L,0.7101069603040752,0.13826034706780024,0.0,0.0,0.0,0.0
p2_P,0.0012907813206141444,10.423401939636353,0.0002717475353406478,0.0,0.0,9.058251178021594e-05
p3_L,0.07793914097209986,3.114692358798563,0.0,0.0,0.0,0.0
p3_M,0.7372983297493799,0.11258723053503582,0.0,0.0,0.0,0.0
p3_VFTSRYNQ,0.00010834504050152601,15.123655637465394,0.002066340821407619,0.00022804223272336735,0.0821917808219178,0.028162054625349597
p4_GAP,0.011349387078121505,6.437090929866518,0.013254818882024356,0.006557262827580755,0.0136986301369863,0.011170237282197138
p4_L,0.12970412618969232,2.30038774891265,0.0,0.0,0.0,0.0
p4_T,0.6934309124473125,0.15549927192965834,0.0,0.0,0.0,0.0
p5_L,0.00031589577973974414,13.078243861869023,0.0009256053153008533,0.0028236579733571156,0.0273972602739726,0.010382174520876856
p5_MYFIKR,1.7850664901951892e-07,27.6993349173247,0.002584046877813114,0.0053643465914831245,0.0273972602739726,0.011781884581089613
p5_V,0.6684856290568136,0.1835031180715846,0.0,0.0,0.0,0.0
p6_F,0.6798898829435469,0.17036410352653358,0.0,0.0,0.0,0.0
p6_GAP,6.920657706114123e-06,20.463024136782643,0.013254818882024356,0.006557262827580755,0.0136986301369863,0.011170237282197138
p6_I,0.022693825449460123,5.210270863519064,0.0007224039300415796,0.003553030819088442,0.0,0.001425144916376674
p7_GAP,7.151165971910331e-06,20.39884418786414,0.013254818882024356,0.006557262827580755,0.0136986301369863,0.011170237282197138
p7_L,0.06978764941630632,3.2961069730675874,0.0007224039300415796,0.003553030819088442,0.0,0.001425144916376674
p7_S,0.7918100936083942,0.06971807484139862,0.0,0.0,0.0,0.0
p8_F,0.02071299473206204,5.370317370773304,0.002298933508096503,0.002178115886566395,0.0,0.0014923497982209661
p8_GAP,1.4642917309886957e-09,37.381266750949095,0.054698132282729614,0.010096707679722997,0.0136986301369863,0.026164490033146304
p8_ITCQEGN,0.04706118967937417,3.9543996193006485,0.006895657761509626,2.705107180781444e-06,0.0,0.002299454289563469
p8_M,0.00015250802261574135,14.467913285239522,0.00044050760893549044,0.006871921128976414,0.0,0.002437476245970635
p8_P,1.7070333841043864e-71,386.3921905129467,0.21713377366879397,0.013644500709986981,0.0136986301369863,0.08149230150525576
p8_S,0.6832791592557297,0.1665692832420377,0.0,0.0,0.0,0.0
p8_V,0.0012907813206141444,10.423401939636353,0.0002717475353406478,0.0,0.0,9.058251178021594e-05
p9_GAP,2.8589849375700284e-09,36.021935557417976,0.054698132282729614,0.010096707679722997,0.0136986301369863,0.026164490033146304
p9_I,0.19485181537274823,1.6831328109280745,0.0,0.0,0.0,0.0
p9_L,0.014140044823568773,6.044881288349621,0.0007350553048379115,0.004147504301016705,0.0136986301369863,0.006193729914280306
p9_T,4.529892475581362e-18,78.44902284621094,0.011469650083564912,0.06486326852941623,0.0684931506849315,0.04827535643263755
p9_VMDFPS,2.0005376817843745e-06,22.903066902395718,0.002128562377056785,0.0018908726404746252,0.0,0.00133981167251047
p10_D,0.019612338176243256,5.466259111451288,0.002298933508096503,0.002178115886566395,0.0,0.0014923497982209661
p10_E,0.012519929686740717,6.261660531396917,0.0033006675279909805,0.0009677673783810429,0.00684931506849315,0.0037059166582883913
p10_GAP,3.5901239482186924e-08,30.911783162574082,0.054698132282729614,0.010096707679722997,0.0136986301369863,0.026164490033146304
p10_P,0.004035204094195554,8.312009014730036,0.0014125448863394846,0.0007081041390409118,0.0,0.0007068830084601321
