feature,p_value,score,lgbm,rf,BayesianRidge,gbc,Adaboost,mean
p1_GAP,0.25067155002726865,1.3286600036513037,0.0,0.0,0.0,0.0,0.0,0.0
p1_L,5.062156232606391e-06,22.21862246872105,0.0,0.016072386429612433,0.12668063185461115,0.042378246792826355,0.0,0.03702625301540998
p1_M,1.996519981818316e-08,34.735105469614155,0.0,0.01640252921186764,0.10669247842450715,4.9708496538822096e-05,0.0,0.02462894322658272
p1_Q,0.032567070777514404,4.644576809058421,0.0,0.0016857134304943753,0.04079133004307626,0.00023284566555032787,0.0,0.008541977827824192
p2_GAP,0.42894248501330445,0.6287049226846138,0.0,0.0,0.0,0.0,0.0,0.0
p2_LTDQG,0.015448699953770495,5.985442727427965,0.0,0.007639408552161431,0.21955589227547434,0.051715905061328254,0.0,0.055782241177792805
p2_N,5.165588830948657e-16,80.625377008678,0.0,0.029196707648784147,0.02548247486615821,7.643935540489849e-06,0.0,0.01093736529009657
p2_S,1.3226465751547356e-44,372.696627229533,0.0,0.3068824322860835,0.0512021216921643,0.0001526816868971239,0.0,0.07164744713302898
p3_G,2.54377589381297e-31,208.66067378184928,0.0,0.13276262082555362,0.07840764186216315,0.0037174321180283563,0.0,0.042977538961149024
p3_GAP,1.4155051996837033e-37,278.5281129747057,0.0,0.09308967107446664,0.24241254520226396,0.0028906061074996906,9.8254126554684e-06,0.06768052955937716
p4_G,3.259717752999789e-05,18.22836918393177,0.5652173913043478,0.004366705475870428,0.26497159932190956,0.010129087920993885,0.00019180353240421988,0.1689753175111052
p4_GAP,0.24995592673119504,1.3326962490993441,0.0,0.0,0.0,0.0,0.0,0.0
p4_MSVA,0.5746365279390869,0.3162146773484399,0.0,0.0,0.0,0.0,0.0,0.0
p4_R,5.117390162032015e-05,17.279785353634395,0.0,0.005157542477004622,0.2775621943471451,0.0030662586793137447,0.00383144803764351,0.05792348870822139
p4_T,1.3931484942655115e-16,84.48132480383552,0.0,0.029196707648784147,0.02548247486615821,7.643935540489849e-06,0.0,0.01093736529009657
p5_E,0.08990906641329637,2.909267234048993,0.0,0.0,0.0,0.0,0.0,0.0
p5_GAP,0.7881285580019373,0.07245154071826311,0.0,0.0,0.0,0.0,0.0,0.0
p5_H,0.0012790647845605247,10.72993248204607,0.0,0.0064625784400182155,0.15086542940961445,0.0005809854908701456,0.0,0.03158179866810056
p5_Q,0.0011202694837223065,10.991365336886588,0.0,0.0023853825477369458,0.1508815624925341,0.03253527132573601,0.0002609376877013347,0.03721263081074168
