feature,lgbm,rf,gbc,BayesianRidge,xgb,mean
1,0.06060606060606061,0.043166499025866514,0.004723489421719075,0.16015455138465098,2.4995093554025516e-05,0.053735119106370244
2,0.06060606060606061,0.1548542783183552,0.0005894155888286417,0.17991088029427976,1.347467605228303e-05,0.0791948218967153
3,0.0,0.0236131394980734,0.058585174249571714,0.07032177789350165,5.740970664191991e-06,0.030505166522362192
4,0.025252525252525252,0.0218526700747141,0.0010572073665274147,0.12498544965333204,2.294095429533627e-05,0.03463415866027883
5,0.04242424242424242,0.007302616057384292,0.0027239973940187743,0.1533150381569262,4.460210766410455e-05,0.04116209922804716
6,0.09090909090909091,0.04380731255012463,0.02765058810343948,0.22792626874096875,2.691401277843397e-05,0.07806403486328044
7,0.01893939393939394,0.002441218547283225,0.0005846046542564147,0.10062668502980811,8.260308095486835e-05,0.02453490105033931
8,0.08333333333333333,0.04496676789668894,0.004348848489834163,0.19831903010964608,7.431388075929135e-05,0.06620845874205236
9,0.06060606060606061,0.07727744902521541,0.016618788556897243,0.23994392627196687,1.135328238888178e-05,0.07889151554850579
10,0.015151515151515152,0.015754474156484895,0.004493767927387752,0.18110366385226498,8.365363464690745e-05,0.04331741494445994
11,0.07575757575757576,0.20483013480039222,0.012118880253830082,0.24427475173124022,2.3305849026655778e-05,0.107400929678413
12,0.0,0.02253556974303832,0.008937154370334818,0.0003216313035616615,0.0,0.006358871083386961
13,0.022727272727272728,0.027308324064566045,0.0024576953242385047,0.1226058487534699,6.008911896060454e-06,0.035021029956288655
14,0.0404040404040404,0.07887362517439322,0.0070328176964537786,0.18900066903624235,0.0,0.06306223046222595
15,0.07070707070707072,0.019555033057065425,0.015935838755234123,0.1570205773746868,0.0001662595459492877,0.052676955888001274
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.03787878787878788,0.023950859749214296,0.0028605661903013057,0.1166407841268467,6.117932207416743e-05,0.03627843545344487
18,0.19696969696969696,0.5554824664456967,0.21856561915597336,0.33623000941774145,0.2702147960662842,0.3154925176110785
19,0.11363636363636363,0.023407345522815294,0.0024344543404896416,0.19731161871674316,0.0003563098725862801,0.06742921841779961
20,0.10101010101010101,0.04336722912795033,0.00443175591610711,0.20845357676012805,3.822140399734053e-07,0.0714526090056653
21,0.0,0.07628416040271788,4.754366301508543e-05,0.164421902937085,0.0,0.04815072140056359
22,0.0,1.0,0.0004195596145514002,0.2068396644689175,0.0,0.24145184481669374
23,0.015151515151515152,0.029238376613682428,0.0670727908698526,0.08737810044590573,0.00013994815526530147,0.03979614624724424
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.045454545454545456,0.3336181001344429,9.036011229811586e-05,0.2604763162504488,4.246534899721155e-06,0.127928713697327
26,0.10606060606060606,0.2911987111503596,0.18271131460320672,0.1628741366796734,2.915534241765272e-05,0.1485747847672527
27,0.0808080808080808,0.08030383011001302,0.00016672832224754055,0.11739203202338262,0.0,0.055734134252744795
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.12121212121212122,0.12343380597353658,0.013017972189098372,0.23664869931329424,0.0,0.0988625197376101
30,0.0,0.00022193463796908996,2.373401364106094e-05,0.015550348290577914,2.492649400664959e-05,0.0031641886872389433
31,0.0,0.07628416040271788,4.754366301508543e-05,0.164421902937085,0.0,0.04815072140056359
32,0.030303030303030304,0.017075179151090646,0.02561020208215315,0.11614145281841272,3.4257468541909475e-06,0.0378266580203082
33,0.045454545454545456,0.03700808819962775,0.0120447535397379,0.2333073582027868,7.2149064180848654e-06,0.0655643920606232
34,0.0,0.040910836592256444,0.00023959012596428997,0.0798324898596194,2.331743417016696e-06,0.02419704966425143
35,0.0202020202020202,0.02523448812214342,0.0023320350321487013,0.09589791123402663,0.00012437248369678855,0.028758165414807146
36,0.0404040404040404,0.014006378582670752,0.0006529185875903279,0.07078530584901474,4.143542810197687e-06,0.025170557393225285
37,0.03787878787878788,0.014085024813289809,0.032430343949468476,0.11819110324817324,3.947602090192959e-05,0.040524947182124266
38,0.12121212121212122,0.17507493425797185,0.018290676773218613,0.42056275967347695,2.5880473913275637e-05,0.14703327447814035
39,0.03463203463203463,0.0179224635843523,0.000577132204378308,0.14755248500055645,0.00019816843268927187,0.04017645677080219
40,0.07272727272727272,0.006760258563776529,0.0008976075765500407,0.14649109904367286,3.070645107072778e-05,0.04538138887246858
41,0.05303030303030303,0.21598320045333186,0.0034935660910975085,0.14696944001083456,1.5839475963730365e-05,0.08389846981230614
42,0.16666666666666666,0.005567375054280815,0.012503081209415862,0.083739609845104,3.316808943054639e-05,0.05370198017297958
43,0.006060606060606061,0.001765146513765914,0.001098463414471623,0.14445108487876435,1.3085181308269966e-05,0.030677677209783243
44,0.06060606060606061,0.09985898318812723,0.006532757926056729,0.20053530112518964,0.0,0.07350662056908684
45,0.0,0.0002779732139644044,0.0013274665516535883,0.1131323846486786,0.0,0.022947564882859317
46,0.0,0.22293171390487673,0.0003337260234564383,0.1351639004254948,1.581693686603103e-05,0.0716890314581388
47,0.09090909090909091,0.00804927941894982,0.0012570987691300657,0.06926503784084521,0.000153464381583035,0.03392679426391981
48,0.0,0.09129488475447561,0.00023997445841315222,0.07984807146537669,0.0,0.03427658613565309
49,0.09090909090909091,0.024485011655237355,0.010955325871763899,0.2038562532721633,5.7618726714281365e-05,0.06605266008699395
50,0.17676767676767677,0.012639892895314028,0.005038183994094123,0.23466460573401912,8.01285495981574e-05,0.08583809758814044
51,0.12878787878787878,0.007384026252068096,0.0010427633355782823,0.101244974550938,2.5189860025420785e-05,0.04769696655729772
52,0.12121212121212122,0.12343380597353658,0.013017972189098372,0.23664869931329424,0.0,0.0988625197376101
53,0.11363636363636363,0.007438743516998303,0.0022690371030479385,0.1100878132769751,1.4298846508609131e-05,0.04668925127597871
54,0.0,0.008590172039837349,0.001129068471422922,0.16065680409863276,1.8089674540533451e-06,0.03407557071546942
55,0.03787878787878788,0.19262486771067996,0.013321216309565946,0.14127681023808353,2.320369821973145e-05,0.07702497716706741
56,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0202020202020202,0.004365019958993571,0.003778500493186095,0.1110537105163877,0.003007501130923629,0.028481350460302236
58,0.0,0.3338532491997335,0.0021992671543040166,0.13888468925315997,0.00013727319310419261,0.09501489576006035
59,0.0,0.08078460526179239,0.00046068240907295684,0.15054786394280548,0.0,0.046358630322734164
60,0.09090909090909091,0.07582110978418127,3.950255766966477e-05,0.05917834843570996,0.0,0.04518961033733036
61,0.07070707070707072,0.008549914822479793,0.004209232532780092,0.1110517743147146,7.187580195022747e-05,0.03891797363579909
62,0.09090909090909091,0.07582110978418127,3.950255766966477e-05,0.05917834843570996,0.0,0.04518961033733036
63,0.0,0.0,0.0,0.0,0.0,0.0
64,0.030303030303030304,0.007679234524668009,0.000234775161924138,0.11038979122390451,0.0001671191566856578,0.029754790074042525
65,0.030303030303030304,0.0050070702021746925,0.00044598272499175363,0.13279820003538428,5.941710696788505e-06,0.03371204499525556
66,0.12121212121212122,0.4933104784957968,0.3484476300696995,0.24009377418270955,1.0,0.44061280079206544
67,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0017581400957775916,6.450038219080786e-05,0.015539287519227472,2.2780057406635024e-05,0.0034769416109205016
71,0.030303030303030304,0.10126578041682455,0.021707474348781088,0.1148199092894312,0.0,0.05361923887161343
72,0.09090909090909091,0.07582110978418127,3.950255766966477e-05,0.05917834843570996,0.0,0.04518961033733036
73,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0
75,0.09090909090909091,0.10308165275066619,0.0066737333068274,0.20472868978248768,0.0,0.08107863334981444
76,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.029399044414417215,0.0005324166071958719,0.051879127906630476,0.0,0.01636211778564871
