feature,p_value,score,lgbm,rf,gbc,BayesianRidge,xgb,mean
p1_GAP,0.31316998734065965,1.0200456328399545,0.0,0.0,0.0,0.0,0.0,0.0
p1_L,4.593098140151754e-14,61.60650537541141,0.12121212121212122,0.08513872812264514,0.00650916941015466,0.09231119421790128,0.0,0.06103424259256446
p1_M,8.433891349566423e-11,44.72022050348749,0.06060606060606061,0.0031987629734063433,0.00016355522641789524,0.04855594942431809,6.2662743e-06,0.022506118900908652
p1_Q,0.0037961082638069254,8.486311643070056,0.0,0.0009850602645766285,0.0004127090407532827,0.04655063563123097,1.872882e-05,0.00959342675142777
p2_GAP,0.8085042280067364,0.05882082069364338,0.0,0.0,0.0,0.0,0.0,0.0
p2_MDLTPHYG,1.4144209968898134e-05,19.366115292365176,0.09090909090909091,0.0010673324045877637,0.0008767207097934456,0.1775887177899242,7.878797e-06,0.05408994812209483
p2_N,6.887370341504625e-23,111.12819997599547,0.09090909090909091,0.07579019593086271,1.9830825861977808e-06,0.03146885973371417,4.406304e-06,0.039634907192053793
p2_Q,0.21882030937138147,1.5172512821386643,0.0,0.0,0.0,0.0,0.0,0.0
p2_S,6.889258246523651e-73,524.8811030427735,0.0,0.24357566732898808,5.444490841742558e-06,0.0014796651607865779,1.189574e-06,0.04901239331093327
p3_G,1.8314812477063277e-51,315.6032319555119,0.0,0.029772054665184816,0.058565827706926164,0.021730849305535864,5.1284917e-07,0.022013848905363242
p3_GAP,1.415432329186949e-69,488.7479874550944,0.0,0.00280237092256024,2.0996504180783027e-05,0.03313095484307857,3.3144647e-06,0.007191527346908011
p3_K,0.11361733730063156,2.5150956817960357,0.0,0.0,0.0,0.0,0.0,0.0
p4_E,5.7638200596393204e-27,135.98925854734037,0.06060606060606061,0.0011087664545176388,0.0028026584579541602,0.004457888128341943,2.0319305e-06,0.013795481115481855
p4_G,6.671813039752118e-05,16.27175892174611,0.0,0.003644721148243162,0.00015224909692015915,0.11239189982860492,4.552876e-06,0.023238684589935128
p4_GAP,0.41610246040470755,0.6627879715833545,0.0,0.0,0.0,0.0,0.0,0.0
p4_M,0.03232237712255862,4.616157047864645,0.0,0.007967741372376363,0.0,0.014192810068395428,6.285586e-08,0.00443212285932655
p4_R,1.4733478970848067e-11,48.571726670116306,0.0,0.001816388334404592,0.00021182876380535,0.10595989275190727,1.1158309e-06,0.021597845136194498
p4_S,0.008760173000557724,6.944927905427217,0.0,0.0001097385261105296,2.9920221860352896e-06,0.024052280107080635,3.3712113e-05,0.004839744553631712
p4_T,2.3757331501286257e-24,119.89559329327759,0.09090909090909091,0.07579019593086271,1.9830825861977808e-06,0.03146885973371417,4.406304e-06,0.039634907192053793
p5_E,0.006564649102528756,7.473050342751302,0.030303030303030304,0.012753209938849323,0.0007267964379127181,0.06513476798151403,2.6879334e-06,0.021784098518936184
p5_GAP,0.8374681283478365,0.04213905521750617,0.0,0.0,0.0,0.0,0.0,0.0
p5_H,1.10400595312839e-05,19.86479056315509,0.0,0.0003984511605566032,0.0,0.024681332305574396,7.1533015e-07,0.005016099759255268
p5_K,0.07246581729176764,3.2448193764817526,0.0,0.0023400127294318134,0.0,0.0015591267465373242,5.457043e-06,0.0007809193037516682
p5_Q,9.173042571946468e-07,24.933045900152443,0.18181818181818182,0.005692644988314317,0.0002479709429749052,0.08847704707243237,6.370031e-05,0.055259909026464736
p5_R,0.014310524219432144,6.056720723520563,0.0,0.004000655355442126,0.005835417897176052,0.11917101030026152,1.7762331e-06,0.025801771957205566
p6_GAP,7.986591772700515e-74,535.3622766010303,0.15151515151515152,0.00371354804279456,0.03488209501246311,0.09218573327171456,3.3149647e-06,0.05645996856136779
p6_HFM,0.12363497083512093,2.3815224511884066,0.0,0.0,0.0,0.0,0.0,0.0
p6_P,0.08630473520350099,2.957760346236002,0.0,0.0,0.0,0.0,0.0,0.0
p6_Q,1.9954279354826028e-14,63.526976732854884,0.12121212121212122,0.08513872812264514,0.00650916941015466,0.09231119421790128,0.0,0.06103424259256446
p6_R,1.4869198175240414e-06,23.94067171930359,0.0,0.0017962826367191999,8.578583711863147e-05,0.08222939877581426,2.359905e-05,0.016827013259952343
p7_D,1.3621743220498162e-10,43.66926478150265,0.0,0.003184749796786251,0.000658929700677293,0.014975937385988939,8.317916e-06,0.0037655869598248555
p7_E,5.442629682896805e-29,148.82384549293977,0.030303030303030304,0.002917039636514065,7.075245274839973e-05,0.0588435876802838,0.00015401487,0.018457684987712157
p7_GNLMV,0.001135168539300068,10.761256491969608,0.0,0.0024745970833043016,0.0001626925177001058,0.05732913663415536,1.2707292e-05,0.011995826705375284
p7_I,0.006421063636732735,7.5136996974632435,0.0,0.0005867701099871929,0.000448388033316484,0.034264286215703765,3.6962465e-05,0.007067281364790799
p7_K,0.010960974539296621,6.537634716515452,0.0,0.002401311416406842,0.0008540341884571953,0.043787580304752216,1.574282e-08,0.009408588330487327
p7_P,5.651922086566377e-10,40.56878077529511,0.0,0.0011200578678161829,2.9920732007051984e-05,0.008282157726797053,5.332913e-06,0.0018874938479507206
p7_Q,0.03296209960702081,4.582122988636867,0.0,0.00025592472908480196,6.719257491998776e-05,0.05560642704633753,3.005455e-07,0.011185968979170161
p7_S,3.960656547691336e-08,31.480281192187945,0.12121212121212122,0.000530234512896526,4.657427517124374e-05,0.04092806072364368,2.623141e-06,0.032543922772960934
p8_E,3.6912090881516815e-16,72.8489069702927,0.0,0.03835633129684168,0.002009322547233829,0.07599025551822981,9.503426e-05,0.023290188724114168
p8_FWAGH,0.9942442094732002,5.2110576216724957e-05,0.0,0.0,0.0,0.0,0.0,0.0
