feature,p_value,score,rf,xgb,gbc,lgbm,BayesianRidge,mean
p1_GAP,0.8005957409844279,0.06404476021844319,0.0,0.0,0.0,0.0,0.0,0.0
p1_L,0.002591847502585961,9.419728928449283,0.005922241557648264,2.2218363e-05,0.0013910936888785156,0.0,0.027520858308382336,0.006971282383496577
p1_M,7.205837143029163e-05,16.769539523006458,0.033691477771227746,7.3530224e-05,0.001428446687554032,0.0,0.22376594905163627,0.0517918807468325
p1_P,0.10462814336450284,2.6690783528765465,0.0,0.0,0.0,0.0,0.0,0.0
p1_TQGVYEI,0.006165495851684461,7.741077682927018,0.01633084467016236,6.3278353e-06,3.690136230757683e-05,0.0,0.0032987165600353585,0.003934558085562695
p2_GAP,0.9340002912472094,0.00688341407935881,0.0,0.0,0.0,0.0,0.0,0.0
p2_M,0.2658088870352529,1.2485015695507686,0.0,0.0,0.0,0.0,0.0,0.0
p2_N,0.5696867215575706,0.3247843581162387,0.0,0.0,0.0,0.0,0.0,0.0
p2_S,9.454110859245472e-12,55.58581104403917,0.0626316072936475,0.00023565312,0.0024806053145726733,0.0,0.2177066657268189,0.05661090629072374
p2_TQHY,0.8761812289081035,0.024368972639881033,0.0,0.0,0.0,0.0,0.0,0.0
p3_E,0.00012146016909277027,15.661838094920592,0.004332764060834694,1.1312338e-05,0.0021692997403709915,0.0,0.24477898053773606,0.05025847133535773
p3_FSKDYPLQWTV,1.2363355146717705e-05,20.593614652901834,0.03258841408331115,0.00092432945,0.00031160822167960675,0.0,0.3568979387367574,0.07814445809795477
p3_G,0.06353224948072274,3.4996100647227704,0.0,0.0,0.0,0.0,0.0,0.0
p3_GAP,0.8817355439112987,0.02221568558634491,0.0,0.0,0.0,0.0,0.0,0.0
p4_GAP,3.703749935863812e-07,28.57469078190271,0.021956111770870118,8.661068e-07,0.00024431839779365873,0.3333333333333333,0.011651776731774068,0.07343728126811469
p4_M,0.027825314208287828,4.94438506824556,0.019791405453827102,0.00033547863,0.00013855019072651337,0.0,0.155752443731637,0.0352035756015009
p4_R,2.4190404326874776e-08,35.11635347266334,0.11780569008289563,0.00016624496,0.0013279684473633706,0.0,0.08166790366431163,0.04019356143190017
p4_SEIPVN,0.5797587596253551,0.30810242856861014,0.0,0.0,0.0,0.0,0.0,0.0
p4_T,0.13672095841416715,2.24088844001107,0.0,0.0,0.0,0.0,0.0,0.0
p5_E,0.023316102034449313,5.262969373539734,0.003246247057926229,1.0185801e-05,5.768069046235554e-05,0.06666666666666667,0.14401896903162092,0.042799949849601136
p5_GAP,1.3453580775468123e-10,48.378304939893155,0.13817737895985874,7.777404e-07,0.0036480478191988817,0.0,0.024623234920908572,0.03328988788807539
p5_KAHPLVS,0.29789521755886994,1.0919414511856183,0.0,0.0,0.0,0.0,0.0,0.0
p5_M,0.09995455258473862,2.7435254334777093,0.0,0.0,0.0,0.0,0.0,0.0
p5_Q,0.004570257990903993,8.315903893104633,0.0036545049160317433,1.3566815e-05,2.4783210876483464e-05,0.0,0.11181909191664041,0.023102389371738034
p5_R,0.02125897849942631,5.430532033368301,0.049848099386767444,0.00016341255,0.0021924681908589328,0.0,0.2862482380207096,0.06769044362987646
p6_E,5.030421938927596e-08,33.33244476697424,0.0027864164030865766,0.002541308,0.004832875113864345,0.0,0.17730622116118475,0.03749336414731229
p6_G,0.07605108688777029,3.1958765062277035,0.0,0.0,0.0,0.0,0.0,0.0
p6_GAP,0.5682397326227873,0.327228871099844,0.0,0.0,0.0,0.0,0.0,0.0
p6_HKS,0.5827801033367845,0.3032104299443291,0.0,0.0,0.0,0.0,0.0,0.0
p6_P,0.043367323467393505,4.1583245522529095,0.04942194817387584,3.658273e-06,2.3230556404529604e-05,0.0,0.023374006446740342,0.014564568690013041
p6_Q,0.04792084931550691,3.9843858948207487,0.0,0.0,0.0,0.0,0.0,0.0
p6_R,1.7711540243919647e-06,24.954443732584824,0.008968167483083432,1.1458984e-07,1.4482605089945725e-05,0.0,0.18303736514401836,0.03840402596440596
p7_D,0.07985708200778667,3.114206250792275,0.0,0.0,0.0,0.0,0.0,0.0
p7_E,4.247841091919976e-08,33.74258577013843,0.05823095120219462,0.00042529526,0.0008799270539560226,0.0,0.2450382578128442,0.06091488626659787
p7_G,0.0023870384637575217,9.581462662117856,0.005242019284437897,0.00014528134,0.003725070421805113,0.0,0.07438026645992893,0.016698527502211388
p7_GAP,0.7034576838110123,0.14551128644521066,0.0,0.0,0.0,0.0,0.0,0.0
p7_I,0.5974866215060477,0.28011814053768325,0.0,0.0,0.0,0.0,0.0,0.0
p7_K,0.8613636677842704,0.030614393424552258,0.0,0.0,0.0,0.0,0.0,0.0
p7_L,0.5297795900231504,0.3968460067686083,0.0,0.0,0.0,0.0,0.0,0.0
