feature,BayesianRidge,rf,Adaboost,gbc,xgb,mean
1,0.05770022204638523,0.00850234110428722,0.00019935428432591175,0.0005111946572088463,6.2108210840960965e-06,0.01338386458265826
2,0.20907287926979165,0.10771055096631274,0.0,8.450513295606699e-05,4.5445958676282316e-05,0.06338267626554735
3,0.1535481972288681,0.019906233173742578,0.007528334554442686,0.00032205139697022927,0.00025429713423363864,0.036311822697651444
4,0.14111456956401253,0.03028088910454246,0.0011441636501064543,0.02514442284919576,6.110170943429694e-06,0.039538031067760125
5,0.1462970144318278,0.02940230817076691,0.00894023416061134,0.0001980049966481643,1.4898932931828313e-05,0.03697049213855721
6,0.15012762285306339,0.0019418449968162997,5.382487754767338e-05,0.0021876319461440236,1.2063616850355174e-05,0.030864597658084348
7,0.17847419121395736,0.025183690340574272,0.006963954798424345,0.000826214139308017,4.1061780393647496e-06,0.04229043133406067
8,0.0316361408187554,0.04572782102315568,0.006275610687558382,0.12739645487177909,6.389673785633931e-07,0.042207333273725424
9,0.13395958247036813,0.0029058016996877044,0.0005870984787977397,0.0022729926402597473,1.112827430915786e-05,0.027947320712684492
10,0.22244960006195202,0.03907333853969706,0.0,0.056574713831330406,5.40827022632584e-05,0.06363034702704855
11,0.15283550939491775,0.14035689255569528,0.0,0.20215410353741042,3.6417402498045703e-06,0.09907002944565466
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.2630541807366915,0.020956440835870407,0.0027601668452918453,0.0038422202161216053,6.411324284272268e-05,0.05813542437536362
14,0.08812376121088232,0.02575976266186533,2.6056008905655682e-05,0.00022794521959451476,3.4753022191580385e-05,0.02283445562468788
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.3847038598181068,0.020698471502137706,0.003609439254065733,0.030448113856032064,0.0010512241860851645,0.0881022217232855
17,0.38538804669185733,0.29136016280817517,0.17638465715997795,0.15744762367985454,1.121366381084954e-06,0.20211632234124927
18,0.14459359281573952,0.0222771422912834,0.03598810952109718,0.0014265417703042034,0.0006922806496731937,0.040995533409619506
19,0.24805398270600337,0.025254878158203018,0.0,0.056056840285733905,3.5127002774970606e-05,0.06588016563054307
20,0.16960663932963085,0.019352126429871424,0.05352703775280908,0.0008467838555631773,1.0964170904514958e-08,0.048666519666409086
21,0.0008581257631311409,0.029835372311996233,0.08020651882996588,0.5569108432553065,2.453546414926677e-07,0.13356222110300825
22,0.12907820067709597,0.004458114207600371,0.00036579976477268375,4.573206645431134e-05,2.3955404685693793e-05,0.026794360424121803
23,0.04519529783393175,0.004776927167669706,0.0,8.272739239516708e-05,0.0,0.010010990478799326
24,0.04691799668079979,0.1870047598411116,0.0,0.24707051406212371,0.0,0.09619865411680702
25,0.2066786571774734,0.03232644222758477,0.022607581298859543,0.0388000707424886,1.6857009654813737e-07,0.060082584003300576
26,0.06267167518914397,0.07625750940945156,0.05352703775280908,0.0007022589448921403,0.0,0.03863169625925936
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.12212701101754739,0.04913777654785525,0.0,0.05757996855667961,1.2529309187381266e-11,0.04576895122692231
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.16438559199277625,0.037903744648152396,0.00855956410784495,0.002468831731888907,0.0,0.0426635464961325
31,0.0,0.0,0.0,0.0,0.0,0.0
32,0.16914302789118044,0.00822602722577433,0.0168738231986047,0.0,0.0,0.038848575663111895
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.16986678337560784,0.023656421440745656,0.0,5.238925221924461e-05,5.380178663472179e-06,0.03871619484944724
35,0.0,0.0,0.0,0.0,0.0,0.0
36,0.17945641735406306,0.02475915786970066,0.0,0.057942547212822056,0.0,0.052431624487317155
37,0.2553947651626326,0.0868284504558428,0.1345252991035085,0.02812462710691804,1.1074721442128066e-05,0.1009768433100688
38,0.2796042267037398,0.23520944021535975,0.00010294154494224456,0.008788961643177285,7.004015515121864e-06,0.10474251482454686
39,0.11749955153903971,0.00025659166031239246,0.0,4.106194412087313e-05,2.2084366719354875e-05,0.023563857902038465
40,0.11755680209103771,0.034595928143471635,0.018350324698055743,0.0039956171074226445,4.76894592793542e-06,0.03490068819718313
41,0.2417583727500298,0.0025106402653117107,0.00033623424257221186,0.0005040390480530934,4.02881923946552e-05,0.04902991489967229
42,0.2591414038883628,0.010202185124697973,0.0017078280572973053,0.006820986017081829,0.00013927790860179812,0.05560233619920833
43,0.09218028670875468,0.030413143715615345,0.035684691835206055,0.037689741309246454,1.6000418767703195e-08,0.03919357591384826
44,0.3385991739192847,0.0014654171358524436,0.0,0.00036039457918877175,1.6807502106530592e-05,0.06808835862728649
45,0.08439650129580206,0.17858499584677814,0.0,2.6559640557806278e-05,4.7193479986162856e-05,0.05261105005262484
46,0.0,0.0,0.0,0.0,0.0,0.0
47,0.044306378660215896,0.1183418260030265,0.0029876287175726038,8.524082767330011e-05,0.0,0.03314421484169766
48,0.2108818642671483,0.22172636082079739,0.13740393219218525,0.6566418455591109,6.1396581259032246e-06,0.24533202849947355
49,0.3369171711064572,0.04178026013916215,0.004635045265962129,0.0026218124843413754,7.415627624141052e-05,0.07720568905443286
50,0.13650844344288898,0.007456568439923041,0.0005516864084136286,0.0019083283756409048,2.0377900000312366e-05,0.029289080913373372
51,0.004747414942594315,0.049369008859586117,0.0,0.047145071405782675,0.0,0.02025229904159262
52,0.11650171290557645,0.03803233273615834,0.0,5.6236215505921256e-05,1.021915295496001e-06,0.030918260754507244
53,0.12134692055192178,0.06699557352512286,0.0,0.008908153997548717,0.0,0.03945012961491867
54,0.28713058260247964,0.3126446679532902,0.5164021696251523,0.293754497280937,0.19907519221305847,0.3218014219349835
55,0.0,0.0,0.0,0.0,0.0,0.0
56,0.5218782204704803,0.024524091344677815,0.022827179842600923,0.012696227447346524,0.00011242756590945646,0.11640762933420301
57,0.21135294843990354,0.03391493634076332,0.007923733377319825,0.05201167631204723,1.4623418564951862e-07,0.061040688140843916
58,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0
60,0.20979635776294717,0.024776861449603522,0.00421624333479351,0.00014059444637981158,0.0,0.047786011398744804
