Column1,Lambda_Max
Bovine,500
S1,502
S2,502
S3,481
S4,494
S5,494
S6,491
S7,486
S8,490
S9,490
S10,499
S11,493
S12,498
S13,495
S14,499
S15,492
S16,501
S17,488
S18,487
S19,498
S20,502
S21,500
S22,497
S23,488
S24,501
S25,504
S26,496
S27,500
S28,498
S29,505
S30,500
S31,490
S32,498
S33,502
S34,484
S35,488
S36,501
S37,488
S38,491
S39,503
S40,497.9
S41,503.8
S42,498
S43,499.4
S44,499.5
S45,489.5
S46,492.5
S47,481
S48,496
S49,497
S50,495.5
S51,499
S52,493
S53,493.5
S54,496.5
S55,491
S56,497.5
S57,496
S58,500
S59,500
S60,493
S61,500
S62,500
S63,491
S64,497
S65,494
S66,493
S67,492
S68,489
S69,498
S70,500
S71,491
S72,500
S73,503
S74,502
S75,494
S76,501
S77,501
S78,501
S79,501
S80,482
S81,502
S82,501
S83,502
S84,496
S85,485
S86,486
S87,486
S88,485
S89,496
S90,483
S91,526
S92,489
S93,492
S94,507
S95,486
S96,491
S97,479
S98,504
S99,489
S100,502
S101,491
S102,498
S103,479
S104,488
S105,486
S106,482
S107,482
S108,497
S109,526
S110,501
S111,507
S112,484
S113,504
S114,490
S115,489
S116,478
S117,511
S118,503
S119,488
S120,488
S121,501
S122,488
S123,494
S124,491
S125,492
S126,490
S127,501
S128,504
S129,495
S130,499
S131,498
S132,494
S133,501
S134,490
S135,502
S136,483
S137,500
S138,489
S139,524
S140,552
S141,489
S142,501
S143,485
S144,489
S145,492
S146,501
S147,499
S148,494
S149,491
S150,501
S151,482
S152,494
S153,488
S154,488
S155,482
S156,482
S157,490
S158,467
S159,496
S160,496
S161,492
S162,496
S163,488
S164,481
S165,495
S166,512
S167,511
S168,467
S169,480
S170,452
S171,459
S172,469
S173,496
S174,491
S175,482
S176,492
S177,494
S178,493
S179,492
S180,471
S181,489
S182,467
S183,467
S184,488
S185,505
S186,464
S187,464
S188,463
S189,465
S190,467
S191,465
S192,468
S193,466
S194,470
S195,471
S196,472
S197,536
S198,501
S199,554
S200,562.8
S201,544
S202,463
S203,458
S204,452
S205,465
S206,453
S207,499
S208,500
S209,497
S210,499
S211,508
S212,500
S213,497
S214,501
S215,502
S216,500
S217,501
S218,500
S219,502
S220,502
S221,501
S222,498
S223,499
S224,500
S225,359
S226,355
S227,423
S228,356
S229,358
S230,360
S231,393
S232,359
S233,415
S234,363
S235,414
S236,359
S237,358
S238,438
S239,420
S240,419
S241,420
S242,489
S243,488
S244,484
S245,501
S246,498
S247,502
S248,465
S249,453
S250,452
S251,458
S252,463
S253,502
S254,510
S255,514
S256,520
S257,512
S258,514
S259,492
S260,503
S261,505
S262,485
S263,502
S264,502
S265,500
S266,506
S267,502
S268,502
S269,503
S270,488
S271,511
S272,506
S273,495
S274,467
S275,503
S276,505
S277,508
S278,359
S279,425
S280,358
S281,393
S282,415
S283,371
S284,424
S285,359
S286,358
S287,443
S288,437
S289,448
S290,441
S291,455
S292,559
S293,561
S294,558
S295,560
S296,571
S297,530
S298,560
S299,553
S300,509
S301,508
S302,509
S303,524
S304,553
S305,545
S306,531
S307,516
S308,532
S309,482
S310,481
S311,359
S312,359
S313,397
S314,397
S315,382
S316,363
S317,405
S318,369
S319,371
S320,389
S321,358
S322,359
S323,569
S324,352
S325,578
S326,571
S327,562
S328,516
S329,519
S330,516
S331,476
S332,438
S333,408
S334,353
S335,503
S336,358
S337,439
S338,497
S339,492
S340,420
S341,358
S342,388
S343,419
S344,360
S345,360
S346,363
S347,357
S348,366
S349,380
S350,372
S351,419
S352,420
S353,361
S354,508
S355,505
S356,502
S357,498
S358,414
S359,424
S360,417
S361,434
S362,383
S363,491
S364,492
S365,491
S366,502
S367,489
S368,461
S369,484
S370,377
S371,480
S372,485
S373,486
S374,486
S375,484
S376,481
S377,561
S378,500
S379,499
S380,404
S381,450
S382,486
S383,479
S384,539
S385,502
S386,420
S387,360
S388,360
S389,435
S390,452
S391,516
S392,492
S393,448
S394,516
S395,494
S396,447
S397,517
S398,486
S399,469
S400,516
S401,491
S402,460
S403,519
S404,491
S405,462
S406,517
S407,493
S408,493
S409,516
S410,508
S411,512
S412,508
S413,508
S414,510
S415,508
S416,508
S417,516
S418,515
S419,514
S420,516
S421,515
S422,516
S423,516
S424,514
S425,513
S426,514
S427,515
S428,469
S429,454
S430,463
S431,462
S432,485
S433,416
S434,452
S435,466
S436,438
S437,408
S438,439
S439,405
S440,448
S441,397
S442,416
S443,443
S444,416
S445,418
S446,416
S447,417
S448,416
S449,417
S450,418
S451,417
S452,417
S453,417
S454,416
S455,419
S456,443
S457,443
S458,442
S459,440
S460,437
S461,441
S462,444
S463,443
S464,442
S465,442
S466,487
S467,484
S468,477
S469,498
S470,453
S471,467
S472,476
S473,488
S474,505
S475,528
S476,519
S477,484
S478,423
S479,368
S480,511
S481,505
S482,502
S483,441
S484,507
S485,508
S486,491
S487,504
S488,486
S489,504
S490,487
S491,511
S492,525
S493,508
S494,508
S495,508
S496,508
S497,509
S498,503
S499,488
S500,491
S501,491
S502,489
S503,505
S504,488
S505,489
S506,474
S507,524
S508,488
S509,499
S510,497
S511,495
S512,500
S513,478
S514,495
S515,493
S516,511
S517,491
S518,484
S519,499
S520,361
S521,360
S522,359
S523,360
S524,360
S525,393
S526,359
S527,360
S528,361
S529,362
S530,361
S531,361
S532,361
S533,392
S534,392
S535,398
S536,392
S537,359
S538,377
S539,357
S540,383
S541,357
S542,369
S543,374
S544,374
S545,374
S546,374
S547,375
S548,375
S549,360
S550,393
S551,393
S552,366
S553,360
S554,398
S555,360
S556,360
S557,359
S558,383
S559,410
S560,389
S561,417
S562,421
S563,422
S564,360
S565,361
S566,404
S567,404
S568,408
S569,404
S570,418
S571,355
S572,380
S573,408
S574,385
S575,411
S576,421
S577,422
S578,361
S579,359
S580,394
S581,360
S582,355
S583,359
S584,361
S585,370
S586,359
S587,361
S588,357
S589,360
S590,391
S591,391
S592,360
S593,359
S594,363
S595,361
S596,358
S597,363
S598,363
S599,383
S600,385
S601,423
S602,365
S603,360
S604,360
S605,396
S606,414
S607,414
S608,381
S609,363
S610,405
S611,359
S612,359
S613,359
S614,359
S615,359
S616,359
S617,359
S618,359
S619,359
S620,359
S621,359
S622,359
S623,359
S624,359
S625,359
S626,359
S627,359
S628,359
S629,359
S630,381
S631,363
S632,403
S633,395
S634,412
S635,411
S636,360
S637,359
S638,352
S639,369
S640,498
S641,367
S642,412
S643,416
S644,359
S645,360
S646,411
S647,360
S648,552
S649,558
S650,563
S651,563
S652,561
S653,558
S654,558
S655,536
S656,561
S657,564
S658,532
S659,553
S660,532
S661,533
S662,532
S663,554
S664,553
S665,532
S666,533
S667,532
S668,501.7
S669,499
S670,359
S671,376
S672,358
S673,358
S674,424
S675,430
S676,354
S677,351
S678,367
S679,361
S680,431
S681,403
S682,363
S683,403
S684,365
S685,363
S686,500
S687,499
S688,482
S689,482
S690,482
S691,431
S692,443
S693,433
S694,363
S695,370
S696,365
S697,430
S698,353
S699,353
S700,415
S701,352
S702,365
S703,371
S704,429
S705,425
S706,485
S707,482
S708,494
S709,490
S710,551
S711,539
S712,532
S713,532
S714,533
S715,533
S716,545
S717,545
S718,546
S719,546
S720,558
S721,559
S722,556
S723,559
S724,555
S725,536
S726,550
S727,543
S728,527
S729,533
S730,545
S731,536
S732,525
S733,522
S734,516
S735,534
S736,512
S737,532
S738,439
S739,439
S740,438
S741,438
S742,438
S743,439
S744,438
S745,439
S746,442
S747,438
S748,439
S749,444
S750,448
S751,444
S752,449
S753,448
S754,450
S755,453
