Seqs,Lambda_Max
Bovine,500
S1,502
S2,502
S3,481
S4,494
S5,494
S6,491
S7,486
S8,490
S9,490
S10,499
S11,493
S12,498
S13,495
S14,499
S15,492
S16,501
S17,488
S18,487
S19,498
S20,502
S21,500
S22,497
S23,488
S24,501
S25,504
S26,496
S27,500
S28,498
S29,505
S30,500
S31,490
S32,498
S33,502
S34,484
S35,488
S36,501
S37,488
S38,491
S39,503
S40,497.9
S41,503.8
S42,498
S43,499.4
S44,499.5
S45,489.5
S46,492.5
S47,481
S48,496
S49,497
S50,495.5
S51,499
S52,493
S53,493.5
S54,496.5
S55,491
S56,497.5
S57,496
S58,500
S59,500
S60,493
S61,500
S62,500
S63,491
S64,497
S65,494
S66,493
S67,492
S68,489
S69,498
S70,500
S71,491
S72,500
S73,503
S74,502
S75,494
S76,501
S77,501
S78,501
S79,501
S80,482
S81,502
S82,501
S83,502
S84,496
S85,485
S86,486
S87,486
S88,485
S89,496
S90,483
S91,526
S92,489
S93,492
S94,507
S95,486
S96,491
S97,479
S98,504
S99,489
S100,502
S101,491
S102,498
S103,479
S104,488
S105,486
S106,482
S107,482
S108,497
S109,526
S110,501
S111,507
S112,484
S113,504
S114,490
S115,489
S116,478
S117,511
S118,503
S119,488
S120,488
S121,501
S122,488
S123,494
S124,491
S125,492
S126,490
S127,501
S128,504
S129,495
S130,499
S131,498
S132,494
S133,501
S134,490
S135,502
S136,483
S137,500
S138,489
S139,524
S140,552
S141,489
S142,501
S143,485
S144,489
S145,492
S146,501
S147,499
S148,494
S149,491
S150,501
S151,482
S152,494
S153,488
S154,488
S155,482
S156,482
S157,490
S158,467
S159,496
S160,496
S161,492
S162,496
S163,488
S164,481
S165,495
S166,512
S167,511
S168,467
S169,480
S170,452
S171,459
S172,469
S173,496
S174,491
S175,482
S176,492
S177,494
S178,493
S179,492
S180,471
S181,489
S182,467
S183,467
S184,488
S185,505
S186,464
S187,464
S188,463
S189,465
S190,467
S191,465
S192,468
S193,466
S194,470
S195,471
S196,472
S197,536
S198,501
S199,554
S200,562.8
S201,544
S202,463
S203,458
S204,452
S205,465
S206,453
S207,499
S208,500
S209,497
S210,499
S211,508
S212,500
S213,497
S214,501
S215,502
S216,500
S217,501
S218,500
S219,502
S220,502
S221,501
S222,498
S223,499
S224,500
S225,359
S226,355
S227,423
S228,356
S229,358
S230,360
S231,393
S232,359
S233,415
S234,363
S235,414
S236,359
S237,358
S238,438
S239,420
S240,419
S241,420
S242,489
S243,488
S244,484
S245,501
S246,498
S247,502
S248,465
S249,453
S250,452
S251,458
S252,571
S253,540
S254,538
S255,542
S256,547
S257,561
S258,565
S259,569
S260,542
S261,558
S262,560
S263,561
S264,566
S265,556
S266,550
S267,543
S268,545
S269,543
S270,550
S271,547
S272,548
S273,546
S274,550
S275,543
S276,552
S277,554
S278,551
S279,551
S280,549
S281,463
S282,502
S283,510
S284,514
S285,520
S286,512
S287,514
S288,492
S289,503
S290,505
S291,485
S292,502
S293,502
S294,500
S295,506
S296,502
S297,502
S298,503
S299,488
S300,511
S301,506
S302,495
S303,467
S304,503
S305,505
S306,508
S307,359
S308,425
S309,358
S310,393
S311,415
S312,371
S313,424
S314,359
S315,358
S316,443
S317,437
S318,448
S319,441
S320,455
S321,559
S322,561
S323,558
S324,560
S325,571
S326,530
S327,560
S328,553
S329,509
S330,508
S331,509
S332,524
S333,553
S334,545
S335,531
S336,516
S337,532
S338,482
S339,481
S340,359
S341,359
S342,397
S343,397
S344,382
S345,363
S346,405
S347,369
S348,371
S349,389
S350,358
S351,359
S352,435
S353,500
S354,569
S355,352
S356,578
S357,450
S358,440
S359,528
S360,530
S361,516
S362,527
S363,526
S364,528
S365,475
S366,508
S367,535
S368,520
S369,526
S370,533
S371,528
S372,571
S373,562
S374,516
S375,519
S376,516
S377,476
S378,438
S379,408
S380,353
S381,503
S382,358
S383,439
S384,497
S385,492
S386,420
S387,358
S388,388
S389,419
S390,360
S391,360
S392,363
S393,357
S394,366
S395,380
S396,372
S397,419
S398,420
S399,361
S400,508
S401,505
S402,502
S403,498
S404,414
S405,424
S406,417
S407,434
S408,383
S409,491
S410,492
S411,491
S412,502
S413,489
S414,461
S415,484
S416,377
S417,480
S418,485
S419,486
S420,486
S421,484
S422,481
S423,450
S424,437
S425,446
S426,425
S427,420
S428,430
S429,561
S430,500
S431,499
S432,404
S433,450
S434,486
S435,479
S436,539
S437,502
S438,525
S439,521
S440,509
S441,510
S442,521
S443,513
S444,515
S445,513
S446,496
S447,508
S448,505
S449,498
S450,505
S451,500
S452,494
S453,505
S454,420
S455,360
S456,360
S457,435
S458,431
S459,430
S460,429
S461,430
S462,431
S463,435
S464,439
S465,431
S466,452
S467,516
S468,492
S469,448
S470,516
S471,494
S472,447
S473,517
S474,486
S475,469
S476,516
S477,491
S478,460
S479,519
S480,491
S481,462
S482,517
S483,493
S484,493
S485,516
S486,508
S487,512
S488,508
S489,508
S490,510
S491,508
S492,508
S493,516
S494,515
S495,514
S496,516
S497,515
S498,516
S499,516
S500,514
S501,513
S502,514
S503,515
S504,469
S505,454
S506,463
S507,462
S508,485
S509,416
S510,452
S511,466
S512,438
S513,408
S514,439
S515,405
S516,448
S517,397
S518,416
S519,443
S520,416
S521,418
S522,416
S523,417
S524,416
S525,417
S526,418
S527,417
S528,417
S529,417
S530,416
S531,419
S532,443
S533,443
S534,442
S535,440
S536,437
S537,441
S538,444
S539,443
S540,442
S541,442
S542,487
S543,484
S544,477
S545,498
S546,453
S547,467
S548,476
S549,488
S550,505
S551,528
S552,519
S553,484
S554,423
S555,368
S556,511
S557,505
S558,502
S559,441
S560,507
S561,508
S562,491
S563,504
S564,486
S565,504
S566,487
S567,511
S568,525
S569,508
S570,508
S571,508
S572,508
S573,509
S574,503
S575,488
S576,491
S577,491
S578,489
S579,505
S580,488
S581,489
S582,474
S583,524
S584,488
S585,499
S586,497
S587,495
S588,500
S589,478
S590,495
S591,493
S592,511
S593,491
S594,484
S595,499
S596,361
S597,360
S598,359
S599,360
S600,360
S601,393
S602,359
S603,360
S604,361
S605,362
S606,361
S607,361
S608,361
S609,392
S610,392
S611,398
S612,392
S613,359
S614,377
S615,357
S616,383
S617,357
S618,369
S619,374
S620,374
S621,374
S622,374
S623,375
S624,375
S625,360
S626,393
S627,393
S628,366
S629,360
S630,398
S631,360
S632,360
S633,359
S634,383
S635,410
S636,389
S637,417
S638,421
S639,422
S640,360
S641,361
S642,404
S643,404
S644,408
S645,404
S646,418
S647,355
S648,380
S649,408
S650,385
S651,411
S652,421
S653,422
S654,361
S655,359
S656,394
S657,360
S658,355
S659,359
S660,361
S661,370
S662,359
S663,361
S664,357
S665,360
S666,391
S667,391
S668,360
S669,359
S670,363
S671,361
S672,358
S673,363
S674,363
S675,383
S676,385
S677,423
S678,365
S679,360
S680,360
S681,396
S682,414
S683,414
S684,381
S685,363
S686,405
S687,359
S688,359
S689,359
S690,359
S691,359
S692,359
S693,359
S694,359
S695,359
S696,359
S697,359
S698,359
S699,359
S700,359
S701,359
S702,359
S703,359
S704,359
S705,359
S706,381
S707,363
S708,403
S709,395
S710,412
S711,411
S712,360
S713,359
S714,352
S715,369
S716,498
S717,367
S718,412
S719,416
S720,359
S721,360
S722,411
S723,360
S724,552
S725,558
S726,363
S727,511
S728,431
S729,356
S730,357
S731,442
S732,584
S733,509
S734,572
S735,507
S736,559
S737,358
S738,507
S739,511
S740,519
S741,563
S742,563
S743,561
S744,558
S745,558
S746,536
S747,561
S748,564
S749,532
S750,553
S751,532
S752,533
S753,532
S754,554
S755,553
S756,532
S757,533
S758,532
S759,501.7
S760,499
S761,359
S762,376
S763,358
S764,358
S765,424
S766,430
S767,354
S768,351
S769,367
S770,361
S771,431
S772,403
S773,363
S774,403
S775,365
S776,363
S777,539
S778,611
S779,542
S780,557
S781,577
S782,532
S783,532
S784,537
S785,518
S786,500
S787,499
S788,482
S789,482
S790,482
S791,431
S792,443
S793,433
S794,363
S795,370
S796,365
S797,430
S798,353
S799,353
S800,415
S801,352
S802,365
S803,371
S804,429
S805,425
S806,485
S807,482
S808,494
S809,490
S810,551
S811,539
S812,532
S813,532
S814,533
S815,533
S816,545
S817,545
S818,546
S819,546
S820,558
S821,559
S822,556
S823,559
S824,555
S825,536
S826,550
S827,543
S828,527
S829,533
S830,545
S831,536
S832,525
