Column1,Lambda_Max
Bovine,500
S1,524
S2,552
S3,501
S4,562.8
S5,544
S6,559
S7,561
S8,558
S9,560
S10,571
S11,530
S12,560
S13,553
S14,509
S15,508
S16,509
S17,524
S18,553
S19,545
S20,531
S21,516
S22,532
S23,482
S24,481
S25,571
S26,562
S27,516
S28,519
S29,383
S30,491
S31,492
S32,491
S33,502
S34,489
S35,461
S36,484
S37,377
S38,561
S39,539
S40,511
S41,505
S42,511
S43,525
S44,552
S45,558
S46,563
S47,563
S48,561
S49,558
S50,558
S51,536
S52,561
S53,564
S54,532
S55,553
S56,532
S57,533
S58,532
S59,554
S60,553
S61,532
S62,533
S63,532
S64,551
S65,539
S66,532
S67,532
S68,533
S69,533
S70,545
S71,545
S72,546
S73,546
S74,558
S75,559
S76,556
S77,559
S78,555
S79,536
S80,550
S81,543
S82,527
S83,533
S84,545
S85,536
S86,525
S87,522
S88,516
S89,534
S90,512
S91,532
