feature,BayesianRidge,xgb,LassoLars,Lasso,lgbm,mean
1,0.2104912383577803,3.3218677799595753e-06,0.0,0.0,0.0,0.042098912045112055
2,0.18299340350019608,3.0108383725746535e-05,0.0,0.0,0.0,0.036604702376784364
3,0.15709620627308038,2.0705978386104107e-05,0.0,0.030173278967111642,0.041666666666666664,0.045791371577048955
4,0.22366563121286379,4.1390641854377463e-05,0.14826573579733437,0.3565960082169558,0.0,0.14571375317380167
5,0.08978352131406865,2.8346181352389976e-05,0.0,0.0,0.0,0.017962373499084208
6,0.18790845160521802,4.80337405406317e-07,0.0,0.370318302923699,0.0625,0.12414544697326449
7,0.17631845673667765,0.00015438557602465153,0.0,0.07301257782844357,0.175,0.08489708402822918
8,0.11627480558521876,8.51900695124641e-05,0.0,0.045345454836684236,0.0,0.03234109009828309
9,0.058626888888335116,2.4965700617940456e-08,0.0,0.04979078418663141,0.0,0.021683539608133427
10,0.10220523062054554,5.733452780987136e-06,0.0,0.5028183429803934,0.0,0.12100586141074399
11,0.15967090237298573,0.3333335518836975,0.02343879573645478,0.0,0.25,0.15328864999862762
12,0.0069411230813234,0.0,0.0,0.0,0.0,0.0013882246162646799
13,0.03951252448674026,5.7514748732501175e-06,0.0,0.0,0.1875,0.0454036551923227
14,0.07345664486007826,2.0651990780606866e-05,0.0,0.049514916915995064,0.0,0.024598442753370788
15,0.19928638512447053,4.953102325089276e-05,0.0,0.10637736475939738,0.10416666666666667,0.0819759895147571
16,0.00014552897356927898,2.2593534154680128e-08,0.0,0.0,0.0,2.9110313420686733e-05
17,0.20541252407179483,1.285617963731056e-05,0.0359054119058171,0.022746233435149737,0.0,0.0528154051184798
18,0.24360018195027897,2.9184482173150172e-06,0.0,0.21081965885179024,0.2916666666666667,0.14921788518339066
19,0.36838279873918434,7.812964781805931e-07,0.0,0.0,0.2916666666666667,0.13201004934046584
20,0.07364102901985371,2.0732786651933566e-05,0.0,0.0,0.0,0.014732352361301129
21,0.03997597044217662,0.0,0.0,0.0,0.0,0.007995194088435324
22,0.2756482320558402,2.174792568254702e-09,0.0,0.0,0.5,0.15512964684612657
23,0.28554833026909454,3.277835276094265e-05,0.0,0.03629309526303033,0.0,0.06437484077697717
24,0.04441300123089684,3.108029341092333e-05,0.0,0.0,0.0,0.008888816304861552
25,0.18487306502151502,1.355297854388482e-06,0.0,0.23726252634881007,0.0,0.08442738933363589
26,0.17910302650176801,0.00016823587066028267,0.0,0.07948993776946456,0.125,0.07675224002837858
27,0.18259352455281544,0.0,0.07559090910476075,0.062130757970733794,0.0625,0.076563038325662
28,0.3265408915047374,1.5293677506633685e-06,0.0,0.0,0.0,0.06530848417449761
29,0.15265181872526037,0.0,0.0,0.0,0.0,0.030530363745052073
30,0.2601639111414829,6.109269889975621e-08,0.0,0.2649359634382609,0.0,0.10501998713448854
31,0.05360169687704381,0.0,0.0,0.0,0.0,0.010720339375408762
32,0.12639609324886242,0.0,0.0,0.0,0.0,0.025279218649772485
33,0.19532317005369468,7.444841685355641e-07,0.0,0.0,0.0,0.03906478290757264
34,0.0848594887457934,2.619702570427762e-07,0.0,0.0,0.0,0.01697195014321009
35,0.11916553676183436,2.5412984996364685e-06,0.15863705123152252,0.11118482869296142,0.10416666666666667,0.09863132493029693
36,0.0,0.0,0.0,0.0,0.0,0.0
37,0.2737253153463945,0.002684441627934575,0.0,0.040327158821875424,0.03125,0.0695973831592409
38,0.4203187905686718,2.314799161240444e-07,0.0043655826171252925,0.0076298183653170796,0.375,0.16146288460620606
39,0.20075870419667335,9.815170415095054e-06,0.04722799249683233,0.04857821153030488,0.10416666666666667,0.08014827801217847
40,0.07982833438265503,2.2602967874263413e-05,0.025112981333396286,0.1584977913969995,0.0,0.052692342016185015
41,0.16901776732809995,0.3333333432674408,0.0,0.0,0.25,0.15047022211910815
42,0.12186370821333237,2.8428734921703835e-09,0.043135362230581835,0.007437719280036565,0.041666666666666664,0.042820691846698185
43,0.4339816623340347,0.0002901718835346401,0.5388420728401974,0.6220226462298696,0.0,0.31902731065752726
44,0.22924906664542888,0.1391170620918274,0.0,0.014127019335498993,0.03125,0.08274862961455105
45,0.3287620495435481,0.0,0.0,0.0,0.25,0.11575240990870964
46,0.3156425604016848,0.001759770791977644,0.0582214825691399,0.18988336357025723,0.0,0.11310143546661192
47,0.14266123246286402,9.890247747534886e-05,0.16578733691900813,0.15701923075412785,0.25,0.14311334052269506
48,0.12654534993825317,5.77779202259876e-09,0.0,0.0,0.0,0.025309071143209037
49,0.17464063522867906,0.18548941612243652,0.0,0.018836025780665323,0.041666666666666664,0.08412654875968953
50,0.22820924372706292,1.4978038052504417e-05,0.01717080595053373,0.02550391826361521,0.03125,0.060429789195852866
51,0.17162766178978622,1.1205634109501261e-05,0.0,0.0,0.0,0.034327773484779146
52,0.2246872296935989,1.5669133972551208e-06,0.1388908553689672,0.0,0.4375,0.16021593039519266
53,0.2849449906354524,1.3490192941389978e-05,0.09667658430195308,0.08870283539849881,0.5416666666666666,0.2024009134391025
54,0.2640353216291514,0.0,0.0,0.0,0.0,0.05280706432583028
55,0.21437901757445815,0.3333333730697632,0.0,0.0,0.25,0.15954247812884428
56,0.0,0.0,0.0,0.0,0.0,0.0
57,0.25379314494516064,0.0002522851573303342,0.2566100258171989,0.2750737428170679,0.0625,0.16964583974735156
58,0.41451737003557465,0.0,0.0,0.0,0.0,0.08290347400711492
59,0.07449410170521248,0.0,0.0,0.0,0.0,0.014898820341042496
60,0.0,0.0,0.0,0.0,0.0,0.0
61,0.23295100115787126,0.0017337014432996511,0.1082728047009431,0.11575489301130655,0.1875,0.1292424800626841
62,0.29359145167017237,0.0,0.0,0.0,0.5,0.15871829033403445
63,0.29359145167017237,0.0,0.0,0.0,0.5,0.15871829033403445
64,0.18145394856383612,0.0001084807954612188,0.020571367088706622,1.3256185386884227e-05,0.0625,0.05292941052667817
65,0.16860416078983326,0.00018817541422322392,0.006168009245141658,0.003070147277952682,0.0625,0.048106098545430166
66,0.28169759513900733,0.04749942198395729,0.0,0.003512003308853937,0.03125,0.07279180408636371
67,0.0,0.0,0.0,0.0,0.0,0.0
68,0.3639326474169239,0.0,0.0,0.0,0.0,0.07278652948338478
69,0.0,0.0,0.0,0.0,0.0,0.0
70,0.1007357682543883,0.0,0.0,0.0,0.0,0.020147153650877662
71,0.22018441580902265,0.0,0.0,0.007568646162382048,0.125,0.07055061239428093
72,0.0,0.0,0.0,0.0,0.0,0.0
73,0.29359145167017237,0.0,0.0,0.0,0.5,0.15871829033403445
74,0.0,0.0,0.0,0.0,0.0,0.0
75,0.13180405043236768,0.0,0.0,0.0,0.0,0.026360810086473535
76,0.24861392770534177,0.0,0.0,0.0,0.25,0.09972278554106835
77,0.1827360123818534,0.0,0.0,0.0,0.25,0.08654720247637068
78,0.2898798209223522,5.307650098984595e-06,0.08092477465404764,0.12692982918108905,0.375,0.17454794648151756
