,Dataset,Props_Used,Model,R2,MAE,MAPE,MSE,RMSE,Ranked_By
0,wds_mnm,H2_NCI_MASS_,rf,0.9678610930807334,5.724481820960712,0.0124949877173849,117.6741937080777,10.692379939162596,R2
1,wds_mnm,P1_NCI_MASS_,rf,0.9678493412522148,5.801478524835295,0.0126783658190506,117.8601705778475,10.696163699856154,R2
2,wds_mnm,H2_H3_P2_MASS_,xgb,0.9678476083352824,5.687739585333806,0.0124036281777596,118.48244674629784,10.757487320433611,R2
3,wds_mnm,H2_H3_NCI_MASS_,rf,0.967846750218524,5.729064197482562,0.0125119612310984,117.66799973505456,10.698527785027624,R2
4,wds_mnm,H2_P2_V_MASS_SCT_,xgb,0.9678293416349424,5.627071332031151,0.0122785476195747,118.52650585106936,10.70711508431189,R2
5,wds_mnm,H2_NCI_MASS_SASA_,xgb,0.9676090369753756,5.608073663282764,0.0122009041622177,119.01409327596808,10.71789628912209,MAE
6,wds_mnm,H2_P2_V_MASS_SCT_,xgb,0.9678293416349424,5.627071332031151,0.0122785476195747,118.52650585106936,10.70711508431189,MAE
7,wds_mnm,H2_NCI_MASS_,xgb,0.9661683822786392,5.671011839371838,0.0123483317791711,124.94356751096362,10.98877764916933,MAE
8,wds_mnm,H2_P2_V_SCT_,xgb,0.9653752217594732,5.672699892477519,0.0123746942994944,127.7103010642658,11.133987875084712,MAE
9,wds_mnm,H2_P2_NCI_MASS_SASA_,xgb,0.9668987798149866,5.676725684989929,0.0123624415154267,121.48312271752586,10.83624529343677,MAE
10,wt_mnm,H2_P1_NCI_SASA_PKB_,rf,0.9566133910511578,7.091058781647381,0.0149777712370696,131.24526849986222,11.254194343251118,R2
11,wt_mnm,H1_H2_H3_NCI_MASS_PKA_,rf,0.9564809753023712,7.049048816842964,0.0148734857883242,131.44629557236289,11.294313782824783,R2
12,wt_mnm,H1_P2_V_MASS_SASA_PKA_,xgb,0.9564616985973782,6.755902701966491,0.0142685505142646,130.95656945362538,11.2864449435596,R2
13,wt_mnm,H1_H2_H3_PKA_,rf,0.9564439465914522,7.101091414251345,0.0150256807471606,131.3038989500153,11.299984748095351,R2
14,wt_mnm,H2_P1_NCI_MASS_SASA_PKB_,rf,0.9564058421355158,7.035764094270694,0.0148808919932187,131.8891771953854,11.280033715495945,R2
15,wt_mnm,H1_P2_V_MASS_SASA_PKA_,xgb,0.9564616985973782,6.755902701966491,0.0142685505142646,130.95656945362538,11.2864449435596,MAE
16,wt_mnm,H1_H2_SASA_PKA_,xgb,0.95603562785318,6.870606184905623,0.0143989700382453,131.88873462776934,11.316416435669725,MAE
17,wt_mnm,H1_P2_V_SASA_PKA_,xgb,0.9541612723099168,6.877227827498888,0.014469261207615,137.15178724537088,11.539039134019848,MAE
18,wt_mnm,H1_MASS_SASA_PKA_,xgb,0.955787852591346,6.885814270231629,0.014489612147847,133.65467622386907,11.3748649327457,MAE
19,wt_mnm,H2_V_MASS_PKA_,xgb,0.9542535414591096,6.90649759773391,0.0145176127773758,137.62360470881012,11.489862458974148,MAE
20,vert_mnm,H3_P2_MASS_SCT_PKB_,xgb,0.9848696950054874,4.268384359723836,0.00946177759723,56.23208330043286,7.314086007347531,R2
21,vert_mnm,H3_P2_SCT_PKA_PKB_,xgb,0.9847641743607484,4.290903529097728,0.0095224195121037,56.30263926008856,7.314899161619382,R2
22,vert_mnm,SASA_SCT_PKB_,xgb,0.9847255798189734,4.285697003254915,0.0094951201055731,56.38228525421455,7.346054099516325,R2
23,vert_mnm,V_SCT_PKB_,gbr,0.9847150313239,4.53632484278744,0.0100519765548637,56.689946391960746,7.393930904454355,R2
24,vert_mnm,P2_MASS_SCT_PKB_,xgb,0.9847081307163964,4.341446477142965,0.0095928485843916,56.6605347693196,7.364090408441486,R2
25,vert_mnm,H3_P2_MASS_SCT_PKB_,xgb,0.9848696950054874,4.268384359723836,0.00946177759723,56.23208330043286,7.314086007347531,MAE
26,vert_mnm,H2_H3_P2_V_SASA_SCT_,xgb,0.9839134028300364,4.271485256263277,0.0095106322556047,59.66312911475849,7.549439068378828,MAE
27,vert_mnm,H3_V_SCT_PKB_,xgb,0.9846013606095316,4.280831632689393,0.0095237539783529,57.16237394204286,7.37216760344972,MAE
28,vert_mnm,SASA_SCT_PKB_,xgb,0.9847255798189734,4.285697003254915,0.0094951201055731,56.38228525421455,7.346054099516325,MAE
29,vert_mnm,H3_V_SASA_SCT_PKA_,xgb,0.98470068210983,4.289048284222561,0.0094794718506838,56.42077621155615,7.338084417989651,MAE
30,wt_vert_mnm,H2_H3_PKB_,xgb,0.9847778995276538,4.2069057453212455,0.0087916072893319,39.68286284528197,6.178713776388141,R2
31,wt_vert_mnm,H2_P2_PKB_,xgb,0.9847478843313938,4.287569872125184,0.0089701964902434,40.0095703517556,6.232934398354656,R2
32,wt_vert_mnm,P1_NCI_PKB_,xgb,0.9847102137406284,4.281992793698599,0.0090407599563163,39.97226651606152,6.280174296764914,R2
33,wt_vert_mnm,H2_MASS_PKB_,xgb,0.9844950329719214,4.254941247231715,0.0089054279171267,40.36597378950631,6.289299386063879,R2
34,wt_vert_mnm,H2_H3_P2_PKB_,xgb,0.9844280166537712,4.271105438446768,0.0089397337002471,40.83587795335961,6.290368922479821,R2
35,wt_vert_mnm,H2_H3_V_PKB_,xgb,0.9841764918756764,4.205598286133883,0.0087975803682348,41.32871771972027,6.30506867371915,MAE
36,wt_vert_mnm,H2_H3_PKB_,xgb,0.9847778995276538,4.2069057453212455,0.0087916072893319,39.68286284528197,6.178713776388141,MAE
37,wt_vert_mnm,H1_H3_PKB_,xgb,0.9840439229089452,4.219248227595864,0.0088372014793774,40.94985072483924,6.280616085305531,MAE
38,wt_vert_mnm,H1_PKB_,xgb,0.9842320079702034,4.225035585264452,0.0088589613964846,40.52823808335606,6.251465505878228,MAE
39,wt_vert_mnm,H2_H3_SASA_PKB_,xgb,0.9842822607361844,4.234096389382005,0.0088998154881476,41.26599407607426,6.313335561581157,MAE
40,inv_mnm,H1_P1_SCT_,gbr,0.9048078131670012,10.94402301348717,0.0233925814322338,337.22343147937306,17.25965385698389,R2
41,inv_mnm,H1_P1_V_SCT_PKA_,gbr,0.9046117005996588,10.891637455563147,0.0232542509712462,337.5049694888635,17.33971373360207,R2
42,inv_mnm,H1_H3_P1_P2_MASS_SCT_,gbr,0.9045121995175434,10.977209884621049,0.0234529120037419,337.7725877969747,17.294429694179144,R2
43,inv_mnm,H1_P1_MASS_SCT_,gbr,0.904241869596594,11.015463299550811,0.0235302883497633,339.1774281552363,17.351120909400674,R2
44,inv_mnm,H1_H3_P1_MASS_,gbr,0.9042118461266,11.017101825786307,0.0235146973133181,340.2544316517274,17.356303371979976,R2
45,inv_mnm,H1_P1_V_SCT_PKA_,gbr,0.9046117005996588,10.891637455563147,0.0232542509712462,337.5049694888635,17.33971373360207,MAE
46,inv_mnm,H1_H2_P1_V_MASS_,gbr,0.903493946738804,10.915856058063673,0.0232628318383476,339.5543425376115,17.378694983126273,MAE
47,inv_mnm,H1_P1_SCT_,gbr,0.9048078131670012,10.94402301348717,0.0233925814322338,337.22343147937306,17.25965385698389,MAE
48,inv_mnm,H1_H2_P1_SASA_,gbr,0.9036334967805674,10.948422803493369,0.0234163840229522,343.57041337163344,17.38548049128149,MAE
49,inv_mnm,H1_H2_P1_V_SCT_,gbr,0.9023829031002938,10.962536101247554,0.023383631462655,345.7423011378385,17.516576793182182,MAE
