feature,p_value,score,lgbm,BayesianRidge,Adaboost,rf,xgb,mean
p1_GAP,0.7444684835185957,0.10659264115781461,0.0,0.0,0.0,0.0,0.0,0.0
p1_L,0.00014813548405066297,15.085433960605156,0.0,0.119803086385455,0.0,0.004496264811558756,2.1453503e-05,0.024864160940001837
p1_M,3.8642169381205764e-06,22.83460694399658,0.23529411764705882,0.19898050052804717,1.827902631520475e-05,0.022178521699377018,9.239394e-06,0.09129613165893478
p1_P,0.0884577268701637,2.936633507802055,0.0,0.0,0.0,0.0,0.0,0.0
p1_TQGVYEI,0.004014221267463968,8.513352209285047,0.0,0.14033714326311167,1.9894924690962936e-05,0.10249449314955793,1.9889315e-07,0.04857034604610157
p2_GAP,0.8004970395053808,0.06406424611630578,0.0,0.0,0.0,0.0,0.0,0.0
p2_M,0.9108683530187052,0.01256958268259115,0.0,0.0,0.0,0.0,0.0,0.0
p2_N,0.6013669386159775,0.273988251498853,0.0,0.0,0.0,0.0,0.0,0.0
p2_S,6.748082392148737e-15,73.49683615656188,0.0,0.24867436900151507,0.0,0.010965060628324835,0.00014629005,0.051957143936876934
p2_TQHY,0.6298018354526862,0.23319397496331787,0.0,0.0,0.0,0.0,0.0,0.0
p3_DFSKTYPLQWV,1.0770070769628978e-05,20.6101070320005,0.0,0.3898772183087283,5.467481766982888e-05,0.023591857240562807,0.00012377335,0.08272950474384079
p3_E,8.784121009562914e-06,21.049661373448536,0.0,0.22532169748566994,0.0,0.0015356721784990427,2.1619735e-05,0.0453757978798298
p3_G,0.033408418923880225,4.600951326966177,0.17647058823529413,0.415267892011305,0.0015461097054821052,0.02644999793049321,1.9549441e-05,0.12395082746477018
p3_GAP,0.5017119020884608,0.45329227792505233,0.0,0.0,0.0,0.0,0.0,0.0
p4_GAP,1.2470889957508716e-09,41.452138702968604,0.0,0.15973772300061728,0.0003379350177740396,0.04211960454172444,2.850786e-05,0.04044475408410446
p4_ISELPVAN,0.30596163979957014,1.0545233473541302,0.0,0.0,0.0,0.0,0.0,0.0
p4_M,0.009152860309481032,6.954924320611662,0.0,0.26986207622743985,0.0,0.0035997961282561576,0.014218111,0.05753599658937384
p4_R,7.559657786640859e-09,37.10030462129351,0.0,0.28202444657595865,0.0,0.007849778647686113,5.177107e-07,0.0579749485868695
p4_T,0.1665827536882555,1.9303335413274338,0.0,0.0,0.0,0.0,0.0,0.0
p5_E,0.03239466217932673,4.655347378635297,0.0,0.18736503003649374,0.0,0.0071506546606181776,1.3943558e-07,0.038903164826539355
p5_GAP,4.852094428701577e-13,61.63769454616809,0.0,0.03692431263231822,0.0,0.00795091308559135,2.1012267e-05,0.00897924759700148
p5_H,0.015323516326744462,6.002545600873937,0.0,0.23184883623842195,0.0,0.001340843318753651,3.0558708e-06,0.0466385470855992
p5_K,0.2630086893637775,1.2613960988539472,0.0,0.0,0.0,0.0,0.0,0.0
p5_M,0.14294182467725966,2.1664827061469607,0.0,0.0,0.0,0.0,0.0,0.0
p5_Q,0.004179930420485912,8.4359516448121,0.0,0.15351802234190715,0.0,0.007456601624984692,3.1073064e-06,0.032195546254655115
p5_R,0.012250065701894176,6.4139904045246094,0.0,0.6301957349156148,0.0007710320205689466,0.014811134651319644,3.6099638e-07,0.1291556525167769
p6_E,9.024855002987428e-11,47.97951072611209,0.0,0.3237957199821351,0.0,0.0024616401740985747,2.3342272e-05,0.06525614048574083
p6_G,0.06579216969918857,3.430152680563596,0.0,0.0,0.0,0.0,0.0,0.0
p6_GAP,0.6169943247620717,0.2510587536047998,0.0,0.0,0.0,0.0,0.0,0.0
p6_HAFKS,0.9651314224473576,0.0019167945504777568,0.0,0.0,0.0,0.0,0.0,0.0
p6_P,0.026849539149342964,4.988698559993486,0.0,0.07010353234154032,0.0,0.0028998396969958464,0.0,0.014600674407707234
p6_Q,0.009314885166518488,6.922197974375316,0.0,0.06634371096330069,0.0,0.006250368364961302,1.302082e-06,0.014519076282043427
p6_R,9.294753080123639e-07,25.984273506578,0.0,0.13859627026464408,0.0001622151158484344,0.006648667488557876,4.1967336e-09,0.029081431413156805
p7_D,0.1495508566955024,2.0962092712137217,0.0,0.0,0.0,0.0,0.0,0.0
p7_E,6.508728349025753e-13,60.845894798753896,0.0,0.3046879749163066,0.07098994622658937,0.3327754414838178,0.00032652842,0.14175597820887176
p7_G,0.004837047603216549,8.15732519871509,0.0,0.08980484418650396,0.0,0.0015610429097159743,1.672902e-05,0.01827652322324193
p7_GAP,0.7222885521022409,0.1267398434805831,0.0,0.0,0.0,0.0,0.0,0.0
p7_I,0.522513566116465,0.4106695263839927,0.0,0.0,0.0,0.0,0.0,0.0
p7_K,0.8457601826413034,0.03796077272863284,0.0,0.0,0.0,0.0,0.0,0.0
p7_L,0.6298013106339595,0.2331946903141738,0.0,0.0,0.0,0.0,0.0,0.0
p7_NVMT,0.4396721907480673,0.6000203240171026,0.0,0.0,0.0,0.0,0.0,0.0
p7_P,0.015543709683663918,5.976446565694232,0.058823529411764705,0.33827659793810627,0.0014500877979151845,0.00758042401836487,0.00013542877,0.08125321358662077
p7_Q,0.1739510059881214,1.864524251739039,0.0,0.0,0.0,0.0,0.0,0.0
p7_S,0.00048723285326701747,12.65990077036674,0.0,0.06501335291116948,0.0,0.0035078733705905083,0.00010625907,0.013725497069802362
p8_D,7.047437838999672e-09,37.26781642142278,0.0,0.08065758728095297,0.0002049011996757542,0.028208638601769347,1.7211443e-06,0.02181456964533126
p8_E,1.2212882409954812e-07,30.583244563728517,0.0,0.08809995301642105,0.0,0.008003946856115903,4.0233494e-06,0.019221584644396866
p8_F,0.5735923781170786,0.31796800169024597,0.0,0.0,0.0,0.0,0.0,0.0
p8_GAP,0.2249640633956707,1.4834487513635912,0.0,0.0,0.0,0.0,0.0,0.0
p8_GMVLWIHTQ,0.5406723227317469,0.3758488325566754,0.0,0.0,0.0,0.0,0.0,0.0
p8_N,0.1368082262689071,2.2350800897161878,0.0,0.0,0.0,0.0,0.0,0.0
p8_S,2.3037213779373815e-10,45.62469901436594,0.0,0.2621515659513906,0.0,0.03396147364932489,5.1152055e-10,0.05922260802244721
p8_Y,0.47307484712725123,0.517141160186363,0.0,0.0,0.0,0.0,0.0,0.0
p9_F,1.8228763868738636e-07,29.665289864561984,0.11764705882352941,0.06397863606302633,0.0026767514040863622,0.031857560243129766,0.0004091375,0.04331382880409697
p9_GAP,0.0663615008975454,3.415616643408532,0.0,0.0,0.0,0.0,0.0,0.0
p9_I,3.7691760516120405e-05,17.93976900457488,0.0,0.24387008559896803,0.0,0.0035199508209140065,4.1263997e-06,0.04947883256392532
p9_L,0.7585325676314245,0.09481201619648323,0.0,0.0,0.0,0.0,0.0,0.0
p9_V,4.516067743484349e-05,17.558882356179815,0.0,0.07035178284594645,0.0,0.000621451646701922,0.00039762663,0.014274172224675488
p9_YMPTQ,0.7475944176806991,0.10390846026546127,0.0,0.0,0.0,0.0,0.0,0.0
p10_F,5.0663461224692424e-11,49.44444309604936,0.0,0.03418381025188572,0.0,0.0149887295223902,0.0,0.009834507954855184
p10_GAP,0.3213248612084785,0.9894488612079475,0.0,0.0,0.0,0.0,0.0,0.0
p10_LHSTNMR,0.043414297689759886,4.142315398671973,0.0,0.05817600221476554,0.0008503784000287104,0.00926507073749482,0.0002281362,0.013703917509618056
p10_W,0.05984857053128656,3.590520090828529,0.0,0.0,0.0,0.0,0.0,0.0
p10_Y,1.3907912420065676e-06,25.086757845147172,0.11764705882352941,0.2785928931834337,0.0,0.09590737867201249,1.6047485e-07,0.09842949823076608
p11_GAP,0.020671429714833617,5.458206271158396,0.0,0.4530787436912876,0.012100391330888995,0.013071577477817257,2.8344434e-07,0.09565019918886605
p11_I,0.3509049899033464,0.8751041606108252,0.0,0.0,0.0,0.0,0.0,0.0
p11_L,2.5175169661470593e-22,127.70615558468134,0.0,0.042521182068702396,0.0,0.1915339516062379,0.0,0.04681102673498806
p11_P,0.0005591538132572032,12.38308288303287,0.0,0.20498136354293753,0.0,0.11326874409942421,0.0,0.06365002152847235
p11_T,4.3251594777719785e-10,44.057717596205066,0.0,0.03418381025188572,0.0,0.0149887295223902,0.0,0.009834507954855184
p11_V,0.08029706780938037,3.0966201136206783,0.0,0.0,0.0,0.0,0.0,0.0
p12_LFEIQYN,0.010327213763201995,6.730192763486644,0.0,0.09788101808099639,0.0,0.0283881080430614,1.5134287e-06,0.025254127910560024
