feature,lgbm,rf,BayesianRidge,gbc,xgb,mean
1,0.0,0.030521650023069204,0.12886977518526677,4.310512142819479e-05,0.0001412960555171594,0.03191516527705626
2,0.030303030303030304,0.12966233488215947,0.13899648229239817,0.0012391329021277982,1.8390623154118657e-05,0.060043874200573964
3,0.0,0.17671831368138596,0.05717225117659135,0.002357517079900854,7.948965503601357e-05,0.04726551431858284
4,0.012121212121212121,0.011568607367767785,0.13711323228811698,0.0012677759459147426,6.99898591847159e-05,0.03242816351643927
5,0.012121212121212121,0.013022142370737998,0.1423325153255233,0.0002993620192211876,0.00014305210788734257,0.03358365678891639
6,0.0,0.05406492017537228,0.12140203324937031,0.007406168825278392,0.001702845562249422,0.03691519356245408
7,0.0404040404040404,0.01041317918815653,0.11762011701412178,0.0014409778624798592,0.0005252640112303197,0.03408071569600578
8,0.07272727272727272,0.031680465897893875,0.13453522582554533,0.008730402606878579,0.000165004821610637,0.04956767437584023
9,0.0,0.007889965358610881,0.17660889489507925,0.00264337607572795,3.444406684138812e-05,0.037435336079251896
10,0.0404040404040404,0.012830764086746087,0.11474972913543963,5.381769369807557e-05,2.5820294467848726e-05,0.03361283432287841
11,0.05303030303030303,0.25748964162174015,0.16860160744877936,0.027223559112561295,0.2500026226043701,0.15126954676355078
12,0.0,0.04566404449153376,0.0005835549987249383,0.000258521381437371,0.0,0.009301224174339214
13,0.015151515151515152,0.013381577315145316,0.06112394566909041,0.0001961778709084482,1.6127505659824237e-05,0.01797386870246383
14,0.03787878787878788,0.0969733218274737,0.09976046564181985,0.00022880807384066448,0.006863734684884548,0.04834102362136133
15,0.04329004329004329,0.0483845641454753,0.09077516241489618,0.11629916544088334,0.00010288360499544069,0.059770363779258706
16,0.015151515151515152,0.017788508153648994,0.22578462864685522,0.0003857798649059087,0.00026956014335155487,0.05187599839205537
17,0.04377104377104377,0.06296213354518967,0.15418117875512116,0.011158329183826043,0.0004435884766280651,0.05450325474636174
18,0.09090909090909091,0.29411797119266553,0.29191912610627124,0.25526795076841763,1.7822550944401883e-05,0.18644639230547794
19,0.1590909090909091,0.05639345356777661,0.28491919998442167,0.00015555876417870098,0.0004135859489906579,0.10019454147125535
20,0.006060606060606061,0.045992356798602786,0.06473275869541542,0.0008493606751029309,9.906345803756267e-05,0.023546829137552953
21,0.015151515151515152,0.06035067361059044,0.07253760594611738,3.822508721092569e-05,4.333999186201254e-06,0.029616470758924023
22,0.015151515151515152,0.5291351089104488,0.11182321477398835,0.0001179196683032333,8.57493287185207e-05,0.1312627015665948
23,0.0404040404040404,0.06613386685553177,0.10080319700434255,0.000503078201167125,1.921857983688824e-05,0.04157268020898375
24,0.0,0.02743773159702717,0.12862444718005572,0.0003760495564375976,0.0,0.0312876456667041
25,0.06060606060606061,0.34129471964053504,0.18859266529417423,0.036269427463238794,0.33334124088287354,0.19202082277737645
26,0.030303030303030304,0.029119975117943956,0.0986053781411347,0.00458373684235334,1.1492170415294822e-05,0.03252472251497552
27,0.030303030303030304,0.12379254896982606,0.10667786950982866,0.00124926926797958,2.85651466924719e-08,0.05240454932316226
28,0.0,0.016971923504316987,0.08940788068615159,0.0018589284478744707,6.81212043218693e-07,0.021647882770077252
29,0.0,0.07513782661594333,0.11236433263233248,9.214248734367942e-05,0.0,0.03751886034712389
