Full_Species,Habitat,method,LambdaMax,LambdaMax reference,Accession #
Artemia salina,,EON,410,(Hertel 1972),
Daphnia magna,,VC,"348, 434, 525, 608",(Smith and Macagno 1990),
Acartia tonsa,,BP,450-520,(Stearns and Forward 1984),
Balanus amphitrite,,ERG,532,(Hillman et al. 1973),
Balanus amphitrite,,MSP,532,(Minke and Kirschfield 1978),
Balanus balanoides,,BP,510-530,(Barnes and Klepal 1972),
Balanus eburneus,,ERG,532,(Hillman et al. 1973),
Balanus eburneus,,MSP,532,(Minke and Kirschfield 1978),
Coronis scolopendra,ST,MSP,"494, 407, 436, 489, 518, 529, 533, 441, 468, 517",(Cronin et al. 1993),
Lysiosqullia sulcata,5-25m,MSP,"499, 397, 434, 492, 516, 517, 538, 416, 461, 500",(Cronin et al. 1993),
Pullosquilla litoralis,sIT,MSP,"509, 404, 425, 469, 509, 527, 540, 446, 455, 482",(Jutte et al. 1998b),
Pullosquilla litoralis,,MSP,446,(Jutte et al. 1998a),
Pullosquilla thomassini,1-37m,MSP,"467, 405",(Jutte et al. 1998b),
Pullosquilla thomassini,,MSP,447,(Jutte et al. 1998a),
Gonodactylellus affinis,3-30m,MSP,"500, 400, 424, 496, 521, 546, 541, 454, 474, 509",(Cronin et al. 2002),
Gonodactylaceus falcatus,,MSP,"510, 400, 443, 513, 527, 532, 553, 443, 475, 518",(Cronin et al. 2000;Cronin et al. 1995),
Gonodactylaceus falcatus,,MSP,499,(Cronin et al. 1995),
Gonodactylus smithii,IT,MSP,"517, 400, 440, 505, 528, 536, 552, 436, 469, 512",(Chiao et al. 2000),
Gonodactylopsis spongicola,5-60m,MSP,"506, 401, 444, 505, 525, 536, 474, 507,448",(Cronin et al. 2002),
Neogonodactylus curacaoensis,2-20m,MSP,"467, 400",(Cronin et al. 1996),
Neogonodactylus oertstedii,IT-3m,MSP,"528, 400, 525, 520, 551, 429, 460, 489",(Cronin and Marshall 1989)(Brown 1996),
Hemisquilla ensigera,10-15m,MSP,"501, 414, 451, 499, 510, 535, 443, 473, 500",(Cronin et al. 1994a),
Haptosquilla trispinosa,ST-25m,MSP,"499, 400, 433, 508, 537, 539, 558, 422, 462, 510",(Cronin et al. 2002),
Pseudosquilla ciliata,ST-25m,MSP,"498, 400, 433, 498, 517, 535, 539, 425, 452, 510",(Cronin and Marshall 1989),
Odontodactylus brevirostris,10-25m,MSP,"490, 402, 457, 495, 524, 511, 535, 452, 460, 589",(Cronin et al. 1994a;Cronin et al. 1996),
Odontodactylus havanensis,20-35m,MSP,"475, 407",(Cronin et al. 1996),
Odontodactylus scyllarus,1-30m,MSP,"503, 400, 430, 487, 509, 528, 546, 429, 451, 506 ",(Cronin et al. 1994a;Cronin et al. 1996),
Squilla empusa,1-150m,MSP,517,(Cronin 1985;,
Squilla empusa,,MSP,507,(Cronin and Jinks 2001),
Squilla empusa,,MSP,509,(Cronin and Jinks 2001),
Cloridopsis dubia,IT,MSP,510,(Cronin et al. 1993),
