Dataset,Props_Used,Model,R2,MAE,MAPE,MSE,RMSE,Mut_R2,Mut_MAE
wt_mut,H1_,BayesianRidge,0.9201661253900264,10.642431897892848,0.02323705393936843,231.63381966756484,15.105737145697194,0.9129460003461181,12.43992426317288
wt_mut,H1_,et,0.9189878632066311,8.501626876876879,0.018598681455636458,244.15976591846848,15.160788742623044,0.9245529423570231,10.529911058638328
wt_mut,H1_,rf,0.9114508507174023,9.25783337980838,0.020188957870065596,268.75331534133727,15.860789356772255,0.9270901213823635,10.513850059031878
wt_mut,H1_,gbr,0.9022619711529838,9.788609687033837,0.021170270632820502,299.3337781725773,16.646024114879868,0.9245716664055259,10.196159059703467
wt_mut,H1_,xgb,0.8790357577589136,9.80389453143329,0.021496410069574014,372.0609259392601,18.62054919757997,0.9139483896448941,10.916387814548438
wt_mut,H2_,gbr,0.9152742484569198,9.075931358927313,0.01943214680456166,261.475690150732,15.188710680324599,0.9238925108024284,10.199020618005585
wt_mut,H2_,rf,0.9095165034101994,9.219051206921208,0.020023687534366563,274.21523040694126,15.79198426473928,0.9252766753898972,10.216334811941302
wt_mut,H2_,et,0.9016644865808665,9.306746721721723,0.020302932456920574,303.69911359715536,16.35869632539466,0.924310671209296,10.417899252262888
wt_mut,H2_,xgb,0.890826016079064,9.26144997078377,0.020282187942758607,331.4857744354074,17.101677521226065,0.9322021506508723,9.847682513612689
wt_mut,H2_,BayesianRidge,0.8692229827924178,12.178518108118748,0.02663855474942075,390.5632541681602,18.949708061771087,0.9038950339145926,13.495149331873057
wt_mut,H3_,gbr,0.9162044276185485,10.051001897185829,0.02190571437111593,247.24251716579403,15.452286896519023,0.9157059740666685,11.169603850800016
wt_mut,H3_,rf,0.8997084754947402,9.723700431324184,0.021503830487521393,303.79680232953694,16.681400449953667,0.9191698466037568,10.60788018530728
wt_mut,H3_,xgb,0.8860931495147991,9.615873466239677,0.021206374721027106,341.9655855889712,17.567331657784244,0.9058000265688291,11.146362741853908
wt_mut,H3_,BayesianRidge,0.8807432469296336,12.487251684853664,0.027293666226670028,356.6063723393012,18.49947862467269,0.90962160765503,12.574041695491239
wt_mut,H3_,et,0.8801987243631967,9.858555425067923,0.021388549358411117,357.3863323042459,18.00257655728138,0.8987467827187339,11.892367571822117
wt_mut,P1_,et,0.9040665018579948,9.141354204204205,0.019917588835302712,291.44663732972987,16.373674263923895,0.922771218489344,10.619052735143642
wt_mut,P1_,rf,0.8978252423495062,9.902409768697265,0.021530488964985037,314.43097840580185,17.02767095647249,0.917520972424924,10.935812109967951
wt_mut,P1_,gbr,0.8933620957672446,10.242692836235152,0.022410795223004987,329.01798767192963,17.656646979177545,0.9319365339353212,10.246086196505239
wt_mut,P1_,BayesianRidge,0.8768873709671018,12.099281222417897,0.026428559112884158,353.9561701917368,18.45813782629506,0.8979199256493633,14.130955163117175
wt_mut,P1_,xgb,0.8374057369699386,10.453264858486415,0.023209455727484507,506.6880066421307,21.322336297821078,0.9050826614395536,11.145952898346032
wt_mut,P2_,et,0.8968094297103939,9.342647222222222,0.020540695170112682,317.3194460412163,16.869733009786238,0.9250314075649902,9.977001967729239
wt_mut,P2_,rf,0.8913079488710096,10.065841827184329,0.022202738580733898,328.33460414440424,17.432439400415053,0.9239569325888148,10.76193634114803
