feature,p_value,score,BayesianRidge,lgbm,xgb,gbc,rf,mean
p1_GAP,0.14472857616715298,2.1319813501294833,0.0,0.0,0.0,0.0,0.0,0.0
p1_L,7.899464780391668e-14,58.297988025669234,0.06139825727601922,0.0196078431372549,8.818031e-05,0.0042198288421955365,0.00020610172198994863,0.017104042258185702
p1_M,4.794841857262192e-07,25.855878580938427,0.06772472707395409,0.058823529411764705,1.6283588e-05,0.00010336009781823984,0.0021567084110959106,0.02576492171646331
p1_PHVDEKAR,0.04407347917290022,4.069261591718934,0.05097391749711843,0.0,2.2111048e-05,0.0011114093673785896,0.005770769612656869,0.011575641504961962
p1_Q,0.0019506382090273713,9.672640115750891,0.015617411555110147,0.0,1.5059584e-05,2.2248225100250293e-05,0.0008034107021703152,0.0032916260133275346
p2_GAP,0.727739387112373,0.12130011781398872,0.0,0.0,0.0,0.0,0.0,0.0
p2_LQTDHMEPYGF,1.7824664979811986e-14,61.49341088034157,0.33642518076865974,0.49019607843137253,0.00010136969,0.07041665595201906,0.12482726871029302,0.20439331071031258
p2_N,3.284144317113615e-23,106.26679645994209,0.0015213243585215815,0.0,7.714787e-08,5.469079613475307e-06,0.0019091548161717681,0.0006872050804347173
p2_S,2.251408190708353e-68,388.3227984562956,0.1492110983182692,0.0196078431372549,0.0002574354,7.396914749322982e-05,0.11018414774383456,0.05586689874942474
p3_G,1.7149325101086025e-38,191.8250163057784,0.009204938825125929,0.058823529411764705,1.9228653e-05,1.3562391765301401e-05,0.07163044545457319,0.027938340947325863
p3_GAP,1.068540853164595e-80,482.1138286353167,0.0545670359872611,0.0,5.5524906e-06,4.1018963514295165e-06,0.0003870662033856604,0.010992751315523673
p3_ITYKVRLPSQEN,0.18190160016840637,1.785769407916268,0.0,0.0,0.0,0.0,0.0,0.0
p3_M,1.3796549211969586e-11,47.34895371224044,0.10683900649872584,0.0,7.759681e-06,0.0006437517152754844,0.00038454280683594835,0.02157501214027881
p4_E,6.319554447253143e-43,218.4385154541616,0.009984142028999797,0.1568627450980392,9.8360906e-05,0.0009851104644580382,0.07124781950202894,0.04783563559992965
p4_G,4.5825645764849774e-12,49.66888323369732,0.07755502349801645,0.058823529411764705,2.4934096e-05,0.0011549577058972283,0.003301570488492957,0.028172003039946943
p4_GAP,0.19275561864012924,1.6998894982018107,0.0,0.0,0.0,0.0,0.0,0.0
p4_M,0.006749089835220428,7.384987324667863,0.04921971868211156,0.0,5.7193824e-06,6.367070788966037e-06,0.0017371439247935547,0.010193789812027457
p4_R,2.0368633504978743e-18,81.33278547238537,0.05151765640753305,0.0196078431372549,1.7308563e-06,0.0045894757897854185,0.003937158600044028,0.015930772958182956
p4_SAQPN,0.6207345642430743,0.24506682389135415,0.0,0.0,0.0,0.0,0.0,0.0
p4_T,1.7856587596082497e-25,118.3592389735654,0.0015213243585215815,0.0,7.714787e-08,5.469079613475307e-06,0.0019091548161717681,0.0006872050804347173
p5_E,4.1018226727883764e-07,26.169137307589995,0.052225665018201584,0.0,1.4055535e-05,0.00044564014617124635,0.000567896520614064,0.010650651443966982
p5_GAP,0.08606370136795499,2.955303601398618,0.0,0.0,0.0,0.0,0.0,0.0
p5_H,1.1103582613733417e-09,38.210753796623614,0.04241643462108548,0.0196078431372549,5.3368494e-06,3.137701163673885e-05,0.0001049884765938477,0.01243319601919947
p5_K,0.053612253922302996,3.7380583854539755,0.0002697605726991814,0.0,2.5659265e-05,0.0003070894868417681,0.000840611406607344,0.00028862414618824295
p5_Q,3.0189180520189497e-05,17.650188616158065,0.06548158201903542,0.0392156862745098,3.7727239e-06,0.0006920131052908863,0.0021852967631335145,0.02151567017716548
p5_R,0.012783573578211251,6.232653880063094,0.07813475954548818,0.0196078431372549,0.0,0.00014309846166830578,0.0015636724830949428,0.019889874725501265
p5_S,1.5783093155317298e-13,56.81815978036552,0.10683900649872584,0.0,7.759681e-06,0.0006437517152754844,0.00038454280683594835,0.02157501214027881
p6_G,3.40323084327724e-25,116.85277804567512,0.0015213243585215815,0.0,7.714787e-08,5.469079613475307e-06,0.0019091548161717681,0.0006872050804347173
p6_GAP,6.490529740778058e-96,609.6175298027033,0.11201064350464049,0.058823529411764705,1.6664944e-05,0.12015333821970772,0.09446464268591871,0.07709376375326012
p6_P,0.03467122733314102,4.479751937903617,0.03002974867263479,0.0,0.0,0.0,0.00714224509927333,0.007434398754381624
p6_Q,6.360109306800717e-17,73.73967555184406,0.021661362698643435,0.0,2.2176645e-08,4.0315932492274494e-05,0.0006876075777879422,0.004477861677113634
p6_RHFEMNKS,0.0019718697933364155,9.652458440283022,0.01809744079673136,0.0,5.0046465e-06,2.40509869427037e-06,0.0018552502183192196,0.003992020152045394
p7_D,2.431963340441403e-14,60.82516629777047,0.032797038890248764,0.0196078431372549,2.4855943e-05,8.472707026562374e-05,0.0018641089052181873,0.010875714789134225
p7_E,6.539444224606172e-54,288.07220000791256,0.06533058330665753,0.0392156862745098,9.6842574e-05,0.00016825589057160764,0.005979220368413587,0.022158117682798354
p7_GAP,0.7920955153549369,0.06953607562842601,0.0,0.0,0.0,0.0,0.0,0.0
p7_I,0.011178367150283353,6.473040331630612,0.04199536223801424,0.0,2.7275926e-06,3.1645544293421085e-06,0.0004219170805051792,0.00848463429310438
p7_K,0.01421305986801853,6.0434425965024134,0.01666936374704867,0.0,0.0033349113,0.0,0.0012249631423471164,0.004245847639343157
p7_P,3.2661244917910635e-26,122.3419608590893,0.027160493701934265,0.09803921568627451,2.5716428e-05,0.00014312805058904038,0.0028653414269224266,0.025646779058814833
p7_Q,0.006485662896647075,7.4574429383673495,0.01916452746202282,0.0,4.2402316e-06,0.0,0.0001369823153843349,0.003861150001810769
p7_S,7.433438349844178e-10,39.03972100617091,0.021964071148801015,0.0392156862745098,6.824635e-05,0.0008076160840392214,0.0005816070826151105,0.012527445388106124
p8_E,1.6368229259995e-20,92.1226550223649,0.07293218311031084,0.0,8.777289e-06,0.00011342575189175465,0.003860527388836988,0.015382982707950466
p8_FAHWMT,0.1701091804508582,1.8860841979153136,0.0,0.0,0.0,0.0,0.0,0.0
p8_G,3.0421288683075537e-13,55.41855535478022,0.05416651394858619,0.0,0.0,0.0,0.0014673848576931257,0.011126779761255864
p8_GAP,0.7920955153549369,0.06953607562842601,0.0,0.0,0.0,0.0,0.0,0.0
p8_N,2.1107712140768596e-14,61.12972228367,0.0181191587707341,0.09803921568627451,1.6514015e-05,7.032440354351078e-05,0.001887567734171079,0.023626556122033085
p8_S,1.4882484531075784e-24,113.41789289731572,0.07931119172536956,0.0,7.617231e-05,8.012464895001121e-05,0.03682265082060548,0.02325802790161082
p8_Y,0.0019852370599736874,9.639865197888469,0.01201440816136457,0.0196078431372549,2.745287e-06,8.500124790613046e-06,0.00020889343690635827,0.006368478029467275
p9_F,2.127365635243467e-22,101.98261816961666,0.11927519982001192,0.0,0.0019108385,4.953656447918943e-05,0.0007375513629862481,0.024394625255761516
p9_GAP,0.7920955153549369,0.06953607562842601,0.0,0.0,0.0,0.0,0.0,0.0
p9_I,1.3866772702627695e-16,72.03190691035896,0.011388875175236473,0.0,0.0,5.913346393016871e-05,0.0003876706420490193,0.002367135856243132
p9_VLTPMYQS,0.00033143995094624725,13.019891172852558,0.051441268002691366,0.0,6.728414e-05,2.8161425793129444e-05,0.0007016318517201795,0.01044766908435109
p10_GAP,0.00012617284580958575,14.873826779696275,0.11552071497978954,0.058823529411764705,0.0,0.002617391904072133,0.002221093191968161,0.035836545897518904
p10_WHALTGVS,0.17089910817428472,1.879117006294537,0.0,0.0,0.0,0.0,0.0,0.0
p10_Y,3.6242702636728404e-16,69.93310228012824,0.0071259471351936745,0.0196078431372549,0.00013291638,0.00014956706512943334,0.005517842931625151,0.006506823329598363
p11_I,0.18756407497177732,1.7402434845102366,0.0,0.0,0.0,0.0,0.0,0.0
p11_L,1.3602202358608322e-124,889.9659189366114,0.10456155056872153,0.0196078431372549,0.0,0.0025652645840080882,0.4629607430000982,0.11793908025801654
p11_MQRA,0.0025528343836666145,9.172164593722155,0.05839180294467099,0.0,8.756116e-06,7.139108280005554e-05,0.010667077601831774,0.013827805548995778
p11_T,6.93929964914842e-24,109.85076317358636,0.05756511926462602,0.0,0.0,0.00025257667012837756,0.07498912453119093,0.026561364093189065
p11_V,6.959610314110554e-19,83.72008433054356,0.03009920945226341,0.058823529411764705,4.973973e-06,0.00022607215206715174,0.003485094938252269,0.018527775985442273
p12_P,6.254324088663518e-15,63.75127919073219,0.009727814022470856,0.0,0.0,0.0,0.0520631684693129,0.012358196498356752
p13_GAP,3.0322547755458816e-18,80.45037873260294,0.12098375055981407,0.0392156862745098,5.299244e-05,0.00016219155514658428,0.008004611470836682,0.03368384646006793
p13_I,0.0012663972060121844,10.480814915907693,0.027082023586629558,0.0,0.0,3.213615151463609e-05,0.011737077408029331,0.007770247429234706
p13_L,0.004911133342122322,7.965387345785835,0.04738033918818841,0.0196078431372549,3.2391504e-06,1.651809308970064e-05,0.0005483541995690891,0.01351125875369516
