feature,BayesianRidge,gbc,xgb,rf,lgbm,mean
1,0.03456751093967534,0.0017749543372146458,9.460294677410275e-05,0.014238317628306164,0.0375,0.017635077170394052
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.10847309400433584,0.0014013774714484485,0.000404446356697008,0.027774162598638723,0.0,0.027610616086224005
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.055340051465874826,0.003672714727799893,0.0005528167821466923,0.039881488725265875,0.1125,0.04238941434021746
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.10582131850417797,0.2220601089278001,0.0008508765022270381,0.08738168613628217,0.0375,0.09072279801409745
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.027051794105133167,0.0025132760203097518,0.0018620744813233614,0.07964912622179382,0.0,0.02221525416571202
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.08273553701094427,0.06603028702283795,0.00030850176699459553,0.07271720223675478,0.175,0.07935830560750631
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.21108845970924744,0.003146938130058247,0.0015740396920591593,0.009836572589928337,0.1,0.06512920202425865
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.04508652517886563,0.20288335981512948,0.00019370079098735005,0.01295508898647511,0.0,0.052223734954291515
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
31,0.15698555158422262,0.05234060098591297,0.0,0.11306156076201979,0.0,0.06447754266643108
32,0.09017800917109095,0.0003224681286029691,0.0002699391625355929,0.01717079793085236,0.05,0.03158824287861638
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0
35,0.14890858741969046,0.026231512473514802,0.00020198443962726742,0.071314004242883,0.0875,0.06683121771514311
36,0.08723726363300134,0.029521636510109528,0.00018087391799781471,0.06572317332209385,0.0375,0.04403258947664051
37,0.25387224823708626,0.01977878227394215,0.000885328627191484,0.05258361909374153,0.55,0.17542399564639227
38,0.03531513242074044,0.020839894599233952,0.005924204830080271,0.02503670890621584,0.0,0.017423188151254102
