feature,p_value,score,gbc,Adaboost,rf,et,BayesianRidge,mean
p1_GAP,0.5337151923972118,0.3912333556377625,0.0,0.0,0.0,0.0,0.0,0.0
p1_L,3.769934838434386e-05,19.411478366035524,0.009744169723904938,0.004720290681000415,0.010759959310157977,1.7438813471811868e-06,0.12268629714500252,0.029582492148282607
p1_M,0.004384381768585563,8.679869197448035,0.0017445505706841454,0.00016432222183474402,0.005146501504571091,2.710107290667646e-06,0.22698096300825946,0.04680780948252802
p2_D,0.01373630431692769,6.394749088761225,0.03812085379320675,0.0,0.0007714613021135306,5.406867751788665e-07,0.2244120793201505,0.05266098702044919
p2_GAP,0.7811408575527143,0.07779609601955562,0.0,0.0,0.0,0.0,0.0,0.0
p2_LP,0.48486178675680525,0.49320896113830853,0.0,0.0,0.0,0.0,0.0,0.0
p2_M,0.007461405090697024,7.600159307695875,0.0019462215938185938,0.0,8.56049170099767e-06,3.395972662874306e-07,0.11200040782086926,0.022791105900731027
p2_N,5.023299746751749e-05,18.711660796403947,2.713915165368825e-07,0.0,0.012161453360321027,2.194453626031123e-06,0.03783016483493644,0.009998816808080008
p2_Q,0.5774695399991459,0.31330866398784774,0.0,0.0,0.0,0.0,0.0,0.0
p2_S,1.6606439693065656e-11,64.70648754272713,0.0007103873756889701,3.7083766308688864e-07,0.1242353057587177,8.318899452719721e-07,0.011857043653355902,0.027360787903074186
p3_GAP,4.833946090230818e-16,111.37299052902995,0.0029039370268444183,0.0,0.2580896340623452,4.074174539979766e-05,0.18590160452986582,0.08938718347289105
p3_K,0.5101550947783653,0.43828783872943156,0.0,0.0,0.0,0.0,0.0,0.0
p4_E,3.600769292915202e-06,25.38829772019385,0.00027048421776355625,0.00035328950240069815,0.00243541353696516,9.917263259445117e-05,0.1540468329100204,0.031441038559948856
p4_G,0.16737603895200295,1.9470860579597167,0.0,0.0,0.0,0.0,0.0,0.0
p4_GAP,0.025022783351854587,5.248654728036597,0.15922107522080367,0.001245220996870936,0.004466283115124115,0.00048714948751457806,0.3270538189505706,0.09849470955417679
p4_M,0.9406302606338697,0.0055874979797995925,0.0,0.0,0.0,0.0,0.0,0.0
p4_PQ,0.5602563823667693,0.34257433968687817,0.0,0.0,0.0,0.0,0.0,0.0
p4_R,0.014093827624531227,6.344837148822006,0.004549908922532498,0.000636449598712077,0.0013525478023227358,5.306739186574178e-07,0.23549796857790678,0.048407481115078546
p4_S,0.1203847532888806,2.473088115590951,0.0,0.0,0.0,0.0,0.0,0.0
p4_T,1.8558295119229e-05,21.167896868093507,0.0330610768229557,0.0007693976736433098,0.01880350659411175,0.003988034458607097,0.09304046523726213,0.029932496157315996
p5_E,0.17410955489222424,1.8859146204303108,0.0,0.0,0.0,0.0,0.0,0.0
p5_GAP,0.11551091653683802,2.5407784141577503,0.0,0.0,0.0,0.0,0.0,0.0
p5_H,0.019725491128029238,5.698395759414231,0.000106696397698913,0.00094415467426344,0.0017677626376698535,0.00017994852640330298,0.144477242873948,0.029495161021996702
p5_K,0.9406302606338697,0.0055874979797995925,0.0,0.0,0.0,0.0,0.0,0.0
p5_Q,0.001999508690858708,10.3213116344164,0.0028691404401016986,6.233467820968247e-06,0.010435551362585177,2.0033775144232832e-06,0.021790945728945507,0.007020774875393554
p5_R,0.9051233564030253,0.014311498756615743,0.0,0.0,0.0,0.0,0.0,0.0
p6_GAP,6.837862989074616e-21,179.76185196545487,1.0,0.04540416056090553,0.5702244568818037,4.030367155615367e-05,0.0730027131856859,0.3377343268599902
p6_H,0.6349961354316962,0.22735844763433502,0.0,0.0,0.0,0.0,0.0,0.0
p6_P,0.6158203611121087,0.25408310909285736,0.0,0.0,0.0,0.0,0.0,0.0
p6_Q,3.769934838434386e-05,19.411478366035524,0.009744169723904938,0.004720290681000415,0.010759959310157977,1.7438813471811868e-06,0.12268629714500252,0.029582492148282607
p7_D,0.003145221476599787,9.36761689379019,5.530919302832178e-05,0.0,0.0012672986727663852,5.334773748312213e-05,0.0015311287874995951,0.0005814168781554848
p7_E,3.455645311188896e-07,31.80932697517495,0.00016205173174259585,0.0,0.032320110504954896,4.5317547780725666e-05,0.05135429887405311,0.016776355731706265
p7_I,0.22383109028614584,1.5065919019613,0.0,0.0,0.0,0.0,0.0,0.0
p7_K,0.3737953829735746,0.8013732567333703,0.0,0.0,0.0,0.0,0.0,0.0
p7_P,0.0006854382607964591,12.645074204796169,0.00013595780813707505,0.0,0.05296756364349169,1.2015252512180535e-07,0.06737298385559087,0.024095325091948956
p7_S,0.0010021563307720121,11.809582846222465,0.0005626328258419356,0.0,0.01898400557689744,0.00024734995804890654,0.06142703714486888,0.01624420510113143
p8_E,0.0008727038296770075,12.11241861245189,0.0019401587419659943,0.0,7.650206062016944e-05,9.770728095071958e-07,0.22551841730820685,0.0455072110367205
