comp_db_id,Full_Species,Accession,maxid,longcore_id,murwes_id,caves_id,porter2005_id,porter2006_id,LambdaMax
0,Drosophila melanogaster,Z86118,,,,,,42.0,508.0
1,Loligo subulata,Z49108,,,,,,2.0,499.0
2,Schistocerca gregaria,X80072,,,,,,46.0,430.0
3,Schistocerca gregaria,X80071,,,,,,39.0,520.0
4,Sphodromantis sp.,X71665,,,,,,40.0,515.0
5,Todarodes pacificus,X70498,,,,,,4.0,480.0
6,Loligo forbesii,X56788,,,,,,0.0,494.0
7,Enteroctopus dofleini,X07797,,,,,,5.0,475.0
8,Drosophila melanogaster,U67905,,,,,,50.0,437.0
9,Camponotus abdominalis,U32502,,,,,,34.0,510.0
10,Cataglyphis bombycinus,U32501,,,,,,35.0,510.0
11,Apis mellifera,U26026,,,,,,36.0,529.0
12,Apis mellifera,U26026,,,,,,36.0,540.0
13,Procambarus clarkii,S53494,,,,,,14.0,533.0
14,Calliphora erythrocephala,M58334,,,,,,44.0,490.0
15,Drosophila melanogaster,M17718,,,,,,56.0,345.0
16,Drosophila melanogaster,M12896,,,,,,45.0,420.0
17,Manduca sexta,L78081,,,,,,54.0,357.0
18,Manduca sexta,L78080,,,,,,22.0,520.0
19,Limulus polyphemus,L03782,,,,,,7.0,530.0
20,Limulus polyphemus,L03781,,,,,,6.0,520.0
21,Neomysis americana,DQ852592–DQ852598,,,,,,18.0,520.0
22,Mysis diluviana,DQ852591,,,,,,17.0,501.0
23,Homarus gammarus,DQ852587–DQ852590,,,,,,9.0,515.0
24,Holmesimysis costata,DQ852581–DQ852586,,,,,,16.0,512.0
25,Euphausia superba,DQ852576–DQ852580,,,,,,8.0,487.0
26,Archaeomysis grebnitzkii,DQ852573–DQ852575,,,,,,15.0,496.0
27,Neogonodactylus oerstedii,DQ646871,,,,,,21.0,522.0
28,Neogonodactylus oerstedii,DQ646870,,,,,,20.0,528.0
29,Neogonodactylus oerstedii,DQ646869,,,,,,19.0,489.0
30,Hemigrapsus sanguineus,D50583-D50584,,,,,,41.0,480.0
31,Callinectes sapidus,CV224458 (EST),,,,,181.0,,503.0
32,Homarus americanus,CN853478,,,,,146.0,,515.0
33,Osmia rufa,AY572828,,,,,,38.0,553.0
34,Bombus terrestris,AY485301,,,,,,37.0,529.0
35,Loligo pealii,AY450853,,,,,,1.0,493.0
36,Drosophila melanogaster,AH001040,,,,,,55.0,375.0
37,Drosophila melanogaster,AH001026,,,,,,43.0,478.0
38,Bicyclus anynana,AF484249,,,,,,33.0,560.0
39,Vanessa cardui,AF385333,,,,,,29.0,530.0
40,Junonia coenia,AF385332,,,,,,30.0,510.0
41,Spodoptera exigua,AF385331,,,,,,23.0,515.0
42,Galleria mellonella,AF385330,,,,,,24.0,510.0
43,Heliconius sara,AF126753,,,,,,32.0,550.0
44,Heliconius erato,AF126750,,,,,,31.0,570.0
45,Camponotus abdominalis,AF042788,,,,,,52.0,360.0
46,Cataglyphis bombycinus,AF042787,,,,,,53.0,360.0
47,Apis mellifera,AF004169,,,,,,51.0,353.0
48,Apis mellifera,AF004168,,,,,,49.0,439.0
49,Procambarus milleri,AF003546,,,,,,13.0,522.0
50,Orconectes virilis,AF003545,,,,,,12.0,530.0
51,Cambarellus shufeldtii,AF003544,,,,,,10.0,526.0
52,Cambarellus schufeldtii,AF003544,,,,,139.0,,526.0
53,Cambarus ludovicianus,AF003543,,,,,,11.0,529.0
54,Cambarellus ludovicianus,AF003543,,,,,140.0,,529.0
55,Sepia officinalis,AF000947,,,,,,3.0,492.0
56,Manduca sexta,AD001674,,,,,,47.0,450.0
57,Pieris rapae,AB177984,,,,,,28.0,540.0
58,Papilio xuthus,AB028217,,,,,,48.0,460.0
59,Papilio xuthus,AB007425,,,,,,27.0,575.0
60,Papilio xuthus,AB007424,,,,,,26.0,520.0
