feature,rf,BayesianRidge,gbc,lgbm,xgb,mean
1,0.04526312283739266,0.40475612727257965,0.008767101355641644,0.0,0.0020376606844365597,0.0921648024300101
2,0.0959606923750161,0.15061936338630297,0.0034231387779844673,0.0,0.000463552656583488,0.050093349439177405
3,0.032899763219706606,0.22106623580461873,0.013578207174889547,0.07894736842105263,0.00039498539990745485,0.06937731200403499
4,0.0678028471058916,0.2439695364527696,0.047503557978960644,0.045112781954887216,0.009005316533148289,0.08267880800513147
5,0.03294130377441087,0.2465837506761694,0.008982426322952415,0.0,0.0007267946493811905,0.057846855084582774
6,0.050731750434120204,0.21825989168747836,0.005844755072279226,0.017543859649122806,2.515425512683578e-05,0.05848108221962548
7,0.025120525829987566,0.20781587733700452,0.004872977841446882,0.0,0.00013950583525002003,0.0475897773687378
8,0.016016445978499928,0.3797786081918557,0.03583311088725089,0.02631578947368421,0.00018730277952272445,0.0916262514621627
9,0.021099785313220702,0.2288487996535303,0.016852028110761263,0.02631578947368421,1.86984907486476e-05,0.05862702020838904
10,0.07343440922613699,0.18921838965102344,0.002079141481180651,0.0,0.00028242653934285045,0.05300287337953678
11,0.2011998470093645,0.3865361611161048,0.07446508381630726,0.0,1.1374972018529661e-05,0.13244249338275899
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.10144581404842314,0.3805979052542838,0.07605156849196072,0.34210526315789475,0.00045733124716207385,0.18013157643994487
14,0.04075279286031767,0.33270692524241746,0.05721428301608222,0.017543859649122806,0.00016027246601879597,0.0896756266467918
15,0.04489401003950805,0.3425457777023618,0.05415949676809643,0.0,1.5998392655092175e-07,0.08831988889877856
16,0.03645610716910996,0.13217421136302915,0.014379727450214841,0.042105263157894736,3.3377742511220276e-05,0.045029737376551984
17,0.2556904935812621,0.21011066481314414,0.45503024946171533,0.0,0.0008754127193242311,0.18434136411508917
18,0.03928979060046431,0.27650838015216417,0.014677947492729222,0.0,0.0003317670780234039,0.06616157706467622
19,0.08831160603194749,0.16499685855293414,0.141982026331687,0.0,0.0,0.07905809818331373
20,0.12778681813897455,0.005109533288448184,0.00022617266770878246,0.0,0.0,0.026624504819026302
21,0.44991181849539,0.8945869949557026,0.006883084746137631,0.10526315789473684,0.00019016512669622898,0.29136704424373266
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0068142755940479695,0.0453291233754655,0.00015009731186389736,0.0,0.0,0.010458699256275473
25,0.12113733842335682,0.2529009565876802,0.4420513237439216,0.05263157894736842,0.012463768944144249,0.17623699332929427
26,0.06840452311480928,0.08339546508684513,0.00017446090916086845,0.0,6.697918593090435e-07,0.030395023780534918
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.10374388667152802,0.5698210737464172,0.0014728334257109632,0.05263157894736842,0.004609163384884596,0.14645570723518184
29,0.007504110168827914,0.35282840004895766,0.023019590013576032,0.0,0.003954548388719559,0.07746132972401623
30,0.016770247386662798,0.4353146290626699,0.05164843042291965,0.10526315789473684,6.972937338645124e-09,0.12179929434798528
31,0.0,0.0,0.0,0.0,0.0,0.0
32,0.045843444688283316,0.22349235038747672,0.025836442002490658,0.0,5.7721765188034624e-05,0.059045991768687744
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.07534064659935995,0.14910924981977658,0.0020287981381857142,0.0,1.7329039110336453e-05,0.045299204719286515
35,0.0108207717299119,0.25422155335734187,1.590905701374017e-06,0.0,0.00022481183987110853,0.05305374556656526
36,0.16476023869898992,0.408521146150392,0.023521473656991185,0.0,0.0058774142526090145,0.12053605455179642
37,0.22964838435307233,0.3085754312735753,0.04397574708542674,0.21052631578947367,7.758061838103458e-05,0.15856069182398583
38,0.2607999874431511,0.5679705394416635,0.03754236691840343,0.0,0.293995201587677,0.23206161907817902
39,0.0022131868803446616,0.22532431859168395,0.014570648058305683,0.0,2.314613084308803e-05,0.048426259932235476
40,0.17236831401552605,0.2186333369748716,0.08587653377010687,0.02631578947368421,1.0379230985790855e-07,0.1006388156052997
41,0.0075989814803209535,0.1843250419004227,0.0006626594513449891,0.0,2.0566916646203026e-05,0.038521449949746975
42,0.03927970813256051,0.9146429060655784,0.033254519303182295,0.2456140350877193,0.00189323746599257,0.24693688121100665
43,0.10154357836160662,0.4352268725858922,0.19265349519449257,0.02631578947368421,0.08526721596717834,0.1682013903165708
44,0.3074713307520531,0.14690585463295297,0.0928571680063617,0.0,0.0,0.10944687067827355
45,0.015185236092261536,0.4946558692598985,0.0002306397500589466,0.0,0.0,0.10201434902044382
46,0.021396410350772985,0.037975256223065544,0.00021916649132343498,0.0,0.0,0.011918166613032393
47,0.034504351801465605,0.17433139820723698,0.04924334999394604,0.42105263157894735,2.6219194637633336e-07,0.13582639875470845
48,0.05111420288854475,0.48136184086356415,0.02364297347102273,0.02631578947368421,8.843532123137265e-05,0.11650464840360944
49,0.026303948544631178,0.3799193106396209,0.0207723074016945,0.0,0.0002459961106069386,0.0854483125393107
50,0.0001429062892504184,0.029184019598981533,0.00025549846273366025,0.0,6.034479156369343e-07,0.00591660555977625
51,0.12813565382781109,0.345760487302127,0.045433137206418735,0.0,4.236981112626381e-05,0.10387432962949661
52,0.14014201592792191,0.2953004368552012,0.03624077032364289,0.14035087719298245,0.0009128775564022362,0.12258939557123014
53,0.037613169000388705,0.18061007042049626,0.04082577874485991,0.0,2.1389971038843214e-07,0.051809846413091054
54,0.33070154509156974,0.25203073586548,0.00037045692572378194,0.0,2.659561637585739e-08,0.11662055289567799
55,0.0,0.0,0.0,0.0,0.0,0.0
56,0.04918171243280757,0.32416077543926974,0.005911302949986016,0.03508771929824561,3.731535252882168e-05,0.08287576509456755
57,0.05863943275425358,0.5937247992754298,0.17526820917996838,0.0,0.00017572120123077184,0.16556163248217648
58,0.0,0.0,0.0,0.0,0.0,0.0
59,0.03309689944239662,0.4455275959317009,0.01359740506130079,0.10526315789473684,0.0,0.11949701166602704
60,0.05066915373464329,0.16605897599565603,0.003975307357929327,0.0,0.00042786801350302994,0.04422626102034634
61,0.037732515508626246,0.16297220609374571,4.122012746830091e-05,0.0,0.0,0.04014918834596805
62,0.0,0.1728185298626375,0.18161862388428107,0.21052631578947367,0.0,0.11299269390727844
63,0.02011747639110949,0.5761107280937404,0.0020222806678195696,0.0,1.3483902876032516e-05,0.11965279381110912
64,0.0014501227694754294,0.035700930352842476,0.0001324230943261849,0.21052631578947367,3.347127176311915e-06,0.049562627826658816
