,meta,seq,R2,encoding,model,MAE,MAPE,MSE,RMSE
wds_mnm,wds_mnm_meta.csv,wds_mnm_aligned_VPOD_1.3_het.fasta,0.9631697926856466,aa_prop,xgb,6.097589836252223,0.013396976851260973,140.13729689835378,11.645508405117727
wt_mnm,wt_mnm_meta.csv,wt_mnm_aligned_VPOD_1.3_het.fasta,0.9487804516213781,aa_prop,gbr,7.172077118848404,0.015370780265417558,174.98133156071484,13.060376144435475
wt_vert_mnm,wt_vert_mnm_meta.csv,wt_vert_mnm_aligned_VPOD_1.3_het.fasta,0.9841236528431905,aa_prop,xgb,4.22570199791257,0.00890388103231079,43.32201945185428,6.466129958394417
inv_mnm,inv_mnm_meta.csv,inv_mnm_aligned_VPOD_1.3_het.fasta,0.8882494268740111,aa_prop,gbr,13.383839150759561,0.02916896580805598,493.6985859184483,21.248874032076163
vert_mnm,vert_mnm_meta.csv,vert_mnm_aligned_VPOD_1.3_het.fasta,0.9836768664512219,aa_prop,xgb,4.14800163918809,0.009196174133726651,60.053133954422414,7.5243542238535595
wds,wds_meta.tsv,wds_aligned_VPOD_1.3_het.fasta,0.9706175222046289,aa_prop,xgb,5.33263400738109,0.01195798895698318,112.39083974535933,10.392112470572272
wt,wt_meta.tsv,wt_aligned_VPOD_1.3_het.fasta,0.9394174877732265,aa_prop,gbr,8.084318515990422,0.01743418969649008,180.40779460610352,13.030762590795195
wt_vert,wt_vert_meta.tsv,wt_vert_aligned_VPOD_1.3_het.fasta,0.979796780707694,aa_prop,gbr,4.610406814170689,0.009795122191291942,54.535838576414676,7.020042909502858
inv,inv_meta.tsv,inv_aligned_VPOD_1.3_het.fasta,0.8390230316215483,aa_prop,gbr,13.10993696534959,0.028111285173196866,497.6318914619048,20.69209996497372
vert,vert_meta.tsv,vert_aligned_VPOD_1.3_het.fasta,0.9810474048971493,aa_prop,xgb,4.9455759041538565,0.010953205470784818,72.01922338649669,8.352064329985314
