feature,rf,Adaboost,BayesianRidge,gbc,Lasso,mean
1,0.07408526292644872,0.0016098801158746824,0.2306232786773968,0.0015897160947136947,0.0592931808012716,0.0734402637231411
2,0.1320623566786296,0.004442495732532606,0.10362524817804411,0.002524058049673103,0.0,0.04853083172777588
3,0.16695969706368596,0.027498331871988215,0.7242759560119257,0.027593381809287183,0.6378055899366601,0.3168265913387095
4,0.12173286305675982,5.341052497589941e-05,0.13595641736411135,0.0016550078064297825,0.011553406506443108,0.054190221051743995
5,0.21815369172202792,1.9194258035865478e-05,0.2137677047295868,0.02613092498539199,0.23535578316198996,0.1386854597714065
6,0.011963338074836705,3.0447807701909297e-06,0.10480952611499587,0.004224630141177266,0.0,0.024200107822356008
7,0.2457507442691009,0.009611100613192512,0.3315556602565684,0.014492416376587238,0.13408586275568257,0.1470991568542263
8,0.20510429218309092,0.004449045132864447,0.18199831093716068,0.021890359050095863,0.1766787434097842,0.11802415014259922
9,0.07021557617055395,0.00039965521055705026,0.03428800271410221,0.010566737870327641,0.045503964681368025,0.032194787329381774
10,0.08283023699815305,0.005605958930689328,0.11132427684439848,1.2530985634596801e-05,0.2717769317698795,0.09430998710575098
11,0.19566593082437864,0.0,0.15588090510689923,0.11140428602428193,0.15966246520177307,0.12452271743146656
12,0.07485824001563193,0.008302790687622465,1.0,0.020002852079322713,1.0,0.42063277655651543
13,0.086443314153507,0.0,0.24063500788002445,0.00022801937394189805,0.0,0.06546126828149468
14,0.21816982413329095,0.020946218348125354,0.5126231247041306,0.0532802247571075,0.05741287412415566,0.172486453213362
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.1028028149339186,0.002171439721659946,0.0752606657556569,0.00231794139024962,0.0,0.03651057236029702
17,0.20066296641891057,0.0,0.1445738543354303,0.23547977928386582,0.2228226869077647,0.1607078573891943
18,0.21873534975229436,0.0,0.2739805361942586,0.020325513317675268,0.1254053157028747,0.12768934299342058
19,0.11686011981933872,0.0,0.10004561067625879,0.4709363840831486,0.0,0.13756842291574922
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.13261754785225896,0.0052289115468581015,0.5740898549480024,0.05181143137613191,0.0,0.15274954914465025
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.01887625369432987,0.0,0.2607588427281004,0.018256977901646914,0.0,0.059578414864815445
25,0.26823486070433533,0.005257227963186985,0.26556093573601536,0.03851539904768155,0.0,0.11551368469024384
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.21257162512402278,0.00762379953960073,0.26592847280920995,0.03186683645432702,0.1418505706399084,0.13196826091341377
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.344122436716451,0.03179900544848713,0.27047146910733955,0.2525795323282351,0.0,0.17979448872010256
31,0.0,0.0,0.0,0.0,0.0,0.0
