	Lambda_Max	Species	Opsin_Family	Phylum	Accession
Bovine	500.0000	Bos_tarus	Rh1	Chordata	NM_001014890
S1	524.00000	Tursiops_truncatus	LWS	Chordata	XM_019933644.2
S2	552.00000	Tursiops_truncatus	LWS	Chordata	XM_019933644.2_S292A
S3	501.00000	Petromyzon_marinus	LWS	Chordata	AH005459.2
S4	562.80000	Carassius_auratus	LWS	Chordata	L11867.1
S5	544.00000	Carassius_auratus	LWS	Chordata	L11867.1_S164P
S6	559.00000	Carassius_auratus	LWS	Chordata	L11867
S7	561.00000	Anolis_carolinensis	LWS	Chordata	U08131
S8	558.00000	Columba_livia	LWS	Chordata	AH007800.2
S9	560.00000	Taeniopygia_guttata	LWS	Chordata	AF222333.1
S10	571.00000	Gallus_gallus	LWS	Chordata	M62903.1
S11	532.00000	Homo_sapiens	LWS	Chordata	AH005296.2
S12	563.00000	Homo_sapiens	LWS	Chordata	AH005298.2
S13	553.00000	Capra_hircus	LWS	Chordata	AH006594.2
S14	509.00000	Oryctolagus_cuniculus	MWS	Chordata	AH006945.2
S15	508.00000	Mus_musculus	MWS	Chordata	AF011389.1
S16	509.00000	Rattus_norvegicus	MWS	Chordata	AH006946.2
S17	524.00000	Tursiops_truncatus	LWS	Chordata	AF055457
S18	553.00000	Felis_catus	LWS	Chordata	AF132040
S19	545.00000	Equus_caballus	LWS	Chordata	AF132043
S20	531.00000	Odocoileus_virginianus	LWS	Chordata	AF132041
S21	516.00000	Cavia_porcellus	MWS	Chordata	AF132042.1
S22	532.00000	Neosciurus_carolinensis	LWS	Chordata	AF132044
S23	482.00000	Anolis_carolinensis	MWS	Chordata	AH007737.2
S24	481.00000	Columba_livia	MWS	Chordata	U50598.1
S25	571.00000	Poecilia_reticulata	LWS1	Chordata	AB748985.1
S26	562.00000	Poecilia_reticulata	LWS1	Chordata	AB748984
S27	516.00000	Poecilia_reticulata	LWS2	Chordata	LC127183
S28	519.00000	Poecilia_reticulata	LWS3	Chordata	LC127184
S29	561.00000	Grus_americana	LWS	Chordata	KM508487
S30	539.00000	Otolemur_crassicaudatus	LWS	Chordata	AB112590.1
S31	511.00000	Carassius_auratus	LWS	Chordata	L11865.1
S32	505.00000	Carassius_auratus	LWS	Chordata	L11866.1
S33	511.00000	Gallus_gallus	MWS	Chordata	NM_205490.1
S34	525.00000	Gallus_gallus	MWS	Chordata	NM_205490.1_Q122E
S35	552.00000	Loxodonta_africana	LWS	Chordata	AY686754.1
S36	558.00000	Loxodonta_africana	LWS	Chordata	AY686754.1_A180S
S37	563.00000	lwsanc_pigmenta_sp.	LWS	Chordata	lwsanc_pigmenta
S38	563.00000	lwsanc_pigmentb_sp.	LWS	Chordata	lwsanc_pigmentb
S39	561.00000	lwsanc_pigmentc_sp.	LWS	Chordata	lwsanc_pigmentc
S40	558.00000	lwsanc_pigmentd_sp.	LWS	Chordata	lwsanc_pigmentd
S41	558.00000	lwsanc_pigmente_sp.	LWS	Chordata	lwsanc_pigmente
S42	536.00000	lwsanc_pigmentf_sp.	LWS	Chordata	lwsanc_pigmentf
S43	561.00000	lwsanc_pigmentg_sp.	LWS	Chordata	lwsanc_pigmentg
S44	564.00000	lwsanc_pigmenti_sp.	LWS	Chordata	lwsanc_pigmenti
S45	532.00000	lwsanc_pigmentx_sp.	LWS	Chordata	lwsanc_pigmentx
S46	553.00000	lwsanc_pigmenty_sp.	LWS	Chordata	lwsanc_pigmenty
S47	532.00000	lwsanc_pigmentz_sp.	LWS	Chordata	lwsanc_pigmentz
S48	533.00000	lwsanc_pigmentx_sp.	LWS	Chordata	lwsanc_pigmentx_A180S
S49	554.00000	lwsanc_pigmenty_sp.	LWS	Chordata	lwsanc_pigmenty_I274V
