feature,lgbm,BayesianRidge,gbc,rf,dt,mean
1,0.017241379310344827,0.12904755967023693,0.00039498358305988554,0.002179165227814513,0.0,0.02977261755829123
2,0.028735632183908046,0.12458875654874545,0.009363457417336718,0.07415693490454556,0.0,0.04736895621090716
3,0.017241379310344827,0.05540722219853299,2.19177173934864e-05,0.07348001194575446,0.0,0.02923010623440515
4,0.03940886699507389,0.0720360444174928,0.0028796283269754905,0.007149880707316446,0.0,0.024294884089371728
5,0.027586206896551727,0.12837686836776327,0.0011544939624223074,0.006085895415311887,0.0,0.032640692928409834
6,0.010344827586206896,0.07318607356718151,0.15050447624630492,0.013562643015396916,0.0,0.049519604083018046
7,0.036637931034482756,0.08100523164118663,0.0004616767809526683,0.00376341876650147,0.0,0.024373651644624704
8,0.034482758620689655,0.06552333975229509,0.0005247857790654469,0.021471372214608476,0.0,0.024400451273331732
9,0.005747126436781609,0.07813536453234403,0.00014817316431902007,0.015097507225273962,0.0,0.019825634271743726
10,0.005747126436781609,0.0760733876112983,0.0723487074311577,0.025916410000111804,0.0002543858734839957,0.036068003470566684
11,0.03017241379310345,0.09047078628778107,0.09577784319783479,0.26912125906134693,0.0,0.09710846046801325
12,0.0,0.027156657729541896,0.00014395335895818183,0.025991100561996307,0.0,0.010658342330099277
13,0.034482758620689655,0.10351607095753135,0.00017836717349659176,0.005631671936609093,0.0,0.028761773737665343
14,0.004310344827586207,0.07523667236645339,7.449512346254485e-05,0.07704530488904379,0.0,0.03133336344130918
15,0.024630541871921183,0.08075125933582171,0.003382744423500591,0.011280396117201505,0.0,0.024008988349689
16,0.0,0.2173019529517676,0.03614629937313406,0.1605253183956945,0.0,0.08279471414411924
17,0.022413793103448276,0.1400017892060311,0.004626817066310944,0.051364806521642166,0.0,0.04368144117948649
18,0.05747126436781609,0.18218639898499417,0.17005391135060965,0.21537641231501725,0.0,0.12501759740368742
19,0.09482758620689655,0.11893752113223827,0.0007687246913674981,0.023295047793922302,0.0,0.04756577596488492
20,0.04482758620689655,0.04531974895668846,0.0001415214556480926,0.016771232627436947,0.0,0.021412017849334008
21,0.0,0.06081183524715132,0.0007035083507097331,0.04678413095954981,0.0,0.021659894911482173
22,0.0,0.07614445378670706,0.006662543293929234,0.0111281112779724,0.0,0.01878702167172174
23,0.05172413793103448,0.1699700509094243,0.0010437111961488393,0.008844999986019068,0.0,0.046316580004525335
24,0.0,0.04818879351865321,0.00022913487884937335,0.005704137635299888,0.0,0.010824413206560494
25,0.06465517241379311,0.10595079852509565,0.0963404196662652,0.2514278466308238,0.0,0.10367484744719555
26,0.034482758620689655,0.06158274765138581,0.0014452986606212157,0.025039422429703646,0.0,0.02451004547248007
27,0.08620689655172414,0.11723257720686459,0.0044394673758417925,0.03693466283939145,0.001765611926807475,0.04931584318012589
28,0.0,0.12062242250683138,0.018624668807711412,0.08241747234831845,0.0,0.04433291273257225
29,0.0,0.12309052198165378,0.005389270833381512,0.03471253735690778,0.0,0.032638466034388615
30,0.0,0.15181939919962514,0.00012250768947725174,0.010928673575211753,0.0,0.03257411609286283
31,0.011494252873563218,0.22737629753460012,0.012538061779082996,0.09215004569912522,0.0,0.06871173157727431
32,0.034482758620689655,0.04483514404781711,0.0,0.07507706017505907,0.0,0.03087899256871317
33,0.0,0.09385066520439175,0.013349594133713793,0.06179166371178407,0.0,0.03379838460997793
34,0.05172413793103448,0.16870411244408431,0.0007579265666278641,0.017552729492299985,0.0,0.04774778128680933
35,0.019704433497536946,0.07843323192506856,0.0033047779220462523,0.01568506174662725,0.0,0.0234255010182558
36,0.005747126436781609,0.08525569412362027,2.9708012466851035e-05,0.011017985394068598,0.0,0.020410102793387463
37,0.0632183908045977,0.1401676712601027,0.007748434859791789,0.03725334169551821,0.0,0.04967756772400208
38,0.11206896551724138,0.17978596812371678,0.018994147433048877,0.09802047068252152,0.0,0.08177391035130571
39,0.019157088122605366,0.14934828638375733,0.0023920757527199194,0.0351179179987737,0.0,0.04120307365157126
40,0.04827586206896552,0.08065153805562181,0.0014392464121783161,0.010460436587659272,2.3952423167752664e-05,0.02817020710951853
41,0.013793103448275864,0.06415118527113421,0.07655752873017971,0.2199534828388806,0.0,0.07489106005769408
42,0.09482758620689655,0.036240076565047005,0.000363634680089118,0.002203607406499519,0.0,0.02672698097170644
43,0.05172413793103448,0.17193681112059356,0.00343031882877232,0.007964695922753097,0.0,0.04701119276063069
44,0.004310344827586207,0.09513455525403683,0.49902305058460766,0.15901072593173265,0.0,0.15149573531959265
45,0.0,0.047711864619989004,2.2869420145336566e-05,0.012915560315584476,0.0,0.012130058871143764
46,0.034482758620689655,0.08763573371650615,0.003053541252069487,0.09685468232473152,0.0,0.04440534318279936
47,0.03017241379310345,0.11920304660007998,0.0011369638880258373,0.010404560893266551,0.0,0.03218339703489516
48,0.008620689655172414,0.06881874210864969,0.006235789842611211,0.01885913925213529,0.0,0.02050687217171372
49,0.06896551724137931,0.11966292404449563,0.0918235502847942,0.1782805338635883,0.5,0.19174650508685148
50,0.04310344827586207,0.11131477872379678,0.0020748246032489736,0.03614946961298556,0.0,0.03852850424317868
51,0.05603448275862069,0.154435256248018,0.003585877985733483,0.014020737201507755,0.0,0.045615270838775986
52,0.017241379310344827,0.0057402001713901035,0.12461411714202,0.04007290362138738,0.0,0.03753372004902846
53,0.03103448275862069,0.07963156711581698,0.002024863877323888,0.0036382436124651235,0.00037163715409368266,0.02334015890366407
