,meta,seq,R2,encoding,model,MAE,MAPE,MSE,RMSE
wds_mnm,wds_mnm_meta.csv,wds_mnm_aligned_VPOD_1.3_het.fasta,0.9568934246641465,hot,xgb,6.572772249178298,0.014672757382103118,164.6064188469749,12.673224533494901
wt_mnm,wt_mnm_meta.csv,wt_mnm_aligned_VPOD_1.3_het.fasta,0.9428011751214249,hot,gbr,7.879383025513398,0.01690791569750478,195.37526262222178,13.768741499448177
wt_vert_mnm,wt_vert_mnm_meta.csv,wt_vert_mnm_aligned_VPOD_1.3_het.fasta,0.9804877578056777,hot,xgb,4.432728967626611,0.00940003720987809,52.76867337467429,7.191284970902063
inv_mnm,inv_mnm_meta.csv,inv_mnm_aligned_VPOD_1.3_het.fasta,0.8837596479316611,hot,gbr,13.830292577416582,0.030114523270341153,513.8138911098092,21.62885889120313
vert_mnm,vert_mnm_meta.csv,vert_mnm_aligned_VPOD_1.3_het.fasta,0.9803568700714518,hot,xgb,4.754393192543482,0.01071141875830574,73.25696648555802,8.48195679983784
wds,wds_meta.tsv,wds_aligned_VPOD_1.3_het.fasta,0.9607554762686068,hot,gbr,6.474413093396956,0.014868460597568226,148.80913509673593,11.986032985210445
wt,wt_meta.tsv,wt_aligned_VPOD_1.3_het.fasta,0.9205994461939284,hot,xgb,8.693526347850536,0.01883035913728016,232.30003047213603,14.590460449855453
wt_vert,wt_vert_meta.tsv,wt_vert_aligned_VPOD_1.3_het.fasta,0.97452862942377,hot,xgb,5.042081290829566,0.011044519835009701,67.39699670480904,7.825730305066462
inv,inv_meta.tsv,inv_aligned_VPOD_1.3_het.fasta,0.8080180056705405,hot,BayesianRidge,14.974713703793942,0.03272164283108014,615.6068653286142,23.368896554145053
vert,vert_meta.tsv,vert_aligned_VPOD_1.3_het.fasta,0.9756262991939559,hot,xgb,6.0507955484587335,0.013623491017081477,92.42920392829281,9.457047524325839
