feature,p_value,score,xgb,gbc,BayesianRidge,LassoLars,Lasso,mean
p1_GAP,0.6757230980870266,0.1765462556859559,0.0,0.0,0.0,0.0,0.0,0.0
p1_HYT,0.3242769256571153,0.9862943299888887,0.0,0.0,0.0,0.0,0.0,0.0
p1_L,0.026042084383476216,5.184181193941773,2.4991057e-06,4.815144977810084e-07,0.028531076919313753,0.0,0.0,0.005706811507897543
p1_M,0.08843173015488485,2.990451954533382,0.0,0.0,0.0,0.0,0.0,0.0
p1_P,0.23737950091389137,1.4217838254178707,0.0,0.0,0.0,0.0,0.0,0.0
p2_GAP,0.3774244829333583,0.789679199823707,0.0,0.0,0.0,0.0,0.0,0.0
p2_M,0.08165407254537363,3.1264217420369507,0.0,0.0,0.0,0.0,0.0,0.0
p2_N,0.06334882821314304,3.5665962508977564,0.0,0.0,0.0,0.0,0.0,0.0
p2_S,2.708282605009421e-07,32.82147385719883,9.23692e-06,4.1519084750842544e-07,0.14012687904541588,0.0,0.0,0.028027306231262712
p2_T,0.6612810842111617,0.19371431133932226,0.0,0.0,0.0,0.0,0.0,0.0
p3_D,0.007099030214194144,7.721630772116512,0.0007425053,0.0004142556888876356,0.06832963172407927,0.0,0.0,0.013897278543496452
p3_E,0.0008610462368983268,12.192242986918925,6.1682163e-06,1.7160736914289181e-06,0.06029970184291149,0.0,0.0,0.01206151722657249
p3_G,0.010987575070177552,6.848610869969862,2.547724e-05,8.460539171227054e-05,0.17133793250303916,0.0,0.0,0.03428960302701874
p3_GAP,0.3774244829333583,0.789679199823707,0.0,0.0,0.0,0.0,0.0,0.0
p3_KLY,0.1514185929374274,2.106423911582232,0.0,0.0,0.0,0.0,0.0,0.0
p3_S,0.4408974567315279,0.6011800580764519,0.0,0.0,0.0,0.0,0.0,0.0
p4_M,0.06005102423864629,3.660654797769176,0.0,0.0,0.0,0.0,0.0,0.0
p4_PEGI,0.38852387654603726,0.7534740748293195,0.0,0.0,0.0,0.0,0.0,0.0
p4_R,0.0009830877900087636,11.899614100015626,8.312368e-06,2.9358968766832314e-06,0.35490798461316003,0.0,0.0,0.07098384657555816
p4_T,0.035278289007386894,4.61966958594696,0.0,0.0,0.0,0.0,0.0,0.0
p5_E,0.012055162377512717,6.665815562604101,1.008418e-07,4.925942911631815e-05,0.1518170004311292,0.0,0.0,0.030373272140409597
p5_GAP,4.688816463043774e-06,24.884195098936484,4.0719674e-06,9.171339090576383e-05,0.21396882196829442,0.0,0.2555868797526843,0.09393029741585612
p5_H,0.028247081121407305,5.0318892191890425,2.233763e-09,1.809619953196459e-05,0.15167566778967437,0.0,0.0,0.03033875324459386
p5_K,0.44894193276183225,0.5802137717105814,0.0,0.0,0.0,0.0,0.0,0.0
p5_MT,0.07174223424781564,3.3494794412091933,0.0,0.0,0.0,0.0,0.0,0.0
p5_P,0.9395793347906068,0.005789369990532262,0.0,0.0,0.0,0.0,0.0,0.0
p5_Q,0.23737950091389137,1.4217838254178707,0.0,0.0,0.0,0.0,0.0,0.0
p5_R,0.2740838759541031,1.2163477911817295,0.0,0.0,0.0,0.0,0.0,0.0
p6_E,0.00010481640102248727,17.04258569274355,9.567373e-05,2.1094986946633883e-05,0.11396746974628627,0.0,0.0,0.022816847692172244
p6_FA,0.7541559359364471,0.09889147965667737,0.0,0.0,0.0,0.0,0.0,0.0
p6_G,0.2666107525653086,1.2552593421950786,0.0,0.0,0.0,0.0,0.0,0.0
p6_GAP,0.4023219648304568,0.7105009958568896,0.0,0.0,0.0,0.0,0.0,0.0
p6_P,0.42577386179165255,0.6422478058215203,0.0,0.0,0.0,0.0,0.0,0.0
p6_Q,0.19292297815566878,1.7303088044190464,0.0,0.0,0.0,0.0,0.0,0.0
p6_R,0.02182565688944547,5.517916525242106,2.1450745e-10,0.0,0.2032323168234855,0.0,0.0,0.04064646340759859
p7_D,0.20567055293244166,1.6336886507324497,0.0,0.0,0.0,0.0,0.0,0.0
p7_E,5.111154867380394e-07,30.990124375559244,0.0053286264,0.05509133931705089,0.7778329847967165,0.0,0.6438856939900336,0.29642772889514424
p7_GAP,0.4023219648304568,0.7105009958568896,0.0,0.0,0.0,0.0,0.0,0.0
p7_I,0.6278259596748452,0.23723241471949236,0.0,0.0,0.0,0.0,0.0,0.0
p7_K,0.40953899436839014,0.6888762872604399,0.0,0.0,0.0,0.0,0.0,0.0
p7_L,0.5945470039339801,0.28607073465762883,0.0,0.0,0.0,0.0,0.0,0.0
p7_N,0.9748943687699991,0.0009979270492271684,0.0,0.0,0.0,0.0,0.0,0.0
p7_P,0.046616723122565915,4.112141345645635,0.0,0.0,0.0,0.0,0.0,0.0
p7_Q,0.4071956047571502,0.695835627343356,0.0,0.0,0.0,0.0,0.0,0.0
p7_S,0.009400672335152883,7.158130768456633,5.9495983e-07,0.0048212508774753485,0.44686181449499696,0.3285570191421043,0.012720357235883105,0.15859220734205773
p8_E,0.0002714527127619218,14.8044045206714,0.0,0.011819888519768333,0.2560905257002949,0.0,0.0,0.05358208284401265
p8_F,0.31429346214061804,1.0281627359469376,0.0,0.0,0.0,0.0,0.0,0.0
p8_GAP,0.4023219648304568,0.7105009958568896,0.0,0.0,0.0,0.0,0.0,0.0
p8_N,0.356056995681848,0.8638266297511508,0.0,0.0,0.0,0.0,0.0,0.0
p8_S,3.612245734790802e-05,19.638757061721677,0.025791587,5.0074765062325887e-08,0.7395649579251807,0.7675087989298712,1.0,0.5065730788475733
p8_V,0.2179756670553195,1.54701907576895,0.0,0.0,0.0,0.0,0.0,0.0
p8_WHG,0.03199749900879477,4.799905627987383,0.0,0.0,0.0,0.0,0.0,0.0
p8_Y,0.4498959354727605,0.5777664322660225,0.0,0.0,0.0,0.0,0.0,0.0
p9_F,0.0922142679572675,2.919498081761078,0.0,0.0,0.0,0.0,0.0,0.0
p9_GAP,0.4023219648304568,0.7105009958568896,0.0,0.0,0.0,0.0,0.0,0.0
p9_I,0.01446204476921749,6.309639112260229,0.0,6.47275626630974e-06,0.019814829791951625,0.0,0.0,0.003964260509643587
p9_MTLY,0.3492529722529675,0.8887553933845692,0.0,0.0,0.0,0.0,0.0,0.0
p9_V,0.07589978771134256,3.252025288256966,0.0,0.0,0.0,0.0,0.0,0.0
p10_GAP,0.4023219648304568,0.7105009958568896,0.0,0.0,0.0,0.0,0.0,0.0
p10_H,0.01756959421126138,5.932808279870356,7.339001e-05,1.1933953758298108e-06,0.241078447434005,0.0,0.0,0.04823060616762922
p10_TVAS,0.4915867631929006,0.4783716117366401,0.0,0.0,0.0,0.0,0.0,0.0
p10_W,0.644860848780219,0.21440352572048177,0.0,0.0,0.0,0.0,0.0,0.0
p10_Y,0.03358507602103388,4.710335199298423,0.0,0.0,0.0,0.0,0.0,0.0
p11_I,0.8251271935821509,0.04921083209873488,0.0,0.0,0.0,0.0,0.0,0.0
p11_L,1.2237699164496451e-12,76.51580250199507,3.7910013e-06,0.15856424871036157,0.11946506816664558,0.0,0.0,0.055606621575659564
p11_P,0.2179756670553195,1.54701907576895,0.0,0.0,0.0,0.0,0.0,0.0
p11_QMAS,0.29328309329952335,1.1223111936053531,0.0,0.0,0.0,0.0,0.0,0.0
p11_T,0.0023378689169717146,10.025048550805982,1.9069457e-05,7.871289020514784e-05,0.05911574920892046,0.0,0.0,0.01184270631127844
p11_V,0.016100027455029028,6.101395654172578,8.14463e-05,0.001934812860519265,0.6934356136151012,0.3628579540468883,0.41346131702515443,0.294354228769189
p12_L,0.8647104960812255,0.029256915718269386,0.0,0.0,0.0,0.0,0.0,0.0
p12_P,0.15349478011896817,2.0848746632925113,0.0,0.0,0.0,0.0,0.0,0.0
p13_GAP,0.005361236794358117,8.29283146591062,0.0,8.296885791746411e-06,0.46037710586141933,0.6444885310851992,0.03924458249152263,0.22882370326478657
p13_I,0.16269860016820137,1.993252905184685,0.0,0.0,0.0,0.0,0.0,0.0
p13_L,0.7913121337796827,0.07058702523165356,0.0,0.0,0.0,0.0,0.0,0.0
p13_M,0.014569443887489476,6.2952381797242145,0.00013018472,0.00013015757227048295,0.4137157787311537,0.2614629431065063,0.3158806619372028,0.1982639452138998
p13_VQ,0.5398681134795191,0.379728628368048,0.0,0.0,0.0,0.0,0.0,0.0
p14_E,0.0012546609426745939,11.36510425846979,5.4409543e-06,2.0174544852843406e-06,0.0853215187344421,0.0,0.0,0.017065795428642012
p14_G,0.7237580634024081,0.12599021425062182,0.0,0.0,0.0,0.0,0.0,0.0
p14_GAP,0.4081028035575963,0.6931344126941383,0.0,0.0,0.0,0.0,0.0,0.0
p14_ID,0.6545335169886628,0.20206306610982966,0.0,0.0,0.0,0.0,0.0,0.0
p14_K,1.0290082672546994e-07,35.68390877382147,0.0,0.0021032753042630023,0.31639022754320645,0.0,0.0,0.0636987005694939
p14_N,0.22833786588836336,1.478517251470157,0.0,0.0,0.0,0.0,0.0,0.0
p14_P,0.9642037008381872,0.0020294778868237442,0.0,0.0,0.0,0.0,0.0,0.0
p14_S,0.11112395176117489,2.607595489112746,0.0,0.0,0.0,0.0,0.0,0.0
p14_T,0.005829427324802491,8.121694637673732,0.00020619805,0.009526428812176704,0.2421557604340618,0.049167357590516415,0.0,0.06021114897706
p14_V,0.2058570342917259,1.6323288994778393,0.0,0.0,0.0,0.0,0.0,0.0
p15_N,0.4081028035576013,0.693134412694123,0.0,0.0,0.0,0.0,0.0,0.0
p16_G,0.014435584557257632,6.313204453540135,0.0,2.642828814352776e-08,0.04217347931337173,0.0,0.0,0.008434701148331974
p16_GAP,0.4081028035575963,0.6931344126941383,0.0,0.0,0.0,0.0,0.0,0.0
p16_HVME,0.6835767565457642,0.16760278276355034,0.0,0.0,0.0,0.0,0.0,0.0
p16_I,2.0269599615666972e-05,21.087001115971898,0.00016452633,5.525027297883268e-05,0.32410502568943295,0.0,0.0,0.06486496045758917
p16_K,0.3244697033460625,0.9855028691146291,0.0,0.0,0.0,0.0,0.0,0.0
p16_L,0.03178960004729376,4.811986264579481,0.0,0.0,0.0,0.0,0.0,0.0
p16_Q,0.007099030214194144,7.721630772116512,0.0007425053,0.0004142556888876356,0.06832963172407927,0.0,0.0,0.013897278543496452
p16_R,0.5220986063228699,0.4141538687829667,0.0,0.0,0.0,0.0,0.0,0.0
p16_S,0.00041209698387020415,13.846617033245339,0.0,1.13324111645933e-07,0.18341748703153368,0.0,0.0,0.036683520071129065
p16_T,0.11745167526563367,2.5163410062086,0.0,0.0,0.0,0.0,0.0,0.0
p17_N,0.00041209698387020415,13.846617033245339,0.0,1.13324111645933e-07,0.18341748703153368,0.0,0.0,0.036683520071129065
p17_S,4.780650600342401e-10,53.25273645034809,2.5665247e-07,9.960501636923254e-07,0.04619011932989378,0.0,0.25979855388916856,0.0611979851843392
p17_T,0.005194478356281037,8.357596323076262,9.6028415e-08,0.0066486375534036074,0.09598919012987768,0.0,0.0015873824117159422,0.020845061224682535
p18_G,0.0016072123568691644,10.82779147197551,3.9098442e-05,3.684460548929034e-05,0.1024225935027454,0.0,0.0,0.020499707310118437
p18_GAP,0.4081028035575963,0.6931344126941383,0.0,0.0,0.0,0.0,0.0,0.0
p18_K,0.0013225257372953328,11.25035329542084,0.0,0.0,0.2185669413227281,0.0,0.0,0.04371338826454562
p18_N,0.02283401674693042,5.432221191679772,0.0,1.2768555063763215e-06,0.2490301659231337,0.12684945326912592,0.3606358684742764,0.1473033529044085
p18_QIET,0.09674813803021709,2.8385948910701693,0.0,0.0,0.0,0.0,0.0,0.0
