	Lambda_Max	Species	Opsin_Family	Phylum	Accession
Bovine	500.0000	Bos_tarus	Rods	Chordata	NM_001014890
S1	502.00000	Neoniphon_sammara	Rods	Chordata	U57536.1
S2	502.00000	Neoniphon_argenteus	Rods	Chordata	U57540.1
S3	481.00000	Neoniphon_aurolineatus	Rods	Chordata	U57541.1
S4	494.00000	Sargocentron_punctatissimum	Rods	Chordata	U57543.1
S5	494.00000	Sargocentron_microstoma	Rods	Chordata	U57542.1
S6	491.00000	Sargocentron_diadema	Rods	Chordata	U57537.1
S7	486.00000	Sargocentron_xantherythrum	Rods	Chordata	U57546.1
S8	490.00000	Sargocentron_spiniferum	Rods	Chordata	U57544.1
S9	490.00000	Sargocentron_tiere	Rods	Chordata	U57545.1
S10	499.00000	Myripristis_violacea	Rods	Chordata	U57539.1
S11	493.00000	Myripristis_berndti	Rods	Chordata	U57538.1
S12	498.00000	Altolamprologus_calvus	Rods	Chordata	AB458132.1
S13	495.00000	Aulonocara_sp.	Rods	Chordata	AB185214.1
S14	499.00000	Altolamprologus_calvus	Rods	Chordata	AB084924.1
S15	492.00000	Baileychromis_centropomoides	Rods	Chordata	AB185217.1
S16	501.00000	Bathybates_fasciatus	Rods	Chordata	AB185218.1
S17	488.00000	Benthochromis_tricoti	Rods	Chordata	AB084927.1
S18	487.00000	Cyphotilapia_frontosa	Rods	Chordata	AB084929.1
S19	498.00000	Cyprichromis_leptosoma	Rods	Chordata	AB084930.1
S20	502.00000	Dimidiochromis_compressiceps	Rods	Chordata	AB084931.1
S21	500.00000	Diplotaxodon_macrops	Rods	Chordata	AB185220.1
S22	497.00000	Gnathochromis_permaxillaris	Rods	Chordata	AB084932.1
S23	488.00000	Greenwoodochromis_bellcrossi	Rods	Chordata	AB185221.1
S24	501.00000	Haplochromis_sp.	Rods	Chordata	AB084933.1
S25	504.00000	Haplotaxodon_microlepis	Rods	Chordata	AB458142.1
S26	496.00000	Hemibates_stenosoma	Rods	Chordata	AB185222.1
S27	500.00000	Labidochromis_caeruleus	Rods	Chordata	AB084934.1
S28	498.00000	Limnochromis_staneri	Rods	Chordata	AB185225.1
S29	505.00000	Oreochromis_niloticus	Rods	Chordata	AB084938.1
S30	500.00000	Pallidochromis_tokolosh	Rods	Chordata	AB185229.1
S31	490.00000	Perissodus_elaviae	Rods	Chordata	AB185230.1
S32	498.00000	Pseudotropheus_sp.	Rods	Chordata	GQ422475.1
S33	502.00000	Spathodus_erythrodon	Rods	Chordata	AB084941.1
S34	484.00000	Trematocara_unimaculatum	Rods	Chordata	AB185238.1
S35	488.00000	Trematocara_macrostoma	Rods	Chordata	AB084945.1
S36	501.00000	Tropheus_duboisi	Rods	Chordata	AB084946.1
S37	488.00000	Xenotilapia_nigrolabiata	Rods	Chordata	AB458130.1
S38	491.00000	Xenotilapia_caudafasciata	Rods	Chordata	AB458131.1
S39	503.00000	Xenotilapia_ochrogenys	Rods	Chordata	AB084947.1
S40	497.90000	Tachyglossus_aculeatus	Rods	Chordata	JX103830
S41	503.80000	Tachyglossus_aculeatus	Rods	Chordata	JX103830_N83D
S42	498.00000	Tachyglossus_aculeatus	Rods	Chordata	JX103830_T158A
S43	499.40000	Tachyglossus_aculeatus	Rods	Chordata	JX103830_F169A
S44	501.50000	Bos_taurus	Rods	Chordata	NM_001014890_D83G
S45	491.50000	Bos_taurus	Rods	Chordata	NM_001014890_D83N
S46	494.50000	Bos_taurus	Rods	Chordata	NM_001014890_M86E
S47	483.00000	Bos_taurus	Rods	Chordata	NM_001014890_E122Q
S48	498.00000	Bos_taurus	Rods	Chordata	NM_001014890_E122I
S49	499.00000	Bos_taurus	Rods	Chordata	NM_001014890_E134L
S50	497.50000	Bos_taurus	Rods	Chordata	NM_001014890_E134Q
S51	501.00000	Bos_taurus	Rods	Chordata	NM_001014890_R135L
S52	495.00000	Bos_taurus	Rods	Chordata	NM_001014890_H211C
S53	495.50000	Bos_taurus	Rods	Chordata	NM_001014890_H211F
S54	498.50000	Bos_taurus	Rods	Chordata	NM_001014890_E122I_D83G
S55	493.00000	Bos_taurus	Rods	Chordata	NM_001014890_E122I_M86E
S56	499.50000	Bos_taurus	Rods	Chordata	NM_001014890_E134L_R135L
S57	498.00000	Bos_taurus	Rods	Chordata	NM_001014890_E134R_R135E
S58	500.00000	Bos_taurus	Rods	Chordata	NM_001014890_T97S
S59	500.00000	Bos_taurus	Rods	Chordata	NM_001014890_F116S
S60	493.00000	Bos_taurus	Rods	Chordata	NM_001014890_E122M
S61	500.00000	Bos_taurus	Rods	Chordata	NM_001014890_A164G
S62	500.00000	Cyprichromis_leptosoma	Rods	Chordata	AB458118.1
S63	491.00000	Paracyprichromis_brieni	Rods	Chordata	AB458120.1
S64	497.00000	Xenotilapia_papilio	Rods	Chordata	AB457996.1
S65	494.00000	Paracyprichromis_brieni	Rods	Chordata	AB458121.1
S66	493.00000	Neolamprologus_ventralis	Rods	Chordata	AB458138.1
S67	492.00000	Paracyprichromis_nigripinnis	Rods	Chordata	AB458122.1
S68	489.00000	Cyprichromis_pavo	Rods	Chordata	AB458119.1
S69	498.00000	Cyphotilapia_frontosa	Rods	Chordata	AB084929_S292A
S70	500.00000	Trematocara_macrostoma	Rods	Chordata	AB084945_S292A
S71	491.00000	Oreochromis_niloticus	Rods	Chordata	AB084938_A292S
S72	500.00000	Baileychromis_centropomoides	Rods	Chordata	AB185217_N83D
S73	503.00000	Pallidochromis_tokolosh	Rods	Chordata	AB185229_N83D
S74	502.00000	Diplotaxodon_macrops	Rods	Chordata	AB185220_N83D
S75	494.00000	Limnochromis_staneri	Rods	Chordata	AB185225_D83N
S76	501.00000	Rod_ancestor_pigmenta	Rods	Chordata	pigmenta
S77	501.00000	Rod_ancestor_pigmentb	Rods	Chordata	pigmentb
S78	501.00000	Rod_ancestor_pigmentc	Rods	Chordata	pigmentc
S79	501.00000	Rod_ancestor_pigmentd	Rods	Chordata	pigmentd
S80	482.00000	Rod_ancestor_pigmente	Rods	Chordata	pigmente
S81	502.00000	Rod_ancestor_pigmentf	Rods	Chordata	pigmentf
S82	501.00000	Rod_ancestor_pigmentg	Rods	Chordata	pigmentg
S83	502.00000	Rod_ancestor_pigmenth	Rods	Chordata	pigmenth
S84	496.00000	Rod_ancestor_pigmenti	Rods	Chordata	pigmenti
S85	485.00000	Rod_ancestor_pigmentj	Rods	Chordata	pigmentj
S86	486.00000	Rod_ancestor_pigmenti	Rods	Chordata	pigmentk
S87	486.00000	Conger_myriaster	Rods	Chordata	AB043817.1
S88	485.00000	Latimeria_chalumnae	Rods	Chordata	AH007712.2
S89	496.00000	Loxodonta_africana	Rods	Chordata	AY686752.1
S90	483.00000	Sebastolobus_altivelis	Rods	Chordata	DQ490124
S91	526.00000	Aristostomias_scintillans	Rods	Chordata	EU407248.1
S92	489.00000	Chauliodus_macouni	Rods	Chordata	EU407250.1
S93	492.00000	Stenobrachius_leucopsarus	Rods	Chordata	EU407251.1
S94	507.00000	Lepidopus_fitchi	Rods	Chordata	EU407252.1
S95	486.00000	Lepidopus_fitchi	Rods	Chordata	EU407253.1
S96	491.00000	Anolis_carolinensis	Rods	Chordata	L31503
S97	479.00000	Anguilla_japonica	Rods	Chordata	LC464070.1
S98	504.00000	Astyanax_mexicanus	Rods	Chordata	U12328.1
S99	489.00000	Rod_ancestor_pigmentc_A292S	Rods	Chordata	pigmentc_A292S
S100	502.00000	Rod_ancestor_pigmentd_A292S	Rods	Chordata	pigmentd_A292S
S101	491.00000	Rod_ancestor_pigmentg_A292S	Rods	Chordata	pigmentg_A292S
S102	498.00000	Rod_ancestor_pigmenta_D83N	Rods	Chordata	pigmenta_D83N
S103	479.00000	Rod_ancestor_pigmente_D83N	Rods	Chordata	pigmente_D83N
S104	488.00000	Rod_ancestor_pigmenta_D83N_A292S	Rods	Chordata	pigmenta_D83N_A292S
S105	486.00000	Rod_ancestor_pigmentg_D83N_A292S	Rods	Chordata	pigmentg_D83N_A292S
S106	482.00000	Rod_ancestor_pigmenth_D83N_A292S	Rods	Chordata	pigmenth_D83N_A292S
S107	482.00000	Rod_ancestor_pigmenti_D83N_A292S	Rods	Chordata	pigmenti_D83N_A292S
S108	497.00000	Rod_ancestor_pigmenta_D83N_I214T	Rods	Chordata	pigmenta_D83N_I214T
S109	526.00000	Rod_ancestor_pigmentf_D83N_M183F_M253L_F261Y_T289G_A292I_M317I	Rods	Chordata	pigmentf_D83N_M183F_M253L_F261Y_T289G_A292I_M317I
S110	501.00000	Rod_ancestor_pigmentb_E122I	Rods	Chordata	pigmentb_E122I
S111	507.00000	Rod_ancestor_pigmentb_E122I_F261Y	Rods	Chordata	pigmentb_E122I_F261Y
S112	484.00000	Rod_ancestor_pigmentf_E122M_A292S	Rods	Chordata	pigmentf_E122M_A292S
S113	504.00000	Rod_ancestor_pigmentf_E122M_F261Y	Rods	Chordata	pigmentf_E122M_F261Y
S114	490.00000	Rod_ancestor_pigmentf_E122M_F261Y_A292S	Rods	Chordata	pigmentf_E122M_F261Y_A292S
S115	489.00000	Rod_ancestor_pigmentf_E122Q	Rods	Chordata	pigmentf_E122Q
S116	478.00000	Rod_ancestor_pigmenta_E122Q_A292S	Rods	Chordata	pigmenta_E122Q_A292S
S117	511.00000	Rod_ancestor_pigmentb_F261Y	Rods	Chordata	pigmentb_F261Y
S118	503.00000	Rod_ancestor_pigmenti_F261Y	Rods	Chordata	pigmenti_F261Y
S119	488.00000	Rod_ancestor_pigmentd_N195A_A292S	Rods	Chordata	pigmentd_N195A_A292S
S120	488.00000	Rod_ancestor_pigmentd_P194R_A292S	Rods	Chordata	pigmentd_P194R_A292S
S121	501.00000	Rod_ancestor_pigmentd_P194R_N195A	Rods	Chordata	pigmentd_P194R_N195A
S122	488.00000	Rod_ancestor_pigmentd_P194R_N195A_A292S	Rods	Chordata	pigmentd_P194R_N195A_A292S
S123	494.00000	Rod_ancestor_pigmenth_Y96V_Y102F	Rods	Chordata	pigmenth_Y96V_Y102F
S124	491.00000	Sebastolobus_altivelis	Rods	Chordata	DQ490124_N83D
S125	492.00000	Chauliodus_macouni	Rods	Chordata	EU407250.1_N83D
S126	490.00000	Lepidopus_fitchi	Rods	Chordata	EU407253.1_N83D
S127	501.00000	Sebastolobus_altivelis	Rods	Chordata	DQ490124_N83D_S292A
S128	504.00000	Chauliodus_macouni	Rods	Chordata	EU407250.1_N83D_S292A
S129	495.00000	Lepidopus_fitchi	Rods	Chordata	EU407253.1_N83D_S292A
S130	499.00000	Stenobrachius_leucopsarus	Rods	Chordata	EU407251_Q122E
S131	498.00000	Conger_myriaster	Rods	Chordata	AB043817.1_S292A
