refid	doi	searchid
160	10.1093/molbev/msh217	6
163	10.1073/pnas.0405302102	6
116	10.1017/S0952523812000223	5
117	10.1021/bi00456a013	5
164	10.1093/molbev/msq344	6
127	10.1073/pnas.0802426105	5
120	10.1562/2006-06-19-RA-939	5
286	10.1021/bi972500j	17
121	10.1016/j.gene.2007.04.036	5
138	10.1093/molbev/msi086	5
133	10.1093/molbev/msp089	5
129	10.1021/bi025656e	5
124	10.1021/bi0160011	5
132	10.1016/j.gene.2005.09.028	5
144	10.1017/s095252380017511x	5
347	https://doi.org/10.1186/s40851-019-0150-2	24
349	15;267(14):9478-80	24
155	10.1016/s1350-9462(00)00002-1	5
350	https://doi.org/10.1073/pnas.2008986118	16
353	http://dx.doi.org/10.1016/j.visres.2016.06.013	25
137	10.1096/fj.06-8057com	5
355	10.1021/bi049478w	25
379	https://doi.org/10.1093/molbev/msm109	27
361	10.1242/jeb.071084	26
358	10.1021/bi991600h	25
359	10.1074/jbc.M117.793539	26
357	10.1074/jbc.M115.677765	25
360	10.1371/journal.pone.0015015	26
362	https://doi.org/10.1242/jeb.108456	26
363	10.1242/jeb.006064	26
364	10.1016/j.gene.2003.08.002	26
376	https://doi.org/10.1242/jeb.242929	27
378	https://doi.org/10.1042/bj20020483	27
380	https://doi.org/10.1093/molbev/msu304	27
367	10.1093/gbe/evaa111	26
368	10.1371/journal.pcbi.1008212	26
373	10.1074/jbc.M413001200	26
386	10.1021/bi002937i	27
371	10.1371/journal.pcbi.1005974	26
387	https://doi.org/10.1016/j.cub.2005.08.010	27
54	10.1021/bi00052a027	1
170	10.1073/pnas.94.6.2322	8
167	10.1093/oxfordjournals.molbev.a004211	3
159	10.1002/2211-5463.12843	5
389	https://doi.org/10.1073/pnas.96.11.6279	28
410	https://www.jstor.org/stable/3139923	28
411	https://doi.org/10.1534/genetics.105.045849	28
413	https://doi.org/10.1073/pnas.201257398	28
415	10.1534/genetics.104.039511	28
418	https://doi.org/10.1093/molbev/msad023	28
424	https://doi.org/10.1186/s12862-020-01725-1	28
559	10.1021/bi980147r	33
572	10.7554/eLife.35957	33
426	https://doi.org/10.1016/S0378-1119(03)00424-4	28
510	 https://doi.org/10.1303/aez.4.87	30
483	https://doi.org/10.1523/JNEUROSCI.23-34-10873.2003	30
520	10.1371/journal.pgen.1004884	30
512	https://doi.org/10.1016/S0021-9258(20)64317-4	30
571	10.1093/molbev/msab008	33
516	https://doi.org/10.1016/0896-6273(94)90320-4	30
540	10.1073/pnas.1306826110	30
587	10.1073/pnas.1900481116	33
586	10.1093/molbev/msab262	33
416	https://doi.org/10.1098/rstb.2021.0279	28
427	10.1534/genetics.108.090449	28
561	10.1021/bi101020p	33
569	10.1016/S0006-291X(03)00328-0	33
414	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1461741/pdf/11545071.pdf	28
420	https://doi.org/10.1093/molbev/msad030	28
419	https://doi.org/10.1093/molbev/msad063	28
384	10.1016/j.visres.2004.04.008	27
521	10.1186/s12862-016-0637-9	30
534	https://doi.org/10.1073/pnas.94.16.8860	30
574	10.1515/BC.2001.157	33
577	10.7554/eLife.75979	33
527	10.1016/j.gene.2005.12.005	30
514	https://doi-org.proxy.library.ucsb.edu/10.1073/pnas.2118145119	30
513	https://doi.org/10.1074/jbc.M807368200	30
553	10.1021/bi020613j	31
539	10.1021/bi00060a001	30
529	10.1523/JNEUROSCI.0517-09.2009	30
557	10.1038/ng0793-280	33
584	10.1017/S0952523801183057	33
409	https://doi.org/10.1021/bi0200413	28
442	https://doi.org/10.1073/pnas.1219416110 	30
585	10.1021/bi020629%2B	33
578	10.1098/rspb.2016.2743	33
421	doi.org/10.1021/ja409896y	28
536	10.1038/s42003-019-0409-3	30
573	10.1002/pro.2902	33
354	10.1186/1471-2148-13-250	25
472	10.1111/j.1471-4159.2007.05184.x	30
588	10.1017/S0952523812000107	33
538	10.1073/pnas.2220728120	30
123	10.1523/JNEUROSCI.12-10-03862.1992	5
556	10.1038/367639a0	33
524	https://doi.org/10.1073/pnas.0903839106	30
425	https://doi.org/10.1021/bi015584b	28
100	10.1098/rspb.2008.0248	1
528	10.1242/jeb.01647	30
517	10.1126/science.aav4632	30
519	10.1126/sciadv.1500162	30
560	10.1021/bi201522h	33
523	https://doi.org/10.1093/molbev/msl014	30
504	https://doi.org/10.1074/jbc.M304567200 	30
500	https://doi.org/10.1038/s41598-017-07461-9	30
526	10.1016/S0014-5793(98)00086-6	30
582	10.1073/pnas.1513284113	33
503	https://doi.org/10.1016/S0014-5793(02)03616-5 	30
441	https://doi.org/10.1098/rstb.2021.0274	30
576	10.1371/journal.pone.0135888	33
