,Accession,Full_Species,prediction_value,closest_measurement,abs_diff,max_id
0,NC_083357.1,Meriones unguiculatus,475.0,493,18.0,643
1,MT024769.1,Meriones unguiculatus,511.8,493,18.80000000000001,643
2,LC573540.1,Ampelophaga rubiginosa,375.0,460,85.0,354
3,LC573530.1,Ampelophaga rubiginosa,434.0,460,26.0,354
4,LC573520.1,Ampelophaga rubiginosa,535.5,540,4.5,355
5,MF035711.1,Heliconius sara,392.7,370,22.69999999999999,263
6,MF035710.1,Heliconius sara,384.7,370,14.699999999999989,263
7,MF035709.1,Heliconius sara,433.8,470,36.19999999999999,264
8,MF035708.1,Heliconius sara,539.0,550,11.0,265
9,MF035706.1,Heliconius sara,384.5,370,14.5,263
10,MF035705.1,Heliconius sara,433.8,470,36.19999999999999,264
11,MF035698.1,Heliconius sara,539.0,550,11.0,265
12,MF035689.1,Heliconius sara,382.9,370,12.899999999999977,263
13,AH006945.2,Oryctolagus cuniculus,515.6,523,7.399999999999977,528
14,U21688.1,Oryctolagus cuniculus,498.5,523,24.5,528
15,MF035678.1,Heliconius numata,378.9,390,11.100000000000023,260
16,MF035677.1,Heliconius numata,431.0,460,29.0,261
17,MF035676.1,Heliconius numata,539.4,540,0.6000000000000227,262
18,GU324690.1,Heliconius numata,433.4,460,26.600000000000023,261
19,GQ451904.1,Heliconius numata,385.9,390,4.100000000000023,260
20,GQ451903.1,Heliconius numata,378.7,390,11.300000000000011,260
21,KF539456.1,Macroglossum stellatarum,376.5,348,28.5,364
22,KF539444.1,Macroglossum stellatarum,536.9,500,36.89999999999998,366
23,KF539426.1,Macroglossum stellatarum,429.3,430,0.6999999999999886,365
24,AH006594.2,Capra hircus,548.3,552,3.7000000000000455,478
25,KY368340.1,Photinus marginellus,399.7,375,24.69999999999999,41
26,KY368339.1,Photinus marginellus,525.6,565,39.39999999999998,42
27,AH005931.2,Otolemur garnettii,537.3,545,7.7000000000000455,608
28,EF667285.1,Daubentonia madagascariensis,382.5,406,23.5,603
29,EF667284.1,Daubentonia madagascariensis,382.3,406,23.69999999999999,603
30,NM_000329.3,Homo sapiens,462.3,496,33.69999999999999,610
31,NM_003679.5,Homo sapiens,467.5,496,28.5,610
32,NM_000539.3,Homo sapiens,498.4,496,2.3999999999999773,610
33,NM_181744.4,Homo sapiens,481.1,496,14.899999999999977,610
34,NM_001381855.1,Homo sapiens,477.2,496,18.80000000000001,610
35,NM_001381856.1,Homo sapiens,480.4,496,15.600000000000023,610
36,NM_014322.3,Homo sapiens,480.4,496,15.600000000000023,610
37,NM_033282.4,Homo sapiens,467.6,496,28.399999999999977,610
38,NM_000843.4,Homo sapiens,461.5,496,34.5,610
39,NM_001330067.2,Homo sapiens,534.3,531,3.2999999999999545,611
